ID,Score,Real_Class
ZINC30652333,0.91892,Inactive
ZINC06667833,0.90466,Inactive
ZINC09117528,0.90026,Inactive
ZINC30136969,0.90002,Inactive
ZINC15781182,0.88579,Inactive
ZINC11919698,0.88383,Inactive
ZINC23314362,0.88082,Inactive
ZINC20018365,0.87043,Inactive
ZINC19200219,0.86816,Inactive
ZINC21487112,0.86192,Inactive
ZINC05853223,0.85919,Inactive
ZINC03872145,0.85914,Inactive
ZINC12456764,0.85667,Inactive
ZINC27720841,0.85118,Inactive
ZINC13573936,0.83454,Inactive
ZINC20428909,0.82461,Inactive
ZINC11887184,0.82157,Inactive
ZINC19873978,0.81656,Inactive
BDB50055163,0.81561,Active
ZINC30669368,0.81366,Inactive
ZINC11294223,0.81351,Inactive
ZINC04823442,0.81089,Inactive
ZINC30661296,0.81005,Inactive
ZINC19281592,0.80864,Inactive
ZINC03176669,0.80683,Inactive
ZINC20685667,0.80277,Inactive
ZINC30661134,0.80273,Inactive
ZINC20639794,0.79493,Inactive
ZINC01836026,0.7948,Inactive
ZINC30661201,0.79176,Inactive
ZINC12247351,0.79174,Inactive
ZINC32024813,0.78888,Inactive
ZINC00331262,0.78808,Inactive
BDB50004016,0.78731,Active
ZINC18067901,0.78221,Inactive
ZINC11851222,0.78215,Inactive
ZINC08770129,0.77972,Inactive
ZINC14965255,0.7795,Inactive
ZINC20480904,0.77861,Inactive
ZINC20503912,0.77857,Inactive
ZINC04980285,0.77722,Inactive
ZINC30639808,0.77633,Inactive
ZINC30913942,0.77111,Inactive
ZINC31171364,0.76886,Inactive
ZINC20153670,0.76864,Inactive
ZINC10957616,0.76797,Inactive
ZINC26961187,0.76649,Inactive
ZINC29464521,0.7655,Inactive
ZINC12300388,0.76412,Inactive
ZINC22018417,0.76248,Inactive
ZINC08983684,0.76138,Inactive
ZINC29872521,0.75881,Inactive
ZINC31050984,0.75763,Inactive
ZINC08757859,0.75605,Inactive
ZINC11535741,0.75598,Inactive
ZINC30914022,0.7525,Inactive
ZINC13644815,0.7504,Inactive
BDB50110300,0.74856,Active
ZINC30909898,0.7455,Inactive
ZINC30669535,0.74403,Inactive
ZINC24208506,0.74389,Inactive
ZINC31494368,0.74285,Inactive
BDB50271192,0.73988,Active
ZINC19167288,0.73949,Inactive
BDB50032163,0.73911,Active
ZINC06813623,0.73728,Inactive
ZINC14581093,0.73689,Inactive
ZINC18320600,0.73364,Inactive
ZINC21287677,0.73231,Inactive
ZINC30901907,0.73028,Inactive
ZINC24521872,0.7301,Inactive
ZINC30914010,0.72864,Inactive
ZINC16001630,0.72837,Inactive
ZINC31851886,0.72774,Inactive
ZINC09216767,0.727,Inactive
ZINC19882593,0.72515,Inactive
ZINC20919926,0.72178,Inactive
ZINC00863053,0.71921,Inactive
ZINC02627186,0.71905,Inactive
ZINC26938851,0.71888,Inactive
ZINC23541817,0.71879,Inactive
ZINC06426056,0.71773,Inactive
ZINC20660469,0.71699,Inactive
ZINC05834072,0.71678,Inactive
ZINC21309280,0.71377,Inactive
ZINC31847294,0.71307,Inactive
ZINC30669504,0.71301,Inactive
ZINC32053017,0.71243,Inactive
ZINC15005406,0.71142,Inactive
ZINC22934141,0.71101,Inactive
ZINC08757890,0.71053,Inactive
ZINC24243601,0.70883,Inactive
ZINC31977100,0.70869,Inactive
ZINC11596063,0.70839,Inactive
ZINC27219526,0.70828,Inactive
BDB50008578,0.70635,Active
ZINC15431147,0.70429,Inactive
BDB50055185,0.70272,Active
ZINC22941112,0.70228,Inactive
ZINC23355510,0.70127,Inactive
ZINC28963266,0.70029,Inactive
ZINC23083826,0.70021,Inactive
ZINC07263032,0.70015,Inactive
ZINC10303318,0.69853,Inactive
ZINC08635995,0.69843,Inactive
ZINC11976502,0.69601,Inactive
ZINC11595610,0.69471,Inactive
ZINC19271525,0.69384,Inactive
BDB50154767,0.69265,Active
ZINC28732631,0.69074,Inactive
ZINC12303010,0.6902,Inactive
ZINC12763607,0.69012,Inactive
ZINC08770113,0.68977,Inactive
ZINC14580560,0.68868,Inactive
ZINC05854430,0.68736,Inactive
ZINC32053007,0.68662,Inactive
ZINC03164188,0.68548,Inactive
ZINC26437444,0.68289,Inactive
ZINC08034249,0.68288,Inactive
ZINC14579656,0.68213,Inactive
ZINC14628876,0.68184,Inactive
ZINC09434565,0.68178,Inactive
ZINC22925023,0.68107,Inactive
ZINC21266414,0.68023,Inactive
ZINC03622014,0.6797,Inactive
ZINC15220939,0.67968,Inactive
ZINC10816288,0.67926,Inactive
ZINC23070454,0.67836,Inactive
ZINC01881732,0.67818,Inactive
ZINC27951779,0.67683,Inactive
ZINC19414595,0.67397,Inactive
ZINC13723202,0.67325,Inactive
ZINC22757168,0.67212,Inactive
ZINC01719779,0.67165,Inactive
ZINC30678639,0.67131,Inactive
ZINC19398044,0.66937,Inactive
ZINC05599514,0.66893,Inactive
BDB50055191,0.66754,Active
ZINC31938504,0.66617,Inactive
BDB50322767,0.6654,Active
BDB50039729,0.66495,Active
ZINC01300688,0.66493,Inactive
ZINC16998202,0.66456,Inactive
ZINC19735051,0.66427,Inactive
BDB50271517,0.66395,Active
ZINC14580621,0.66297,Inactive
ZINC29069574,0.66295,Inactive
BDB50055206,0.66251,Active
ZINC22934137,0.66137,Inactive
ZINC01734847,0.65996,Inactive
ZINC14577513,0.65874,Inactive
ZINC01694525,0.65859,Inactive
ZINC24407170,0.65839,Inactive
ZINC17129483,0.65727,Inactive
ZINC06372382,0.65647,Inactive
ZINC14579571,0.65539,Inactive
BDB9035,0.65505,Active
ZINC12150799,0.6541,Inactive
ZINC22842977,0.65186,Inactive
ZINC31959682,0.65102,Inactive
ZINC19146855,0.65054,Inactive
ZINC20906310,0.65045,Inactive
ZINC22016915,0.64921,Inactive
ZINC29656464,0.64916,Inactive
ZINC10312861,0.64842,Inactive
ZINC24404182,0.64799,Inactive
ZINC27218182,0.64673,Inactive
ZINC30670071,0.64657,Inactive
ZINC23336181,0.64571,Inactive
ZINC01726472,0.6455,Inactive
ZINC27221868,0.64535,Inactive
ZINC11651373,0.64445,Inactive
ZINC17318320,0.64317,Inactive
ZINC28566607,0.64281,Inactive
ZINC14578195,0.6427,Inactive
ZINC03190870,0.64236,Inactive
ZINC06491571,0.64233,Inactive
ZINC23089516,0.6422,Inactive
ZINC21287923,0.64207,Inactive
ZINC05535058,0.64172,Inactive
ZINC04932978,0.64161,Inactive
ZINC25142094,0.6412,Inactive
ZINC20911436,0.64039,Inactive
ZINC03271551,0.64024,Inactive
ZINC01833399,0.64,Inactive
ZINC24873595,0.63987,Inactive
ZINC29579912,0.63951,Inactive
ZINC29748576,0.63825,Inactive
ZINC16999617,0.63818,Inactive
ZINC06068511,0.63779,Inactive
ZINC01395286,0.63745,Inactive
ZINC31948790,0.63659,Inactive
ZINC05766861,0.63653,Inactive
BDB50055180,0.63599,Active
ZINC04238199,0.63577,Inactive
ZINC01717103,0.63563,Inactive
BDB50004018,0.63427,Active
ZINC30535411,0.63374,Inactive
ZINC14963796,0.63059,Inactive
ZINC28566623,0.62952,Inactive
ZINC03899077,0.62885,Inactive
ZINC05248968,0.62828,Inactive
ZINC11850636,0.62796,Inactive
ZINC00717259,0.62779,Inactive
ZINC00489876,0.62728,Inactive
ZINC25262457,0.62711,Inactive
ZINC11570049,0.62699,Inactive
ZINC31039582,0.62641,Inactive
ZINC21263947,0.62551,Inactive
ZINC06193087,0.62494,Inactive
ZINC12341355,0.62427,Inactive
ZINC15184843,0.62096,Inactive
ZINC14957768,0.6209,Inactive
ZINC30478759,0.61977,Inactive
ZINC21982990,0.61887,Inactive
BDB9012,0.6187,Active
BDB50055204,0.61771,Active
ZINC21395908,0.61557,Inactive
ZINC20906504,0.61525,Inactive
ZINC23174947,0.61508,Inactive
ZINC20839810,0.61455,Inactive
ZINC01689485,0.61439,Inactive
ZINC30914024,0.61227,Inactive
ZINC23247624,0.61155,Inactive
ZINC14740622,0.61104,Inactive
ZINC08698328,0.61061,Inactive
ZINC20538784,0.60992,Inactive
ZINC29853056,0.60909,Inactive
ZINC05996099,0.60908,Inactive
ZINC23145028,0.60831,Inactive
ZINC03355902,0.60828,Inactive
ZINC15223863,0.60748,Inactive
ZINC22944887,0.60746,Inactive
ZINC24529527,0.60745,Inactive
ZINC13732200,0.6074,Inactive
ZINC19866516,0.60735,Inactive
ZINC01721564,0.60679,Inactive
ZINC14972698,0.60671,Inactive
ZINC13038190,0.60648,Inactive
ZINC28855521,0.60589,Inactive
ZINC04094085,0.60539,Inactive
ZINC03832367,0.60494,Inactive
ZINC22450314,0.60482,Inactive
ZINC21861611,0.60472,Inactive
ZINC05380992,0.60417,Inactive
ZINC25149372,0.60337,Inactive
ZINC03604790,0.60217,Inactive
ZINC13745060,0.60126,Inactive
ZINC04536492,0.60027,Inactive
ZINC22447755,0.5997,Inactive
ZINC19866819,0.59961,Inactive
ZINC02795535,0.59942,Inactive
ZINC19384557,0.59921,Inactive
ZINC21746134,0.59904,Inactive
ZINC16477422,0.59767,Inactive
ZINC17302737,0.59547,Inactive
ZINC01516607,0.59532,Inactive
ZINC06196579,0.59496,Inactive
ZINC07991076,0.59464,Inactive
ZINC06878684,0.59411,Inactive
ZINC00114228,0.59381,Inactive
ZINC12298141,0.59376,Inactive
ZINC05401061,0.59322,Inactive
ZINC21511594,0.59241,Inactive
ZINC26907404,0.59206,Inactive
ZINC12031857,0.59173,Inactive
ZINC04940394,0.59158,Inactive
ZINC22886847,0.59099,Inactive
ZINC14579853,0.59079,Inactive
ZINC02584119,0.59042,Inactive
ZINC03355901,0.59025,Inactive
ZINC19274615,0.59015,Inactive
ZINC27044203,0.58991,Inactive
ZINC04774015,0.5891,Inactive
ZINC28035471,0.58839,Inactive
ZINC14185532,0.58753,Inactive
ZINC04923227,0.58707,Inactive
ZINC23090885,0.58675,Inactive
ZINC17426357,0.58643,Inactive
ZINC17036676,0.5863,Inactive
ZINC19971129,0.58579,Inactive
ZINC22445338,0.58528,Inactive
ZINC21238139,0.58501,Inactive
ZINC22845284,0.58497,Inactive
ZINC28032087,0.58491,Inactive
ZINC08757864,0.58394,Inactive
ZINC13601473,0.58276,Inactive
ZINC22050289,0.58231,Inactive
ZINC27987143,0.58222,Inactive
ZINC01662162,0.58212,Inactive
ZINC19967618,0.58109,Inactive
ZINC07745573,0.57905,Inactive
ZINC14173862,0.57689,Inactive
ZINC27261610,0.57536,Inactive
ZINC30916536,0.57527,Inactive
ZINC25486338,0.57512,Inactive
ZINC27171657,0.5736,Inactive
ZINC05650387,0.57313,Inactive
ZINC16195640,0.5727,Inactive
ZINC31373395,0.57177,Inactive
ZINC28961274,0.57125,Inactive
ZINC03614249,0.571,Inactive
ZINC10312968,0.57092,Inactive
ZINC20936997,0.57092,Inactive
ZINC03851025,0.57026,Inactive
ZINC20999737,0.56903,Inactive
ZINC12283189,0.56898,Inactive
ZINC06192971,0.56857,Inactive
ZINC31498244,0.56848,Inactive
ZINC22833219,0.56847,Inactive
ZINC31490423,0.5684,Inactive
ZINC19208308,0.56808,Inactive
ZINC03655847,0.56795,Inactive
ZINC14581095,0.56789,Inactive
ZINC13474311,0.56694,Inactive
ZINC20538283,0.56691,Inactive
ZINC11849730,0.56649,Inactive
ZINC28205352,0.56601,Inactive
ZINC21022137,0.5659,Inactive
ZINC05706052,0.56553,Inactive
ZINC14540340,0.56551,Inactive
ZINC14577531,0.56524,Inactive
BDB50004011,0.56452,Active
ZINC03242101,0.56423,Inactive
ZINC23169262,0.56198,Inactive
ZINC30633139,0.56163,Inactive
ZINC01669387,0.55944,Inactive
ZINC22851980,0.55909,Inactive
ZINC15165337,0.55894,Inactive
ZINC31182499,0.55848,Inactive
ZINC17022585,0.55773,Inactive
ZINC00967835,0.55735,Inactive
ZINC31430223,0.55699,Inactive
ZINC23686592,0.55583,Inactive
ZINC30913975,0.55574,Inactive
ZINC05306061,0.55516,Inactive
ZINC22574233,0.55501,Inactive
ZINC31554100,0.55494,Inactive
ZINC21022057,0.55391,Inactive
ZINC09863799,0.55363,Inactive
ZINC14580520,0.55341,Inactive
ZINC22582499,0.55285,Inactive
ZINC27926705,0.55222,Inactive
ZINC08643210,0.55168,Inactive
ZINC03737495,0.55051,Inactive
ZINC20148471,0.55031,Inactive
ZINC24102614,0.55008,Inactive
ZINC31778507,0.54995,Inactive
ZINC30909890,0.54889,Inactive
ZINC23265672,0.54832,Inactive
ZINC23358461,0.54778,Inactive
ZINC01756756,0.5464,Inactive
ZINC26305158,0.54462,Inactive
ZINC29579857,0.54439,Inactive
ZINC29631551,0.54425,Inactive
ZINC04013240,0.54417,Inactive
ZINC16080500,0.54408,Inactive
ZINC22448504,0.54407,Inactive
ZINC25337488,0.54403,Inactive
ZINC22947939,0.54371,Inactive
ZINC30060926,0.54314,Inactive
ZINC23031198,0.5419,Inactive
ZINC30026413,0.54143,Inactive
ZINC06383572,0.54134,Inactive
ZINC17036941,0.54127,Inactive
ZINC23336588,0.54068,Inactive
ZINC03655849,0.53922,Inactive
ZINC17027027,0.53922,Inactive
ZINC04535360,0.53917,Inactive
ZINC31432558,0.53903,Inactive
ZINC19962656,0.53879,Inactive
ZINC17219240,0.53866,Inactive
ZINC29655005,0.53857,Inactive
ZINC21934789,0.53809,Inactive
ZINC11880500,0.53797,Inactive
ZINC20109551,0.53751,Inactive
ZINC11765095,0.53713,Inactive
ZINC02026150,0.53706,Inactive
ZINC21647553,0.5364,Inactive
ZINC23424773,0.53601,Inactive
BDB50039721,0.53544,Active
ZINC22833298,0.53544,Inactive
ZINC00967188,0.53492,Inactive
ZINC03528771,0.53488,Inactive
ZINC11788453,0.53483,Inactive
ZINC20381514,0.53467,Inactive
ZINC14577468,0.53455,Inactive
ZINC22943715,0.5344,Inactive
ZINC21263079,0.53294,Inactive
ZINC23090124,0.53292,Inactive
ZINC23024678,0.53275,Inactive
ZINC30512577,0.53266,Inactive
ZINC25098092,0.5325,Inactive
ZINC01560443,0.53227,Inactive
ZINC20546447,0.53219,Inactive
ZINC16138012,0.53195,Inactive
ZINC28539714,0.53137,Inactive
ZINC20549159,0.53123,Inactive
ZINC11883529,0.53108,Inactive
ZINC23533177,0.53106,Inactive
ZINC30512105,0.52998,Inactive
ZINC06485290,0.52994,Inactive
ZINC02237732,0.52989,Inactive
ZINC05032017,0.52979,Inactive
ZINC22964085,0.52966,Inactive
ZINC16037016,0.52914,Inactive
ZINC05430849,0.52912,Inactive
ZINC16525344,0.52882,Inactive
ZINC09335928,0.52862,Inactive
ZINC02124396,0.5285,Inactive
ZINC01662163,0.52755,Inactive
ZINC20874764,0.52722,Inactive
ZINC01649671,0.52648,Inactive
ZINC02037001,0.52583,Inactive
ZINC31719468,0.52527,Inactive
ZINC07048797,0.52502,Inactive
ZINC28604230,0.52496,Inactive
ZINC31342724,0.52477,Inactive
ZINC23091097,0.52462,Inactive
ZINC21521946,0.52435,Inactive
ZINC23544048,0.5237,Inactive
ZINC24873873,0.5236,Inactive
ZINC05377861,0.52349,Inactive
ZINC12191537,0.52283,Inactive
ZINC32011422,0.5226,Inactive
ZINC23249221,0.52257,Inactive
ZINC23087035,0.52245,Inactive
ZINC30978055,0.52202,Inactive
ZINC07855678,0.52186,Inactive
ZINC17286273,0.52153,Inactive
ZINC12219030,0.52051,Inactive
BDB8961,0.52034,Active
ZINC12456778,0.51991,Inactive
ZINC31891114,0.51982,Inactive
ZINC03831911,0.51951,Inactive
ZINC12333478,0.51909,Inactive
BDB50271325,0.5186,Active
ZINC23260834,0.51799,Inactive
ZINC19972331,0.51751,Inactive
ZINC19575074,0.51523,Inactive
ZINC12176741,0.5151,Inactive
ZINC01435433,0.51494,Inactive
ZINC26506868,0.51493,Inactive
ZINC30909900,0.51379,Inactive
ZINC15185409,0.51297,Inactive
BDB50003996,0.51286,Active
ZINC05377908,0.51242,Inactive
ZINC19268309,0.5124,Inactive
BDB50318731,0.51222,Active
ZINC12457322,0.51196,Inactive
ZINC22051317,0.5107,Inactive
ZINC20842367,0.50974,Inactive
ZINC00408852,0.50821,Inactive
ZINC31555417,0.50797,Inactive
ZINC14973005,0.5079,Inactive
ZINC08764386,0.50771,Inactive
ZINC21806089,0.50744,Inactive
ZINC14970938,0.50738,Inactive
ZINC24102618,0.50722,Inactive
ZINC03957151,0.50707,Inactive
ZINC29454962,0.50697,Inactive
ZINC19300098,0.50691,Inactive
ZINC08397361,0.50686,Inactive
ZINC25486282,0.50677,Inactive
ZINC31897778,0.5066,Inactive
ZINC17283674,0.50609,Inactive
ZINC30913374,0.506,Inactive
ZINC28535559,0.50583,Inactive
ZINC02119239,0.50583,Inactive
ZINC16052186,0.50562,Inactive
ZINC22921789,0.5055,Inactive
ZINC16052777,0.50475,Inactive
ZINC01701190,0.50463,Inactive
ZINC08349828,0.50401,Inactive
ZINC29678637,0.50377,Inactive
ZINC19273119,0.50309,Inactive
ZINC19742996,0.50301,Inactive
ZINC05480945,0.50293,Inactive
ZINC22784456,0.50285,Inactive
ZINC14844822,0.50243,Inactive
ZINC21644767,0.50234,Inactive
ZINC28151389,0.50215,Inactive
ZINC12586861,0.50204,Inactive
ZINC13474315,0.50194,Inactive
ZINC05851615,0.50194,Inactive
ZINC22051504,0.50182,Inactive
ZINC04963114,0.50153,Inactive
ZINC21800292,0.50112,Inactive
ZINC23088183,0.50107,Inactive
ZINC14579198,0.5007,Inactive
ZINC28207551,0.50068,Inactive
ZINC14951001,0.50045,Inactive
BDB50008579,0.50038,Active
ZINC19843321,0.50027,Inactive
ZINC32077990,0.49988,Inactive
ZINC03722990,0.49937,Inactive
ZINC23310017,0.4993,Inactive
ZINC22830804,0.49897,Inactive
ZINC22419153,0.49885,Inactive
ZINC01803126,0.4987,Inactive
ZINC00383286,0.49842,Inactive
ZINC04213416,0.49819,Inactive
ZINC20153866,0.49719,Inactive
ZINC19319451,0.4967,Inactive
ZINC20949287,0.49594,Inactive
ZINC31881357,0.49547,Inactive
ZINC03635093,0.49479,Inactive
ZINC00188639,0.49479,Inactive
ZINC24970647,0.49466,Inactive
ZINC04106990,0.49454,Inactive
ZINC12472912,0.4945,Inactive
ZINC20814869,0.49447,Inactive
ZINC30902001,0.49443,Inactive
ZINC05119401,0.49436,Inactive
ZINC19366524,0.49428,Inactive
ZINC28960443,0.49427,Inactive
ZINC14579274,0.4938,Inactive
ZINC19901914,0.49219,Inactive
ZINC14970425,0.49198,Inactive
ZINC22050771,0.4917,Inactive
ZINC29759498,0.49119,Inactive
ZINC22034980,0.49071,Inactive
ZINC30678456,0.49036,Inactive
ZINC27716490,0.49016,Inactive
ZINC15675682,0.49015,Inactive
BDB50055162,0.48942,Active
ZINC01491969,0.48879,Inactive
ZINC19842331,0.48835,Inactive
