ID,Score,Real_Class
BDB50039729,0.636364,Active
BDB50004016,0.615385,Active
ZINC04980285,0.615385,Inactive
BDB50032163,0.6,Active
BDB50004018,0.583333,Active
BDB50004011,0.583333,Active
ZINC16999617,0.583333,Inactive
ZINC01286520,0.583333,Inactive
ZINC09663099,0.583333,Inactive
ZINC29655005,0.571429,Inactive
BDB50154767,0.538462,Active
ZINC20028580,0.538462,Inactive
ZINC20906310,0.538462,Inactive
ZINC04963114,0.538462,Inactive
ZINC05535058,0.538462,Inactive
ZINC22453262,0.5,Inactive
ZINC22845284,0.5,Inactive
ZINC12247351,0.5,Inactive
ZINC13644815,0.5,Inactive
ZINC14540340,0.5,Inactive
ZINC12476213,0.5,Inactive
ZINC15781182,0.5,Inactive
ZINC30913942,0.5,Inactive
ZINC19815123,0.5,Inactive
ZINC12472912,0.5,Inactive
ZINC04521975,0.5,Inactive
ZINC24970647,0.5,Inactive
ZINC07045095,0.5,Inactive
ZINC27720841,0.5,Inactive
ZINC24325212,0.5,Inactive
ZINC17307223,0.5,Inactive
ZINC31982969,0.5,Inactive
ZINC05650387,0.5,Inactive
ZINC14579571,0.466667,Inactive
ZINC22941112,0.466667,Inactive
ZINC28539197,0.466667,Inactive
ZINC13745060,0.466667,Inactive
ZINC15005406,0.466667,Inactive
ZINC21597376,0.466667,Inactive
BDB50110300,0.461538,Active
ZINC12572823,0.461538,Inactive
ZINC03253373,0.461538,Inactive
ZINC08757890,0.461538,Inactive
ZINC29464521,0.461538,Inactive
ZINC30661201,0.461538,Inactive
ZINC22050289,0.461538,Inactive
ZINC22419153,0.461538,Inactive
ZINC23145028,0.461538,Inactive
ZINC19167288,0.461538,Inactive
ZINC28141922,0.461538,Inactive
ZINC20546447,0.461538,Inactive
ZINC30652333,0.461538,Inactive
ZINC20549159,0.461538,Inactive
ZINC28855521,0.461538,Inactive
ZINC20840426,0.461538,Inactive
ZINC10303318,0.461538,Inactive
ZINC01803126,0.461538,Inactive
ZINC09117528,0.461538,Inactive
ZINC22886847,0.454545,Inactive
ZINC19273119,0.454545,Inactive
ZINC14628876,0.454545,Inactive
ZINC04536492,0.454545,Inactive
ZINC09434565,0.454545,Inactive
ZINC29759498,0.444444,Inactive
BDB9035,0.4375,Active
ZINC14578195,0.4375,Inactive
ZINC05742097,0.4375,Inactive
BDB50271324,0.428571,Active
ZINC25142094,0.428571,Inactive
ZINC30909898,0.428571,Inactive
ZINC22051317,0.428571,Inactive
ZINC20240878,0.428571,Inactive
ZINC01881732,0.428571,Inactive
ZINC12456764,0.428571,Inactive
ZINC16080500,0.428571,Inactive
ZINC28540737,0.428571,Inactive
ZINC22051504,0.428571,Inactive
ZINC17195882,0.428571,Inactive
ZINC12410393,0.428571,Inactive
ZINC30026413,0.428571,Inactive
ZINC02446764,0.428571,Inactive
ZINC31802604,0.428571,Inactive
ZINC20480904,0.428571,Inactive
ZINC16477422,0.428571,Inactive
ZINC19742953,0.428571,Inactive
ZINC14752749,0.428571,Inactive
ZINC26746246,0.428571,Inactive
ZINC30653715,0.428571,Inactive
ZINC15550566,0.428571,Inactive
ZINC21309280,0.428571,Inactive
ZINC20556022,0.428571,Inactive
ZINC19873978,0.428571,Inactive
ZINC19970484,0.428571,Inactive
ZINC20439332,0.428571,Inactive
ZINC00658044,0.428571,Inactive
ZINC24208506,0.428571,Inactive
ZINC12763607,0.428571,Inactive
ZINC11298007,0.428571,Inactive
BDB50008578,0.416667,Active
BDB50055206,0.416667,Active
ZINC16998202,0.416667,Inactive
ZINC17036676,0.416667,Inactive
ZINC31847294,0.416667,Inactive
ZINC14580721,0.416667,Inactive
ZINC20685671,0.416667,Inactive
ZINC04086826,0.416667,Inactive
ZINC21238139,0.416667,Inactive
ZINC03635093,0.416667,Inactive
ZINC14740622,0.416667,Inactive
ZINC00188639,0.416667,Inactive
ZINC05380992,0.416667,Inactive
ZINC03719751,0.416667,Inactive
ZINC21487112,0.416667,Inactive
ZINC28963266,0.416667,Inactive
ZINC04238199,0.416667,Inactive
ZINC04487018,0.416667,Inactive
ZINC06233165,0.416667,Inactive
ZINC00717259,0.416667,Inactive
ZINC23644685,0.416667,Inactive
ZINC05255847,0.416667,Inactive
ZINC05356577,0.416667,Inactive
ZINC31670521,0.416667,Inactive
ZINC23559877,0.416667,Inactive
ZINC16195640,0.411765,Inactive
BDB50271325,0.4,Active
ZINC16184544,0.4,Inactive
ZINC02963959,0.4,Inactive
ZINC27261610,0.4,Inactive
ZINC07455836,0.4,Inactive
ZINC27843497,0.4,Inactive
ZINC23333008,0.4,Inactive
ZINC20873908,0.4,Inactive
ZINC27693058,0.4,Inactive
ZINC09216767,0.4,Inactive
ZINC27044203,0.4,Inactive
ZINC12471753,0.4,Inactive
ZINC02584119,0.4,Inactive
ZINC05032017,0.4,Inactive
ZINC13140493,0.4,Inactive
ZINC31925057,0.4,Inactive
ZINC05780483,0.4,Inactive
ZINC16665197,0.4,Inactive
ZINC16346348,0.4,Inactive
ZINC31872316,0.4,Inactive
ZINC24916165,0.4,Inactive
BDB50008579,0.384615,Active
ZINC05852740,0.384615,Inactive
ZINC24873873,0.384615,Inactive
ZINC14578396,0.384615,Inactive
ZINC14963796,0.384615,Inactive
ZINC15068876,0.384615,Inactive
ZINC25187328,0.384615,Inactive
ZINC05306061,0.384615,Inactive
ZINC05706052,0.384615,Inactive
ZINC31948790,0.384615,Inactive
ZINC05908373,0.384615,Inactive
ZINC02124396,0.384615,Inactive
ZINC04106990,0.384615,Inactive
ZINC23070454,0.384615,Inactive
ZINC30478759,0.384615,Inactive
ZINC03878372,0.384615,Inactive
ZINC11521247,0.384615,Inactive
ZINC15165337,0.384615,Inactive
ZINC20586195,0.384615,Inactive
ZINC05593958,0.384615,Inactive
ZINC11851222,0.384615,Inactive
ZINC26628721,0.384615,Inactive
ZINC26907404,0.384615,Inactive
ZINC01394341,0.384615,Inactive
ZINC26437444,0.384615,Inactive
ZINC15064614,0.384615,Inactive
ZINC19882593,0.384615,Inactive
ZINC30136969,0.384615,Inactive
ZINC03722990,0.384615,Inactive
ZINC19968131,0.384615,Inactive
ZINC03314813,0.384615,Inactive
ZINC25961486,0.384615,Inactive
ZINC13995235,0.384615,Inactive
ZINC08855353,0.384615,Inactive
ZINC21919154,0.384615,Inactive
ZINC23890623,0.384615,Inactive
ZINC01701190,0.384615,Inactive
ZINC13601473,0.384615,Inactive
BDB50318731,0.375,Active
BDB8965,0.375,Active
BDB50039721,0.375,Active
BDB50271192,0.375,Active
ZINC31494368,0.375,Inactive
ZINC08635995,0.375,Inactive
ZINC27218182,0.375,Inactive
ZINC16954126,0.375,Inactive
ZINC20153866,0.375,Inactive
ZINC14581095,0.375,Inactive
ZINC19366524,0.375,Inactive
ZINC22943715,0.375,Inactive
ZINC31149824,0.375,Inactive
ZINC22944887,0.375,Inactive
ZINC05741820,0.375,Inactive
ZINC20936989,0.375,Inactive
ZINC24735251,0.375,Inactive
ZINC22784456,0.375,Inactive
ZINC30536141,0.375,Inactive
ZINC31182499,0.375,Inactive
ZINC32016637,0.375,Inactive
ZINC28539714,0.368421,Inactive
ZINC06196579,0.363636,Inactive
ZINC17036941,0.363636,Inactive
ZINC24404182,0.363636,Inactive
ZINC03899077,0.363636,Inactive
ZINC01689485,0.363636,Inactive
ZINC30030114,0.363636,Inactive
ZINC00967828,0.363636,Inactive
ZINC08698328,0.363636,Inactive
ZINC11535741,0.363636,Inactive
ZINC03269728,0.363636,Inactive
ZINC01669387,0.363636,Inactive
ZINC01856507,0.363636,Inactive
ZINC16183798,0.363636,Inactive
ZINC20340495,0.363636,Inactive
ZINC07745573,0.363636,Inactive
ZINC31731897,0.363636,Inactive
ZINC04094085,0.363636,Inactive
ZINC23533177,0.363636,Inactive
ZINC03812960,0.363636,Inactive
ZINC04923227,0.363636,Inactive
BDB9054,0.357143,Active
BDB50055163,0.357143,Active
ZINC14947234,0.357143,Inactive
ZINC32024813,0.357143,Inactive
ZINC22833298,0.357143,Inactive
ZINC30670063,0.357143,Inactive
ZINC22448504,0.357143,Inactive
ZINC17222870,0.357143,Inactive
ZINC32011422,0.357143,Inactive
ZINC13323894,0.357143,Inactive
ZINC22445338,0.357143,Inactive
ZINC30978055,0.357143,Inactive
ZINC27096324,0.357143,Inactive
ZINC12150799,0.357143,Inactive
ZINC26305158,0.357143,Inactive
ZINC07855678,0.357143,Inactive
ZINC17129483,0.357143,Inactive
ZINC19971377,0.357143,Inactive
ZINC06093995,0.357143,Inactive
ZINC12341355,0.357143,Inactive
ZINC19200219,0.357143,Inactive
ZINC27796293,0.357143,Inactive
ZINC14972698,0.357143,Inactive
ZINC20264684,0.357143,Inactive
ZINC26160914,0.357143,Inactive
ZINC12191537,0.357143,Inactive
ZINC30060926,0.357143,Inactive
ZINC27171657,0.357143,Inactive
ZINC05248968,0.357143,Inactive
ZINC03614249,0.357143,Inactive
ZINC20593114,0.357143,Inactive
ZINC08612376,0.357143,Inactive
ZINC12300388,0.357143,Inactive
ZINC22851980,0.357143,Inactive
ZINC25666042,0.357143,Inactive
ZINC31498069,0.357143,Inactive
ZINC29872521,0.357143,Inactive
ZINC26506242,0.357143,Inactive
ZINC20874764,0.352941,Inactive
ZINC22050771,0.352941,Inactive
ZINC03655847,0.352941,Inactive
ZINC08764386,0.352941,Inactive
BDB50055191,0.333333,Active
BDB50055185,0.333333,Active
BDB50055180,0.333333,Active
ZINC03355901,0.333333,Inactive
ZINC13732200,0.333333,Inactive
ZINC14577468,0.333333,Inactive
ZINC31881357,0.333333,Inactive
ZINC06878684,0.333333,Inactive
ZINC12566502,0.333333,Inactive
ZINC11523932,0.333333,Inactive
ZINC23424773,0.333333,Inactive
ZINC24102612,0.333333,Inactive
ZINC27219526,0.333333,Inactive
ZINC02639624,0.333333,Inactive
ZINC09288394,0.333333,Inactive
ZINC30661296,0.333333,Inactive
ZINC01833399,0.333333,Inactive
ZINC02410771,0.333333,Inactive
ZINC30661134,0.333333,Inactive
ZINC14882493,0.333333,Inactive
ZINC01836026,0.333333,Inactive
ZINC10668160,0.333333,Inactive
