ID,Score,Real_Class
ZINC29464521,6.73427768319,Inactive
ZINC17195882,6.72706985895,Inactive
ZINC30670063,6.69259199244,Inactive
ZINC16052777,6.64099851207,Inactive
ZINC13644815,6.63765234777,Inactive
ZINC22941112,6.63581289334,Inactive
ZINC20685667,6.63149730565,Inactive
ZINC28540737,6.62955682802,Inactive
ZINC15005406,6.62569251451,Inactive
ZINC04282782,6.61510283734,Inactive
BDB50004016,6.60602493451,Active
ZINC30909898,6.60577487474,Inactive
ZINC16954126,6.60286320053,Inactive
ZINC12247351,6.58443336918,Inactive
ZINC30913942,6.57815514475,Inactive
ZINC01881732,6.54320071157,Inactive
ZINC23336181,6.52688257613,Inactive
BDB50318738,6.52035201036,Active
ZINC31050984,6.51961252603,Inactive
ZINC28539197,6.51959188554,Inactive
ZINC23333008,6.50957028159,Inactive
ZINC30914024,6.49721086053,Inactive
ZINC17222870,6.49614938774,Inactive
ZINC30669535,6.49158680667,Inactive
ZINC11298007,6.48835284951,Inactive
ZINC14957768,6.48627065808,Inactive
ZINC04774015,6.4770792142,Inactive
ZINC04256843,6.47031079147,Inactive
ZINC09680880,6.46930651138,Inactive
BDB9054,6.46526601702,Active
BDB50322767,6.46062805243,Active
ZINC30914010,6.45550701428,Inactive
ZINC11880500,6.45047419239,Inactive
ZINC01836026,6.4469613822,Inactive
ZINC08757890,6.44338706228,Inactive
ZINC31542139,6.44298438934,Inactive
ZINC20153670,6.43097643278,Inactive
ZINC14965255,6.42556959921,Inactive
ZINC30661201,6.42536652822,Inactive
ZINC01833399,6.42479304659,Inactive
ZINC30661296,6.42246305788,Inactive
ZINC15550566,6.41722030065,Inactive
BDB50265255,6.41654745499,Active
ZINC30639808,6.41575984846,Inactive
ZINC16999617,6.41457729497,Inactive
BDB13544,6.40417101449,Active
ZINC02950100,6.4037302661,Inactive
ZINC22450308,6.40348378778,Inactive
BDB50154767,6.3994125141,Active
ZINC25486282,6.39561182225,Inactive
ZINC17307223,6.39534015319,Inactive
ZINC19842331,6.39313401616,Inactive
ZINC27843497,6.38445595284,Inactive
ZINC27221868,6.38246761678,Inactive
ZINC00154689,6.37808237528,Inactive
BDB50271517,6.37782320528,Active
ZINC22450314,6.37550066469,Inactive
BDB50271192,6.37444265173,Active
ZINC22450321,6.37268698837,Inactive
ZINC30026413,6.37188621696,Inactive
BDB50032163,6.36682034241,Active
ZINC23335056,6.36567613931,Inactive
ZINC08757864,6.35937569338,Inactive
ZINC30669543,6.35848035301,Inactive
BDB50004011,6.35648940747,Active
ZINC12191537,6.35437444347,Inactive
ZINC22943711,6.35372614594,Inactive
ZINC16957638,6.35352451191,Inactive
ZINC30478759,6.35349450299,Inactive
ZINC32011422,6.35227428661,Inactive
ZINC30661134,6.35227074862,Inactive
ZINC31494368,6.35108531724,Inactive
ZINC22944887,6.35082617437,Inactive
ZINC05032017,6.35023843711,Inactive
ZINC02410771,6.34708877249,Inactive
ZINC30536141,6.3467682211,Inactive
ZINC08764386,6.34619219503,Inactive
ZINC14036261,6.3448015746,Inactive
ZINC28140904,6.33985652764,Inactive
ZINC27693058,6.33451343377,Inactive
ZINC30914022,6.33412313292,Inactive
ZINC24735251,6.33237676724,Inactive
ZINC30670071,6.33104495318,Inactive
ZINC24873873,6.32985066164,Inactive
ZINC11651373,6.32697516827,Inactive
BDB50039729,6.32572548015,Active
ZINC32024813,6.32317217273,Inactive
ZINC32053007,6.32314248281,Inactive
ZINC30669579,6.32217766223,Inactive
BDB50271325,6.32147825804,Active
ZINC15001218,6.3207815769,Inactive
ZINC02889781,6.31850856576,Inactive
ZINC30909900,6.31823779626,Inactive
ZINC21649577,6.31772652154,Inactive
ZINC25142094,6.31720395214,Inactive
ZINC23089516,6.3164536189,Inactive
BDB9012,6.31535112997,Active
ZINC08448564,6.31513736719,Inactive
ZINC31334671,6.31398378742,Inactive
ZINC23424773,6.31086269676,Inactive
ZINC09216767,6.31068968049,Inactive
ZINC22445338,6.31044252921,Inactive
ZINC26086511,6.31014752148,Inactive
ZINC16978086,6.30964415378,Inactive
ZINC27716490,6.30633729419,Inactive
ZINC23336588,6.305793689,Inactive
ZINC03253373,6.30333978112,Inactive
ZINC22943715,6.30254466093,Inactive
ZINC27987143,6.30155053932,Inactive
BDB50271473,6.30130968097,Active
ZINC23249221,6.30089357298,Inactive
ZINC20874764,6.29812046836,Inactive
ZINC22934141,6.29753025496,Inactive
ZINC25486338,6.29693203509,Inactive
ZINC23355510,6.29632856382,Inactive
ZINC03327993,6.29470221537,Inactive
ZINC30978055,6.29421014526,Inactive
BDB50166995,6.29303413659,Active
ZINC31149824,6.29050566215,Inactive
ZINC30669368,6.29009861494,Inactive
ZINC22784456,6.29001649995,Inactive
ZINC20153866,6.28976235912,Inactive
ZINC32016637,6.28933553214,Inactive
ZINC31430223,6.28926729,Inactive
ZINC14578422,6.28834044057,Inactive
ZINC22447755,6.2881753636,Inactive
ZINC03655847,6.287402792,Inactive
ZINC22934137,6.28673853332,Inactive
ZINC28603956,6.28651319036,Inactive
ZINC12333478,6.28367489838,Inactive
ZINC15594492,6.28310521398,Inactive
ZINC08983684,6.28203081751,Inactive
ZINC14580621,6.28141909256,Inactive
ZINC12456764,6.28121647106,Inactive
ZINC03440683,6.2811506188,Inactive
ZINC26961187,6.28049886019,Inactive
ZINC29036620,6.2801495614,Inactive
ZINC24873595,6.27903111781,Inactive
ZINC09117528,6.27772062556,Inactive
ZINC19742953,6.27576564574,Inactive
ZINC12763607,6.27538905955,Inactive
ZINC21597376,6.27529686901,Inactive
ZINC29655005,6.27315694183,Inactive
ZINC24874049,6.27021719314,Inactive
ZINC14578195,6.26973754889,Inactive
BDB50004018,6.26896925812,Active
ZINC30902406,6.26854899902,Inactive
ZINC03878372,6.2678421028,Inactive
ZINC11523932,6.26707670755,Inactive
ZINC03355902,6.26631394845,Inactive
ZINC01701376,6.26526912666,Inactive
ZINC28754722,6.26455192104,Inactive
ZINC03242101,6.26408370191,Inactive
ZINC12566502,6.26396087053,Inactive
ZINC29122726,6.26339350155,Inactive
ZINC23247624,6.26315186058,Inactive
ZINC20075893,6.26184136727,Inactive
ZINC11786096,6.26047987119,Inactive
ZINC31847294,6.260203315,Inactive
ZINC22448504,6.25985273814,Inactive
ZINC15431147,6.25974825132,Inactive
ZINC04980285,6.25932936945,Inactive
ZINC21934789,6.25860833506,Inactive
ZINC30909890,6.25851143371,Inactive
ZINC27219526,6.25709022117,Inactive
ZINC28539714,6.25657321844,Inactive
ZINC12150799,6.2554686358,Inactive
ZINC28623367,6.25483337598,Inactive
ZINC08770113,6.25371449987,Inactive
ZINC12629051,6.25079459771,Inactive
ZINC14946789,6.25002553828,Inactive
ZINC22050116,6.24935524167,Inactive
ZINC31182499,6.24926327428,Inactive
ZINC22050289,6.24923357639,Inactive
ZINC20836773,6.24914169509,Inactive
ZINC28960443,6.24821192679,Inactive
ZINC27926705,6.24738725802,Inactive
ZINC14844822,6.24711751388,Inactive
ZINC31039582,6.24689549254,Inactive
ZINC14972698,6.24675672056,Inactive
ZINC16080500,6.24666657057,Inactive
ZINC03831911,6.24599917109,Inactive
ZINC14579571,6.24571832874,Inactive
ZINC24102612,6.24522686301,Inactive
ZINC05852740,6.24442621827,Inactive
ZINC19366524,6.24080264658,Inactive
ZINC05742097,6.24073674721,Inactive
ZINC12298141,6.24056786259,Inactive
ZINC29792488,6.24046440984,Inactive
ZINC20556022,6.24002573162,Inactive
ZINC16477422,6.23857965766,Inactive
ZINC13757750,6.2379650479,Inactive
ZINC03722990,6.23699483441,Inactive
ZINC20109551,6.23632845385,Inactive
ZINC19268309,6.2355199367,Inactive
ZINC04156196,6.23527207351,Inactive
ZINC22419153,6.23519504084,Inactive
ZINC00863053,6.23518487717,Inactive
ZINC05599514,6.23443663733,Inactive
ZINC16665197,6.23404890521,Inactive
ZINC30512577,6.23354062517,Inactive
ZINC29069574,6.23340570745,Inactive
BDB50032161,6.23323941663,Active
ZINC05834350,6.23294959348,Inactive
ZINC14961728,6.23215241031,Inactive
ZINC05377908,6.23176166224,Inactive
ZINC24905283,6.23088058478,Inactive
ZINC31394798,6.22963622844,Inactive
ZINC06193399,6.22912122131,Inactive
BDB8965,6.22847895055,Active
ZINC08757859,6.22707533739,Inactive
ZINC14943514,6.22700799137,Inactive
ZINC11788453,6.22660031759,Inactive
ZINC21487112,6.22519793729,Inactive
ZINC11785587,6.22492459177,Inactive
ZINC14580721,6.22470201057,Inactive
