ID,Score,Real_Class
BDB50032163,14.1,Active
BDB50004016,14.1,Active
BDB50154767,13.9,Active
BDB50004018,13.2,Active
BDB50039729,13,Active
BDB50004011,12.5,Active
ZINC29464521,12.2,Inactive
ZINC14957768,12,Inactive
ZINC31050984,12,Inactive
ZINC16052777,11.9,Inactive
ZINC12247351,11.8,Inactive
ZINC31039582,11.8,Inactive
ZINC30040342,11.7,Inactive
ZINC31182499,11.7,Inactive
ZINC17195882,11.6,Inactive
ZINC08764386,11.5,Inactive
ZINC03722990,11.5,Inactive
ZINC12763607,11.4,Inactive
ZINC14579571,11.3,Inactive
ZINC08757890,11.2,Inactive
ZINC19268309,11.2,Inactive
ZINC23355510,11.2,Inactive
ZINC29792488,11.2,Inactive
ZINC11880500,11.2,Inactive
ZINC10060133,11.1,Inactive
ZINC28754722,11,Inactive
ZINC27044203,11,Inactive
ZINC04282782,11,Inactive
ZINC09117528,11,Inactive
ZINC30669368,10.9,Inactive
ZINC22851980,10.9,Inactive
ZINC14965255,10.8,Inactive
ZINC12150799,10.8,Inactive
ZINC12300388,10.8,Inactive
ZINC14578195,10.7,Inactive
ZINC30913374,10.7,Inactive
ZINC14577513,10.7,Inactive
ZINC26437444,10.7,Inactive
ZINC12471753,10.7,Inactive
ZINC03271551,10.6,Inactive
ZINC20153670,10.6,Inactive
ZINC22941112,10.6,Inactive
ZINC24735251,10.6,Inactive
ZINC30026413,10.6,Inactive
ZINC29631551,10.6,Inactive
ZINC31802604,10.6,Inactive
ZINC20639794,10.6,Inactive
ZINC11855795,10.6,Inactive
ZINC12456764,10.5,Inactive
ZINC13723202,10.5,Inactive
ZINC26086511,10.5,Inactive
ZINC19742996,10.5,Inactive
ZINC19842331,10.5,Inactive
ZINC09680880,10.4,Inactive
ZINC31149824,10.4,Inactive
ZINC01833399,10.4,Inactive
ZINC01836026,10.4,Inactive
ZINC11976502,10.4,Inactive
ZINC04980285,10.4,Inactive
ZINC27720841,10.4,Inactive
ZINC23016064,10.4,Inactive
BDB50008578,10.3,Active
ZINC08770129,10.3,Inactive
ZINC20685667,10.3,Inactive
ZINC27221868,10.3,Inactive
ZINC12219030,10.3,Inactive
ZINC25943080,10.3,Inactive
ZINC22784456,10.3,Inactive
ZINC30536141,10.3,Inactive
ZINC20340495,10.3,Inactive
ZINC00114228,10.3,Inactive
ZINC28855521,10.3,Inactive
ZINC08612376,10.3,Inactive
ZINC07045095,10.3,Inactive
ZINC14581095,10.2,Inactive
ZINC25486282,10.2,Inactive
ZINC27481430,10.2,Inactive
ZINC09216767,10.2,Inactive
ZINC08349828,10.2,Inactive
ZINC29759498,10.2,Inactive
ZINC07048797,10.2,Inactive
BDB50032161,10.1,Active
ZINC14577531,10.1,Inactive
ZINC24873873,10.1,Inactive
ZINC08983684,10.1,Inactive
ZINC22450314,10.1,Inactive
ZINC30669535,10.1,Inactive
ZINC22845284,10.1,Inactive
ZINC30661201,10.1,Inactive
ZINC20480904,10.1,Inactive
ZINC30914022,10.1,Inactive
ZINC07745573,10.1,Inactive
ZINC09663099,10.1,Inactive
ZINC29069574,10.1,Inactive
ZINC30914010,10,Inactive
ZINC03242101,10,Inactive
ZINC25337488,10,Inactive
ZINC23795918,10,Inactive
ZINC12488669,10,Inactive
ZINC23145028,10,Inactive
ZINC30478759,10,Inactive
ZINC27716490,10,Inactive
ZINC14581021,10,Inactive
ZINC23541817,10,Inactive
ZINC21934789,10,Inactive
ZINC00717259,10,Inactive
ZINC11298007,10,Inactive
BDB9035,9.9,Active
BDB50271517,9.9,Active
ZINC13474311,9.9,Inactive
ZINC03253373,9.9,Inactive
ZINC30978055,9.9,Inactive
ZINC23336588,9.9,Inactive
ZINC17036941,9.9,Inactive
ZINC14951001,9.9,Inactive
ZINC21649577,9.9,Inactive
ZINC17027027,9.9,Inactive
ZINC03528771,9.9,Inactive
ZINC07455836,9.9,Inactive
ZINC11785587,9.9,Inactive
ZINC14972698,9.9,Inactive
ZINC20546447,9.9,Inactive
ZINC22016915,9.9,Inactive
ZINC14173862,9.9,Inactive
ZINC23686592,9.9,Inactive
ZINC00658044,9.9,Inactive
ZINC24208506,9.9,Inactive
ZINC07771036,9.9,Inactive
ZINC16665197,9.9,Inactive
ZINC24916165,9.9,Inactive
BDB50039721,9.8,Active
ZINC20153866,9.8,Inactive
ZINC22447755,9.8,Inactive
ZINC15431147,9.8,Inactive
ZINC14956560,9.8,Inactive
ZINC16997519,9.8,Inactive
ZINC16195640,9.8,Inactive
ZINC27261610,9.8,Inactive
ZINC30639808,9.8,Inactive
ZINC02856677,9.8,Inactive
ZINC02795535,9.8,Inactive
ZINC19873978,9.8,Inactive
ZINC19968131,9.8,Inactive
ZINC13140493,9.8,Inactive
ZINC10303318,9.8,Inactive
ZINC20836773,9.8,Inactive
ZINC13038190,9.8,Inactive
ZINC13601473,9.8,Inactive
ZINC22830804,9.7,Inactive
ZINC28960443,9.7,Inactive
ZINC22833219,9.7,Inactive
ZINC13644815,9.7,Inactive
ZINC24905283,9.7,Inactive
ZINC09335928,9.7,Inactive
ZINC31851886,9.7,Inactive
ZINC04131581,9.7,Inactive
ZINC26906860,9.7,Inactive
ZINC30913942,9.7,Inactive
ZINC19384557,9.7,Inactive
ZINC30652333,9.7,Inactive
ZINC30136969,9.7,Inactive
ZINC04940394,9.7,Inactive
ZINC11651373,9.7,Inactive
ZINC29991393,9.7,Inactive
BDB9012,9.6,Active
ZINC16184544,9.6,Inactive
ZINC30670063,9.6,Inactive
ZINC08757864,9.6,Inactive
ZINC02627186,9.6,Inactive
ZINC14580621,9.6,Inactive
ZINC11786096,9.6,Inactive
ZINC23247624,9.6,Inactive
ZINC05377908,9.6,Inactive
ZINC11919698,9.6,Inactive
ZINC16477422,9.6,Inactive
ZINC14185532,9.6,Inactive
ZINC15675682,9.6,Inactive
ZINC30653715,9.6,Inactive
ZINC26752538,9.6,Inactive
ZINC16363432,9.6,Inactive
ZINC07815160,9.6,Inactive
ZINC21861611,9.6,Inactive
BDB50110300,9.5,Active
ZINC04158033,9.5,Inactive
ZINC14580560,9.5,Inactive
ZINC30909898,9.5,Inactive
ZINC24874049,9.5,Inactive
ZINC22842977,9.5,Inactive
ZINC22757168,9.5,Inactive
ZINC11998057,9.5,Inactive
ZINC14844822,9.5,Inactive
ZINC13745060,9.5,Inactive
ZINC01286520,9.5,Inactive
ZINC06093995,9.5,Inactive
ZINC19200219,9.5,Inactive
ZINC23335056,9.5,Inactive
ZINC15873454,9.5,Inactive
ZINC03878372,9.5,Inactive
ZINC19971031,9.5,Inactive
ZINC21521946,9.5,Inactive
ZINC25262457,9.5,Inactive
ZINC30060926,9.5,Inactive
ZINC21487112,9.5,Inactive
ZINC20549159,9.5,Inactive
ZINC31498069,9.5,Inactive
ZINC18320600,9.5,Inactive
BDB50322767,9.4,Active
BDB50271473,9.4,Active
BDB50271192,9.4,Active
ZINC03831911,9.4,Inactive
ZINC30909900,9.4,Inactive
ZINC14578396,9.4,Inactive
ZINC03655847,9.4,Inactive
ZINC30909890,9.4,Inactive
ZINC22944887,9.4,Inactive
ZINC05741820,9.4,Inactive
ZINC21647553,9.4,Inactive
ZINC26024896,9.4,Inactive
ZINC23333008,9.4,Inactive
ZINC01719779,9.4,Inactive
ZINC19146855,9.4,Inactive
ZINC11294223,9.4,Inactive
ZINC21806089,9.4,Inactive
ZINC02324007,9.4,Inactive
ZINC31731897,9.4,Inactive
ZINC31542139,9.4,Inactive
ZINC18067901,9.4,Inactive
ZINC22833298,9.3,Inactive
ZINC08757859,9.3,Inactive
ZINC23424773,9.3,Inactive
ZINC13785928,9.3,Inactive
ZINC19366524,9.3,Inactive
ZINC12830422,9.3,Inactive
ZINC23336181,9.3,Inactive
ZINC17283674,9.3,Inactive
ZINC24904249,9.3,Inactive
ZINC24873595,9.3,Inactive
ZINC01836027,9.3,Inactive
ZINC14961728,9.3,Inactive
ZINC11765095,9.3,Inactive
ZINC30030114,9.3,Inactive
ZINC24443488,9.3,Inactive
ZINC02008996,9.3,Inactive
ZINC11278495,9.3,Inactive
ZINC28141922,9.3,Inactive
ZINC26123993,9.3,Inactive
ZINC24329249,9.3,Inactive
ZINC23260834,9.3,Inactive
ZINC29541380,9.3,Inactive
ZINC03655849,9.2,Inactive
ZINC01491969,9.2,Inactive
ZINC22450321,9.2,Inactive
ZINC14950930,9.2,Inactive
ZINC03120079,9.2,Inactive
ZINC30978122,9.2,Inactive
ZINC27096324,9.2,Inactive
ZINC12283189,9.2,Inactive
ZINC29989001,9.2,Inactive
ZINC14314020,9.2,Inactive
ZINC19317648,9.2,Inactive
ZINC20906310,9.2,Inactive
ZINC19882593,9.2,Inactive
ZINC26938851,9.2,Inactive
ZINC27926705,9.2,Inactive
ZINC05780483,9.2,Inactive
ZINC06134839,9.2,Inactive
ZINC25142094,9.1,Inactive
ZINC20233384,9.1,Inactive
ZINC10312968,9.1,Inactive
ZINC22051317,9.1,Inactive
ZINC30914024,9.1,Inactive
ZINC13323894,9.1,Inactive
ZINC23249221,9.1,Inactive
ZINC27219526,9.1,Inactive
ZINC12333478,9.1,Inactive
ZINC30669579,9.1,Inactive
ZINC22051504,9.1,Inactive
ZINC02950100,9.1,Inactive
ZINC20919926,9.1,Inactive
ZINC26305158,9.1,Inactive
ZINC01690486,9.1,Inactive
ZINC26082192,9.1,Inactive
ZINC30902406,9.1,Inactive
ZINC06144608,9.1,Inactive
ZINC21800292,9.1,Inactive
ZINC29122726,9.1,Inactive
ZINC24943558,9.1,Inactive
ZINC21597376,9.1,Inactive
ZINC29853056,9.1,Inactive
ZINC28539714,9.1,Inactive
ZINC26506242,9.1,Inactive
ZINC32053007,9,Inactive
ZINC03440683,9,Inactive
ZINC12572823,9,Inactive
ZINC04156196,9,Inactive
ZINC20874764,9,Inactive
ZINC27987143,9,Inactive
ZINC22050771,9,Inactive
ZINC22450308,9,Inactive
ZINC27246815,9,Inactive
ZINC25149372,9,Inactive
ZINC14580520,9,Inactive
ZINC03815673,9,Inactive
ZINC30661134,9,Inactive
ZINC20936989,9,Inactive
ZINC12303010,9,Inactive
ZINC19971377,9,Inactive
ZINC23070454,9,Inactive
ZINC11849730,9,Inactive
ZINC27843497,9,Inactive
ZINC11887184,9,Inactive
ZINC12191537,9,Inactive
ZINC27171657,9,Inactive
ZINC27593076,9,Inactive
ZINC09427641,9,Inactive
ZINC01496473,9,Inactive
ZINC04213416,9,Inactive
ZINC02806203,9,Inactive
ZINC14964932,9,Inactive
ZINC28732631,9,Inactive
BDB50003996,8.9,Active
ZINC03635843,8.9,Inactive
ZINC14579853,8.9,Inactive
ZINC16999617,8.9,Inactive
ZINC27696814,8.9,Inactive
ZINC08926031,8.9,Inactive
ZINC30661296,8.9,Inactive
ZINC20028580,8.9,Inactive
ZINC15001218,8.9,Inactive
ZINC27693058,8.9,Inactive
ZINC30916536,8.9,Inactive
ZINC16183798,8.9,Inactive
ZINC01394341,8.9,Inactive
ZINC12472912,8.9,Inactive
ZINC12611729,8.9,Inactive
ZINC20840426,8.9,Inactive
ZINC31925057,8.9,Inactive
ZINC23644685,8.9,Inactive
ZINC27628651,8.9,Inactive
ZINC29872521,8.9,Inactive
ZINC31670521,8.9,Inactive
ZINC04774015,8.8,Inactive
ZINC16957638,8.8,Inactive
ZINC16080500,8.8,Inactive
ZINC13573936,8.8,Inactive
ZINC20936997,8.8,Inactive
ZINC22582499,8.8,Inactive
ZINC14740622,8.8,Inactive
ZINC00967828,8.8,Inactive
ZINC04009383,8.8,Inactive
ZINC20873908,8.8,Inactive
ZINC12421523,8.8,Inactive
ZINC20210820,8.8,Inactive
ZINC31171364,8.8,Inactive
ZINC17249773,8.8,Inactive
ZINC20999737,8.8,Inactive
ZINC21309280,8.8,Inactive
ZINC20593114,8.8,Inactive
ZINC22604536,8.8,Inactive
ZINC25666042,8.8,Inactive
ZINC03861649,8.8,Inactive
ZINC25531729,8.8,Inactive
ZINC29665084,8.7,Inactive
ZINC31430223,8.7,Inactive
ZINC14581075,8.7,Inactive
ZINC14578422,8.7,Inactive
ZINC23358461,8.7,Inactive
ZINC31373395,8.7,Inactive
ZINC22921789,8.7,Inactive
ZINC28324133,8.7,Inactive
ZINC22943715,8.7,Inactive
