No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
28,0.999779791390237,0.000220208609763,Active,Active
6,0.99915441261435,0.00084558738565,Active,Active
29,0.998633188636066,0.001366811363934,Active,Active
18,0.998304769295891,0.001695230704109,Active,Active
35,0.99515213481787,0.00484786518213,Active,Active
36,0.992921365173421,0.007078634826579,Active,Active
2054,0.991390892136931,0.008609107863069,Active,Inactive
26,0.990958873588303,0.009041126411697,Active,Active
13,0.950084470237991,0.049915529762009,Active,Active
2055,0.939836835365174,0.060163164634826,Active,Inactive
12,0.937424112092568,0.062575887907433,Active,Active
556,0.903335929978026,0.096664070021974,Active,Inactive
5,0.900453584245411,0.099546415754589,Active,Active
974,0.899353130178056,0.100646869821944,Active,Inactive
976,0.874547810975292,0.125452189024708,Active,Inactive
2,0.739763622424561,0.260236377575439,Active,Active
27,0.727374376501656,0.272625623498344,Active,Active
10,0.705698286762815,0.294301713237185,Active,Active
208,0.431029968824585,0.568970031175415,Inactive,Inactive
17,0.414036720551056,0.585963279448944,Inactive,Active
997,0.291756199287742,0.708243800712258,Inactive,Inactive
9,0.182551495725577,0.817448504274423,Inactive,Active
994,0.101613825338828,0.898386174661172,Inactive,Inactive
943,0.100309318801753,0.899690681198247,Inactive,Inactive
32,0.065378734350517,0.934621265649483,Inactive,Active
1803,0.045008261684619,0.954991738315381,Inactive,Inactive
1719,0.036100393236732,0.963899606763268,Inactive,Inactive
1382,0.033831296899082,0.966168703100918,Inactive,Inactive
1590,0.025882732715294,0.974117267284706,Inactive,Inactive
1883,0.019849664706231,0.980150335293769,Inactive,Inactive
422,0.019093183392857,0.980906816607143,Inactive,Inactive
34,0.018297819587791,0.981702180412209,Inactive,Active
1274,0.015736916042777,0.984263083957223,Inactive,Inactive
1,0.014899262871217,0.985100737128783,Inactive,Active
1749,0.012157864814424,0.987842135185576,Inactive,Inactive
0,0.010657194250011,0.989342805749989,Inactive,Active
276,0.01043819575836,0.98956180424164,Inactive,Inactive
1360,0.009127265539981,0.990872734460019,Inactive,Inactive
949,0.008897423366108,0.991102576633891,Inactive,Inactive
1637,0.00791572202704,0.99208427797296,Inactive,Inactive
1987,0.007748169242863,0.992251830757137,Inactive,Inactive
20,0.007500836271362,0.992499163728638,Inactive,Active
1758,0.007373137097552,0.992626862902448,Inactive,Inactive
139,0.007247563818402,0.992752436181598,Inactive,Inactive
31,0.006878419699583,0.993121580300417,Inactive,Active
677,0.006107639893251,0.993892360106749,Inactive,Inactive
870,0.005066311047004,0.994933688952996,Inactive,Inactive
1095,0.005008873724925,0.994991126275075,Inactive,Inactive
42,0.004976035059917,0.995023964940084,Inactive,Inactive
314,0.004918653498914,0.995081346501086,Inactive,Inactive
1735,0.004736946318166,0.995263053681834,Inactive,Inactive
1123,0.003154945695295,0.996845054304705,Inactive,Inactive
2163,0.003093172720458,0.996906827279542,Inactive,Inactive
11,0.002894608109912,0.997105391890088,Inactive,Active
2065,0.002759315652269,0.997240684347731,Inactive,Inactive
1530,0.002649331124258,0.997350668875741,Inactive,Inactive
581,0.002637067471649,0.997362932528351,Inactive,Inactive
1631,0.002564368299665,0.997435631700335,Inactive,Inactive
1663,0.002410986052202,0.997589013947798,Inactive,Inactive
368,0.002343268806469,0.997656731193531,Inactive,Inactive
695,0.002341051225236,0.997658948774764,Inactive,Inactive
1889,0.002262365243527,0.997737634756473,Inactive,Inactive
414,0.002160218840756,0.997839781159244,Inactive,Inactive
416,0.002047407267709,0.997952592732291,Inactive,Inactive
186,0.001985153887963,0.998014846112037,Inactive,Inactive
23,0.001881837794547,0.998118162205452,Inactive,Active
194,0.001793714994139,0.998206285005861,Inactive,Inactive
1477,0.001723572969438,0.998276427030562,Inactive,Inactive
894,0.001664234421387,0.998335765578613,Inactive,Inactive
2103,0.001628633659633,0.998371366340368,Inactive,Inactive
1182,0.001596444086714,0.998403555913285,Inactive,Inactive
777,0.001517131655368,0.998482868344632,Inactive,Inactive
1959,0.001513271816937,0.998486728183063,Inactive,Inactive
251,0.001416610592929,0.998583389407071,Inactive,Inactive
172,0.001338110672913,0.998661889327087,Inactive,Inactive
392,0.001330876139696,0.998669123860304,Inactive,Inactive
772,0.00130424098556,0.99869575901444,Inactive,Inactive
1156,0.001283744232289,0.998716255767711,Inactive,Inactive
503,0.001278846570713,0.998721153429287,Inactive,Inactive
1739,0.001180192856731,0.998819807143269,Inactive,Inactive
1135,0.001125232735963,0.998874767264038,Inactive,Inactive
1880,0.001112718932102,0.998887281067898,Inactive,Inactive
1962,0.001101921330059,0.998898078669941,Inactive,Inactive
1753,0.00103535016515,0.99896464983485,Inactive,Inactive
774,0.001028964376377,0.998971035623623,Inactive,Inactive
1813,0.001020384553995,0.998979615446005,Inactive,Inactive
680,0.000989623987792,0.999010376012208,Inactive,Inactive
578,0.000954658932124,0.999045341067876,Inactive,Inactive
600,0.000948416636362,0.999051583363638,Inactive,Inactive
1901,0.000947302620306,0.999052697379694,Inactive,Inactive
1206,0.000946687133517,0.999053312866483,Inactive,Inactive
2165,0.00093109782047,0.99906890217953,Inactive,Inactive
1957,0.000904380218704,0.999095619781296,Inactive,Inactive
1373,0.000886213458583,0.999113786541418,Inactive,Inactive
2118,0.000850447226181,0.999149552773819,Inactive,Inactive
723,0.000834133004895,0.999165866995105,Inactive,Inactive
1946,0.000831460510075,0.999168539489924,Inactive,Inactive
1294,0.000808654011014,0.999191345988986,Inactive,Inactive
466,0.000786763874912,0.999213236125088,Inactive,Inactive
1518,0.000733799571759,0.999266200428241,Inactive,Inactive
900,0.000729173730056,0.999270826269944,Inactive,Inactive
771,0.000726653759241,0.99927334624076,Inactive,Inactive
1158,0.000679945293575,0.999320054706426,Inactive,Inactive
387,0.000639868781091,0.999360131218909,Inactive,Inactive
287,0.000608994190233,0.999391005809767,Inactive,Inactive
2202,0.000604935632993,0.999395064367007,Inactive,Inactive
179,0.000603602696505,0.999396397303495,Inactive,Inactive
643,0.000558886369195,0.999441113630805,Inactive,Inactive
901,0.000536980103096,0.999463019896904,Inactive,Inactive
610,0.000534322853966,0.999465677146034,Inactive,Inactive
2180,0.000526166282337,0.999473833717663,Inactive,Inactive
1119,0.000504027471865,0.999495972528136,Inactive,Inactive
1890,0.000499284968075,0.999500715031925,Inactive,Inactive
121,0.0004944655856,0.9995055344144,Inactive,Inactive
2012,0.000487826275236,0.999512173724763,Inactive,Inactive
889,0.000482803012336,0.999517196987664,Inactive,Inactive
1057,0.00048002555889,0.99951997444111,Inactive,Inactive
1837,0.000479227276201,0.999520772723799,Inactive,Inactive
328,0.000470523155353,0.999529476844647,Inactive,Inactive
2081,0.000461948002342,0.999538051997657,Inactive,Inactive
412,0.000452095898874,0.999547904101126,Inactive,Inactive
2042,0.000450481220365,0.999549518779635,Inactive,Inactive
1296,0.000446293678625,0.999553706321375,Inactive,Inactive
1456,0.000432967433166,0.999567032566834,Inactive,Inactive
330,0.000428049520242,0.999571950479758,Inactive,Inactive
679,0.000416857450975,0.999583142549025,Inactive,Inactive
1800,0.000415481270559,0.999584518729441,Inactive,Inactive
687,0.000403880718404,0.999596119281596,Inactive,Inactive
406,0.000389653007504,0.999610346992496,Inactive,Inactive
634,0.000376067158993,0.999623932841008,Inactive,Inactive
1295,0.000375322673909,0.999624677326091,Inactive,Inactive
1124,0.000374424437589,0.999625575562411,Inactive,Inactive
803,0.000373520178504,0.999626479821496,Inactive,Inactive
1418,0.000371060552784,0.999628939447216,Inactive,Inactive
1207,0.000359402163482,0.999640597836518,Inactive,Inactive
