No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
36,0.999995142465073,4.85753492701491E-06,Active,Active
2054,0.999985661412213,1.43385877872905E-05,Active,Inactive
28,0.999981405718776,1.85942812238998E-05,Active,Active
26,0.999973727175814,2.62728241856578E-05,Active,Active
35,0.999969765313414,3.02346865855887E-05,Active,Active
556,0.999957699156946,4.23008430537885E-05,Active,Inactive
6,0.999915451688342,8.45483116577674E-05,Active,Active
27,0.999775580881722,0.000224419118278,Active,Active
29,0.999605371907839,0.000394628092161,Active,Active
2055,0.999572511392468,0.000427488607532,Active,Inactive
10,0.992137391216322,0.007862608783678,Active,Active
13,0.990692612983517,0.009307387016483,Active,Active
5,0.983646280924188,0.016353719075812,Active,Active
18,0.973815558755813,0.026184441244187,Active,Active
2,0.968541460107351,0.031458539892649,Active,Active
976,0.944821509902046,0.055178490097954,Inactive,Inactive
997,0.900154946656106,0.099845053343894,Inactive,Inactive
9,0.663741031345107,0.336258968654893,Inactive,Active
1663,0.645776797391237,0.354223202608762,Inactive,Inactive
12,0.59853663959255,0.40146336040745,Inactive,Active
1739,0.432220425819883,0.567779574180117,Inactive,Inactive
17,0.361125847230516,0.638874152769484,Inactive,Active
32,0.198063469510272,0.801936530489728,Inactive,Active
974,0.180838449576586,0.819161550423414,Inactive,Inactive
208,0.143647922827299,0.8563520771727,Inactive,Inactive
1,0.132308587189165,0.867691412810835,Inactive,Active
8,0.124807027207963,0.875192972792037,Inactive,Active
1274,0.120768334991476,0.879231665008524,Inactive,Inactive
1341,0.095838637760055,0.904161362239945,Inactive,Inactive
933,0.091297967824851,0.908702032175149,Inactive,Inactive
870,0.083847942780922,0.916152057219078,Inactive,Inactive
0,0.083409571727216,0.916590428272784,Inactive,Active
1749,0.080079682968793,0.919920317031207,Inactive,Inactive
276,0.078409232937624,0.921590767062376,Inactive,Inactive
2110,0.078328578597145,0.921671421402856,Inactive,Inactive
1922,0.067846761331941,0.932153238668059,Inactive,Inactive
246,0.067010465245343,0.932989534754657,Inactive,Inactive
1049,0.06309578397144,0.93690421602856,Inactive,Inactive
503,0.052576407030516,0.947423592969484,Inactive,Inactive
4,0.050600165744852,0.949399834255148,Inactive,Active
943,0.04819968672247,0.95180031327753,Inactive,Inactive
1622,0.040489148968568,0.959510851031432,Inactive,Inactive
455,0.038820216358907,0.961179783641093,Inactive,Inactive
804,0.037644114734334,0.962355885265666,Inactive,Inactive
2205,0.037049898700688,0.962950101299312,Inactive,Inactive
311,0.036068716986353,0.963931283013647,Inactive,Inactive
458,0.035187017981412,0.964812982018588,Inactive,Inactive
1758,0.034237174934818,0.965762825065182,Inactive,Inactive
1135,0.034233980277191,0.965766019722809,Inactive,Inactive
1223,0.033814175299973,0.966185824700027,Inactive,Inactive
630,0.033646061796866,0.966353938203134,Inactive,Inactive
1530,0.033459616524768,0.966540383475232,Inactive,Inactive
308,0.033321698036142,0.966678301963858,Inactive,Inactive
1709,0.033116891559222,0.966883108440778,Inactive,Inactive
1719,0.033056768871529,0.966943231128471,Inactive,Inactive
23,0.033009475623268,0.966990524376732,Inactive,Active
412,0.030698765109239,0.969301234890761,Inactive,Inactive
1883,0.029370315523968,0.970629684476032,Inactive,Inactive
780,0.029107784820804,0.970892215179195,Inactive,Inactive
1805,0.028714151926429,0.971285848073571,Inactive,Inactive
1436,0.028318005064891,0.971681994935109,Inactive,Inactive
130,0.027932050490791,0.972067949509209,Inactive,Inactive
1163,0.027739336693232,0.972260663306768,Inactive,Inactive
994,0.026871960115669,0.973128039884331,Inactive,Inactive
1208,0.026810456339472,0.973189543660528,Inactive,Inactive
101,0.026732541242054,0.973267458757946,Inactive,Inactive
1603,0.026230947694551,0.973769052305449,Inactive,Inactive
502,0.026026818216117,0.973973181783883,Inactive,Inactive
420,0.02579707538663,0.97420292461337,Inactive,Inactive
1843,0.025285137651534,0.974714862348467,Inactive,Inactive
1759,0.025048268646231,0.974951731353769,Inactive,Inactive
1744,0.024976404805258,0.975023595194743,Inactive,Inactive
1201,0.024204324325095,0.975795675674905,Inactive,Inactive
1074,0.024168175751675,0.975831824248325,Inactive,Inactive
1803,0.023949146037547,0.976050853962454,Inactive,Inactive
99,0.02375975208935,0.976240247910651,Inactive,Inactive
30,0.023446643894412,0.976553356105588,Inactive,Active
1104,0.023110744985432,0.976889255014568,Inactive,Inactive
905,0.022654154988203,0.977345845011797,Inactive,Inactive
1266,0.022604409713322,0.977395590286679,Inactive,Inactive
718,0.022493118270737,0.977506881729263,Inactive,Inactive
465,0.022455576417806,0.977544423582194,Inactive,Inactive
416,0.022294718032265,0.977705281967734,Inactive,Inactive
1694,0.021554858672668,0.978445141327332,Inactive,Inactive
992,0.021197669541441,0.978802330458559,Inactive,Inactive
1267,0.021162598467942,0.978837401532058,Inactive,Inactive
2141,0.021139130570254,0.978860869429747,Inactive,Inactive
1424,0.020130994442921,0.979869005557079,Inactive,Inactive
369,0.020115017880128,0.979884982119872,Inactive,Inactive
31,0.019868213528178,0.980131786471822,Inactive,Active
341,0.019760038924145,0.980239961075855,Inactive,Inactive
1105,0.019327226576375,0.980672773423625,Inactive,Inactive
1438,0.018972680901868,0.981027319098132,Inactive,Inactive
1368,0.018540765707804,0.981459234292196,Inactive,Inactive
1609,0.018361109598968,0.981638890401032,Inactive,Inactive
1962,0.01828812382231,0.98171187617769,Inactive,Inactive
1048,0.018239786525058,0.981760213474942,Inactive,Inactive
71,0.018213382607601,0.981786617392399,Inactive,Inactive
1542,0.018102572057902,0.981897427942099,Inactive,Inactive
1108,0.017815855190182,0.982184144809817,Inactive,Inactive
1344,0.017385124113041,0.982614875886959,Inactive,Inactive
400,0.01729719172141,0.98270280827859,Inactive,Inactive
1657,0.017225396107713,0.982774603892287,Inactive,Inactive
940,0.01711936826914,0.98288063173086,Inactive,Inactive
2204,0.016902931647885,0.983097068352115,Inactive,Inactive
600,0.016564526460171,0.98343547353983,Inactive,Inactive
1192,0.016561166596781,0.983438833403218,Inactive,Inactive
394,0.016355292329044,0.983644707670957,Inactive,Inactive
316,0.016341898857023,0.983658101142977,Inactive,Inactive
15,0.016319601546496,0.983680398453503,Inactive,Active
333,0.016219804834291,0.98378019516571,Inactive,Inactive
252,0.016213629335756,0.983786370664244,Inactive,Inactive
592,0.016187721357393,0.983812278642607,Inactive,Inactive
2102,0.016122726588951,0.983877273411048,Inactive,Inactive
158,0.015975846611411,0.984024153388589,Inactive,Inactive
1188,0.015951875780721,0.984048124219279,Inactive,Inactive
711,0.015925367853393,0.984074632146608,Inactive,Inactive
969,0.015913441867556,0.984086558132444,Inactive,Inactive
1691,0.015711155366997,0.984288844633003,Inactive,Inactive
1422,0.01558426357936,0.98441573642064,Inactive,Inactive
742,0.015476215378898,0.984523784621102,Inactive,Inactive
1264,0.015439334658974,0.984560665341026,Inactive,Inactive
982,0.015391049345915,0.984608950654085,Inactive,Inactive
741,0.015356217001008,0.984643782998992,Inactive,Inactive
