No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
28,0.9726828,0.027317218,Active,Active
26,0.9582105,0.041789487,Active,Active
36,0.958016,0.041984018,Active,Active
35,0.94849855,0.05150143,Active,Active
13,0.9355795,0.064420514,Active,Active
2054,0.93396336,0.066036664,Active,Inactive
556,0.8999004,0.10009962,Active,Inactive
2055,0.89393705,0.10606295,Active,Inactive
18,0.88349503,0.11650495,Active,Active
1,0.8538432,0.14615676,Active,Active
29,0.836901,0.16309899,Active,Active
6,0.7950584,0.20494157,Active,Active
27,0.6096623,0.39033774,Active,Active
12,0.5868485,0.4131515,Active,Active
976,0.46876198,0.531238,Inactive,Inactive
4,0.3985392,0.6014608,Inactive,Active
8,0.39081556,0.60918444,Inactive,Active
10,0.26377654,0.73622346,Inactive,Active
2,0.2533443,0.7466557,Inactive,Active
5,0.24227309,0.7577269,Inactive,Active
17,0.23194456,0.76805544,Inactive,Active
1663,0.23093957,0.76906043,Inactive,Inactive
9,0.20422822,0.7957718,Inactive,Active
997,0.19743705,0.80256295,Inactive,Inactive
1274,0.16457546,0.83542454,Inactive,Inactive
1187,0.15472424,0.84527576,Inactive,Inactive
32,0.15268898,0.847311,Inactive,Active
23,0.14554071,0.8544593,Inactive,Active
466,0.13665366,0.86334634,Inactive,Inactive
414,0.12839746,0.87160254,Inactive,Inactive
1062,0.09728491,0.9027151,Inactive,Inactive
1803,0.09556687,0.90443313,Inactive,Inactive
518,0.0905171,0.9094829,Inactive,Inactive
287,0.08815783,0.91184217,Inactive,Inactive
1135,0.08737391,0.9126261,Inactive,Inactive
2110,0.07657069,0.9234293,Inactive,Inactive
943,0.07647222,0.9235278,Inactive,Inactive
208,0.07175493,0.92824507,Inactive,Inactive
1823,0.06651062,0.9334894,Inactive,Inactive
598,0.0654912,0.9345088,Inactive,Inactive
0,0.0650059,0.9349941,Inactive,Active
1880,0.06381112,0.9361889,Inactive,Inactive
870,0.06347805,0.93652195,Inactive,Inactive
1316,0.059986413,0.9400136,Inactive,Inactive
940,0.05676782,0.9432322,Inactive,Inactive
99,0.05539,0.94461,Inactive,Inactive
974,0.05323398,0.946766,Inactive,Inactive
1125,0.052641034,0.94735897,Inactive,Inactive
1194,0.051456988,0.948543,Inactive,Inactive
248,0.04734361,0.9526564,Inactive,Inactive
400,0.047288477,0.9527115,Inactive,Inactive
1583,0.04587269,0.9541273,Inactive,Inactive
70,0.04572487,0.95427513,Inactive,Inactive
1447,0.045228958,0.95477104,Inactive,Inactive
31,0.042675436,0.95732456,Inactive,Active
1576,0.037881196,0.9621188,Inactive,Inactive
1074,0.037810028,0.96219,Inactive,Inactive
1719,0.037202537,0.96279746,Inactive,Inactive
34,0.037104607,0.9628954,Inactive,Active
1139,0.037070334,0.96292967,Inactive,Inactive
1123,0.036733508,0.9632665,Inactive,Inactive
915,0.03569728,0.9643027,Inactive,Inactive
1758,0.0354954,0.9645046,Inactive,Inactive
1739,0.03541088,0.9645891,Inactive,Inactive
1735,0.035025418,0.9649746,Inactive,Inactive
416,0.034420967,0.96557903,Inactive,Inactive
972,0.032942116,0.9670579,Inactive,Inactive
1922,0.03190154,0.96809846,Inactive,Inactive
1658,0.031370103,0.9686299,Inactive,Inactive
139,0.031135082,0.9688649,Inactive,Inactive
1805,0.031132817,0.9688672,Inactive,Inactive
994,0.030964851,0.96903515,Inactive,Inactive
2111,0.029946208,0.9700538,Inactive,Inactive
1773,0.029306471,0.9706935,Inactive,Inactive
228,0.029201925,0.9707981,Inactive,Inactive
328,0.029054403,0.9709456,Inactive,Inactive
369,0.028785944,0.97121406,Inactive,Inactive
2040,0.026955724,0.9730443,Inactive,Inactive
1962,0.02679348,0.9732065,Inactive,Inactive
2154,0.026459157,0.97354084,Inactive,Inactive
1878,0.026221514,0.9737785,Inactive,Inactive
657,0.026181817,0.9738182,Inactive,Inactive
2199,0.026165426,0.9738346,Inactive,Inactive
1894,0.026104152,0.97389585,Inactive,Inactive
630,0.025614679,0.9743853,Inactive,Inactive
1423,0.025456548,0.97454345,Inactive,Inactive
668,0.025275707,0.9747243,Inactive,Inactive
387,0.025018096,0.9749819,Inactive,Inactive
1381,0.024488688,0.9755113,Inactive,Inactive
1069,0.024475336,0.97552466,Inactive,Inactive
300,0.024452507,0.9755475,Inactive,Inactive
1465,0.024148166,0.97585183,Inactive,Inactive
884,0.02412182,0.9758782,Inactive,Inactive
1109,0.02368462,0.9763154,Inactive,Inactive
1402,0.023671687,0.9763283,Inactive,Inactive
939,0.023512363,0.97648764,Inactive,Inactive
1391,0.023039341,0.97696066,Inactive,Inactive
1029,0.022847831,0.97715217,Inactive,Inactive
1930,0.022812068,0.97718793,Inactive,Inactive
1413,0.022648394,0.9773516,Inactive,Inactive
1344,0.0224787,0.9775213,Inactive,Inactive
74,0.02246511,0.9775349,Inactive,Inactive
856,0.022210479,0.9777895,Inactive,Inactive
433,0.021451175,0.9785488,Inactive,Inactive
992,0.021415174,0.9785848,Inactive,Inactive
572,0.02129054,0.97870946,Inactive,Inactive
723,0.021235943,0.97876406,Inactive,Inactive
776,0.021180212,0.9788198,Inactive,Inactive
1844,0.021085382,0.9789146,Inactive,Inactive
368,0.021048248,0.97895175,Inactive,Inactive
1290,0.020693183,0.9793068,Inactive,Inactive
1529,0.020633519,0.9793665,Inactive,Inactive
2149,0.020602882,0.9793971,Inactive,Inactive
1879,0.020415664,0.97958434,Inactive,Inactive
834,0.020378828,0.9796212,Inactive,Inactive
85,0.020362914,0.9796371,Inactive,Inactive
609,0.02018851,0.9798115,Inactive,Inactive
607,0.019986272,0.9800137,Inactive,Inactive
350,0.01994735,0.98005265,Inactive,Inactive
349,0.019790232,0.98020977,Inactive,Inactive
1488,0.01972413,0.98027587,Inactive,Inactive
582,0.019643486,0.9803565,Inactive,Inactive
108,0.019616067,0.98038393,Inactive,Inactive
741,0.018965542,0.98103446,Inactive,Inactive
562,0.01864463,0.98135537,Inactive,Inactive
1622,0.01859814,0.98140186,Inactive,Inactive
1438,0.018360198,0.9816398,Inactive,Inactive
949,0.018173695,0.9818263,Inactive,Inactive
21,0.017999709,0.9820003,Inactive,Active
462,0.017993271,0.9820067,Inactive,Inactive
666,0.017793655,0.98220634,Inactive,Inactive
1177,0.017770767,0.98222923,Inactive,Inactive
485,0.017586112,0.9824139,Inactive,Inactive
420,0.017516315,0.9824837,Inactive,Inactive
33,0.01731497,0.982685,Inactive,Active
684,0.01721704,0.98278296,Inactive,Inactive
2165,0.017091155,0.98290884,Inactive,Inactive
2042,0.01703161,0.9829684,Inactive,Inactive
1456,0.016926885,0.9830731,Inactive,Inactive
1214,0.016905129,0.9830949,Inactive,Inactive
832,0.016898215,0.9831018,Inactive,Inactive
172,0.016878724,0.9831213,Inactive,Inactive
880,0.016878605,0.9831214,Inactive,Inactive
917,0.016756833,0.98324317,Inactive,Inactive
896,0.016689062,0.98331094,Inactive,Inactive
1223,0.016361475,0.9836385,Inactive,Inactive
1656,0.016171694,0.9838283,Inactive,Inactive
1665,0.016107202,0.9838928,Inactive,Inactive
1883,0.016103506,0.9838965,Inactive,Inactive
679,0.01608181,0.9839182,Inactive,Inactive
1970,0.015984297,0.9840157,Inactive,Inactive
1749,0.015875638,0.98412436,Inactive,Inactive
407,0.01579982,0.9842002,Inactive,Inactive
1081,0.015776217,0.9842238,Inactive,Inactive
429,0.015765369,0.98423463,Inactive,Inactive
2044,0.015764117,0.9842359,Inactive,Inactive
1253,0.015434742,0.98456526,Inactive,Inactive
339,0.015386224,0.9846138,Inactive,Inactive
1931,0.015254438,0.98474556,Inactive,Inactive
1727,0.015161753,0.98483825,Inactive,Inactive
246,0.015139461,0.98486054,Inactive,Inactive
2120,0.0151209235,0.9848791,Inactive,Inactive
1746,0.015053034,0.98494697,Inactive,Inactive
1095,0.014925003,0.985075,Inactive,Inactive
1049,0.0148099065,0.9851901,Inactive,Inactive
2018,0.014766872,0.9852331,Inactive,Inactive
1567,0.01462394,0.98537606,Inactive,Inactive
850,0.014618814,0.9853812,Inactive,Inactive
1424,0.014554918,0.9854451,Inactive,Inactive
