mol_name,activity,potency
CHEMBL2393225,Active,8.141
CHEMBL3221005,Active,8.926
CHEMBL322994,Active,7.921
CHEMBL538296,Active,7.115
CHEMBL604478,Active,8.174
CHEMBL3221570,Active,7.353
CHEMBL2393226,Active,7.912
CHEMBL107504,Active,7.444
CHEMBL219264,Active,7.4
CHEMBL108434,Active,7.745
CHEMBL557422,Active,7.041
CHEMBL87098,Active,11.071
CHEMBL3221291,Active,7.682
CHEMBL502,Active,7.577
CHEMBL219262,Active,7.676
CHEMBL606348,Active,10.699
CHEMBL3604336,Active,7.826
CHEMBL3221565,Active,8.255
CHEMBL3221288,Active,7.796
CHEMBL108313,Active,8.523
CHEMBL220141,Active,7.162
CHEMBL216159,Active,7.764
CHEMBL3221569,Active,7.928
CHEMBL4633417,Active,6.602
CHEMBL241536,Active,6.429
CHEMBL525622,Active,10.824
CHEMBL2393109,Active,8.688
CHEMBL89354,Active,11.432
CHEMBL540132,Active,6.521
CHEMBL4085861,Active,6.244
CHEMBL4635698,Active,6.602
CHEMBL3221287,Active,8.199
CHEMBL519154,Active,8.0715
CHEMBL86868,Active,8.62
CHEMBL4640059,Active,6.553
CHEMBL4074424,Active,7.046
CHEMBL538358,Active,7.672
CHEMBL606538,Active,7.857
CHEMBL481,Active,7.578
CHEMBL555247,Active,6.476
CHEMBL3221285,Active,8.44
CHEMBL3633525,Active,7.456
CHEMBL315634,Active,9.409
CHEMBL238062,Active,8.699
CHEMBL3604337,Active,7.027
CHEMBL1255901,Active,7.15233333333333
CHEMBL4635342,Active,6.602
CHEMBL2093912,Active,7.667
CHEMBL3221276,Active,7.283
CHEMBL3221008,Active,8.08
CHEMBL596236,Active,10.385
CHEMBL266045,Active,7.305
CHEMBL393212,Active,6.625
CHEMBL53968,Active,6.447
CHEMBL108872,Active,6.131
CHEMBL396190,Active,6.14
CHEMBL219316,Active,6.991
CHEMBL219063,Active,7.58
CHEMBL4633036,Active,6.056
CHEMBL3221270,Active,7.171
