No.,Active_Prob,Predicted_Class,Real_Class
9,1,Active,Active
33,1,Active,Active
37,1,Active,Active
116,1,Active,Inactive
148,1,Active,Inactive
225,1,Active,Inactive
234,1,Active,Inactive
235,1,Active,Inactive
244,1,Active,Inactive
250,1,Active,Inactive
275,1,Active,Inactive
284,1,Active,Inactive
286,1,Active,Inactive
391,1,Active,Inactive
429,1,Active,Inactive
438,1,Active,Inactive
443,1,Active,Inactive
456,1,Active,Inactive
544,1,Active,Inactive
565,1,Active,Inactive
615,1,Active,Inactive
675,1,Active,Inactive
688,1,Active,Inactive
733,1,Active,Inactive
736,1,Active,Inactive
767,1,Active,Inactive
806,1,Active,Inactive
997,1,Active,Inactive
1054,1,Active,Inactive
1112,1,Active,Inactive
1140,1,Active,Inactive
1148,1,Active,Inactive
1162,1,Active,Inactive
1171,1,Active,Inactive
1177,1,Active,Inactive
1204,1,Active,Inactive
1232,1,Active,Inactive
768,0.9999999,Active,Inactive
457,0.99999976,Active,Inactive
1063,0.99999976,Active,Inactive
1170,0.99999976,Active,Inactive
352,0.99999964,Active,Inactive
162,0.9999995,Active,Inactive
713,0.99999946,Active,Inactive
254,0.9999993,Active,Inactive
1052,0.9999992,Active,Inactive
1217,0.9999992,Active,Inactive
277,0.99999917,Active,Inactive
396,0.9999987,Active,Inactive
1157,0.9999987,Active,Inactive
323,0.99999857,Active,Inactive
174,0.99999624,Active,Inactive
757,0.9999948,Active,Inactive
92,0.99999416,Active,Inactive
763,0.99999344,Active,Inactive
90,0.9999933,Active,Inactive
1088,0.9999913,Active,Inactive
1134,0.99999124,Active,Inactive
823,0.9999894,Active,Inactive
1129,0.9999877,Active,Inactive
1102,0.9999871,Active,Inactive
1223,0.9999866,Active,Inactive
1132,0.9999852,Active,Inactive
341,0.99998504,Active,Inactive
1165,0.99998444,Active,Inactive
795,0.9999844,Active,Inactive
562,0.9999839,Active,Inactive
15,0.99998343,Active,Active
487,0.9999809,Active,Inactive
445,0.99997985,Active,Inactive
960,0.9999782,Active,Inactive
966,0.99997544,Active,Inactive
1136,0.9999746,Active,Inactive
13,0.9999726,Active,Active
309,0.9999702,Active,Inactive
560,0.9999681,Active,Inactive
427,0.9999658,Active,Inactive
177,0.99996394,Active,Inactive
75,0.9999558,Active,Inactive
1172,0.99995494,Active,Inactive
933,0.99994373,Active,Inactive
307,0.9999421,Active,Inactive
564,0.9999391,Active,Inactive
258,0.9999333,Active,Inactive
881,0.9999198,Active,Inactive
511,0.9999194,Active,Inactive
310,0.9999157,Active,Inactive
771,0.99991035,Active,Inactive
699,0.99991024,Active,Inactive
788,0.9998905,Active,Inactive
333,0.99988073,Active,Inactive
66,0.9998592,Active,Inactive
929,0.99984956,Active,Inactive
518,0.9998478,Active,Inactive
868,0.99984694,Active,Inactive
111,0.9998447,Active,Inactive
515,0.99984086,Active,Inactive
329,0.99981534,Active,Inactive
1216,0.9997932,Active,Inactive
1114,0.99979264,Active,Inactive
1061,0.9997891,Active,Inactive
218,0.9997786,Active,Inactive
766,0.99976856,Active,Inactive
317,0.9997492,Active,Inactive
80,0.9997343,Active,Inactive
312,0.9997343,Active,Inactive
1111,0.99970543,Active,Inactive
211,0.99969614,Active,Inactive
1158,0.9996874,Active,Inactive
22,0.99967945,Active,Active
1135,0.99966955,Active,Inactive
95,0.99964106,Active,Inactive
815,0.999623,Active,Inactive
285,0.9995895,Active,Inactive
737,0.99955577,Active,Inactive
146,0.9995141,Active,Inactive
4,0.9994967,Active,Active
138,0.9994613,Active,Inactive
16,0.9994361,Active,Active
658,0.99943066,Active,Inactive
413,0.9994209,Active,Inactive
394,0.99941856,Active,Inactive
0,0.9994043,Active,Active
1173,0.99936837,Active,Inactive
351,0.99933994,Active,Inactive
173,0.9993154,Active,Inactive
789,0.9993068,Active,Inactive
210,0.999265,Active,Inactive
776,0.999185,Active,Inactive
1036,0.99910325,Active,Inactive
504,0.9991021,Active,Inactive
936,0.9990221,Active,Inactive
1074,0.999012,Active,Inactive
267,0.99900305,Active,Inactive
305,0.99897015,Active,Inactive
1213,0.99891585,Active,Inactive
96,0.9989008,Active,Inactive
756,0.9988084,Active,Inactive
1065,0.9987998,Active,Inactive
1163,0.99877185,Active,Inactive
45,0.9987476,Active,Inactive
57,0.99866533,Active,Inactive
749,0.9986218,Active,Inactive
1239,0.9986199,Active,Inactive
194,0.998586,Active,Inactive
26,0.998523,Active,Active
967,0.9985164,Active,Inactive
755,0.9985025,Active,Inactive
1121,0.99842566,Active,Inactive
455,0.99840575,Active,Inactive
239,0.9983469,Active,Inactive
703,0.99832535,Active,Inactive
797,0.99830073,Active,Inactive
501,0.9982829,Active,Inactive
424,0.9981327,Active,Inactive
500,0.9981059,Active,Inactive
375,0.99805605,Active,Inactive
6,0.997349,Active,Active
332,0.99718535,Active,Inactive
430,0.9971766,Active,Inactive
681,0.997113,Active,Inactive
943,0.99701864,Active,Inactive
719,0.99694955,Active,Inactive
939,0.99694335,Active,Inactive
403,0.9967241,Active,Inactive
792,0.99649274,Active,Inactive
491,0.9964794,Active,Inactive
216,0.99643993,Active,Inactive
1032,0.9964238,Active,Inactive
796,0.99630797,Active,Inactive
161,0.99609345,Active,Inactive
270,0.9960214,Active,Inactive
716,0.99584895,Active,Inactive
574,0.9958321,Active,Inactive
892,0.99568546,Active,Inactive
805,0.9956802,Active,Inactive
149,0.9951792,Active,Inactive
516,0.9951125,Active,Inactive
1236,0.9950304,Active,Inactive
1218,0.9949999,Active,Inactive
204,0.9946908,Active,Inactive
308,0.99456847,Active,Inactive
961,0.99440926,Active,Inactive
324,0.99431515,Active,Inactive
1073,0.9941138,Active,Inactive
2,0.9939114,Active,Active
1057,0.9938086,Active,Inactive
582,0.9931973,Active,Inactive
127,0.99310875,Active,Inactive
917,0.99283266,Active,Inactive
343,0.99279964,Active,Inactive
401,0.9926393,Active,Inactive
407,0.9924205,Active,Inactive
387,0.99235415,Active,Inactive
1001,0.9923252,Active,Inactive
336,0.99174476,Active,Inactive
799,0.9913292,Active,Inactive
259,0.99102044,Active,Inactive
54,0.99101377,Active,Inactive
205,0.9909123,Active,Inactive
1230,0.99036276,Active,Inactive
502,0.99014235,Active,Inactive
665,0.99002874,Active,Inactive
1028,0.98985124,Active,Inactive
1156,0.9898254,Active,Inactive
393,0.9897822,Active,Inactive
446,0.98975873,Active,Inactive
39,0.98908496,Active,Active
1098,0.989076,Active,Inactive
1154,0.9890114,Active,Inactive
877,0.98900104,Active,Inactive
281,0.9879935,Active,Inactive
328,0.9878124,Active,Inactive
93,0.9877158,Active,Inactive
963,0.9876368,Active,Inactive
435,0.9874799,Active,Inactive
924,0.9870771,Active,Inactive
1010,0.9869282,Active,Inactive
358,0.9865183,Active,Inactive
928,0.9864744,Active,Inactive
242,0.98613155,Active,Inactive
135,0.98588336,Active,Inactive
1220,0.9857086,Active,Inactive
179,0.9854038,Active,Inactive
293,0.9852723,Active,Inactive
873,0.9846748,Active,Inactive
1164,0.98456335,Active,Inactive
775,0.9841753,Active,Inactive
890,0.98404014,Active,Inactive
1238,0.9836351,Active,Inactive
142,0.98313403,Active,Inactive
105,0.98283386,Active,Inactive
280,0.9828328,Active,Inactive
