No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
33,0.7875,0.2125,Active,Active
37,0.755,0.245,Active,Active
25,0.75,0.25,Active,Active
18,0.7425,0.2575,Active,Active
27,0.7425,0.2575,Active,Active
1,0.74,0.26,Active,Active
3,0.7375,0.2625,Active,Active
0,0.73,0.27,Active,Active
2,0.7225,0.2775,Active,Active
4,0.7175,0.2825,Active,Active
22,0.705,0.295,Active,Active
10,0.7025,0.2975,Active,Active
20,0.7025,0.2975,Active,Active
29,0.6975,0.3025,Active,Active
8,0.6775,0.3225,Active,Active
26,0.6775,0.3225,Active,Active
391,0.675,0.325,Active,Inactive
5,0.6725,0.3275,Active,Active
445,0.67,0.33,Active,Inactive
244,0.6575,0.3425,Active,Inactive
967,0.655,0.345,Active,Inactive
236,0.6525,0.3475,Active,Inactive
274,0.6475,0.3525,Active,Inactive
21,0.645,0.355,Active,Active
1174,0.6425,0.3575,Active,Inactive
13,0.64,0.36,Active,Active
339,0.64,0.36,Active,Inactive
307,0.635,0.365,Active,Inactive
736,0.635,0.365,Active,Inactive
74,0.6325,0.3675,Active,Inactive
939,0.6325,0.3675,Active,Inactive
1220,0.6325,0.3675,Active,Inactive
1230,0.6325,0.3675,Active,Inactive
777,0.63,0.37,Active,Inactive
903,0.63,0.37,Active,Inactive
217,0.6275,0.3725,Active,Inactive
310,0.6275,0.3725,Active,Inactive
788,0.6275,0.3725,Active,Inactive
80,0.625,0.375,Active,Inactive
235,0.625,0.375,Active,Inactive
789,0.625,0.375,Active,Inactive
1136,0.625,0.375,Active,Inactive
15,0.6225,0.3775,Active,Active
39,0.6225,0.3775,Active,Active
73,0.6225,0.3775,Active,Inactive
119,0.6225,0.3775,Active,Inactive
328,0.6225,0.3775,Active,Inactive
544,0.6225,0.3775,Active,Inactive
6,0.62,0.38,Active,Active
81,0.62,0.38,Active,Inactive
418,0.62,0.38,Active,Inactive
440,0.62,0.38,Active,Inactive
966,0.62,0.38,Active,Inactive
1132,0.62,0.38,Active,Inactive
1216,0.62,0.38,Active,Inactive
776,0.6175,0.3825,Active,Inactive
963,0.6175,0.3825,Active,Inactive
1171,0.6175,0.3825,Active,Inactive
427,0.615,0.385,Active,Inactive
441,0.615,0.385,Active,Inactive
757,0.615,0.385,Active,Inactive
1239,0.615,0.385,Active,Inactive
446,0.6125,0.3875,Active,Inactive
511,0.6125,0.3875,Active,Inactive
763,0.6125,0.3875,Active,Inactive
1232,0.6125,0.3875,Active,Inactive
92,0.61,0.39,Active,Inactive
267,0.61,0.39,Active,Inactive
399,0.61,0.39,Active,Inactive
892,0.61,0.39,Active,Inactive
961,0.61,0.39,Active,Inactive
311,0.6075,0.3925,Active,Inactive
383,0.6075,0.3925,Active,Inactive
394,0.6075,0.3925,Active,Inactive
16,0.6025,0.3975,Active,Active
795,0.6025,0.3975,Active,Inactive
1112,0.6025,0.3975,Active,Inactive
148,0.6,0.4,Active,Inactive
1089,0.6,0.4,Active,Inactive
225,0.5975,0.4025,Active,Inactive
500,0.5975,0.4025,Active,Inactive
749,0.5975,0.4025,Active,Inactive
948,0.5975,0.4025,Active,Inactive
1177,0.5975,0.4025,Active,Inactive
222,0.595,0.405,Active,Inactive
282,0.595,0.405,Active,Inactive
785,0.595,0.405,Active,Inactive
792,0.595,0.405,Active,Inactive
960,0.595,0.405,Active,Inactive
1100,0.595,0.405,Active,Inactive
331,0.5925,0.4075,Active,Inactive
436,0.5925,0.4075,Active,Inactive
