No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
29,0.999921942342912,7.80576570874596E-05,Active,Active
28,0.999773485511363,0.000226514488637,Active,Active
6,0.99810244629638,0.00189755370362,Active,Active
35,0.998101175321589,0.001898824678411,Active,Active
36,0.997556783377328,0.002443216622672,Active,Active
2054,0.995493003595138,0.004506996404862,Active,Inactive
18,0.988205641693692,0.011794358306308,Active,Active
26,0.983256111267858,0.016743888732142,Active,Active
12,0.968764406215652,0.031235593784348,Active,Active
13,0.959030926066438,0.040969073933562,Active,Active
2055,0.926420427907978,0.073579572092022,Active,Inactive
556,0.91232120919725,0.08767879080275,Active,Inactive
5,0.89613639258256,0.10386360741744,Active,Active
10,0.874371863656275,0.125628136343725,Active,Active
2,0.863857050287909,0.136142949712091,Active,Active
208,0.811492383177097,0.188507616822903,Active,Inactive
976,0.789299791302333,0.210700208697666,Active,Inactive
974,0.571111770968888,0.428888229031112,Active,Inactive
994,0.405931663674235,0.594068336325765,Inactive,Inactive
17,0.401017366909373,0.598982633090627,Inactive,Active
27,0.368637508213566,0.631362491786434,Inactive,Active
997,0.222678866169622,0.777321133830378,Inactive,Inactive
9,0.084011735799323,0.915988264200677,Inactive,Active
1803,0.08159204505042,0.91840795494958,Inactive,Inactive
139,0.078195942198817,0.921804057801183,Inactive,Inactive
1590,0.062716142285999,0.937283857714001,Inactive,Inactive
943,0.043232668460654,0.956767331539346,Inactive,Inactive
1719,0.042187499430637,0.957812500569363,Inactive,Inactive
870,0.040397021234119,0.959602978765881,Inactive,Inactive
32,0.038836919474194,0.961163080525806,Inactive,Active
1883,0.02920708020891,0.97079291979109,Inactive,Inactive
34,0.028330109376521,0.971669890623479,Inactive,Active
422,0.026965383289411,0.973034616710589,Inactive,Inactive
1889,0.026084267773692,0.973915732226308,Inactive,Inactive
1753,0.019626136362842,0.980373863637158,Inactive,Inactive
416,0.016402053190668,0.983597946809332,Inactive,Inactive
186,0.016059387329109,0.983940612670891,Inactive,Inactive
949,0.015639215127151,0.984360784872849,Inactive,Inactive
276,0.014675911116424,0.985324088883577,Inactive,Inactive
1382,0.012984373484306,0.987015626515694,Inactive,Inactive
1360,0.010881625235595,0.989118374764405,Inactive,Inactive
581,0.009674900507121,0.99032509949288,Inactive,Inactive
0,0.009345683996585,0.990654316003415,Inactive,Active
314,0.0092125596684,0.9907874403316,Inactive,Inactive
1749,0.008818362022663,0.991181637977337,Inactive,Inactive
1637,0.007376212174674,0.992623787825326,Inactive,Inactive
1274,0.006999719995166,0.993000280004834,Inactive,Inactive
2103,0.006879461294177,0.993120538705823,Inactive,Inactive
42,0.006070269296485,0.993929730703515,Inactive,Inactive
677,0.00596039056524,0.99403960943476,Inactive,Inactive
1057,0.005281697332576,0.994718302667424,Inactive,Inactive
20,0.004585971851579,0.995414028148422,Inactive,Active
2065,0.004192398892575,0.995807601107425,Inactive,Inactive
1530,0.003881467453704,0.996118532546296,Inactive,Inactive
643,0.003494978186313,0.996505021813687,Inactive,Inactive
900,0.003478592048777,0.996521407951223,Inactive,Inactive
894,0.003405110172652,0.996594889827348,Inactive,Inactive
1095,0.003374417645222,0.996625582354778,Inactive,Inactive
31,0.00312068345571,0.99687931654429,Inactive,Active
