No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
28,0.999450475262918,0.000549524737082,Active,Active
35,0.998613599523605,0.001386400476395,Active,Active
29,0.998538154860759,0.001461845139241,Active,Active
6,0.998453607762268,0.001546392237731,Active,Active
36,0.996706695092101,0.003293304907899,Active,Active
2054,0.992608443635627,0.007391556364373,Active,Inactive
18,0.991092834220293,0.008907165779707,Active,Active
26,0.978990101378325,0.021009898621675,Active,Active
13,0.97146461850916,0.02853538149084,Active,Active
5,0.96482395314076,0.03517604685924,Active,Active
12,0.937647674643636,0.062352325356364,Active,Active
2055,0.936372345480151,0.063627654519849,Active,Inactive
556,0.907915181101706,0.092084818898294,Active,Inactive
976,0.856026017181534,0.143973982818466,Active,Inactive
974,0.740675013704075,0.259324986295925,Active,Inactive
2,0.702569994946388,0.297430005053612,Active,Active
10,0.633108143831577,0.366891856168423,Active,Active
994,0.459537097505378,0.540462902494622,Inactive,Inactive
27,0.417000654338447,0.582999345661553,Inactive,Active
997,0.415497106519428,0.584502893480572,Inactive,Inactive
208,0.359333204746347,0.640666795253653,Inactive,Inactive
17,0.265884179605764,0.734115820394236,Inactive,Active
943,0.11692296931552,0.88307703068448,Inactive,Inactive
1719,0.085573290447574,0.914426709552426,Inactive,Inactive
276,0.071039155082353,0.928960844917647,Inactive,Inactive
32,0.067172219845258,0.932827780154742,Inactive,Active
9,0.054659927028424,0.945340072971576,Inactive,Active
1803,0.042832076015344,0.957167923984656,Inactive,Inactive
1382,0.025814956297979,0.974185043702021,Inactive,Inactive
20,0.020492276458278,0.979507723541722,Inactive,Active
1590,0.019534702517019,0.980465297482981,Inactive,Inactive
314,0.017580533888685,0.982419466111315,Inactive,Inactive
1749,0.016629149021813,0.983370850978187,Inactive,Inactive
34,0.016518052930859,0.983481947069141,Inactive,Active
870,0.016129919472372,0.983870080527628,Inactive,Inactive
139,0.01287435794218,0.98712564205782,Inactive,Inactive
31,0.010170198136738,0.989829801863262,Inactive,Active
0,0.010134237577339,0.989865762422661,Inactive,Active
949,0.009644516415006,0.990355483584994,Inactive,Inactive
422,0.008614487904243,0.991385512095757,Inactive,Inactive
677,0.006284000783203,0.993715999216797,Inactive,Inactive
1360,0.005630742412758,0.994369257587242,Inactive,Inactive
1637,0.004723785027558,0.995276214972442,Inactive,Inactive
186,0.00424484943537,0.99575515056463,Inactive,Inactive
1883,0.004150501723585,0.995849498276415,Inactive,Inactive
251,0.00379315578986,0.99620684421014,Inactive,Inactive
1,0.00352322648161,0.99647677351839,Inactive,Active
287,0.003511192529225,0.996488807470775,Inactive,Inactive
11,0.00348296087843,0.99651703912157,Inactive,Active
2163,0.003362493284533,0.996637506715467,Inactive,Inactive
416,0.003298806034875,0.996701193965125,Inactive,Inactive
1095,0.003201435492679,0.996798564507321,Inactive,Inactive
503,0.002976813460882,0.997023186539118,Inactive,Inactive
1553,0.002974071446065,0.997025928553935,Inactive,Inactive
1119,0.002599900900754,0.997400099099245,Inactive,Inactive
1182,0.002320266457855,0.997679733542145,Inactive,Inactive
42,0.002287317814366,0.997712682185634,Inactive,Inactive
1753,0.002194367566289,0.997805632433711,Inactive,Inactive
1758,0.002127429458325,0.997872570541675,Inactive,Inactive
330,0.002098232785243,0.997901767214757,Inactive,Inactive
2103,0.002001234086947,0.997998765913053,Inactive,Inactive
1631,0.001933990035655,0.998066009964345,Inactive,Inactive
894,0.001870681969029,0.998129318030971,Inactive,Inactive
777,0.00183866338944,0.99816133661056,Inactive,Inactive
900,0.001795719374696,0.998204280625304,Inactive,Inactive
1123,0.001788288631987,0.998211711368013,Inactive,Inactive
680,0.001699623337266,0.998300376662734,Inactive,Inactive
392,0.00165266754317,0.99834733245683,Inactive,Inactive
581,0.001613059093207,0.998386940906793,Inactive,Inactive
368,0.001608481724012,0.998391518275988,Inactive,Inactive
1735,0.001503036480217,0.998496963519783,Inactive,Inactive
1477,0.001474365856997,0.998525634143003,Inactive,Inactive
1294,0.00143185697488,0.99856814302512,Inactive,Inactive
1737,0.001423627007016,0.998576372992984,Inactive,Inactive
772,0.001382715904941,0.998617284095059,Inactive,Inactive
1959,0.001255831313986,0.998744168686014,Inactive,Inactive
1813,0.001196834309851,0.998803165690149,Inactive,Inactive
1274,0.001161308908058,0.998838691091942,Inactive,Inactive
2065,0.001114281565805,0.998885718434195,Inactive,Inactive
328,0.001101809838704,0.998898190161296,Inactive,Inactive
194,0.00110133448844,0.99889866551156,Inactive,Inactive
414,0.00108203181519,0.99891796818481,Inactive,Inactive
466,0.001055732459766,0.998944267540234,Inactive,Inactive
1987,0.000988314595004,0.999011685404996,Inactive,Inactive
1530,0.000941716124113,0.999058283875887,Inactive,Inactive
1373,0.000940442378046,0.999059557621954,Inactive,Inactive
1889,0.000938247968454,0.999061752031546,Inactive,Inactive
23,0.000927383831972,0.999072616168028,Inactive,Active
403,0.000890192507878,0.999109807492122,Inactive,Inactive
2172,0.000881583923516,0.999118416076484,Inactive,Inactive
1124,0.000700172767345,0.999299827232655,Inactive,Inactive
246,0.000683766382313,0.999316233617687,Inactive,Inactive
959,0.000682144081774,0.999317855918226,Inactive,Inactive
1946,0.000670353532177,0.999329646467823,Inactive,Inactive
2012,0.000649667084061,0.999350332915939,Inactive,Inactive
643,0.000641184651308,0.999358815348692,Inactive,Inactive
166,0.000607191939101,0.999392808060899,Inactive,Inactive
901,0.000597062902227,0.999402937097773,Inactive,Inactive
674,0.000582297974614,0.999417702025386,Inactive,Inactive
723,0.00055534303235,0.99944465696765,Inactive,Inactive
1296,0.000527611419436,0.999472388580564,Inactive,Inactive
429,0.000527238630602,0.999472761369398,Inactive,Inactive
780,0.000504823617607,0.999495176382393,Inactive,Inactive
316,0.00050231244953,0.99949768755047,Inactive,Inactive
2165,0.000485585887312,0.999514414112688,Inactive,Inactive
2180,0.000485015142267,0.999514984857733,Inactive,Inactive
633,0.000457516846678,0.999542483153322,Inactive,Inactive
488,0.000455095342539,0.999544904657461,Inactive,Inactive
459,0.000453722121248,0.999546277878752,Inactive,Inactive
1957,0.000443054706275,0.999556945293725,Inactive,Inactive
557,0.000442522982809,0.999557477017191,Inactive,Inactive
