No.,Active_Prob,Predicted_Class,Real_Class
2,1,Active,Active
5,1,Active,Active
6,1,Active,Active
12,1,Active,Active
13,1,Active,Active
18,1,Active,Active
28,1,Active,Active
29,1,Active,Active
35,1,Active,Active
36,1,Active,Active
2054,1,Active,Inactive
2055,1,Active,Inactive
26,0.99997157,Active,Active
10,0.99989355,Active,Active
974,0.29150534,Inactive,Inactive
997,0.0144940615,Inactive,Inactive
208,0.001740545,Inactive,Inactive
556,0.00029829144,Inactive,Inactive
976,2.7965258E-05,Inactive,Inactive
870,4.3564255E-06,Inactive,Inactive
1663,3.5713466E-09,Inactive,Inactive
27,3.222413E-10,Inactive,Active
2102,1.6457251E-10,Inactive,Inactive
276,2.6109025E-11,Inactive,Inactive
305,8.167681E-12,Inactive,Inactive
0,2.1434699E-12,Inactive,Active
32,1.0234991E-12,Inactive,Active
1613,4.3683E-13,Inactive,Inactive
246,6.26898E-14,Inactive,Inactive
943,2.4497338E-14,Inactive,Inactive
407,7.731238E-15,Inactive,Inactive
1016,3.5329143E-15,Inactive,Inactive
1886,8.218812E-16,Inactive,Inactive
1719,7.628057E-16,Inactive,Inactive
1658,6.188474E-16,Inactive,Inactive
684,5.5568855E-16,Inactive,Inactive
85,4.3637795E-16,Inactive,Inactive
1438,3.479135E-16,Inactive,Inactive
287,2.9972232E-16,Inactive,Inactive
1787,2.2935056E-16,Inactive,Inactive
518,6.257527E-17,Inactive,Inactive
9,5.447345E-17,Inactive,Active
1758,2.4471197E-17,Inactive,Inactive
398,1.8189404E-17,Inactive,Inactive
1883,1.2180756E-17,Inactive,Inactive
1488,9.5123645E-18,Inactive,Inactive
922,8.636461E-18,Inactive,Inactive
171,4.169968E-18,Inactive,Inactive
414,3.7508476E-18,Inactive,Inactive
1109,2.5046342E-18,Inactive,Inactive
96,2.492501E-18,Inactive,Inactive
1858,2.4431822E-18,Inactive,Inactive
628,1.6936345E-18,Inactive,Inactive
1223,1.5533425E-18,Inactive,Inactive
511,1.1148131E-18,Inactive,Inactive
508,1.1007497E-18,Inactive,Inactive
969,8.994585E-19,Inactive,Inactive
349,7.895806E-19,Inactive,Inactive
797,6.2642315E-19,Inactive,Inactive
1522,4.5879076E-19,Inactive,Inactive
940,3.5116374E-19,Inactive,Inactive
135,2.98706E-19,Inactive,Inactive
2075,2.315974E-19,Inactive,Inactive
1404,1.71169E-19,Inactive,Inactive
1701,9.1250785E-20,Inactive,Inactive
911,5.852796E-20,Inactive,Inactive
2074,4.8437606E-20,Inactive,Inactive
1528,3.1168385E-20,Inactive,Inactive
637,2.689036E-20,Inactive,Inactive
1304,2.5217734E-20,Inactive,Inactive
847,2.2703374E-20,Inactive,Inactive
770,2.2354205E-20,Inactive,Inactive
1856,2.2279714E-20,Inactive,Inactive
1704,2.1038239E-20,Inactive,Inactive
1931,1.6910376E-20,Inactive,Inactive
321,1.404312E-20,Inactive,Inactive
581,1.2179111E-20,Inactive,Inactive
1444,7.507456E-21,Inactive,Inactive
657,7.122247E-21,Inactive,Inactive
667,3.3261435E-21,Inactive,Inactive
1207,2.9808534E-21,Inactive,Inactive
340,2.8898255E-21,Inactive,Inactive
683,2.4303043E-21,Inactive,Inactive
696,2.3263578E-21,Inactive,Inactive
1138,2.3100158E-21,Inactive,Inactive
1019,2.1473968E-21,Inactive,Inactive
1630,2.0637688E-21,Inactive,Inactive
1794,2.0571742E-21,Inactive,Inactive
1830,1.9990453E-21,Inactive,Inactive
1033,1.6107327E-21,Inactive,Inactive
2134,1.45005E-21,Inactive,Inactive
1592,1.4097107E-21,Inactive,Inactive
458,1.1922236E-21,Inactive,Inactive
806,1.0985919E-21,Inactive,Inactive
1530,8.916E-22,Inactive,Inactive
773,8.563744E-22,Inactive,Inactive
1790,8.483401E-22,Inactive,Inactive
513,8.1087015E-22,Inactive,Inactive
1825,8.101281E-22,Inactive,Inactive
1253,7.9164835E-22,Inactive,Inactive
2116,6.838534E-22,Inactive,Inactive
447,5.2045463E-22,Inactive,Inactive
1547,4.8591535E-22,Inactive,Inactive
1268,4.3932297E-22,Inactive,Inactive
503,4.0925667E-22,Inactive,Inactive
842,3.9775765E-22,Inactive,Inactive
431,3.8162634E-22,Inactive,Inactive
1781,3.6634627E-22,Inactive,Inactive
1803,3.611829E-22,Inactive,Inactive
1605,3.471157E-22,Inactive,Inactive
337,3.2848966E-22,Inactive,Inactive
1340,2.6602917E-22,Inactive,Inactive
1595,2.6466066E-22,Inactive,Inactive
994,2.1589606E-22,Inactive,Inactive
777,2.0804461E-22,Inactive,Inactive
51,2.0637993E-22,Inactive,Inactive
1890,1.8784011E-22,Inactive,Inactive
1816,1.7509959E-22,Inactive,Inactive
1625,1.6800858E-22,Inactive,Inactive
861,1.5772052E-22,Inactive,Inactive
212,1.5059847E-22,Inactive,Inactive
702,1.3666194E-22,Inactive,Inactive
1975,1.2110671E-22,Inactive,Inactive
804,1.0498519E-22,Inactive,Inactive
1930,1.0391577E-22,Inactive,Inactive
1451,1.01247135E-22,Inactive,Inactive
448,9.0341114E-23,Inactive,Inactive
1276,8.815315E-23,Inactive,Inactive
1959,8.359555E-23,Inactive,Inactive
30,8.079796E-23,Inactive,Active
2130,7.8551424E-23,Inactive,Inactive
11,7.5194285E-23,Inactive,Active
2073,7.32043E-23,Inactive,Inactive
1125,7.1726805E-23,Inactive,Inactive
1842,7.123055E-23,Inactive,Inactive
87,6.906562E-23,Inactive,Inactive
1835,6.807895E-23,Inactive,Inactive
1108,6.796789E-23,Inactive,Inactive
2124,6.725347E-23,Inactive,Inactive
1833,6.5212405E-23,Inactive,Inactive
2036,6.090209E-23,Inactive,Inactive
1176,6.080296E-23,Inactive,Inactive
596,5.9755355E-23,Inactive,Inactive
729,5.9401037E-23,Inactive,Inactive
575,4.548272E-23,Inactive,Inactive
1740,4.5079734E-23,Inactive,Inactive
2204,4.476101E-23,Inactive,Inactive
1972,4.3483935E-23,Inactive,Inactive
1291,4.346022E-23,Inactive,Inactive
2051,4.0704248E-23,Inactive,Inactive
1996,3.9592572E-23,Inactive,Inactive
649,3.130167E-23,Inactive,Inactive
1013,2.7058974E-23,Inactive,Inactive
17,2.676475E-23,Inactive,Active
