ID,Score,Real_Class
DECOY2790,0.714286,Inactive
DECOY1485,0.714286,Inactive
DECOY2788,0.714286,Inactive
DECOY6880,0.714286,Inactive
DECOY7779,0.692308,Inactive
DECOY6346,0.692308,Inactive
DECOY7001,0.692308,Inactive
DECOY7180,0.6875,Inactive
DECOY3863,0.6875,Inactive
DECOY5185,0.666667,Inactive
DECOY2438,0.666667,Inactive
DECOY5244,0.666667,Inactive
DECOY7984,0.666667,Inactive
DECOY6796,0.666667,Inactive
DECOY907,0.666667,Inactive
DECOY4872,0.666667,Inactive
DECOY1572,0.666667,Inactive
DECOY145,0.647059,Inactive
DECOY1482,0.642857,Inactive
DECOY7445,0.642857,Inactive
DECOY3307,0.642857,Inactive
DECOY1585,0.642857,Inactive
DECOY6322,0.642857,Inactive
DECOY5593,0.642857,Inactive
DECOY1568,0.625,Inactive
DECOY5309,0.625,Inactive
DECOY6268,0.625,Inactive
DECOY4987,0.625,Inactive
DECOY5463,0.625,Inactive
DECOY835,0.625,Inactive
DECOY978,0.625,Inactive
DECOY2310,0.625,Inactive
DECOY4680,0.625,Inactive
DECOY6178,0.625,Inactive
DECOY2976,0.625,Inactive
DECOY1605,0.615385,Inactive
DECOY2305,0.615385,Inactive
DECOY1805,0.615385,Inactive
CHEMBL3221567,0.611111,Active
DECOY5591,0.611111,Inactive
DECOY5537,0.611111,Inactive
CHEMBL3221009,0.6,Active
DECOY1583,0.6,Inactive
DECOY6729,0.6,Inactive
DECOY2304,0.6,Inactive
DECOY3164,0.6,Inactive
DECOY8387,0.6,Inactive
DECOY3528,0.6,Inactive
DECOY6129,0.6,Inactive
DECOY7293,0.6,Inactive
DECOY3281,0.6,Inactive
DECOY820,0.6,Inactive
DECOY8336,0.6,Inactive
DECOY478,0.588235,Inactive
DECOY3966,0.588235,Inactive
DECOY3505,0.588235,Inactive
DECOY1178,0.588235,Inactive
DECOY6837,0.588235,Inactive
DECOY4730,0.588235,Inactive
DECOY5877,0.588235,Inactive
DECOY6258,0.588235,Inactive
CHEMBL394901,0.571429,Active
DECOY526,0.571429,Inactive
DECOY7653,0.571429,Inactive
DECOY1356,0.571429,Inactive
DECOY5468,0.571429,Inactive
DECOY8332,0.571429,Inactive
DECOY7659,0.571429,Inactive
DECOY5893,0.571429,Inactive
DECOY5276,0.571429,Inactive
DECOY4577,0.571429,Inactive
DECOY1763,0.5625,Inactive
DECOY5304,0.5625,Inactive
DECOY7179,0.5625,Inactive
DECOY4284,0.5625,Inactive
DECOY6181,0.5625,Inactive
DECOY1781,0.5625,Inactive
DECOY5773,0.5625,Inactive
DECOY5580,0.5625,Inactive
DECOY8000,0.5625,Inactive
DECOY4320,0.5625,Inactive
DECOY1727,0.5625,Inactive
DECOY7196,0.5625,Inactive
DECOY4597,0.5625,Inactive
DECOY3909,0.5625,Inactive
DECOY1563,0.5625,Inactive
DECOY2817,0.5625,Inactive
DECOY1993,0.5625,Inactive
DECOY3913,0.555556,Inactive
DECOY2338,0.555556,Inactive
DECOY6061,0.555556,Inactive
DECOY7432,0.555556,Inactive
DECOY6119,0.555556,Inactive
DECOY1298,0.555556,Inactive
DECOY7817,0.555556,Inactive
DECOY4674,0.555556,Inactive
DECOY6609,0.555556,Inactive
DECOY3523,0.555556,Inactive
DECOY1815,0.555556,Inactive
DECOY4543,0.555556,Inactive
DECOY6673,0.555556,Inactive
DECOY217,0.555556,Inactive
DECOY5087,0.555556,Inactive
DECOY7568,0.555556,Inactive
DECOY664,0.538462,Inactive
DECOY6142,0.538462,Inactive
DECOY1901,0.538462,Inactive
DECOY1465,0.538462,Inactive
DECOY7660,0.538462,Inactive
DECOY244,0.538462,Inactive
DECOY4623,0.533333,Inactive
DECOY7900,0.533333,Inactive
DECOY7480,0.533333,Inactive
DECOY5139,0.533333,Inactive
DECOY1082,0.533333,Inactive
DECOY4162,0.533333,Inactive
DECOY7618,0.533333,Inactive
DECOY163,0.533333,Inactive
DECOY5622,0.533333,Inactive
DECOY7321,0.533333,Inactive
DECOY137,0.533333,Inactive
DECOY1347,0.533333,Inactive
CHEMBL3604344,0.529412,Active
CHEMBL3221283,0.529412,Active
DECOY7125,0.529412,Inactive
DECOY3102,0.529412,Inactive
DECOY6515,0.529412,Inactive
DECOY2047,0.529412,Inactive
DECOY2335,0.529412,Inactive
DECOY12,0.529412,Inactive
DECOY2638,0.529412,Inactive
DECOY3687,0.529412,Inactive
DECOY8155,0.529412,Inactive
DECOY6225,0.529412,Inactive
DECOY5387,0.529412,Inactive
DECOY4469,0.529412,Inactive
DECOY5438,0.529412,Inactive
DECOY5815,0.529412,Inactive
DECOY5927,0.529412,Inactive
DECOY7786,0.529412,Inactive
CHEMBL3604348,0.526316,Active
DECOY5667,0.526316,Inactive
DECOY2330,0.526316,Inactive
DECOY4079,0.526316,Inactive
DECOY2472,0.526316,Inactive
DECOY7181,0.526316,Inactive
DECOY6037,0.526316,Inactive
DECOY5634,0.526316,Inactive
DECOY2905,0.526316,Inactive
DECOY1651,0.526316,Inactive
DECOY3235,0.526316,Inactive
DECOY807,0.526316,Inactive
DECOY3391,0.526316,Inactive
DECOY7923,0.526316,Inactive
DECOY2643,0.526316,Inactive
CHEMBL95,0.5,Active
CHEMBL3221278,0.5,Active
DECOY885,0.5,Inactive
DECOY2379,0.5,Inactive
DECOY1674,0.5,Inactive
DECOY3627,0.5,Inactive
DECOY6999,0.5,Inactive
DECOY4343,0.5,Inactive
DECOY3731,0.5,Inactive
DECOY3012,0.5,Inactive
DECOY6869,0.5,Inactive
DECOY1112,0.5,Inactive
DECOY304,0.5,Inactive
DECOY2430,0.5,Inactive
DECOY8417,0.5,Inactive
DECOY7619,0.5,Inactive
DECOY4182,0.5,Inactive
DECOY6954,0.5,Inactive
DECOY2500,0.5,Inactive
DECOY4582,0.5,Inactive
DECOY998,0.5,Inactive
DECOY7247,0.5,Inactive
DECOY5937,0.5,Inactive
DECOY6783,0.5,Inactive
DECOY520,0.5,Inactive
DECOY3622,0.5,Inactive
DECOY5868,0.5,Inactive
DECOY2370,0.5,Inactive
DECOY4280,0.5,Inactive
DECOY7827,0.5,Inactive
DECOY1880,0.5,Inactive
DECOY491,0.5,Inactive
DECOY6331,0.5,Inactive
DECOY7274,0.5,Inactive
DECOY3124,0.5,Inactive
DECOY1984,0.5,Inactive
DECOY7734,0.5,Inactive
DECOY5968,0.5,Inactive
DECOY3915,0.5,Inactive
DECOY4341,0.5,Inactive
DECOY173,0.5,Inactive
DECOY2652,0.5,Inactive
DECOY6042,0.5,Inactive
DECOY2133,0.5,Inactive
DECOY1386,0.5,Inactive
DECOY3497,0.5,Inactive
DECOY4421,0.5,Inactive
