No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
36,0.999996769629881,3.2303701192809E-06,Active,Active
2054,0.999990232247343,9.76775265653524E-06,Active,Inactive
28,0.999987259769919,1.2740230080793E-05,Active,Active
26,0.99998185978017,1.81402198304469E-05,Active,Active
35,0.99997905899629,2.09410037104769E-05,Active,Active
556,0.999970482218709,2.95177812911929E-05,Active,Inactive
6,0.999940086237194,5.99137628060204E-05,Active,Active
27,0.999837479666466,0.000162520333534,Active,Active
29,0.999710608278539,0.000289391721461,Active,Active
2055,0.999685952742196,0.000314047257804,Active,Inactive
10,0.993836770371899,0.006163229628101,Active,Active
13,0.992676500321279,0.007323499678721,Active,Active
5,0.98696559734696,0.01303440265304,Active,Active
18,0.978895919920211,0.021104080079789,Active,Active
2,0.974529185685798,0.025470814314203,Active,Active
976,0.954627868519554,0.045372131480446,Inactive,Inactive
997,0.915579168057208,0.084420831942792,Inactive,Inactive
9,0.699643691512873,0.300356308487127,Inactive,Active
1663,0.681273791132879,0.318726208867121,Inactive,Inactive
12,0.631764505838856,0.368235494161144,Inactive,Active
1739,0.464497249306719,0.535502750693281,Inactive,Inactive
17,0.392038195198891,0.607961804801109,Inactive,Active
32,0.215258737864978,0.784741262135022,Inactive,Active
974,0.196520106966163,0.803479893033837,Inactive,Inactive
208,0.155926768486311,0.844073231513689,Inactive,Inactive
1,0.143518962109531,0.856481037890469,Inactive,Active
8,0.135304750523336,0.864695249476664,Inactive,Active
1274,0.130880889841152,0.869119110158848,Inactive,Inactive
1341,0.103563670477308,0.896436329522692,Inactive,Inactive
933,0.098588875531407,0.901411124468593,Inactive,Inactive
870,0.090429201054569,0.909570798945431,Inactive,Inactive
0,0.089949205897291,0.910050794102709,Inactive,Active
1749,0.086303725744756,0.913696274255244,Inactive,Inactive
276,0.084475384733101,0.915524615266899,Inactive,Inactive
2110,0.084387114725343,0.915612885274657,Inactive,Inactive
1922,0.072922813435988,0.927077186564012,Inactive,Inactive
246,0.072008845493634,0.927991154506366,Inactive,Inactive
1049,0.067732264532046,0.932267735467955,Inactive,Inactive
503,0.056256734863703,0.943743265136297,Inactive,Inactive
4,0.054104037387088,0.945895962612912,Inactive,Active
943,0.05149080492518,0.94850919507482,Inactive,Inactive
1622,0.043110357882343,0.956889642117657,Inactive,Inactive
455,0.041299522038645,0.958700477961355,Inactive,Inactive
804,0.040024169993581,0.959975830006419,Inactive,Inactive
2205,0.039380054205458,0.960619945794542,Inactive,Inactive
311,0.038316850775428,0.961683149224572,Inactive,Inactive
458,0.037361856123686,0.962638143876314,Inactive,Inactive
1758,0.036333502767135,0.963666497232865,Inactive,Inactive
1135,0.036330044858511,0.963669955141489,Inactive,Inactive
1223,0.035875694400797,0.964124305599203,Inactive,Inactive
630,0.035693773829867,0.964306226170133,Inactive,Inactive
1530,0.035492034079664,0.964507965920336,Inactive,Inactive
308,0.035342814237963,0.964657185762037,Inactive,Inactive
1709,0.035121245012146,0.964878754987854,Inactive,Inactive
1719,0.035056205938768,0.964943794061232,Inactive,Inactive
23,0.03500504683,0.964994953170001,Inactive,Active
412,0.032507038339991,0.967492961660009,Inactive,Inactive
1883,0.031072390222155,0.968927609777845,Inactive,Inactive
780,0.030789007574088,0.969210992425912,Inactive,Inactive
1805,0.03036419578222,0.96963580421778,Inactive,Inactive
1436,0.029936776780889,0.970063223219111,Inactive,Inactive
130,0.029520458619998,0.970479541380003,Inactive,Inactive
1163,0.029312622734613,0.970687377265387,Inactive,Inactive
994,0.028377512396797,0.971622487603203,Inactive,Inactive
1208,0.02831122653541,0.97168877346459,Inactive,Inactive
101,0.028227257338837,0.971772742661163,Inactive,Inactive
1603,0.027686797760112,0.972313202239888,Inactive,Inactive
502,0.027466905679065,0.972533094320936,Inactive,Inactive
420,0.02721946061584,0.97278053938416,Inactive,Inactive
1843,0.026668224576659,0.973331775423341,Inactive,Inactive
1759,0.026413242702039,0.973586757297961,Inactive,Inactive
1744,0.026335892472618,0.973664107527382,Inactive,Inactive
1201,0.025505133795076,0.974494866204924,Inactive,Inactive
1074,0.025466250013981,0.97453374998602,Inactive,Inactive
1803,0.025230670783407,0.974769329216593,Inactive,Inactive
99,0.025026999348812,0.974973000651188,Inactive,Inactive
30,0.024690354994584,0.975309645005415,Inactive,Active
1104,0.024329301696758,0.975670698303242,Inactive,Inactive
905,0.023838679760846,0.976161320239154,Inactive,Inactive
1266,0.023785238067404,0.976214761932596,Inactive,Inactive
718,0.023665685060602,0.976334314939398,Inactive,Inactive
465,0.023625358894121,0.976374641105879,Inactive,Inactive
416,0.023452585016036,0.976547414983964,Inactive,Inactive
1694,0.022658232398723,0.977341767601277,Inactive,Inactive
992,0.022274922350752,0.977725077649248,Inactive,Inactive
1267,0.022237293275246,0.977762706724754,Inactive,Inactive
2141,0.02221211435964,0.97778788564036,Inactive,Inactive
1424,0.021130997988725,0.978869002011275,Inactive,Inactive
369,0.021113873236379,0.978886126763621,Inactive,Inactive
31,0.02084936577436,0.97915063422564,Inactive,Active
341,0.02073345215977,0.97926654784023,Inactive,Inactive
1105,0.020269801206688,0.979730198793312,Inactive,Inactive
1438,0.019890145967948,0.980109854032052,Inactive,Inactive
1368,0.019427831809961,0.980572168190039,Inactive,Inactive
1609,0.019235593875006,0.980764406124994,Inactive,Inactive
1962,0.019157507367977,0.980842492632023,Inactive,Inactive
1048,0.019105795354472,0.980894204645528,Inactive,Inactive
71,0.019077549174055,0.980922450825945,Inactive,Inactive
1542,0.018959016029036,0.981040983970964,Inactive,Inactive
1108,0.018652384753933,0.981347615246068,Inactive,Inactive
1344,0.018191922581976,0.981808077418024,Inactive,Inactive
400,0.01809794861828,0.98190205138172,Inactive,Inactive
1657,0.018021227257168,0.981978772742832,Inactive,Inactive
940,0.017907936835105,0.982092063164895,Inactive,Inactive
2204,0.017676718896811,0.982323281103189,Inactive,Inactive
600,0.017315322603501,0.982684677396499,Inactive,Inactive
1192,0.017311735215039,0.982688264784961,Inactive,Inactive
394,0.017091947644417,0.982908052355583,Inactive,Inactive
316,0.017077650953309,0.982922349046692,Inactive,Inactive
15,0.017053850499772,0.982946149500228,Inactive,Active
333,0.0169473342146,0.9830526657854,Inactive,Inactive
252,0.016940743339284,0.983059256660716,Inactive,Inactive
592,0.01691309329181,0.98308690670819,Inactive,Inactive
2102,0.0168437321871,0.9831562678129,Inactive,Inactive
158,0.016687005780328,0.983312994219672,Inactive,Inactive
