No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
36,0.999996926465168,3.0735348318641E-06,Active,Active
2054,0.99999062334812,9.37665188014659E-06,Active,Inactive
28,0.999987743711356,1.22562886443695E-05,Active,Active
26,0.999982499143457,1.75008565426342E-05,Active,Active
35,0.999979773717449,2.02262825507872E-05,Active,Active
556,0.99997141079393,2.85892060700607E-05,Active,Inactive
6,0.999941639473191,5.83605268090847E-05,Active,Active
27,0.999840416473894,0.000159583526106,Active,Active
29,0.999714515160087,0.000285484839913,Active,Active
2055,0.999689988559726,0.000310011440274,Active,Inactive
10,0.993768477803194,0.006231522196806,Active,Active
13,0.992585078883669,0.007414921116331,Active,Active
5,0.986741741374394,0.013258258625607,Active,Active
18,0.978451148272923,0.021548851727076,Active,Active
2,0.973954055228715,0.026045944771284,Active,Active
976,0.953401793054572,0.046598206945428,Inactive,Inactive
997,0.913009530273246,0.086990469726754,Inactive,Inactive
9,0.690066104195447,0.309933895804552,Inactive,Active
1663,0.667815495020522,0.332184504979478,Inactive,Inactive
12,0.621044112340385,0.378955887659615,Inactive,Active
1739,0.451276448015782,0.548723551984218,Inactive,Inactive
17,0.378198668680828,0.621801331319172,Inactive,Active
32,0.204897428578377,0.795102571421623,Inactive,Active
974,0.186700581256952,0.813299418743048,Inactive,Inactive
208,0.147471195046368,0.852528804953632,Inactive,Inactive
1,0.135536613914224,0.864463386085776,Inactive,Active
8,0.12765098151456,0.87234901848544,Inactive,Active
1274,0.12340920036858,0.87659079963142,Inactive,Inactive
1341,0.09729702044413,0.90270297955587,Inactive,Inactive
933,0.09255686978359,0.90744313021641,Inactive,Inactive
870,0.084792464533486,0.915207535466514,Inactive,Inactive
0,0.08433612940219,0.91566387059781,Inactive,Active
1749,0.080871846011585,0.919128153988415,Inactive,Inactive
276,0.079135390515493,0.920864609484507,Inactive,Inactive
2110,0.079051573822558,0.920948426177442,Inactive,Inactive
1922,0.06817945286269,0.931820547137309,Inactive,Inactive
246,0.067313904213946,0.932686095786054,Inactive,Inactive
1049,0.063266350502795,0.936733649497205,Inactive,Inactive
503,0.052426471002734,0.947573528997266,Inactive,Inactive
4,0.050396645740675,0.949603354259325,Inactive,Active
943,0.047934208618802,0.952065791381198,Inactive,Inactive
1622,0.040050167908837,0.959949832091163,Inactive,Inactive
455,0.038349321413618,0.961650678586382,Inactive,Inactive
804,0.037152050021157,0.962847949978843,Inactive,Inactive
2205,0.03654756644563,0.96345243355437,Inactive,Inactive
311,0.035550076665436,0.964449923334564,Inactive,Inactive
458,0.034654425860092,0.965345574139908,Inactive,Inactive
1758,0.033690317927415,0.966309682072586,Inactive,Inactive
1135,0.033687076655858,0.966312923344142,Inactive,Inactive
1223,0.033261226877552,0.966738773122448,Inactive,Inactive
630,0.033090737864491,0.966909262135509,Inactive,Inactive
1530,0.032901688498615,0.967098311501385,Inactive,Inactive
308,0.032761864405545,0.967238135594455,Inactive,Inactive
1709,0.032554260818047,0.967445739181953,Inactive,Inactive
1719,0.03249332446123,0.96750667553877,Inactive,Inactive
23,0.032445393553501,0.9675546064465,Inactive,Active
412,0.030106150105124,0.969893849894876,Inactive,Inactive
1883,0.028763719509309,0.971236280490691,Inactive,Inactive
780,0.028498644494208,0.971501355505792,Inactive,Inactive
1805,0.028101335050862,0.971898664949138,Inactive,Inactive
1436,0.027701657822354,0.972298342177646,Inactive,Inactive
130,0.027312429711863,0.972687570288137,Inactive,Inactive
1163,0.027118143431307,0.972881856568693,Inactive,Inactive
994,0.026244210098285,0.973755789901715,Inactive,Inactive
1208,0.026182274204266,0.973817725795734,Inactive,Inactive
101,0.026103818002002,0.973896181997998,Inactive,Inactive
1603,0.025598911397501,0.974401088602499,Inactive,Inactive
502,0.025393518933414,0.974606481066586,Inactive,Inactive
420,0.02516241438055,0.97483758561945,Inactive,Inactive
1843,0.024647672673966,0.975352327326034,Inactive,Inactive
1759,0.024409615302553,0.975590384697447,Inactive,Inactive
1744,0.024337404706873,0.975662595293127,Inactive,Inactive
1201,0.023562009586903,0.976437990413097,Inactive,Inactive
1074,0.023525724463211,0.976474275536789,Inactive,Inactive
1803,0.023305903535172,0.976694096464828,Inactive,Inactive
99,0.023115875790091,0.976884124209909,Inactive,Inactive
30,0.022801823272517,0.977198176727483,Inactive,Active
1104,0.022465056390003,0.977534943609998,Inactive,Inactive
905,0.022007531209948,0.977992468790052,Inactive,Inactive
1266,0.021957701286895,0.978042298713105,Inactive,Inactive
718,0.021846232844904,0.978153767155096,Inactive,Inactive
465,0.021808635155158,0.978191364844843,Inactive,Inactive
416,0.021647559728784,0.978352440271216,Inactive,Inactive
1694,0.020907172375437,0.979092827624563,Inactive,Inactive
992,0.020550010186994,0.979449989813006,Inactive,Inactive
1267,0.020514951826828,0.979485048173172,Inactive,Inactive
2141,0.020491493448198,0.979508506551802,Inactive,Inactive
1424,0.019484545339501,0.980515454660499,Inactive,Inactive
369,0.019468600068075,0.980531399931925,Inactive,Inactive
31,0.019222329533188,0.980777670466812,Inactive,Active
341,0.019114418944171,0.980885581055829,Inactive,Inactive
1105,0.01868284853885,0.98131715146115,Inactive,Inactive
1438,0.018329544874599,0.981670455125401,Inactive,Inactive
1368,0.017899421858779,0.982100578141221,Inactive,Inactive
1609,0.017720603030173,0.982279396969827,Inactive,Inactive
1962,0.017647972997528,0.982352027002472,Inactive,Inactive
1048,0.01759987629081,0.98240012370919,Inactive,Inactive
71,0.017573605476933,0.982426394523067,Inactive,Inactive
1542,0.017463366536725,0.982536633463276,Inactive,Inactive
1108,0.017178226937678,0.982821773062322,Inactive,Inactive
1344,0.01675013584404,0.98324986415596,Inactive,Inactive
400,0.016662782912729,0.983337217087271,Inactive,Inactive
1657,0.016591470721197,0.983408529278803,Inactive,Inactive
940,0.016486173821575,0.983513826178424,Inactive,Inactive
2204,0.01627129275986,0.98372870724014,Inactive,Inactive
600,0.015935492699589,0.984064507300411,Inactive,Inactive
1192,0.015932159770554,0.984067840229446,Inactive,Inactive
394,0.01572797643983,0.98427202356017,Inactive,Inactive
316,0.015714695750786,0.984285304249214,Inactive,Inactive
15,0.01569258695614,0.98430741304386,Inactive,Active
333,0.015593645595867,0.984406354404133,Inactive,Inactive
252,0.015587523652134,0.984412476347866,Inactive,Inactive
592,0.01556184114732,0.98443815885268,Inactive,Inactive
2102,0.015497417687405,0.984502582312595,Inactive,Inactive
158,0.015351858793808,0.984648141206192,Inactive,Inactive
1188,0.015328107530922,0.984671892469078,Inactive,Inactive
711,0.015301843711914,0.984698156288086,Inactive,Inactive
969,0.015290027997357,0.984709972002643,Inactive,Inactive
1691,0.015089654300313,0.984910345699687,Inactive,Inactive
1422,0.014964003550877,0.985035996449123,Inactive,Inactive
742,0.014857037334811,0.985142962665189,Inactive,Inactive
1264,0.014820531280107,0.985179468719893,Inactive,Inactive
982,0.014772740618719,0.985227259381282,Inactive,Inactive
741,0.014738268022907,0.985261731977093,Inactive,Inactive
670,0.014716727745247,0.985283272254753,Inactive,Inactive
1077,0.014564311659661,0.985435688340339,Inactive,Inactive
34,0.014539266487454,0.985460733512547,Inactive,Active
287,0.014509830081621,0.985490169918379,Inactive,Inactive
431,0.014409313894934,0.985590686105066,Inactive,Inactive
340,0.014368968962644,0.985631031037356,Inactive,Inactive
1377,0.014276210301181,0.985723789698819,Inactive,Inactive
2020,0.014271923968296,0.985728076031704,Inactive,Inactive
1363,0.014169628904956,0.985830371095044,Inactive,Inactive
1206,0.014100923566862,0.985899076433138,Inactive,Inactive
777,0.014046885563125,0.985953114436876,Inactive,Inactive
248,0.014037743422132,0.985962256577868,Inactive,Inactive
1634,0.013966354351452,0.986033645648548,Inactive,Inactive
1125,0.013936795355326,0.986063204644674,Inactive,Inactive
669,0.013803552300147,0.986196447699853,Inactive,Inactive
1241,0.013801616432852,0.986198383567148,Inactive,Inactive
2009,0.013731697170685,0.986268302829316,Inactive,Inactive
912,0.013701059717079,0.986298940282921,Inactive,Inactive
211,0.013692237407255,0.986307762592745,Inactive,Inactive
1126,0.013627065854663,0.986372934145338,Inactive,Inactive
407,0.013605981289539,0.986394018710461,Inactive,Inactive
305,0.013588687214383,0.986411312785617,Inactive,Inactive
1625,0.013572480589763,0.986427519410237,Inactive,Inactive
2002,0.013484188641404,0.986515811358597,Inactive,Inactive
439,0.013366482222486,0.986633517777514,Inactive,Inactive
442,0.013349131496439,0.986650868503561,Inactive,Inactive
1693,0.013310538016864,0.986689461983136,Inactive,Inactive
1951,0.013271165584287,0.986728834415714,Inactive,Inactive
1200,0.013270208454247,0.986729791545753,Inactive,Inactive
448,0.013268709956037,0.986731290043963,Inactive,Inactive
368,0.013257710199372,0.986742289800628,Inactive,Inactive
33,0.013142124396328,0.986857875603672,Inactive,Active
608,0.013086274531827,0.986913725468173,Inactive,Inactive
579,0.013082726768485,0.986917273231515,Inactive,Inactive
1330,0.013036401223592,0.986963598776409,Inactive,Inactive
117,0.012982294946687,0.987017705053313,Inactive,Inactive
1283,0.012980886391402,0.987019113608598,Inactive,Inactive
1168,0.012915873381398,0.987084126618602,Inactive,Inactive
1714,0.012900414910179,0.987099585089821,Inactive,Inactive
965,0.012819338392163,0.987180661607836,Inactive,Inactive
650,0.01278457792996,0.98721542207004,Inactive,Inactive
908,0.012766920916805,0.987233079083195,Inactive,Inactive
2199,0.012705965020431,0.987294034979569,Inactive,Inactive
1742,0.012663660547126,0.987336339452874,Inactive,Inactive
725,0.012570689112931,0.987429310887069,Inactive,Inactive
1022,0.012556089921954,0.987443910078046,Inactive,Inactive
1319,0.01254127321369,0.98745872678631,Inactive,Inactive
805,0.01253779583372,0.98746220416628,Inactive,Inactive
77,0.012491301416332,0.987508698583668,Inactive,Inactive
1413,0.012437133791631,0.98756286620837,Inactive,Inactive
1705,0.012432769804266,0.987567230195734,Inactive,Inactive
564,0.012227134506072,0.987772865493928,Inactive,Inactive
1518,0.012157224937045,0.987842775062955,Inactive,Inactive
146,0.012152000968622,0.987847999031377,Inactive,Inactive
2019,0.012128622457486,0.987871377542514,Inactive,Inactive
817,0.012107156247237,0.987892843752763,Inactive,Inactive
1288,0.012062667591749,0.987937332408251,Inactive,Inactive
7,0.012005922156363,0.987994077843637,Inactive,Active
918,0.011919803652867,0.988080196347133,Inactive,Inactive
683,0.011893594427243,0.988106405572757,Inactive,Inactive
691,0.011881672532003,0.988118327467997,Inactive,Inactive
565,0.011858937925248,0.988141062074752,Inactive,Inactive
2143,0.011798897037233,0.988201102962767,Inactive,Inactive
1590,0.011797944635281,0.988202055364719,Inactive,Inactive
1085,0.011776599173278,0.988223400826722,Inactive,Inactive
1890,0.011774596876427,0.988225403123573,Inactive,Inactive
868,0.011770051787118,0.988229948212882,Inactive,Inactive
56,0.011683686851082,0.988316313148918,Inactive,Inactive
367,0.011682780020727,0.988317219979272,Inactive,Inactive
51,0.011665616436501,0.988334383563499,Inactive,Inactive
1244,0.011638524130665,0.988361475869334,Inactive,Inactive
381,0.011637371680639,0.988362628319362,Inactive,Inactive
1773,0.011592525841917,0.988407474158083,Inactive,Inactive
139,0.011588774679897,0.988411225320103,Inactive,Inactive
1492,0.01158106683823,0.98841893316177,Inactive,Inactive
1536,0.011571265315018,0.988428734684982,Inactive,Inactive
