No.,Active_Prob,Predicted_Class,Real_Class
0,1,Active,Active
13,1,Active,Active
33,1,Active,Active
225,1,Active,Inactive
391,1,Active,Inactive
500,1,Active,Inactive
544,1,Active,Inactive
565,1,Active,Inactive
763,1,Active,Inactive
806,1,Active,Inactive
1052,1,Active,Inactive
1054,1,Active,Inactive
1112,1,Active,Inactive
9,0.9999999,Active,Active
457,0.9999999,Active,Inactive
4,0.99999976,Active,Active
1216,0.9999996,Active,Inactive
675,0.99999946,Active,Inactive
37,0.99999934,Active,Active
713,0.99999905,Active,Inactive
1148,0.9999988,Active,Inactive
275,0.99999726,Active,Inactive
615,0.9999964,Active,Inactive
1170,0.9999939,Active,Inactive
1232,0.999989,Active,Inactive
438,0.99998873,Active,Inactive
6,0.9999795,Active,Active
235,0.9999788,Active,Inactive
15,0.9999782,Active,Active
244,0.9999763,Active,Inactive
443,0.9999728,Active,Inactive
277,0.99997044,Active,Inactive
757,0.99994594,Active,Inactive
736,0.9999457,Active,Inactive
194,0.9999399,Active,Inactive
960,0.9999256,Active,Inactive
1177,0.9999137,Active,Inactive
274,0.9999093,Active,Inactive
3,0.9999035,Active,Active
351,0.9998727,Active,Inactive
1217,0.99986684,Active,Inactive
323,0.99980056,Active,Inactive
111,0.99971116,Active,Inactive
688,0.9997031,Active,Inactive
92,0.9996866,Active,Inactive
54,0.9996766,Active,Inactive
939,0.99964535,Active,Inactive
1239,0.9995821,Active,Inactive
284,0.9995447,Active,Inactive
173,0.999483,Active,Inactive
518,0.99948037,Active,Inactive
487,0.9993099,Active,Inactive
427,0.99920154,Active,Inactive
333,0.9991069,Active,Inactive
504,0.9990559,Active,Inactive
310,0.9988992,Active,Inactive
22,0.9988758,Active,Active
710,0.9988481,Active,Inactive
749,0.9988316,Active,Inactive
1171,0.99879396,Active,Inactive
164,0.9983847,Active,Inactive
665,0.9983568,Active,Inactive
890,0.9980954,Active,Inactive
515,0.99786615,Active,Inactive
1172,0.9976262,Active,Inactive
75,0.99746376,Active,Inactive
1134,0.9971569,Active,Inactive
1129,0.99663866,Active,Inactive
1236,0.9966375,Active,Inactive
777,0.996455,Active,Inactive
1102,0.9961755,Active,Inactive
329,0.9956471,Active,Inactive
21,0.9955635,Active,Active
703,0.9954551,Active,Inactive
429,0.9952014,Active,Inactive
501,0.99518406,Active,Inactive
67,0.9951736,Active,Inactive
868,0.9951689,Active,Inactive
792,0.9939412,Active,Inactive
877,0.99376607,Active,Inactive
1111,0.99366474,Active,Inactive
1128,0.99324834,Active,Inactive
62,0.9926595,Active,Inactive
1135,0.99207354,Active,Inactive
963,0.99202836,Active,Inactive
967,0.9909005,Active,Inactive
332,0.99089074,Active,Inactive
161,0.9904995,Active,Inactive
18,0.99036163,Active,Active
1063,0.98939586,Active,Inactive
1136,0.9893099,Active,Inactive
258,0.9891742,Active,Inactive
797,0.98899317,Active,Inactive
511,0.98888135,Active,Inactive
250,0.9886854,Active,Inactive
1204,0.9885449,Active,Inactive
445,0.988392,Active,Inactive
582,0.9871123,Active,Inactive
1184,0.98687637,Active,Inactive
733,0.98521966,Active,Inactive
