No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
500,0.96840924,0.031590734,Active,Inactive
33,0.9679876,0.03201239,Active,Active
427,0.9620532,0.03794683,Active,Inactive
22,0.95882416,0.04117586,Active,Active
37,0.95299757,0.047002442,Active,Active
274,0.9298661,0.07013393,Active,Inactive
26,0.92577565,0.07422432,Active,Active
162,0.92459047,0.07540955,Active,Inactive
1230,0.9242143,0.075785704,Active,Inactive
781,0.92261744,0.07738255,Active,Inactive
544,0.9220641,0.07793589,Active,Inactive
1132,0.9215702,0.07842985,Active,Inactive
248,0.9181202,0.08187979,Active,Inactive
1228,0.9134683,0.08653172,Active,Inactive
116,0.910497,0.08950301,Active,Inactive
736,0.9102251,0.08977491,Active,Inactive
339,0.90852857,0.09147144,Active,Inactive
247,0.9082464,0.09175358,Active,Inactive
1091,0.9038783,0.096121706,Active,Inactive
1220,0.89571166,0.10428833,Active,Inactive
892,0.88494754,0.11505249,Active,Inactive
20,0.88396317,0.11603685,Active,Active
328,0.88386494,0.11613506,Active,Inactive
890,0.87954545,0.120454535,Active,Inactive
73,0.87100047,0.12899952,Active,Inactive
67,0.8695658,0.13043423,Active,Inactive
287,0.86844146,0.13155854,Active,Inactive
244,0.86560684,0.13439316,Active,Inactive
1117,0.8610508,0.13894923,Active,Inactive
54,0.85331666,0.1466833,Active,Inactive
15,0.85253304,0.14746697,Active,Active
5,0.84929883,0.1507012,Active,Active
754,0.84761524,0.15238476,Active,Inactive
18,0.84246814,0.15753184,Active,Active
257,0.84147185,0.15852816,Active,Inactive
1102,0.84015083,0.15984915,Active,Inactive
291,0.8278255,0.1721745,Active,Inactive
250,0.8264366,0.1735634,Active,Inactive
29,0.82620895,0.17379105,Active,Active
0,0.8233955,0.17660451,Active,Active
925,0.8162587,0.18374129,Active,Inactive
64,0.8137095,0.18629053,Active,Inactive
4,0.81369555,0.18630445,Active,Active
440,0.81285334,0.18714663,Active,Inactive
436,0.81074286,0.18925713,Active,Inactive
21,0.80765617,0.19234386,Active,Active
83,0.80513906,0.19486097,Active,Inactive
1136,0.8042435,0.19575651,Active,Inactive
501,0.80156803,0.19843198,Active,Inactive
441,0.7998015,0.20019849,Active,Inactive
62,0.7988983,0.20110174,Active,Inactive
356,0.7977825,0.2022175,Active,Inactive
1,0.79671735,0.20328264,Active,Active
56,0.7957312,0.20426884,Active,Inactive
438,0.7952282,0.2047718,Active,Inactive
511,0.78988737,0.21011265,Active,Inactive
39,0.7886778,0.21132222,Active,Active
1051,0.78416526,0.21583477,Active,Inactive
267,0.7832576,0.21674238,Active,Inactive
79,0.78294843,0.21705158,Active,Inactive
887,0.7804547,0.21954529,Active,Inactive
776,0.78041947,0.21958056,Active,Inactive
307,0.78007054,0.21992947,Active,Inactive
735,0.77932703,0.22067298,Active,Inactive
725,0.77903986,0.22096013,Active,Inactive
25,0.7763919,0.22360808,Active,Active
966,0.77442676,0.22557323,Active,Inactive
10,0.7740344,0.2259656,Active,Active
3,0.77033514,0.22966485,Active,Active
749,0.76686823,0.2331318,Active,Inactive
385,0.76531607,0.23468393,Active,Inactive
777,0.76301444,0.23698553,Active,Inactive
32,0.7621416,0.23785841,Active,Active
217,0.7619401,0.2380599,Active,Inactive
404,0.7615725,0.23842755,Active,Inactive
751,0.7604362,0.2395638,Active,Inactive
957,0.7584333,0.24156672,Active,Inactive
1171,0.7566011,0.24339893,Active,Inactive
148,0.75531,0.24469002,Active,Inactive
66,0.7550689,0.2449311,Active,Inactive
565,0.75427693,0.24572307,Active,Inactive
771,0.75195646,0.2480435,Active,Inactive
1111,0.7500679,0.2499321,Active,Inactive
377,0.74966395,0.25033605,Active,Inactive
175,0.7412927,0.25870726,Active,Inactive
101,0.7404223,0.2595777,Active,Inactive
795,0.7393966,0.26060343,Active,Inactive
235,0.7379695,0.26203045,Active,Inactive
958,0.7370776,0.2629224,Active,Inactive
199,0.7346246,0.2653754,Active,Inactive
908,0.7289819,0.2710181,Active,Inactive
1163,0.7248632,0.27513683,Active,Inactive
617,0.72438174,0.27561826,Active,Inactive
885,0.72288775,0.27711225,Active,Inactive
1177,0.721452,0.27854803,Active,Inactive
1161,0.7212459,0.27875414,Active,Inactive
451,0.7172996,0.2827004,Active,Inactive
2,0.71584404,0.28415594,Active,Active
194,0.71550703,0.284493,Active,Inactive
252,0.71414196,0.28585804,Active,Inactive
93,0.71190953,0.2880905,Active,Inactive
327,0.7115003,0.28849968,Active,Inactive
589,0.71068645,0.28931355,Active,Inactive
973,0.7097043,0.29029575,Active,Inactive
1116,0.7089169,0.29108307,Active,Inactive
454,0.7050588,0.29494122,Active,Inactive
1227,0.7048405,0.29515952,Active,Inactive
606,0.7037821,0.2962179,Active,Inactive
74,0.7029825,0.2970175,Active,Inactive
1174,0.70233035,0.29766968,Active,Inactive
418,0.7023234,0.29767662,Active,Inactive
756,0.7004589,0.29954115,Active,Inactive
759,0.69571817,0.30428186,Active,Inactive
755,0.69512546,0.30487454,Active,Inactive
