ID,Score,Real_Class
BDB50279858,0.714286,Active
ZINC08386280,0.692308,Inactive
BDB50013216,0.6875,Active
BDB50013217,0.6875,Active
ZINC24736591,0.666667,Inactive
ZINC16660613,0.642857,Inactive
ZINC31453866,0.642857,Inactive
ZINC14580443,0.642857,Inactive
ZINC14580448,0.642857,Inactive
ZINC23226647,0.642857,Inactive
BDB50215698,0.625,Active
ZINC08870583,0.615385,Inactive
ZINC27190370,0.615385,Inactive
ZINC11793703,0.615385,Inactive
ZINC23400421,0.615385,Inactive
ZINC31348291,0.6,Inactive
ZINC01650233,0.6,Inactive
ZINC14431711,0.6,Inactive
ZINC26406382,0.6,Inactive
ZINC11526506,0.583333,Inactive
ZINC14957098,0.583333,Inactive
ZINC02588288,0.583333,Inactive
ZINC31447572,0.583333,Inactive
BDB50013211,0.571429,Active
BDB50215696,0.571429,Active
ZINC22847198,0.571429,Inactive
ZINC10122568,0.571429,Inactive
ZINC23208799,0.571429,Inactive
ZINC31605431,0.571429,Inactive
ZINC31707892,0.571429,Inactive
ZINC09680692,0.571429,Inactive
ZINC05563687,0.571429,Inactive
ZINC16052448,0.571429,Inactive
ZINC21159191,0.571429,Inactive
ZINC03439608,0.571429,Inactive
ZINC12791658,0.571429,Inactive
ZINC13624700,0.571429,Inactive
ZINC24981825,0.571429,Inactive
ZINC29976203,0.571429,Inactive
ZINC31452404,0.571429,Inactive
ZINC28995812,0.571429,Inactive
ZINC30137259,0.571429,Inactive
ZINC24891531,0.5625,Inactive
ZINC14943219,0.5625,Inactive
ZINC16052279,0.5625,Inactive
ZINC19473099,0.545455,Inactive
ZINC04184009,0.545455,Inactive
ZINC30649330,0.538462,Inactive
ZINC29069567,0.538462,Inactive
ZINC08439508,0.538462,Inactive
ZINC06600688,0.538462,Inactive
ZINC27250760,0.538462,Inactive
ZINC04211825,0.538462,Inactive
ZINC21037779,0.538462,Inactive
ZINC18181130,0.538462,Inactive
ZINC21082202,0.538462,Inactive
ZINC28724346,0.538462,Inactive
ZINC14563954,0.538462,Inactive
BDB50013212,0.533333,Active
ZINC16673672,0.533333,Inactive
ZINC21542745,0.533333,Inactive
ZINC14442112,0.533333,Inactive
ZINC23050247,0.533333,Inactive
ZINC18980873,0.533333,Inactive
ZINC15482568,0.533333,Inactive
ZINC03285150,0.533333,Inactive
ZINC21320843,0.533333,Inactive
ZINC27758928,0.533333,Inactive
ZINC08794787,0.533333,Inactive
ZINC01425290,0.533333,Inactive
ZINC11305343,0.533333,Inactive
ZINC28143197,0.533333,Inactive
ZINC30454266,0.533333,Inactive
ZINC12621077,0.533333,Inactive
ZINC14524883,0.533333,Inactive
BDB50215684,0.5,Active
BDB50215672,0.5,Active
ZINC16665507,0.5,Inactive
ZINC03982221,0.5,Inactive
ZINC12137693,0.5,Inactive
ZINC20375512,0.5,Inactive
ZINC02140021,0.5,Inactive
ZINC16052311,0.5,Inactive
ZINC05933210,0.5,Inactive
ZINC00153553,0.5,Inactive
ZINC08444023,0.5,Inactive
ZINC31525025,0.5,Inactive
ZINC27815790,0.5,Inactive
ZINC28282662,0.5,Inactive
ZINC14479685,0.5,Inactive
ZINC05185538,0.5,Inactive
ZINC14943516,0.5,Inactive
ZINC14948798,0.5,Inactive
ZINC14949517,0.5,Inactive
ZINC06162576,0.5,Inactive
ZINC00695539,0.5,Inactive
ZINC25140688,0.5,Inactive
ZINC21080913,0.5,Inactive
ZINC00825240,0.5,Inactive
ZINC20918144,0.5,Inactive
ZINC04209669,0.5,Inactive
ZINC14942814,0.5,Inactive
ZINC10188444,0.5,Inactive
ZINC28875624,0.5,Inactive
ZINC23012080,0.5,Inactive
ZINC22834799,0.5,Inactive
ZINC21317181,0.5,Inactive
ZINC16363089,0.5,Inactive
ZINC00846682,0.5,Inactive
ZINC30961399,0.5,Inactive
