ID,Score,Real_Class
BDB50013217,8.0820823836,Active
BDB50013216,7.96024229227,Active
BDB50215707,7.85548132417,Active
BDB50215678,7.66090273321,Active
BDB50215684,7.65520610716,Active
BDB50215704,7.5087523195,Active
BDB50215672,7.45408106586,Active
BDB50215685,7.44662967336,Active
BDB50215699,7.37875689373,Active
BDB50215700,7.31679108091,Active
BDB50215688,7.31466970784,Active
BDB50215683,7.27365167363,Active
BDB50215686,7.2135616044,Active
BDB50215696,7.20350961737,Active
BDB50215691,7.19414763231,Active
BDB50215693,7.17770387123,Active
BDB50215666,7.12862955241,Active
BDB50215667,7.11210608081,Active
BDB50215708,7.03988303269,Active
BDB50215692,6.99907030654,Active
BDB50215682,6.96833396667,Active
ZINC17307080,6.94656158963,Inactive
ZINC05582109,6.8978127431,Inactive
BDB50013210,6.89336183358,Active
BDB50215676,6.87947534002,Active
BDB50013219,6.83645026981,Active
BDB50215687,6.81302079744,Active
ZINC14951327,6.81146807172,Inactive
ZINC22450541,6.79586203843,Inactive
ZINC05085724,6.78484033644,Inactive
ZINC14957311,6.77333453324,Inactive
ZINC06089726,6.76359338104,Inactive
BDB50215698,6.75860882494,Active
BDB50013212,6.71732083,Active
ZINC05731846,6.70253565432,Inactive
ZINC06924833,6.68832529776,Inactive
ZINC26406548,6.68641698159,Inactive
ZINC08398697,6.68347682752,Inactive
BDB50215675,6.67676850086,Active
ZINC14943030,6.6661340374,Inactive
BDB50215689,6.66465706825,Active
BDB50007277,6.66289150936,Active
ZINC03771359,6.65922744768,Inactive
ZINC06599901,6.65859640057,Inactive
ZINC29748846,6.65721571731,Inactive
ZINC05822745,6.65567059578,Inactive
ZINC08384625,6.6556166276,Inactive
ZINC16052311,6.64707582681,Inactive
ZINC05085717,6.64302116308,Inactive
ZINC09908065,6.63913868061,Inactive
ZINC16052288,6.63448919095,Inactive
ZINC08399384,6.62686103719,Inactive
ZINC09908066,6.6211079585,Inactive
ZINC26326834,6.61672139214,Inactive
ZINC14943514,6.60483730218,Inactive
BDB50013211,6.60460554795,Active
ZINC06005102,6.60400387068,Inactive
ZINC02387946,6.59728551438,Inactive
ZINC04261189,6.59057459624,Inactive
ZINC04044961,6.57835632337,Inactive
ZINC14971543,6.57713112535,Inactive
ZINC13147688,6.57469226523,Inactive
ZINC08439508,6.57417230761,Inactive
ZINC06135758,6.57244009912,Inactive
ZINC03079739,6.57199301711,Inactive
ZINC14742814,6.56630065305,Inactive
ZINC14971791,6.56025118702,Inactive
ZINC16051808,6.55892865323,Inactive
ZINC06906532,6.5585334608,Inactive
ZINC17157938,6.55720767473,Inactive
ZINC05085714,6.55709338755,Inactive
ZINC04691868,6.55673920918,Inactive
BDB50013221,6.55629281651,Active
ZINC04221645,6.55273411072,Inactive
ZINC14944100,6.54812107391,Inactive
ZINC06005114,6.5480270955,Inactive
ZINC06078455,6.54759196384,Inactive
ZINC14943132,6.54741688435,Inactive
ZINC14908107,6.54591734819,Inactive
ZINC14943513,6.54454627772,Inactive
ZINC15482568,6.54051441972,Inactive
ZINC29492079,6.53527259126,Inactive
ZINC14962144,6.52871023033,Inactive
ZINC05542161,6.52695674819,Inactive
ZINC14943519,6.52385706225,Inactive
ZINC14943131,6.51721165463,Inactive
ZINC17194836,6.51589921501,Inactive
ZINC05742097,6.51368170217,Inactive
ZINC13364613,6.51360978151,Inactive
ZINC14946117,6.50881601255,Inactive
ZINC22418668,6.50865707189,Inactive
ZINC15070094,6.50812792361,Inactive
ZINC14956556,6.50664916809,Inactive
ZINC05723918,6.50641823768,Inactive
ZINC05105597,6.50617926673,Inactive
