ID,Score,Real_Class
ZINC06239727,10.4,Inactive
ZINC05760711,10.3,Inactive
ZINC04068965,10.2,Inactive
ZINC03456346,10.1,Inactive
ZINC04018262,10,Inactive
ZINC06089726,9.9,Inactive
ZINC04213510,9.9,Inactive
ZINC14944102,9.9,Inactive
ZINC04068803,9.9,Inactive
ZINC04068946,9.9,Inactive
ZINC04068971,9.8,Inactive
BDB50215698,9.7,Active
ZINC04068624,9.7,Inactive
ZINC02968854,9.7,Inactive
ZINC04068807,9.7,Inactive
BDB50215693,9.6,Active
ZINC05496125,9.6,Inactive
ZINC08445208,9.5,Inactive
ZINC02854940,9.5,Inactive
ZINC03771359,9.5,Inactive
ZINC04282272,9.5,Inactive
ZINC06041760,9.5,Inactive
ZINC16052288,9.5,Inactive
ZINC03301280,9.5,Inactive
ZINC08439057,9.5,Inactive
ZINC00902663,9.4,Inactive
ZINC05723916,9.4,Inactive
ZINC14442112,9.4,Inactive
ZINC17654019,9.4,Inactive
ZINC04068947,9.4,Inactive
ZINC05063018,9.4,Inactive
BDB50215688,9.3,Active
ZINC28879271,9.3,Inactive
ZINC06924833,9.3,Inactive
ZINC16052311,9.3,Inactive
ZINC06511955,9.3,Inactive
ZINC05519380,9.3,Inactive
ZINC14944097,9.3,Inactive
ZINC05723918,9.3,Inactive
ZINC00902653,9.3,Inactive
ZINC25182109,9.3,Inactive
ZINC05519412,9.2,Inactive
ZINC29749819,9.2,Inactive
ZINC04069284,9.2,Inactive
ZINC16051808,9.2,Inactive
ZINC08439054,9.2,Inactive
BDB50215678,9.1,Active
ZINC23360475,9.1,Inactive
ZINC02975722,9.1,Inactive
ZINC01630656,9.1,Inactive
ZINC08439508,9.1,Inactive
ZINC06090013,9.1,Inactive
ZINC04068747,9.1,Inactive
ZINC02975721,9.1,Inactive
ZINC20836496,9.1,Inactive
ZINC04221645,9.1,Inactive
ZINC22834799,9.1,Inactive
ZINC01650233,9.1,Inactive
BDB50215675,9,Active
ZINC29749817,9,Inactive
ZINC06156953,9,Inactive
ZINC02450800,9,Inactive
ZINC02856843,9,Inactive
ZINC03285150,9,Inactive
ZINC14533637,9,Inactive
ZINC04354636,9,Inactive
ZINC22471839,9,Inactive
ZINC04068782,9,Inactive
ZINC14977739,9,Inactive
ZINC16688935,9,Inactive
ZINC14442081,9,Inactive
ZINC16884844,9,Inactive
ZINC20425025,9,Inactive
ZINC00846682,9,Inactive
ZINC06906533,9,Inactive
ZINC06599901,9,Inactive
BDB50215684,8.9,Active
BDB50215666,8.9,Active
BDB50215672,8.9,Active
BDB50215685,8.9,Active
ZINC26379186,8.9,Inactive
ZINC14971050,8.9,Inactive
ZINC14356500,8.9,Inactive
ZINC14157902,8.9,Inactive
ZINC06462149,8.9,Inactive
ZINC02948818,8.9,Inactive
ZINC08427215,8.9,Inactive
ZINC22623732,8.9,Inactive
ZINC03339144,8.9,Inactive
ZINC14942814,8.9,Inactive
ZINC04047442,8.9,Inactive
ZINC14973093,8.9,Inactive
ZINC03031896,8.9,Inactive
ZINC04068527,8.9,Inactive
ZINC29565892,8.9,Inactive
ZINC21075595,8.9,Inactive
BDB50215676,8.8,Active
BDB50215700,8.8,Active
BDB50215699,8.8,Active
BDB50215686,8.8,Active
ZINC14946120,8.8,Inactive
ZINC13609833,8.8,Inactive
ZINC02932767,8.8,Inactive
ZINC22091254,8.8,Inactive
ZINC13522547,8.8,Inactive
ZINC22450541,8.8,Inactive
ZINC14945145,8.8,Inactive
ZINC02948784,8.8,Inactive
ZINC08397414,8.8,Inactive
ZINC14946647,8.8,Inactive
ZINC12658489,8.8,Inactive
ZINC28111687,8.8,Inactive
ZINC02085306,8.8,Inactive
ZINC11460170,8.8,Inactive
ZINC19480601,8.8,Inactive
ZINC14951327,8.8,Inactive
ZINC15070094,8.8,Inactive
ZINC28106615,8.8,Inactive
ZINC04068576,8.8,Inactive
ZINC04282832,8.8,Inactive
ZINC29492079,8.8,Inactive
ZINC04261189,8.8,Inactive
ZINC26792087,8.8,Inactive
BDB50215683,8.7,Active
BDB50215667,8.7,Active
ZINC22847198,8.7,Inactive
ZINC08625303,8.7,Inactive
ZINC08437924,8.7,Inactive
ZINC14432559,8.7,Inactive
ZINC15171678,8.7,Inactive
ZINC20425146,8.7,Inactive
ZINC03304761,8.7,Inactive
ZINC08836223,8.7,Inactive
ZINC14956551,8.7,Inactive
ZINC04335686,8.7,Inactive
ZINC25255388,8.7,Inactive
ZINC03618727,8.7,Inactive
ZINC04302824,8.7,Inactive
ZINC14943132,8.7,Inactive
ZINC31841763,8.7,Inactive
ZINC15887943,8.7,Inactive
ZINC04014946,8.7,Inactive
ZINC02234033,8.7,Inactive
ZINC14908107,8.7,Inactive
ZINC22007497,8.7,Inactive
ZINC12529047,8.7,Inactive
ZINC14944086,8.7,Inactive
ZINC11296837,8.7,Inactive
ZINC06041759,8.7,Inactive
ZINC16665507,8.6,Inactive
ZINC02853264,8.6,Inactive
ZINC21325469,8.6,Inactive
ZINC11814036,8.6,Inactive
ZINC06906532,8.6,Inactive
ZINC26627357,8.6,Inactive
ZINC05582109,8.6,Inactive
ZINC08398703,8.6,Inactive
ZINC04118420,8.6,Inactive
