mol_name,activity,potency
BDB50013216,Active,11.698970004336
BDB50013211,Active,11
BDB50013210,Active,10.8538719643218
BDB50013217,Active,10.7447274948967
BDB50013212,Active,10.301029995664
BDB50013219,Active,9.97469413473523
BDB50215692,Active,9.69897000433602
BDB50013221,Active,9.56863623584101
BDB50215693,Active,9.52287874528034
BDB50215688,Active,9.52287874528034
BDB50215676,Active,9.52287874528034
BDB50215689,Active,9.52287874528034
BDB50215700,Active,9.39794000867204
BDB50215704,Active,9.22184874961636
BDB50215707,Active,9.15490195998574
BDB50215699,Active,9.15490195998574
BDB50215684,Active,9.09691001300805
BDB50215708,Active,9.09691001300805
BDB50013215,Active,9.08092190762392
BDB50215698,Active,8.92081875395237
BDB50215694,Active,8.92081875395237
BDB50215683,Active,8.85387196432176
BDB50215691,Active,8.82390874094432
BDB50215706,Active,8.74472749489669
BDB50215666,Active,8.74472749489669
BDB50215672,Active,8.72124639904717
BDB50215686,Active,8.65757731917779
BDB50215696,Active,8.58502665202918
BDB50215687,Active,8.52287874528034
BDB50215675,Active,8.52287874528034
BDB50215673,Active,8.52287874528034
BDB50215703,Active,8.50863830616573
BDB50215685,Active,8.46852108295774
BDB50215667,Active,8.45593195564972
BDB50215682,Active,8.42021640338319
BDB50007277,Active,8.38721614328026
BDB50215678,Active,8.32790214206428
BDB50007286,Active,7.30102999566398
BDB50279858,Active,8.52287874528034
BDB50160720,Active,7.62893213772826
ZINC09209423,Inactive,
ZINC01631758,Inactive,
ZINC14978278,Inactive,
ZINC14946120,Inactive,
ZINC10536068,Inactive,
ZINC22847198,Inactive,
ZINC02852384,Inactive,
ZINC20644548,Inactive,
ZINC16102225,Inactive,
ZINC31362792,Inactive,
ZINC09648375,Inactive,
ZINC16665507,Inactive,
ZINC08386277,Inactive,
ZINC10011641,Inactive,
ZINC22447045,Inactive,
ZINC29747690,Inactive,
ZINC06361308,Inactive,
ZINC02857930,Inactive,
ZINC09461105,Inactive,
ZINC21325573,Inactive,
ZINC28113050,Inactive,
ZINC04208883,Inactive,
ZINC05839992,Inactive,
ZINC00735544,Inactive,
ZINC08396923,Inactive,
ZINC14971791,Inactive,
ZINC23474832,Inactive,
ZINC20911014,Inactive,
ZINC13744227,Inactive,
ZINC08797071,Inactive,
ZINC05496125,Inactive,
ZINC08758486,Inactive,
ZINC20292462,Inactive,
ZINC28879271,Inactive,
ZINC00902663,Inactive,
ZINC21038552,Inactive,
ZINC02853264,Inactive,
ZINC14535393,Inactive,
ZINC16673672,Inactive,
ZINC29749817,Inactive,
ZINC15280135,Inactive,
ZINC28855033,Inactive,
ZINC14946752,Inactive,
ZINC03982221,Inactive,
ZINC13143623,Inactive,
ZINC10478975,Inactive,
ZINC08836649,Inactive,
ZINC08671163,Inactive,
ZINC08625303,Inactive,
ZINC27457877,Inactive,
ZINC31905721,Inactive,
ZINC14963282,Inactive,
ZINC13609833,Inactive,
ZINC12137693,Inactive,
ZINC21457069,Inactive,
