No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
5,0.999605016994376,0.000394983005624,Active,Active
27,0.998286617149798,0.001713382850202,Active,Active
13,0.997582467755219,0.002417532244781,Active,Active
19,0.997099253885833,0.002900746114167,Active,Active
25,0.995756501045994,0.004243498954006,Active,Active
23,0.995367232256788,0.004632767743212,Active,Active
3,0.973054639954854,0.026945360045146,Active,Active
11,0.9723076644373,0.0276923355627,Active,Active
20,0.962000685338077,0.037999314661923,Active,Active
6,0.889929218846616,0.110070781153384,Active,Active
2,0.783613471593641,0.216386528406359,Active,Active
26,0.73569229617019,0.26430770382981,Active,Active
30,0.683975831913683,0.316024168086317,Active,Active
7,0.669956742931517,0.330043257068483,Active,Active
28,0.518686290145788,0.481313709854212,Active,Active
1438,0.465659205662318,0.534340794337682,Inactive,Inactive
1587,0.176386752885604,0.823613247114396,Inactive,Inactive
22,0.160929588199427,0.839070411800573,Inactive,Active
1856,0.119354929533277,0.880645070466724,Inactive,Inactive
1534,0.090650186270142,0.909349813729858,Inactive,Inactive
1214,0.074554121025977,0.925445878974023,Inactive,Inactive
8,0.06332744379691,0.93667255620309,Inactive,Active
10,0.048733010109521,0.951266989890479,Inactive,Active
767,0.021684409647307,0.978315590352693,Inactive,Inactive
18,0.014372300067793,0.985627699932207,Inactive,Active
1766,0.009390559048763,0.990609440951237,Inactive,Inactive
1778,0.008940212958385,0.991059787041615,Inactive,Inactive
224,0.008412979204345,0.991587020795655,Inactive,Inactive
910,0.008345590989304,0.991654409010696,Inactive,Inactive
1279,0.007463013492422,0.992536986507578,Inactive,Inactive
1543,0.005380089978683,0.994619910021317,Inactive,Inactive
1648,0.005097251894044,0.994902748105956,Inactive,Inactive
294,0.004350652824386,0.995649347175614,Inactive,Inactive
1,0.003690261031534,0.996309738968466,Inactive,Active
1836,0.003564590391396,0.996435409608604,Inactive,Inactive
1422,0.003095075026288,0.996904924973711,Inactive,Inactive
1352,0.002973123158943,0.997026876841057,Inactive,Inactive
1439,0.002810743692196,0.997189256307804,Inactive,Inactive
2021,0.002723974188674,0.997276025811326,Inactive,Inactive
1416,0.002386073075951,0.997613926924049,Inactive,Inactive
15,0.002147517979541,0.997852482020459,Inactive,Active
1740,0.00198494549932,0.99801505450068,Inactive,Inactive
443,0.001767800773357,0.998232199226643,Inactive,Inactive
815,0.001723982672239,0.998276017327761,Inactive,Inactive
131,0.001657456661795,0.998342543338205,Inactive,Inactive
1376,0.001617957445115,0.998382042554886,Inactive,Inactive
1981,0.001602127275538,0.998397872724462,Inactive,Inactive
853,0.001564349062641,0.998435650937359,Inactive,Inactive
305,0.001532201963731,0.998467798036269,Inactive,Inactive
1366,0.001531947944118,0.998468052055882,Inactive,Inactive
1646,0.001450666167571,0.998549333832429,Inactive,Inactive
1884,0.001339349186131,0.998660650813869,Inactive,Inactive
444,0.001333029724628,0.998666970275372,Inactive,Inactive
466,0.001288016788645,0.998711983211355,Inactive,Inactive
4,0.001278265884272,0.998721734115728,Inactive,Active
1764,0.001262444245865,0.998737555754135,Inactive,Inactive
1691,0.001211498011621,0.998788501988379,Inactive,Inactive
1801,0.001168092410468,0.998831907589532,Inactive,Inactive
9,0.001149889064388,0.998850110935612,Inactive,Active
1117,0.001094792731278,0.998905207268722,Inactive,Inactive
1049,0.001077446848084,0.998922553151916,Inactive,Inactive
436,0.001066759377295,0.998933240622706,Inactive,Inactive
1465,0.001035388593118,0.998964611406882,Inactive,Inactive
1130,0.000889392657426,0.999110607342574,Inactive,Inactive
2011,0.000830151182316,0.999169848817684,Inactive,Inactive
1585,0.000704724567231,0.999295275432769,Inactive,Inactive
1342,0.00066697536073,0.99933302463927,Inactive,Inactive
1901,0.000661052464104,0.999338947535896,Inactive,Inactive
2004,0.000653213014169,0.999346786985831,Inactive,Inactive
2017,0.000616911913229,0.999383088086771,Inactive,Inactive
1276,0.000586961141057,0.999413038858943,Inactive,Inactive
1784,0.000560643751573,0.999439356248427,Inactive,Inactive
1054,0.000552359684785,0.999447640315216,Inactive,Inactive
1874,0.000545190110119,0.999454809889881,Inactive,Inactive
69,0.000534321900631,0.999465678099369,Inactive,Inactive
1700,0.000499532778822,0.999500467221178,Inactive,Inactive
1139,0.000496942108167,0.999503057891833,Inactive,Inactive
1789,0.000486843191234,0.999513156808766,Inactive,Inactive
1593,0.00047840053486,0.99952159946514,Inactive,Inactive
1468,0.000464824014613,0.999535175985387,Inactive,Inactive
469,0.000452172025457,0.999547827974543,Inactive,Inactive
