No.,Active_Prob,Predicted_Class,Real_Class
2,1,Active,Active
3,1,Active,Active
5,1,Active,Active
6,1,Active,Active
7,1,Active,Active
10,1,Active,Active
11,1,Active,Active
13,1,Active,Active
18,1,Active,Active
19,1,Active,Active
20,1,Active,Active
22,1,Active,Active
23,1,Active,Active
25,1,Active,Active
26,1,Active,Active
27,1,Active,Active
30,1,Active,Active
1438,1,Active,Inactive
1587,1,Active,Inactive
28,0.99999905,Active,Active
2021,0.99998623,Active,Inactive
16,0.99993515,Active,Active
1543,0.99963593,Active,Inactive
1,0.9990972,Active,Active
326,0.6172179,Active,Inactive
676,0.3856429,Inactive,Inactive
973,0.0064729154,Inactive,Inactive
120,0.00044944882,Inactive,Inactive
50,7.665584E-05,Inactive,Inactive
1562,4.9756E-05,Inactive,Inactive
8,3.607526E-05,Inactive,Active
1214,2.2687986E-05,Inactive,Inactive
4,2.1933022E-07,Inactive,Active
1810,6.768974E-08,Inactive,Inactive
581,2.3957242E-08,Inactive,Inactive
290,5.100305E-09,Inactive,Inactive
1521,2.653645E-09,Inactive,Inactive
1784,2.0606348E-09,Inactive,Inactive
116,1.7943957E-09,Inactive,Inactive
2096,1.335164E-09,Inactive,Inactive
9,1.156273E-09,Inactive,Active
61,9.741606E-10,Inactive,Inactive
1301,8.589168E-10,Inactive,Inactive
701,3.1446815E-10,Inactive,Inactive
909,1.7866221E-10,Inactive,Inactive
443,1.6675367E-10,Inactive,Inactive
305,3.7041793E-11,Inactive,Inactive
1151,3.4061358E-11,Inactive,Inactive
12,2.3211972E-11,Inactive,Active
1155,1.08096926E-11,Inactive,Inactive
1818,1.04315705E-11,Inactive,Inactive
1654,6.6425706E-12,Inactive,Inactive
609,1.8059711E-12,Inactive,Inactive
659,1.5393054E-12,Inactive,Inactive
541,9.0276294E-13,Inactive,Inactive
1558,5.8120896E-13,Inactive,Inactive
1875,5.207509E-13,Inactive,Inactive
522,4.1065038E-13,Inactive,Inactive
1245,3.8077088E-13,Inactive,Inactive
1996,3.5502244E-13,Inactive,Inactive
1668,1.1357548E-13,Inactive,Inactive
590,7.1528626E-14,Inactive,Inactive
985,4.6565162E-14,Inactive,Inactive
1083,4.0594024E-14,Inactive,Inactive
224,3.567239E-14,Inactive,Inactive
1639,3.5490985E-14,Inactive,Inactive
1694,2.9669782E-14,Inactive,Inactive
1586,1.62348E-14,Inactive,Inactive
189,1.4386116E-14,Inactive,Inactive
24,1.3554699E-14,Inactive,Active
1503,9.3288905E-15,Inactive,Inactive
1932,8.964083E-15,Inactive,Inactive
1202,8.402783E-15,Inactive,Inactive
826,6.32958E-15,Inactive,Inactive
1111,3.779738E-15,Inactive,Inactive
942,3.7618436E-15,Inactive,Inactive
1564,3.268496E-15,Inactive,Inactive
1259,3.0777268E-15,Inactive,Inactive
668,2.6744242E-15,Inactive,Inactive
1070,1.5680202E-15,Inactive,Inactive
1094,8.34461E-16,Inactive,Inactive
870,4.758081E-16,Inactive,Inactive
1710,4.7501375E-16,Inactive,Inactive
1408,3.5739846E-16,Inactive,Inactive
1040,3.4429594E-16,Inactive,Inactive
156,3.3861823E-16,Inactive,Inactive
1718,3.0027162E-16,Inactive,Inactive
1167,2.2739563E-16,Inactive,Inactive
1898,2.1252197E-16,Inactive,Inactive
497,1.7397093E-16,Inactive,Inactive
131,1.2544382E-16,Inactive,Inactive
383,7.500057E-17,Inactive,Inactive
29,7.076439E-17,Inactive,Active
1740,6.5959415E-17,Inactive,Inactive
512,6.210275E-17,Inactive,Inactive
1781,5.89176E-17,Inactive,Inactive
1643,5.779037E-17,Inactive,Inactive
180,5.6932406E-17,Inactive,Inactive
1072,3.9669643E-17,Inactive,Inactive
943,3.4630452E-17,Inactive,Inactive
841,3.330416E-17,Inactive,Inactive
1980,2.4397375E-17,Inactive,Inactive
1088,1.8261362E-17,Inactive,Inactive
934,1.7483907E-17,Inactive,Inactive
580,1.7451322E-17,Inactive,Inactive
653,1.4332686E-17,Inactive,Inactive
862,1.205631E-17,Inactive,Inactive
2008,1.18123004E-17,Inactive,Inactive
2053,1.0579998E-17,Inactive,Inactive
125,9.465272E-18,Inactive,Inactive
1445,8.40588E-18,Inactive,Inactive
1294,7.715582E-18,Inactive,Inactive
612,5.858699E-18,Inactive,Inactive
103,5.5757565E-18,Inactive,Inactive
1281,4.636646E-18,Inactive,Inactive
263,4.1720364E-18,Inactive,Inactive
451,4.158102E-18,Inactive,Inactive
144,4.1341565E-18,Inactive,Inactive
2060,3.755744E-18,Inactive,Inactive
682,3.3170507E-18,Inactive,Inactive
1223,2.6307886E-18,Inactive,Inactive
1778,2.5524655E-18,Inactive,Inactive
51,2.332742E-18,Inactive,Inactive
961,1.6664614E-18,Inactive,Inactive
873,1.4727917E-18,Inactive,Inactive
1449,1.3586846E-18,Inactive,Inactive
1682,1.3467029E-18,Inactive,Inactive
1110,1.3315364E-18,Inactive,Inactive
142,1.313596E-18,Inactive,Inactive
1814,1.1614399E-18,Inactive,Inactive
1498,1.0080223E-18,Inactive,Inactive
1601,9.707637E-19,Inactive,Inactive
247,8.512427E-19,Inactive,Inactive
415,8.321043E-19,Inactive,Inactive
1307,6.924647E-19,Inactive,Inactive
1739,6.180726E-19,Inactive,Inactive
1466,5.1730035E-19,Inactive,Inactive
2068,5.043792E-19,Inactive,Inactive
2045,4.618003E-19,Inactive,Inactive
1892,4.409388E-19,Inactive,Inactive
1034,4.2256434E-19,Inactive,Inactive
1157,4.0910275E-19,Inactive,Inactive
1120,3.917903E-19,Inactive,Inactive
167,3.385157E-19,Inactive,Inactive
370,3.2928305E-19,Inactive,Inactive
1835,2.987231E-19,Inactive,Inactive
840,2.9506835E-19,Inactive,Inactive
803,2.9270957E-19,Inactive,Inactive
662,2.8059654E-19,Inactive,Inactive
1646,2.5385687E-19,Inactive,Inactive
1984,2.5197072E-19,Inactive,Inactive
713,2.0300088E-19,Inactive,Inactive
1265,2.0076906E-19,Inactive,Inactive
1881,1.3842718E-19,Inactive,Inactive
1959,1.3760113E-19,Inactive,Inactive
1220,1.3555104E-19,Inactive,Inactive
89,1.2981478E-19,Inactive,Inactive
1043,1.2013465E-19,Inactive,Inactive
1794,9.537171E-20,Inactive,Inactive
1697,8.759248E-20,Inactive,Inactive
2041,7.663771E-20,Inactive,Inactive
314,7.596969E-20,Inactive,Inactive
1806,6.7250495E-20,Inactive,Inactive
273,6.039113E-20,Inactive,Inactive
1024,5.4331833E-20,Inactive,Inactive
345,5.2641742E-20,Inactive,Inactive
1738,4.9095958E-20,Inactive,Inactive
1941,4.401504E-20,Inactive,Inactive
1915,3.5462186E-20,Inactive,Inactive
1883,3.1066894E-20,Inactive,Inactive
