No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
5,0.999958180417346,4.18195826543773E-05,Active,Active
25,0.999685457854623,0.000314542145377,Active,Active
27,0.999672364894587,0.000327635105413,Active,Active
19,0.999544001159807,0.000455998840194,Active,Active
13,0.997050172439966,0.002949827560034,Active,Active
23,0.993332766480076,0.006667233519924,Active,Active
20,0.984799728020656,0.015200271979345,Active,Active
3,0.975532975845993,0.024467024154007,Active,Active
6,0.944775855264904,0.055224144735096,Active,Active
1438,0.914259459978654,0.085740540021346,Active,Inactive
2,0.894930431957092,0.105069568042908,Active,Active
11,0.890032375733642,0.109967624266358,Active,Active
7,0.764381863334949,0.235618136665051,Inactive,Active
30,0.47129144208794,0.52870855791206,Inactive,Active
28,0.451352110914861,0.548647889085139,Inactive,Active
10,0.409446551800779,0.590553448199221,Inactive,Active
1214,0.253241620551873,0.746758379448127,Inactive,Inactive
22,0.1342618653805,0.8657381346195,Inactive,Active
26,0.127055384411919,0.872944615588081,Inactive,Active
1810,0.111983360593794,0.888016639406206,Inactive,Inactive
1766,0.062336733621908,0.937663266378092,Inactive,Inactive
1587,0.062026900035341,0.937973099964659,Inactive,Inactive
8,0.054490119141087,0.945509880858913,Inactive,Active
1784,0.039472381715359,0.960527618284642,Inactive,Inactive
16,0.029235745579697,0.970764254420303,Inactive,Active
1279,0.027706230082856,0.972293769917144,Inactive,Inactive
1358,0.026956166208752,0.973043833791248,Inactive,Inactive
241,0.02150433459606,0.97849566540394,Inactive,Inactive
18,0.019944926562617,0.980055073437384,Inactive,Active
2021,0.019790620395366,0.980209379604634,Inactive,Inactive
1352,0.01953695005808,0.98046304994192,Inactive,Inactive
1139,0.019435577987583,0.980564422012418,Inactive,Inactive
14,0.019315609085905,0.980684390914095,Inactive,Active
1328,0.017660972675434,0.982339027324567,Inactive,Inactive
326,0.017456249075902,0.982543750924098,Inactive,Inactive
227,0.01737980775025,0.98262019224975,Inactive,Inactive
1901,0.017354400181908,0.982645599818092,Inactive,Inactive
821,0.017220342979248,0.982779657020752,Inactive,Inactive
61,0.017143256931241,0.982856743068758,Inactive,Inactive
1306,0.017002009041033,0.982997990958967,Inactive,Inactive
453,0.016072488350773,0.983927511649227,Inactive,Inactive
673,0.015802939710255,0.984197060289745,Inactive,Inactive
1445,0.014423925439919,0.985576074560081,Inactive,Inactive
444,0.014268051789188,0.985731948210812,Inactive,Inactive
581,0.01408738904273,0.98591261095727,Inactive,Inactive
1,0.01378204128981,0.986217958710191,Inactive,Active
1533,0.013431365101036,0.986568634898964,Inactive,Inactive
1003,0.01323604610721,0.98676395389279,Inactive,Inactive
128,0.013088368736662,0.986911631263338,Inactive,Inactive
1435,0.013055996292856,0.986944003707144,Inactive,Inactive
1549,0.012970508281457,0.987029491718542,Inactive,Inactive
188,0.012896942459436,0.987103057540564,Inactive,Inactive
1311,0.01251796531437,0.98748203468563,Inactive,Inactive
902,0.012476620180953,0.987523379819047,Inactive,Inactive
1765,0.012072618151336,0.987927381848664,Inactive,Inactive
1448,0.011794495894343,0.988205504105657,Inactive,Inactive
77,0.011781585570375,0.988218414429625,Inactive,Inactive
541,0.011640475427073,0.988359524572927,Inactive,Inactive
1373,0.011092440957659,0.988907559042341,Inactive,Inactive
1836,0.010975759934469,0.989024240065531,Inactive,Inactive
611,0.010693731043354,0.989306268956646,Inactive,Inactive
733,0.010615672009497,0.989384327990503,Inactive,Inactive
231,0.0105100778379,0.9894899221621,Inactive,Inactive
1931,0.010496112823561,0.989503887176439,Inactive,Inactive
861,0.01039615512022,0.98960384487978,Inactive,Inactive
1740,0.010370611049706,0.989629388950294,Inactive,Inactive
527,0.010297168721171,0.989702831278829,Inactive,Inactive
1005,0.010273500057986,0.989726499942014,Inactive,Inactive
1487,0.010261399124341,0.989738600875659,Inactive,Inactive
1144,0.010200919422612,0.989799080577387,Inactive,Inactive
627,0.009890669495449,0.990109330504551,Inactive,Inactive
873,0.009772252323192,0.990227747676808,Inactive,Inactive
2016,0.00942416399338,0.99057583600662,Inactive,Inactive
1503,0.009392905416287,0.990607094583713,Inactive,Inactive
443,0.009358161208699,0.990641838791301,Inactive,Inactive
47,0.009199201362183,0.990800798637817,Inactive,Inactive
2068,0.009130554817414,0.990869445182586,Inactive,Inactive
185,0.009046669873948,0.990953330126052,Inactive,Inactive
261,0.00897049357965,0.99102950642035,Inactive,Inactive
318,0.008957742276581,0.991042257723419,Inactive,Inactive
1391,0.008907125688618,0.991092874311382,Inactive,Inactive
441,0.008792157572571,0.991207842427429,Inactive,Inactive
1422,0.008750085840853,0.991249914159147,Inactive,Inactive
12,0.008688385489333,0.991311614510667,Inactive,Active
943,0.008663026957083,0.991336973042917,Inactive,Inactive
862,0.008626229424647,0.991373770575353,Inactive,Inactive
2033,0.008557717284841,0.991442282715159,Inactive,Inactive
1967,0.008548867772097,0.991451132227903,Inactive,Inactive
1224,0.008513755777106,0.991486244222894,Inactive,Inactive
420,0.008500436607497,0.991499563392503,Inactive,Inactive
1748,0.008345571139934,0.991654428860066,Inactive,Inactive
788,0.0083163794965,0.9916836205035,Inactive,Inactive
1651,0.008250428521746,0.991749571478254,Inactive,Inactive
792,0.008083925032407,0.991916074967593,Inactive,Inactive
1486,0.008004016634248,0.991995983365752,Inactive,Inactive
724,0.007998778037094,0.992001221962906,Inactive,Inactive
1324,0.007927702506158,0.992072297493842,Inactive,Inactive
504,0.007817398352999,0.992182601647001,Inactive,Inactive
1229,0.007799757452566,0.992200242547434,Inactive,Inactive
606,0.007779864698724,0.992220135301276,Inactive,Inactive
305,0.007651740352061,0.992348259647939,Inactive,Inactive
1150,0.007602210215217,0.992397789784783,Inactive,Inactive
2010,0.007575246599472,0.992424753400528,Inactive,Inactive
934,0.007559782600443,0.992440217399557,Inactive,Inactive
2041,0.007513858042635,0.992486141957365,Inactive,Inactive
15,0.007498704886972,0.992501295113028,Inactive,Active
1762,0.007489102103459,0.992510897896541,Inactive,Inactive
1745,0.007215448635005,0.992784551364995,Inactive,Inactive
1613,0.007207797629668,0.992792202370332,Inactive,Inactive
399,0.007015347905443,0.992984652094557,Inactive,Inactive
451,0.006986388668406,0.993013611331594,Inactive,Inactive
655,0.00691133924366,0.99308866075634,Inactive,Inactive
651,0.006908601938544,0.993091398061456,Inactive,Inactive
918,0.006848180501135,0.993151819498865,Inactive,Inactive
1082,0.006799432063886,0.993200567936114,Inactive,Inactive
492,0.006763341660496,0.993236658339504,Inactive,Inactive
1522,0.006704686869813,0.993295313130187,Inactive,Inactive
764,0.006681527058152,0.993318472941848,Inactive,Inactive
1184,0.006645240274966,0.993354759725034,Inactive,Inactive
1870,0.006640053371114,0.993359946628886,Inactive,Inactive
274,0.006627765746305,0.993372234253695,Inactive,Inactive
731,0.006563652357778,0.993436347642222,Inactive,Inactive
1116,0.006559919513286,0.993440080486714,Inactive,Inactive
158,0.006556930905023,0.993443069094977,Inactive,Inactive
98,0.006520278976295,0.993479721023705,Inactive,Inactive
79,0.006509889649751,0.993490110350249,Inactive,Inactive
1896,0.006494208245665,0.993505791754335,Inactive,Inactive
1646,0.006486126921283,0.993513873078717,Inactive,Inactive
114,0.006481963330071,0.993518036669929,Inactive,Inactive
888,0.006431583028775,0.993568416971224,Inactive,Inactive
1726,0.006389720948157,0.993610279051843,Inactive,Inactive
1574,0.006353142025522,0.993646857974478,Inactive,Inactive
1281,0.006351164875467,0.993648835124533,Inactive,Inactive
528,0.00632464172521,0.99367535827479,Inactive,Inactive
2037,0.006314223952747,0.993685776047252,Inactive,Inactive
753,0.006206416267691,0.993793583732309,Inactive,Inactive
1552,0.006081073371299,0.993918926628701,Inactive,Inactive
1274,0.006060189961674,0.993939810038326,Inactive,Inactive
905,0.00599880042952,0.99400119957048,Inactive,Inactive
650,0.005977217549537,0.994022782450463,Inactive,Inactive
968,0.005957220241775,0.994042779758225,Inactive,Inactive
1123,0.005955374628131,0.99404462537187,Inactive,Inactive
1260,0.005805435311892,0.994194564688109,Inactive,Inactive
1585,0.00574785060802,0.99425214939198,Inactive,Inactive
17,0.005687252568584,0.994312747431416,Inactive,Active
985,0.005667107926736,0.994332892073264,Inactive,Inactive
2104,0.00560481526829,0.99439518473171,Inactive,Inactive
1034,0.005594890139763,0.994405109860237,Inactive,Inactive
167,0.005591373401717,0.994408626598283,Inactive,Inactive
24,0.00556805577411,0.99443194422589,Inactive,Active
668,0.005494538283862,0.994505461716138,Inactive,Inactive
1802,0.005435151830224,0.994564848169776,Inactive,Inactive
1304,0.00542234235899,0.99457765764101,Inactive,Inactive
1393,0.005351120981546,0.994648879018454,Inactive,Inactive
9,0.005345688715424,0.994654311284576,Inactive,Active
903,0.005318040564443,0.994681959435557,Inactive,Inactive
980,0.005262853315333,0.994737146684668,Inactive,Inactive
1621,0.005252934045069,0.994747065954931,Inactive,Inactive
1792,0.005221073373514,0.994778926626486,Inactive,Inactive
2020,0.005197066895886,0.994802933104114,Inactive,Inactive
142,0.005154815764138,0.994845184235862,Inactive,Inactive
1893,0.00513682221534,0.99486317778466,Inactive,Inactive
2011,0.005121094852926,0.994878905147074,Inactive,Inactive
1138,0.00503818789644,0.99496181210356,Inactive,Inactive
876,0.005029204974815,0.994970795025186,Inactive,Inactive
1258,0.005005173706356,0.994994826293645,Inactive,Inactive
1288,0.004999608797234,0.995000391202766,Inactive,Inactive
1540,0.004984772443206,0.995015227556794,Inactive,Inactive
0,0.004970389625663,0.995029610374337,Inactive,Active
1637,0.004944868909832,0.995055131090168,Inactive,Inactive
394,0.004897302994879,0.995102697005121,Inactive,Inactive
290,0.004888711337259,0.995111288662741,Inactive,Inactive
468,0.004857638365818,0.995142361634182,Inactive,Inactive
1801,0.004843439178904,0.995156560821096,Inactive,Inactive
