No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
5,0.9990288,0.0009711759,Active,Active
27,0.9964874,0.0035126095,Active,Active
25,0.98793876,0.012061209,Active,Active
19,0.95138794,0.04861205,Active,Active
30,0.9324132,0.06758681,Active,Active
23,0.92510366,0.07489632,Active,Active
20,0.89124644,0.108753555,Active,Active
3,0.8728954,0.12710457,Active,Active
28,0.87146634,0.12853365,Active,Active
6,0.8586684,0.14133163,Active,Active
11,0.69300425,0.30699575,Active,Active
13,0.56439173,0.43560824,Active,Active
1766,0.15103567,0.84896433,Inactive,Inactive
8,0.13457811,0.8654219,Inactive,Active
10,0.13168156,0.86831844,Inactive,Active
77,0.11489195,0.88510805,Inactive,Inactive
1438,0.096900105,0.9030999,Inactive,Inactive
22,0.08779919,0.9122008,Inactive,Active
444,0.08736867,0.91263133,Inactive,Inactive
1896,0.066911936,0.93308806,Inactive,Inactive
2,0.049785376,0.9502146,Inactive,Active
16,0.048106194,0.9518938,Inactive,Active
1587,0.047618926,0.9523811,Inactive,Inactive
26,0.03710568,0.9628943,Inactive,Active
1810,0.034013867,0.96598613,Inactive,Inactive
7,0.03047204,0.96952796,Inactive,Active
1,0.029619813,0.9703802,Inactive,Active
821,0.02810371,0.9718963,Inactive,Inactive
1082,0.027433336,0.97256666,Inactive,Inactive
12,0.02733177,0.97266823,Inactive,Active
673,0.019344687,0.9806553,Inactive,Inactive
1279,0.01664269,0.9833573,Inactive,Inactive
1139,0.0138551,0.9861449,Inactive,Inactive
1373,0.013457656,0.98654234,Inactive,Inactive
18,0.012188375,0.9878116,Inactive,Active
1328,0.011638939,0.98836106,Inactive,Inactive
1836,0.010959089,0.9890409,Inactive,Inactive
2104,0.010924995,0.989075,Inactive,Inactive
1258,0.010824144,0.98917586,Inactive,Inactive
453,0.010296047,0.98970395,Inactive,Inactive
861,0.010024488,0.9899755,Inactive,Inactive
1543,0.009466529,0.9905335,Inactive,Inactive
753,0.009326637,0.99067336,Inactive,Inactive
1285,0.009153664,0.99084634,Inactive,Inactive
1580,0.008944869,0.99105513,Inactive,Inactive
61,0.008848727,0.9911513,Inactive,Inactive
451,0.008696914,0.9913031,Inactive,Inactive
581,0.008657575,0.9913424,Inactive,Inactive
326,0.008560181,0.9914398,Inactive,Inactive
1324,0.00852406,0.99147594,Inactive,Inactive
1085,0.0076971054,0.9923029,Inactive,Inactive
305,0.007510364,0.99248964,Inactive,Inactive
1765,0.0073749423,0.99262506,Inactive,Inactive
188,0.0072463155,0.9927537,Inactive,Inactive
631,0.007113874,0.9928861,Inactive,Inactive
721,0.0070581436,0.99294186,Inactive,Inactive
1799,0.0069327354,0.99306726,Inactive,Inactive
1306,0.0066810846,0.9933189,Inactive,Inactive
1144,0.0065482855,0.9934517,Inactive,Inactive
2041,0.006273508,0.9937265,Inactive,Inactive
185,0.0062224865,0.9937775,Inactive,Inactive
1759,0.0061565638,0.99384344,Inactive,Inactive
24,0.0060127974,0.9939872,Inactive,Active
1720,0.005706787,0.9942932,Inactive,Inactive
1245,0.0055503845,0.9944496,Inactive,Inactive
1901,0.0051175356,0.99488246,Inactive,Inactive
1522,0.005025387,0.9949746,Inactive,Inactive
527,0.0050017834,0.9949982,Inactive,Inactive
1288,0.004977107,0.9950229,Inactive,Inactive
918,0.0049234033,0.9950766,Inactive,Inactive
1445,0.0048929453,0.99510705,Inactive,Inactive
224,0.0048882365,0.99511176,Inactive,Inactive
655,0.004882574,0.9951174,Inactive,Inactive
1467,0.004860997,0.995139,Inactive,Inactive
2016,0.0047990084,0.995201,Inactive,Inactive
1352,0.0046988726,0.9953011,Inactive,Inactive
318,0.004598975,0.995401,Inactive,Inactive
884,0.004502654,0.99549735,Inactive,Inactive
1344,0.004468322,0.9955317,Inactive,Inactive
1778,0.004374385,0.9956256,Inactive,Inactive
1826,0.00434494,0.99565506,Inactive,Inactive
1265,0.004286647,0.99571335,Inactive,Inactive
4,0.004107952,0.99589205,Inactive,Active
17,0.004070103,0.9959299,Inactive,Active
866,0.0040324926,0.9959675,Inactive,Inactive
627,0.0040263534,0.99597365,Inactive,Inactive
909,0.003993809,0.9960062,Inactive,Inactive
1487,0.003920257,0.99607974,Inactive,Inactive
1358,0.0039055943,0.9960944,Inactive,Inactive
996,0.0038719177,0.9961281,Inactive,Inactive
867,0.0038540363,0.99614596,Inactive,Inactive
1784,0.003827393,0.9961726,Inactive,Inactive
346,0.0037736893,0.9962263,Inactive,Inactive
597,0.0037308931,0.9962691,Inactive,Inactive
541,0.0036208034,0.9963792,Inactive,Inactive
813,0.0035566688,0.99644333,Inactive,Inactive
1138,0.0035406947,0.9964593,Inactive,Inactive
1862,0.0035142899,0.9964857,Inactive,Inactive
733,0.0035101771,0.9964898,Inactive,Inactive
343,0.003418386,0.9965816,Inactive,Inactive
1422,0.0033848882,0.9966151,Inactive,Inactive
472,0.0033838153,0.9966162,Inactive,Inactive
1424,0.0033800602,0.99661994,Inactive,Inactive
868,0.0033553839,0.9966446,Inactive,Inactive
1184,0.0033197403,0.99668026,Inactive,Inactive
227,0.0033017397,0.99669826,Inactive,Inactive
801,0.003201127,0.9967989,Inactive,Inactive
443,0.003157258,0.99684274,Inactive,Inactive
1435,0.0030744672,0.99692553,Inactive,Inactive
1174,0.0030050278,0.996995,Inactive,Inactive
1929,0.0029960275,0.997004,Inactive,Inactive
587,0.0029335618,0.99706644,Inactive,Inactive
261,0.0029250383,0.99707496,Inactive,Inactive
1726,0.0028840303,0.99711597,Inactive,Inactive
508,0.002861619,0.9971384,Inactive,Inactive
923,0.0028253794,0.9971746,Inactive,Inactive
1404,0.0028099418,0.99719006,Inactive,Inactive
399,0.002781272,0.9972187,Inactive,Inactive
47,0.0027321577,0.99726784,Inactive,Inactive
441,0.0027312636,0.99726874,Inactive,Inactive
1710,0.0026395917,0.9973604,Inactive,Inactive
2059,0.0025994778,0.9974005,Inactive,Inactive
297,0.002456665,0.99754333,Inactive,Inactive
1302,0.0024520755,0.9975479,Inactive,Inactive
1636,0.0024493337,0.99755067,Inactive,Inactive
1667,0.0024481416,0.99755186,Inactive,Inactive
466,0.0024242997,0.9975757,Inactive,Inactive
2089,0.0024154186,0.9975846,Inactive,Inactive
1003,0.0024137497,0.99758625,Inactive,Inactive
700,0.0023751855,0.9976248,Inactive,Inactive
670,0.0023539662,0.99764603,Inactive,Inactive
685,0.0023437738,0.9976562,Inactive,Inactive
755,0.0023114681,0.99768853,Inactive,Inactive
942,0.002293706,0.9977063,Inactive,Inactive
1150,0.0022878647,0.99771214,Inactive,Inactive
2067,0.002285242,0.99771476,Inactive,Inactive
657,0.002275169,0.99772483,Inactive,Inactive
417,0.0022598505,0.99774015,Inactive,Inactive
1652,0.002257347,0.99774265,Inactive,Inactive
902,0.0022432208,0.9977568,Inactive,Inactive
2033,0.002233386,0.9977666,Inactive,Inactive
15,0.002212286,0.9977877,Inactive,Active
1034,0.002205968,0.99779403,Inactive,Inactive
1443,0.0021739602,0.99782604,Inactive,Inactive
1143,0.0021470785,0.9978529,Inactive,Inactive
927,0.0021341443,0.99786586,Inactive,Inactive
1952,0.0021018982,0.9978981,Inactive,Inactive
144,0.0020800233,0.99792,Inactive,Inactive
