No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
0,0.68,0.32,Active,Active
12,0.665,0.335,Active,Active
19,0.6525,0.3475,Active,Active
32,0.635,0.365,Active,Active
8,0.625,0.375,Active,Active
14,0.6075,0.3925,Active,Active
16,0.5875,0.4125,Active,Active
5,0.58,0.42,Active,Active
25,0.5775,0.4225,Active,Active
2,0.575,0.425,Active,Active
3,0.5675,0.4325,Active,Active
27,0.5525,0.4475,Active,Active
15,0.5275,0.4725,Active,Active
24,0.52,0.48,Active,Active
9,0.5025,0.4975,Active,Active
4,0.4975,0.5025,Inactive,Active
36,0.495,0.505,Inactive,Active
7,0.47,0.53,Inactive,Active
35,0.4675,0.5325,Inactive,Active
33,0.465,0.535,Inactive,Active
17,0.45,0.55,Inactive,Active
10,0.445,0.555,Inactive,Active
21,0.425,0.575,Inactive,Active
13,0.42,0.58,Inactive,Active
22,0.4175,0.5825,Inactive,Active
6,0.415,0.585,Inactive,Active
31,0.41,0.59,Inactive,Active
28,0.405,0.595,Inactive,Active
26,0.39,0.61,Inactive,Active
34,0.3825,0.6175,Inactive,Active
38,0.3425,0.6575,Inactive,Active
29,0.2875,0.7125,Inactive,Active
18,0.275,0.725,Inactive,Active
30,0.275,0.725,Inactive,Active
23,0.255,0.745,Inactive,Active
11,0.245,0.755,Inactive,Active
1,0.2425,0.7575,Inactive,Active
54,0.1925,0.8075,Inactive,Inactive
79,0.19,0.81,Inactive,Inactive
867,0.19,0.81,Inactive,Inactive
226,0.1775,0.8225,Inactive,Inactive
509,0.1775,0.8225,Inactive,Inactive
759,0.175,0.825,Inactive,Inactive
20,0.16,0.84,Inactive,Active
70,0.16,0.84,Inactive,Inactive
121,0.16,0.84,Inactive,Inactive
1018,0.1525,0.8475,Inactive,Inactive
211,0.15,0.85,Inactive,Inactive
972,0.15,0.85,Inactive,Inactive
225,0.1475,0.8525,Inactive,Inactive
1190,0.1475,0.8525,Inactive,Inactive
425,0.145,0.855,Inactive,Inactive
842,0.1425,0.8575,Inactive,Inactive
222,0.14,0.86,Inactive,Inactive
432,0.14,0.86,Inactive,Inactive
712,0.14,0.86,Inactive,Inactive
397,0.1375,0.8625,Inactive,Inactive
1107,0.1375,0.8625,Inactive,Inactive
659,0.135,0.865,Inactive,Inactive
451,0.1325,0.8675,Inactive,Inactive
904,0.1325,0.8675,Inactive,Inactive
969,0.1325,0.8675,Inactive,Inactive
418,0.13,0.87,Inactive,Inactive
740,0.13,0.87,Inactive,Inactive
115,0.1275,0.8725,Inactive,Inactive
749,0.1275,0.8725,Inactive,Inactive
865,0.1275,0.8725,Inactive,Inactive
902,0.1275,0.8725,Inactive,Inactive
155,0.125,0.875,Inactive,Inactive
463,0.125,0.875,Inactive,Inactive
389,0.1225,0.8775,Inactive,Inactive
421,0.1225,0.8775,Inactive,Inactive
486,0.1225,0.8775,Inactive,Inactive
493,0.1225,0.8775,Inactive,Inactive
717,0.1225,0.8775,Inactive,Inactive
730,0.1225,0.8775,Inactive,Inactive
1011,0.1225,0.8775,Inactive,Inactive
1017,0.1225,0.8775,Inactive,Inactive
1132,0.1225,0.8775,Inactive,Inactive
919,0.12,0.88,Inactive,Inactive
1045,0.12,0.88,Inactive,Inactive
393,0.1175,0.8825,Inactive,Inactive
404,0.1175,0.8825,Inactive,Inactive
417,0.1175,0.8825,Inactive,Inactive
600,0.1175,0.8825,Inactive,Inactive
733,0.1175,0.8825,Inactive,Inactive
918,0.1175,0.8825,Inactive,Inactive
388,0.115,0.885,Inactive,Inactive
632,0.115,0.885,Inactive,Inactive
654,0.115,0.885,Inactive,Inactive
1097,0.115,0.885,Inactive,Inactive
1118,0.115,0.885,Inactive,Inactive
89,0.1125,0.8875,Inactive,Inactive
231,0.1125,0.8875,Inactive,Inactive
627,0.1125,0.8875,Inactive,Inactive
637,0.1125,0.8875,Inactive,Inactive
1030,0.1125,0.8875,Inactive,Inactive
37,0.11,0.89,Inactive,Active
851,0.11,0.89,Inactive,Inactive
881,0.11,0.89,Inactive,Inactive
886,0.11,0.89,Inactive,Inactive
1004,0.11,0.89,Inactive,Inactive
1009,0.11,0.89,Inactive,Inactive
136,0.1075,0.8925,Inactive,Inactive
227,0.1075,0.8925,Inactive,Inactive
311,0.1075,0.8925,Inactive,Inactive
423,0.1075,0.8925,Inactive,Inactive
715,0.1075,0.8925,Inactive,Inactive
739,0.1075,0.8925,Inactive,Inactive
780,0.1075,0.8925,Inactive,Inactive
947,0.1075,0.8925,Inactive,Inactive
948,0.1075,0.8925,Inactive,Inactive
39,0.105,0.895,Inactive,Active
128,0.105,0.895,Inactive,Inactive
201,0.105,0.895,Inactive,Inactive
249,0.105,0.895,Inactive,Inactive
324,0.105,0.895,Inactive,Inactive
455,0.105,0.895,Inactive,Inactive
469,0.105,0.895,Inactive,Inactive
505,0.105,0.895,Inactive,Inactive
582,0.105,0.895,Inactive,Inactive
605,0.105,0.895,Inactive,Inactive
645,0.105,0.895,Inactive,Inactive
745,0.105,0.895,Inactive,Inactive
876,0.105,0.895,Inactive,Inactive
887,0.105,0.895,Inactive,Inactive
940,0.105,0.895,Inactive,Inactive
1046,0.105,0.895,Inactive,Inactive
269,0.1025,0.8975,Inactive,Inactive
420,0.1025,0.8975,Inactive,Inactive
674,0.1025,0.8975,Inactive,Inactive
700,0.1025,0.8975,Inactive,Inactive
713,0.1025,0.8975,Inactive,Inactive
767,0.1025,0.8975,Inactive,Inactive
921,0.1025,0.8975,Inactive,Inactive
1053,0.1025,0.8975,Inactive,Inactive
50,0.1,0.9,Inactive,Inactive
101,0.1,0.9,Inactive,Inactive
192,0.1,0.9,Inactive,Inactive
372,0.1,0.9,Inactive,Inactive
480,0.1,0.9,Inactive,Inactive
611,0.1,0.9,Inactive,Inactive
783,0.1,0.9,Inactive,Inactive
814,0.1,0.9,Inactive,Inactive
819,0.1,0.9,Inactive,Inactive
955,0.1,0.9,Inactive,Inactive
1052,0.1,0.9,Inactive,Inactive
1165,0.1,0.9,Inactive,Inactive
1171,0.1,0.9,Inactive,Inactive
43,0.0975,0.9025,Inactive,Inactive
90,0.0975,0.9025,Inactive,Inactive
456,0.0975,0.9025,Inactive,Inactive
488,0.0975,0.9025,Inactive,Inactive
489,0.0975,0.9025,Inactive,Inactive
624,0.0975,0.9025,Inactive,Inactive
706,0.0975,0.9025,Inactive,Inactive
741,0.0975,0.9025,Inactive,Inactive
744,0.0975,0.9025,Inactive,Inactive
752,0.0975,0.9025,Inactive,Inactive
828,0.0975,0.9025,Inactive,Inactive
852,0.0975,0.9025,Inactive,Inactive
873,0.0975,0.9025,Inactive,Inactive
938,0.0975,0.9025,Inactive,Inactive
957,0.0975,0.9025,Inactive,Inactive
959,0.0975,0.9025,Inactive,Inactive
993,0.0975,0.9025,Inactive,Inactive
1012,0.0975,0.9025,Inactive,Inactive
1029,0.0975,0.9025,Inactive,Inactive
61,0.095,0.905,Inactive,Inactive
80,0.095,0.905,Inactive,Inactive
85,0.095,0.905,Inactive,Inactive
87,0.095,0.905,Inactive,Inactive
149,0.095,0.905,Inactive,Inactive
150,0.095,0.905,Inactive,Inactive
228,0.095,0.905,Inactive,Inactive
450,0.095,0.905,Inactive,Inactive
585,0.095,0.905,Inactive,Inactive
594,0.095,0.905,Inactive,Inactive
689,0.095,0.905,Inactive,Inactive
834,0.095,0.905,Inactive,Inactive
837,0.095,0.905,Inactive,Inactive
864,0.095,0.905,Inactive,Inactive
976,0.095,0.905,Inactive,Inactive
1021,0.095,0.905,Inactive,Inactive
1044,0.095,0.905,Inactive,Inactive
1057,0.095,0.905,Inactive,Inactive
1158,0.095,0.905,Inactive,Inactive
1196,0.095,0.905,Inactive,Inactive
162,0.0925,0.9075,Inactive,Inactive
381,0.0925,0.9075,Inactive,Inactive
400,0.0925,0.9075,Inactive,Inactive
429,0.0925,0.9075,Inactive,Inactive
431,0.0925,0.9075,Inactive,Inactive
444,0.0925,0.9075,Inactive,Inactive
593,0.0925,0.9075,Inactive,Inactive
704,0.0925,0.9075,Inactive,Inactive
795,0.0925,0.9075,Inactive,Inactive
869,0.0925,0.9075,Inactive,Inactive
951,0.0925,0.9075,Inactive,Inactive
956,0.0925,0.9075,Inactive,Inactive
1014,0.0925,0.9075,Inactive,Inactive
1016,0.0925,0.9075,Inactive,Inactive
1210,0.0925,0.9075,Inactive,Inactive
42,0.09,0.91,Inactive,Inactive
145,0.09,0.91,Inactive,Inactive
193,0.09,0.91,Inactive,Inactive
204,0.09,0.91,Inactive,Inactive
210,0.09,0.91,Inactive,Inactive
213,0.09,0.91,Inactive,Inactive
230,0.09,0.91,Inactive,Inactive
286,0.09,0.91,Inactive,Inactive
361,0.09,0.91,Inactive,Inactive
375,0.09,0.91,Inactive,Inactive
402,0.09,0.91,Inactive,Inactive
408,0.09,0.91,Inactive,Inactive
414,0.09,0.91,Inactive,Inactive
481,0.09,0.91,Inactive,Inactive
523,0.09,0.91,Inactive,Inactive
612,0.09,0.91,Inactive,Inactive
615,0.09,0.91,Inactive,Inactive
651,0.09,0.91,Inactive,Inactive
710,0.09,0.91,Inactive,Inactive
890,0.09,0.91,Inactive,Inactive
899,0.09,0.91,Inactive,Inactive
961,0.09,0.91,Inactive,Inactive
67,0.0875,0.9125,Inactive,Inactive
91,0.0875,0.9125,Inactive,Inactive
151,0.0875,0.9125,Inactive,Inactive
177,0.0875,0.9125,Inactive,Inactive
238,0.0875,0.9125,Inactive,Inactive
247,0.0875,0.9125,Inactive,Inactive
339,0.0875,0.9125,Inactive,Inactive
409,0.0875,0.9125,Inactive,Inactive
448,0.0875,0.9125,Inactive,Inactive
520,0.0875,0.9125,Inactive,Inactive
608,0.0875,0.9125,Inactive,Inactive
667,0.0875,0.9125,Inactive,Inactive
719,0.0875,0.9125,Inactive,Inactive
726,0.0875,0.9125,Inactive,Inactive
802,0.0875,0.9125,Inactive,Inactive
836,0.0875,0.9125,Inactive,Inactive
862,0.0875,0.9125,Inactive,Inactive
868,0.0875,0.9125,Inactive,Inactive
883,0.0875,0.9125,Inactive,Inactive
999,0.0875,0.9125,Inactive,Inactive
1002,0.0875,0.9125,Inactive,Inactive
1008,0.0875,0.9125,Inactive,Inactive
1059,0.0875,0.9125,Inactive,Inactive
1091,0.0875,0.9125,Inactive,Inactive
1207,0.0875,0.9125,Inactive,Inactive
1211,0.0875,0.9125,Inactive,Inactive
46,0.085,0.915,Inactive,Inactive
65,0.085,0.915,Inactive,Inactive
94,0.085,0.915,Inactive,Inactive
95,0.085,0.915,Inactive,Inactive
232,0.085,0.915,Inactive,Inactive
290,0.085,0.915,Inactive,Inactive
406,0.085,0.915,Inactive,Inactive
426,0.085,0.915,Inactive,Inactive
428,0.085,0.915,Inactive,Inactive
468,0.085,0.915,Inactive,Inactive
580,0.085,0.915,Inactive,Inactive
588,0.085,0.915,Inactive,Inactive
589,0.085,0.915,Inactive,Inactive
601,0.085,0.915,Inactive,Inactive
609,0.085,0.915,Inactive,Inactive
619,0.085,0.915,Inactive,Inactive
629,0.085,0.915,Inactive,Inactive
642,0.085,0.915,Inactive,Inactive
815,0.085,0.915,Inactive,Inactive
898,0.085,0.915,Inactive,Inactive
953,0.085,0.915,Inactive,Inactive
995,0.085,0.915,Inactive,Inactive
1000,0.085,0.915,Inactive,Inactive
1119,0.085,0.915,Inactive,Inactive
1194,0.085,0.915,Inactive,Inactive
75,0.0825,0.9175,Inactive,Inactive
119,0.0825,0.9175,Inactive,Inactive
129,0.0825,0.9175,Inactive,Inactive
203,0.0825,0.9175,Inactive,Inactive
208,0.0825,0.9175,Inactive,Inactive
245,0.0825,0.9175,Inactive,Inactive
366,0.0825,0.9175,Inactive,Inactive
371,0.0825,0.9175,Inactive,Inactive
394,0.0825,0.9175,Inactive,Inactive
401,0.0825,0.9175,Inactive,Inactive
411,0.0825,0.9175,Inactive,Inactive
