No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
35,0.99042525692284,0.009574743077159,Active,Active
24,0.983164863620037,0.016835136379963,Active,Active
15,0.955116883574976,0.044883116425024,Active,Active
9,0.926437841978936,0.073562158021064,Active,Active
5,0.884193305369354,0.115806694630646,Active,Active
19,0.872115972334618,0.127884027665382,Active,Active
0,0.857655782357486,0.142344217642514,Active,Active
12,0.851693348840069,0.148306651159931,Active,Active
3,0.810944482414185,0.189055517585815,Active,Active
2,0.735369990728908,0.264630009271092,Active,Active
4,0.718857478251744,0.281142521748256,Active,Active
33,0.659094405850663,0.340905594149337,Active,Active
28,0.63223872210636,0.36776127789364,Active,Active
6,0.601868183344824,0.398131816655176,Active,Active
25,0.558728833361371,0.441271166638629,Active,Active
17,0.504387050634924,0.495612949365076,Active,Active
32,0.478020436801892,0.521979563198108,Inactive,Active
36,0.43158284106212,0.56841715893788,Inactive,Active
31,0.316795752773586,0.683204247226414,Inactive,Active
16,0.283681641201126,0.716318358798874,Inactive,Active
34,0.275919188698342,0.724080811301658,Inactive,Active
14,0.258685443049325,0.741314556950675,Inactive,Active
11,0.249608125783704,0.750391874216296,Inactive,Active
13,0.225809638190297,0.774190361809703,Inactive,Active
27,0.223896652000261,0.776103347999739,Inactive,Active
8,0.18865739335798,0.81134260664202,Inactive,Active
21,0.188324951282973,0.811675048717027,Inactive,Active
26,0.155198335532207,0.844801664467793,Inactive,Active
10,0.139837566961604,0.860162433038397,Inactive,Active
7,0.126705028617022,0.873294971382978,Inactive,Active
22,0.122925952855691,0.877074047144309,Inactive,Active
1,0.035212270435155,0.964787729564845,Inactive,Active
29,0.012536730980453,0.987463269019547,Inactive,Active
30,0.011543504984067,0.988456495015933,Inactive,Active
38,0.002354325645418,0.997645674354582,Inactive,Active
1165,0.001804610530836,0.998195389469164,Inactive,Inactive
884,0.001480992681735,0.998519007318265,Inactive,Inactive
272,0.001226404042472,0.998773595957528,Inactive,Inactive
555,0.001083048566361,0.998916951433639,Inactive,Inactive
907,0.000938032308749,0.999061967691251,Inactive,Inactive
1154,0.000861888584218,0.999138111415782,Inactive,Inactive
39,0.000808109457752,0.999191890542248,Inactive,Active
557,0.000649548459977,0.999350451540023,Inactive,Inactive
681,0.000602313647019,0.999397686352981,Inactive,Inactive
1078,0.000559702744027,0.999440297255973,Inactive,Inactive
357,0.000502146115136,0.999497853884864,Inactive,Inactive
562,0.000494897623039,0.999505102376961,Inactive,Inactive
381,0.000491253812552,0.999508746187448,Inactive,Inactive
47,0.000355728786992,0.999644271213008,Inactive,Inactive
23,0.000355277080193,0.999644722919807,Inactive,Active
565,0.000328310308939,0.999671689691061,Inactive,Inactive
147,0.000325605653217,0.999674394346783,Inactive,Inactive
345,0.000317979574851,0.999682020425149,Inactive,Inactive
1045,0.000291567258303,0.999708432741697,Inactive,Inactive
277,0.000272832184011,0.999727167815989,Inactive,Inactive
1219,0.000244525712518,0.999755474287482,Inactive,Inactive
1097,0.000215029493587,0.999784970506413,Inactive,Inactive
933,0.000214329503729,0.999785670496271,Inactive,Inactive
276,0.000212431756281,0.999787568243718,Inactive,Inactive
327,0.0002080491002,0.9997919508998,Inactive,Inactive
561,0.000182118299974,0.999817881700026,Inactive,Inactive
315,0.000177270383305,0.999822729616695,Inactive,Inactive
552,0.000172988208644,0.999827011791356,Inactive,Inactive
341,0.000155263559335,0.999844736440665,Inactive,Inactive
1172,0.000149236678449,0.999850763321551,Inactive,Inactive
892,0.00014424048087,0.99985575951913,Inactive,Inactive
255,0.000143459827325,0.999856540172675,Inactive,Inactive
672,0.000143269644781,0.999856730355219,Inactive,Inactive
1173,0.000135591154311,0.999864408845689,Inactive,Inactive
1195,0.000134904987973,0.999865095012027,Inactive,Inactive
342,0.000128182718613,0.999871817281387,Inactive,Inactive
18,0.000118831465513,0.999881168534487,Inactive,Active
953,0.000118160325731,0.999881839674269,Inactive,Inactive
263,0.000114981489999,0.999885018510001,Inactive,Inactive
938,0.000109834817915,0.999890165182085,Inactive,Inactive
1174,0.000101293708609,0.999898706291391,Inactive,Inactive
720,0.000100118662708,0.999899881337292,Inactive,Inactive
