No.,Active_Prob,Predicted_Class,Real_Class
0,1,Active,Active
1,1,Active,Active
2,1,Active,Active
3,1,Active,Active
4,1,Active,Active
5,1,Active,Active
6,1,Active,Active
7,1,Active,Active
8,1,Active,Active
9,1,Active,Active
10,1,Active,Active
12,1,Active,Active
13,1,Active,Active
14,1,Active,Active
15,1,Active,Active
16,1,Active,Active
17,1,Active,Active
18,1,Active,Active
19,1,Active,Active
21,1,Active,Active
22,1,Active,Active
23,1,Active,Active
24,1,Active,Active
25,1,Active,Active
26,1,Active,Active
27,1,Active,Active
28,1,Active,Active
29,1,Active,Active
30,1,Active,Active
31,1,Active,Active
32,1,Active,Active
33,1,Active,Active
34,1,Active,Active
35,1,Active,Active
36,1,Active,Active
38,1,Active,Active
79,1,Active,Inactive
121,1,Active,Inactive
222,1,Active,Inactive
226,1,Active,Inactive
231,1,Active,Inactive
393,1,Active,Inactive
431,1,Active,Inactive
432,1,Active,Inactive
972,1,Active,Inactive
999,0.9999998,Active,Inactive
389,0.9999995,Active,Inactive
11,0.9999994,Active,Active
662,0.9999993,Active,Inactive
425,0.99999905,Active,Inactive
741,0.9999988,Active,Inactive
609,0.9999987,Active,Inactive
227,0.9999969,Active,Inactive
1190,0.99999666,Active,Inactive
150,0.9999961,Active,Inactive
993,0.999996,Active,Inactive
842,0.99999464,Active,Inactive
1218,0.9999931,Active,Inactive
414,0.9999894,Active,Inactive
780,0.9999881,Active,Inactive
713,0.99998534,Active,Inactive
485,0.99998015,Active,Inactive
867,0.9999784,Active,Inactive
388,0.99997425,Active,Inactive
1056,0.9999652,Active,Inactive
783,0.99991965,Active,Inactive
869,0.9999121,Active,Inactive
423,0.9999013,Active,Inactive
89,0.99989516,Active,Inactive
1210,0.99985135,Active,Inactive
244,0.9998479,Active,Inactive
1211,0.99979854,Active,Inactive
37,0.9997505,Active,Active
740,0.9997263,Active,Inactive
876,0.9997167,Active,Inactive
426,0.99969065,Active,Inactive
493,0.9994701,Active,Inactive
710,0.9994651,Active,Inactive
1011,0.9994099,Active,Inactive
637,0.9993758,Active,Inactive
115,0.9991947,Active,Inactive
311,0.9988573,Active,Inactive
822,0.9987978,Active,Inactive
413,0.9984851,Active,Inactive
61,0.99847776,Active,Inactive
1044,0.99812764,Active,Inactive
865,0.9980298,Active,Inactive
448,0.99762803,Active,Inactive
418,0.99707764,Active,Inactive
642,0.99701834,Active,Inactive
874,0.99678254,Active,Inactive
712,0.99514246,Active,Inactive
1017,0.99465597,Active,Inactive
412,0.99422514,Active,Inactive
1007,0.9931573,Active,Inactive
202,0.99272764,Active,Inactive
1021,0.992517,Active,Inactive
486,0.99091274,Active,Inactive
58,0.98723674,Active,Inactive
807,0.9867599,Active,Inactive
759,0.9860512,Active,Inactive
894,0.98308724,Active,Inactive
1184,0.9822618,Active,Inactive
20,0.98211145,Active,Active
381,0.974422,Active,Inactive
1195,0.9739856,Active,Inactive
