No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
2,0.947842852204154,0.052157147795846,Active,Active
35,0.940751850336063,0.059248149663937,Active,Active
0,0.938642246461077,0.061357753538923,Active,Active
5,0.936161020057523,0.063838979942477,Active,Active
3,0.933291556704328,0.066708443295673,Active,Active
19,0.911323085842435,0.088676914157565,Active,Active
33,0.90341720552078,0.09658279447922,Active,Active
24,0.877899897119665,0.122100102880335,Active,Active
12,0.87459700227671,0.12540299772329,Active,Active
4,0.853829003618168,0.146170996381832,Active,Active
15,0.850699664677281,0.149300335322719,Active,Active
9,0.845098102409417,0.154901897590583,Active,Active
32,0.83856377917587,0.16143622082413,Active,Active
21,0.81655919837504,0.18344080162496,Active,Active
17,0.815190521243514,0.184809478756486,Active,Active
36,0.803050318354475,0.196949681645524,Active,Active
22,0.799237097476785,0.200762902523215,Active,Active
25,0.794792644403197,0.205207355596803,Active,Active
28,0.782922510264603,0.217077489735397,Active,Active
16,0.730373827014857,0.269626172985143,Inactive,Active
6,0.721227557970991,0.278772442029009,Inactive,Active
8,0.713542627070934,0.286457372929066,Inactive,Active
13,0.698684028405449,0.301315971594551,Inactive,Active
10,0.69698532300849,0.30301467699151,Inactive,Active
27,0.683066316523589,0.316933683476411,Inactive,Active
26,0.668035829585725,0.331964170414275,Inactive,Active
34,0.658172024866048,0.341827975133952,Inactive,Active
11,0.625420565565205,0.374579434434795,Inactive,Active
14,0.6244958960231,0.3755041039769,Inactive,Active
31,0.489288972622835,0.510711027377165,Inactive,Active
1,0.431576117605981,0.568423882394019,Inactive,Active
7,0.406712967063906,0.593287032936094,Inactive,Active
18,0.295546622646206,0.704453377353794,Inactive,Active
29,0.237673641540866,0.762326358459134,Inactive,Active
38,0.165342155778055,0.834657844221945,Inactive,Active
23,0.150813198586571,0.849186801413429,Inactive,Active
867,0.129946816156258,0.870053183843742,Inactive,Inactive
20,0.109242433798983,0.890757566201017,Inactive,Active
30,0.092511896178688,0.907488103821312,Inactive,Active
149,0.08827281424831,0.91172718575169,Inactive,Inactive
429,0.087329773407036,0.912670226592964,Inactive,Inactive
211,0.08541619638136,0.91458380361864,Inactive,Inactive
297,0.084068625437146,0.915931374562854,Inactive,Inactive
1045,0.081338439986731,0.91866156001327,Inactive,Inactive
222,0.078191273095254,0.921808726904746,Inactive,Inactive
993,0.076828701757124,0.923171298242876,Inactive,Inactive
615,0.075832795933611,0.924167204066388,Inactive,Inactive
1205,0.07507159319398,0.92492840680602,Inactive,Inactive
409,0.072782814839662,0.927217185160338,Inactive,Inactive
61,0.069160419619833,0.930839580380167,Inactive,Inactive
79,0.069057308008416,0.930942691991584,Inactive,Inactive
1210,0.068922226461075,0.931077773538925,Inactive,Inactive
225,0.06732825378828,0.93267174621172,Inactive,Inactive
1218,0.067308033139369,0.932691966860631,Inactive,Inactive
852,0.066262297753305,0.933737702246695,Inactive,Inactive
121,0.066075943948585,0.933924056051415,Inactive,Inactive
730,0.06589977798545,0.93410022201455,Inactive,Inactive
999,0.065774254186297,0.934225745813703,Inactive,Inactive
1018,0.065267374460235,0.934732625539765,Inactive,Inactive
1222,0.062682692955091,0.93731730704491,Inactive,Inactive
953,0.06262814920849,0.93737185079151,Inactive,Inactive
520,0.062577611364407,0.937422388635593,Inactive,Inactive
393,0.06248494061328,0.93751505938672,Inactive,Inactive
371,0.06231027968986,0.93768972031014,Inactive,Inactive
1195,0.061871544797778,0.938128455202221,Inactive,Inactive
227,0.06145991744277,0.93854008255723,Inactive,Inactive
231,0.061010719873516,0.938989280126484,Inactive,Inactive
1014,0.060619186942992,0.939380813057008,Inactive,Inactive
979,0.060541542543121,0.939458457456878,Inactive,Inactive
419,0.05933935066818,0.94066064933182,Inactive,Inactive
605,0.059057496047865,0.940942503952135,Inactive,Inactive
