No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
0,0.937621,0.062379014,Active,Active
3,0.9235612,0.076438814,Active,Active
33,0.89867014,0.10132986,Active,Active
25,0.88343924,0.11656074,Active,Active
32,0.8789465,0.12105351,Active,Active
2,0.84595674,0.15404327,Active,Active
19,0.8437475,0.1562525,Active,Active
5,0.8420373,0.15796271,Active,Active
16,0.84194154,0.15805845,Active,Active
14,0.7958301,0.20416993,Active,Active
12,0.76387733,0.23612267,Active,Active
36,0.7465047,0.25349528,Active,Active
27,0.7325423,0.2674577,Active,Active
8,0.7123506,0.2876494,Active,Active
4,0.6998489,0.3001511,Active,Active
7,0.3665756,0.6334244,Inactive,Active
35,0.21669257,0.78330743,Inactive,Active
17,0.207771,0.792229,Inactive,Active
31,0.20509267,0.79490733,Inactive,Active
10,0.20246142,0.7975386,Inactive,Active
11,0.181014,0.818986,Inactive,Active
1045,0.17691857,0.82308143,Inactive,Inactive
22,0.16268122,0.8373188,Inactive,Active
29,0.13098133,0.8690187,Inactive,Active
28,0.10922992,0.8907701,Inactive,Active
13,0.08930141,0.9106986,Inactive,Active
9,0.08753455,0.91246545,Inactive,Active
881,0.085152924,0.9148471,Inactive,Inactive
424,0.07727009,0.9227299,Inactive,Inactive
802,0.074185014,0.925815,Inactive,Inactive
1212,0.07322496,0.92677504,Inactive,Inactive
434,0.06375992,0.9362401,Inactive,Inactive
24,0.05880207,0.94119793,Inactive,Active
26,0.05467391,0.9453261,Inactive,Active
509,0.053872585,0.9461274,Inactive,Inactive
883,0.05346465,0.94653535,Inactive,Inactive
30,0.050676465,0.94932353,Inactive,Active
34,0.050652742,0.94934726,Inactive,Active
21,0.047488272,0.9525117,Inactive,Active
1119,0.047054768,0.95294523,Inactive,Inactive
18,0.042599857,0.95740014,Inactive,Active
211,0.041231513,0.9587685,Inactive,Inactive
225,0.040515304,0.9594847,Inactive,Inactive
1,0.039999723,0.9600003,Inactive,Active
206,0.039457142,0.96054286,Inactive,Inactive
23,0.039199054,0.96080095,Inactive,Active
6,0.038798988,0.961201,Inactive,Active
38,0.037355185,0.9626448,Inactive,Active
320,0.03689921,0.9631008,Inactive,Inactive
15,0.036322236,0.96367776,Inactive,Active
344,0.03581333,0.96418667,Inactive,Inactive
236,0.034791708,0.9652083,Inactive,Inactive
585,0.03453654,0.96546346,Inactive,Inactive
132,0.03381741,0.9661826,Inactive,Inactive
1012,0.031481504,0.9685185,Inactive,Inactive
667,0.03005141,0.9699486,Inactive,Inactive
65,0.029691517,0.9703085,Inactive,Inactive
1014,0.029539943,0.97046006,Inactive,Inactive
37,0.027488053,0.97251195,Inactive,Active
285,0.027142346,0.97285765,Inactive,Inactive
438,0.027071953,0.97292805,Inactive,Inactive
973,0.02687931,0.9731207,Inactive,Inactive
605,0.026243865,0.97375613,Inactive,Inactive
308,0.026170075,0.9738299,Inactive,Inactive
1201,0.025065184,0.9749348,Inactive,Inactive
869,0.024493039,0.97550696,Inactive,Inactive
151,0.024477482,0.9755225,Inactive,Inactive
1127,0.023792326,0.9762077,Inactive,Inactive
873,0.023732483,0.9762675,Inactive,Inactive
953,0.022865713,0.9771343,Inactive,Inactive
534,0.02281791,0.9771821,Inactive,Inactive
393,0.022816777,0.9771832,Inactive,Inactive
147,0.022717357,0.97728264,Inactive,Inactive
1094,0.022192895,0.9778071,Inactive,Inactive
41,0.021779,0.978221,Inactive,Inactive
415,0.021397293,0.9786027,Inactive,Inactive
193,0.021007001,0.978993,Inactive,Inactive
203,0.021002889,0.9789971,Inactive,Inactive
520,0.020859301,0.9791407,Inactive,Inactive
222,0.02084452,0.9791555,Inactive,Inactive
20,0.020737112,0.9792629,Inactive,Active
830,0.020651817,0.9793482,Inactive,Inactive
904,0.020549595,0.9794504,Inactive,Inactive
1226,0.02020657,0.9797934,Inactive,Inactive
1018,0.020125091,0.9798749,Inactive,Inactive
426,0.020124435,0.97987556,Inactive,Inactive
870,0.020023584,0.9799764,Inactive,Inactive
315,0.020004332,0.97999567,Inactive,Inactive
993,0.019692063,0.98030794,Inactive,Inactive
515,0.019573927,0.9804261,Inactive,Inactive
422,0.019520164,0.98047984,Inactive,Inactive
604,0.019260764,0.98073924,Inactive,Inactive
845,0.018847227,0.9811528,Inactive,Inactive
638,0.01883769,0.9811623,Inactive,Inactive
425,0.018829882,0.9811701,Inactive,Inactive
480,0.018759549,0.98124045,Inactive,Inactive
645,0.01872611,0.9812739,Inactive,Inactive
113,0.01865244,0.98134756,Inactive,Inactive
1008,0.018631876,0.9813681,Inactive,Inactive
82,0.018630147,0.98136985,Inactive,Inactive
619,0.018416226,0.9815838,Inactive,Inactive
772,0.018368423,0.9816316,Inactive,Inactive
456,0.018097878,0.9819021,Inactive,Inactive
126,0.01802522,0.9819748,Inactive,Inactive
250,0.017980158,0.98201984,Inactive,Inactive
890,0.017914176,0.9820858,Inactive,Inactive
798,0.017903447,0.98209655,Inactive,Inactive
400,0.01782769,0.9821723,Inactive,Inactive
1206,0.017738879,0.9822611,Inactive,Inactive
136,0.01766646,0.98233354,Inactive,Inactive
345,0.01766342,0.9823366,Inactive,Inactive
313,0.017458498,0.9825415,Inactive,Inactive
574,0.017381847,0.98261815,Inactive,Inactive
1056,0.017075837,0.98292416,Inactive,Inactive
1107,0.016902804,0.9830972,Inactive,Inactive
932,0.016634643,0.98336536,Inactive,Inactive
997,0.016618848,0.98338115,Inactive,Inactive
843,0.016607642,0.98339236,Inactive,Inactive
868,0.016573668,0.98342633,Inactive,Inactive
805,0.016459882,0.9835401,Inactive,Inactive
525,0.01629883,0.98370117,Inactive,Inactive
834,0.016158342,0.98384166,Inactive,Inactive
192,0.015949428,0.9840506,Inactive,Inactive
725,0.015870214,0.9841298,Inactive,Inactive
233,0.015761793,0.9842382,Inactive,Inactive
90,0.015432477,0.9845675,Inactive,Inactive
741,0.0153698325,0.98463017,Inactive,Inactive
866,0.015359759,0.98464024,Inactive,Inactive
801,0.0153390765,0.9846609,Inactive,Inactive
58,0.015242696,0.9847573,Inactive,Inactive
1235,0.015204966,0.98479503,Inactive,Inactive
844,0.015009582,0.9849904,Inactive,Inactive
428,0.014928043,0.98507196,Inactive,Inactive
681,0.014909625,0.9850904,Inactive,Inactive
728,0.014766514,0.9852335,Inactive,Inactive
867,0.014699161,0.98530084,Inactive,Inactive
617,0.014697671,0.9853023,Inactive,Inactive
86,0.014559209,0.9854408,Inactive,Inactive
231,0.014449,0.985551,Inactive,Inactive
720,0.014433384,0.9855666,Inactive,Inactive
464,0.014364004,0.985636,Inactive,Inactive
927,0.014338195,0.9856618,Inactive,Inactive
1075,0.014288247,0.98571175,Inactive,Inactive
290,0.014156878,0.9858431,Inactive,Inactive
1031,0.014086664,0.98591334,Inactive,Inactive
550,0.013865054,0.98613495,Inactive,Inactive
429,0.01381743,0.9861826,Inactive,Inactive
935,0.013775229,0.9862248,Inactive,Inactive
218,0.013658106,0.9863419,Inactive,Inactive
1087,0.013592362,0.98640764,Inactive,Inactive
624,0.013452351,0.98654765,Inactive,Inactive
750,0.013416588,0.9865834,Inactive,Inactive
394,0.013302624,0.9866974,Inactive,Inactive
120,0.01311481,0.9868852,Inactive,Inactive
1002,0.013004482,0.9869955,Inactive,Inactive
774,0.012902856,0.98709714,Inactive,Inactive
42,0.012791097,0.9872089,Inactive,Inactive
154,0.012614489,0.9873855,Inactive,Inactive
879,0.012610555,0.98738945,Inactive,Inactive
414,0.0124566555,0.98754334,Inactive,Inactive
627,0.012446761,0.98755324,Inactive,Inactive
715,0.012349904,0.9876501,Inactive,Inactive
744,0.012345493,0.9876545,Inactive,Inactive
815,0.012327254,0.98767275,Inactive,Inactive
980,0.012315035,0.98768497,Inactive,Inactive
589,0.012184501,0.9878155,Inactive,Inactive
706,0.0121798515,0.98782015,Inactive,Inactive
1059,0.012147069,0.98785293,Inactive,Inactive
819,0.012058318,0.9879417,Inactive,Inactive
1041,0.012055993,0.987944,Inactive,Inactive
390,0.012032568,0.98796743,Inactive,Inactive
707,0.012013733,0.98798627,Inactive,Inactive
1026,0.011945784,0.9880542,Inactive,Inactive
475,0.0118919015,0.9881081,Inactive,Inactive
621,0.011717975,0.988282,Inactive,Inactive
1099,0.011709452,0.98829055,Inactive,Inactive
338,0.011657536,0.98834246,Inactive,Inactive
907,0.011604309,0.9883957,Inactive,Inactive
304,0.011582911,0.9884171,Inactive,Inactive
1072,0.011565328,0.9884347,Inactive,Inactive
905,0.0115455985,0.9884544,Inactive,Inactive
134,0.011466861,0.98853314,Inactive,Inactive
759,0.011257768,0.98874223,Inactive,Inactive
216,0.011216462,0.98878354,Inactive,Inactive
214,0.01120764,0.98879236,Inactive,Inactive
902,0.011172652,0.98882735,Inactive,Inactive
303,0.011152387,0.9888476,Inactive,Inactive
513,0.011119127,0.9888809,Inactive,Inactive
499,0.011116922,0.9888831,Inactive,Inactive
467,0.0110762715,0.9889237,Inactive,Inactive
207,0.011021316,0.9889787,Inactive,Inactive
497,0.011006892,0.9889931,Inactive,Inactive
241,0.010988593,0.9890114,Inactive,Inactive
54,0.010936201,0.9890638,Inactive,Inactive
814,0.010866344,0.98913366,Inactive,Inactive
893,0.010831833,0.98916817,Inactive,Inactive
409,0.010784328,0.9892157,Inactive,Inactive
740,0.010774314,0.9892257,Inactive,Inactive
281,0.010757625,0.9892424,Inactive,Inactive
335,0.010711312,0.9892887,Inactive,Inactive
476,0.010667205,0.9893328,Inactive,Inactive
608,0.010639906,0.9893601,Inactive,Inactive
837,0.010629535,0.98937047,Inactive,Inactive
1157,0.0105368495,0.98946315,Inactive,Inactive
578,0.010529399,0.9894706,Inactive,Inactive
1084,0.010514915,0.9894851,Inactive,Inactive
282,0.0104753375,0.98952466,Inactive,Inactive
995,0.010454714,0.9895453,Inactive,Inactive
547,0.010440111,0.9895599,Inactive,Inactive
361,0.010416508,0.9895835,Inactive,Inactive
385,0.0104163885,0.9895836,Inactive,Inactive
810,0.010414183,0.9895858,Inactive,Inactive
1214,0.010409653,0.98959035,Inactive,Inactive
62,0.010376155,0.98962384,Inactive,Inactive
1106,0.010325372,0.9896746,Inactive,Inactive
675,0.010304689,0.9896953,Inactive,Inactive
977,0.010303259,0.98969674,Inactive,Inactive
305,0.010301173,0.9896988,Inactive,Inactive
637,0.010224104,0.9897759,Inactive,Inactive
449,0.010189533,0.98981047,Inactive,Inactive
1110,0.010142803,0.9898572,Inactive,Inactive
448,0.010081351,0.98991865,Inactive,Inactive
642,0.01007545,0.98992455,Inactive,Inactive
407,0.01003468,0.9899653,Inactive,Inactive
1197,0.010016441,0.98998356,Inactive,Inactive
121,0.0099977255,0.9900023,Inactive,Inactive
650,0.009961486,0.9900385,Inactive,Inactive
286,0.00991559,0.9900844,Inactive,Inactive
55,0.009915233,0.99008477,Inactive,Inactive
226,0.009911597,0.9900884,Inactive,Inactive
96,0.00990659,0.9900934,Inactive,Inactive
363,0.009872019,0.990128,Inactive,Inactive
1065,0.0098513365,0.99014866,Inactive,Inactive
999,0.009838104,0.9901619,Inactive,Inactive
1108,0.009807467,0.99019253,Inactive,Inactive
255,0.009802818,0.9901972,Inactive,Inactive
460,0.0097362995,0.9902637,Inactive,Inactive
976,0.009668589,0.9903314,Inactive,Inactive
827,0.009625256,0.99037474,Inactive,Inactive
1011,0.0095748305,0.99042517,Inactive,Inactive
761,0.009569347,0.99043065,Inactive,Inactive
159,0.0095591545,0.99044085,Inactive,Inactive
603,0.009546757,0.99045324,Inactive,Inactive
333,0.009545922,0.9904541,Inactive,Inactive
486,0.009470403,0.9905296,Inactive,Inactive
600,0.009455085,0.9905449,Inactive,Inactive
718,0.00944221,0.9905578,Inactive,Inactive
1145,0.00943917,0.9905608,Inactive,Inactive
599,0.00940901,0.990591,Inactive,Inactive
1118,0.009398222,0.9906018,Inactive,Inactive
242,0.00929153,0.9907085,Inactive,Inactive
1058,0.009291053,0.99070895,Inactive,Inactive
221,0.009281695,0.9907183,Inactive,Inactive
87,0.009274125,0.9907259,Inactive,Inactive
793,0.009244025,0.990756,Inactive,Inactive
306,0.009216785,0.9907832,Inactive,Inactive
