No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
5,0.999975864461331,2.413553866881E-05,Active,Active
13,0.999666060245864,0.000333939754136,Active,Active
27,0.99957632217984,0.00042367782016,Active,Active
19,0.998974598531277,0.001025401468723,Active,Active
23,0.997788679023067,0.002211320976933,Active,Active
25,0.996909317209998,0.003090682790002,Active,Active
20,0.996340377720612,0.003659622279388,Active,Active
3,0.994005560521053,0.005994439478947,Active,Active
11,0.992319971644411,0.007680028355589,Active,Active
2,0.976340297451596,0.023659702548404,Active,Active
30,0.97522359085984,0.024776409140159,Active,Active
6,0.905139953618598,0.094860046381402,Active,Active
26,0.855813255164816,0.144186744835184,Active,Active
7,0.816779042644704,0.183220957355296,Active,Active
1438,0.424585407029111,0.575414592970889,Inactive,Inactive
28,0.365848021459951,0.634151978540049,Inactive,Active
10,0.258131702375147,0.741868297624853,Inactive,Active
1587,0.218075016010224,0.781924983989776,Inactive,Inactive
22,0.170678037395225,0.829321962604775,Inactive,Active
8,0.113596876857586,0.886403123142414,Inactive,Active
1856,0.103942073667806,0.896057926332194,Inactive,Inactive
1214,0.0138975690702,0.9861024309298,Inactive,Inactive
1534,0.01149201533937,0.98850798466063,Inactive,Inactive
1,0.010869070070128,0.989130929929872,Inactive,Active
224,0.010414658170893,0.989585341829107,Inactive,Inactive
1416,0.008843866216517,0.991156133783483,Inactive,Inactive
2021,0.005771264573348,0.994228735426652,Inactive,Inactive
1543,0.00564180327706,0.99435819672294,Inactive,Inactive
767,0.003863265236118,0.996136734763882,Inactive,Inactive
910,0.002223141198656,0.997776858801344,Inactive,Inactive
1778,0.002115180050245,0.997884819949754,Inactive,Inactive
1422,0.002114312912153,0.997885687087847,Inactive,Inactive
1279,0.001941400881432,0.998058599118568,Inactive,Inactive
1836,0.001865244611231,0.998134755388769,Inactive,Inactive
1646,0.001830269526677,0.998169730473323,Inactive,Inactive
1439,0.001721377747814,0.998278622252186,Inactive,Inactive
1884,0.001591014385521,0.998408985614479,Inactive,Inactive
853,0.001506058625492,0.998493941374508,Inactive,Inactive
18,0.001504510230815,0.998495489769185,Inactive,Active
1740,0.001429998625011,0.998570001374989,Inactive,Inactive
294,0.001406049490985,0.998593950509015,Inactive,Inactive
1352,0.001189032816917,0.998810967183083,Inactive,Inactive
4,0.001176319531359,0.998823680468641,Inactive,Active
1766,0.000748219774592,0.999251780225408,Inactive,Inactive
1376,0.000659037150297,0.999340962849703,Inactive,Inactive
1981,0.000642152091606,0.999357847908393,Inactive,Inactive
1901,0.000629829966915,0.999370170033085,Inactive,Inactive
15,0.000567696676259,0.999432303323741,Inactive,Active
1585,0.000541581130007,0.999458418869993,Inactive,Inactive
142,0.000496911072297,0.999503088927703,Inactive,Inactive
1648,0.000426441076293,0.999573558923708,Inactive,Inactive
1784,0.000404471912277,0.999595528087723,Inactive,Inactive
1049,0.000403492884492,0.999596507115508,Inactive,Inactive
940,0.000375522085536,0.999624477914464,Inactive,Inactive
1814,0.00036766894079,0.99963233105921,Inactive,Inactive
1397,0.000364906689942,0.999635093310058,Inactive,Inactive
1130,0.000358163318811,0.999641836681189,Inactive,Inactive
1554,0.000349757378175,0.999650242621825,Inactive,Inactive
131,0.000348986126694,0.999651013873306,Inactive,Inactive
1139,0.000332240764689,0.999667759235311,Inactive,Inactive
1789,0.000330679528435,0.999669320471565,Inactive,Inactive
444,0.000298859933463,0.999701140066537,Inactive,Inactive
1700,0.000291678092046,0.999708321907954,Inactive,Inactive
2017,0.00028909539263,0.99971090460737,Inactive,Inactive
1054,0.000270587064074,0.999729412935926,Inactive,Inactive
1117,0.000265139314124,0.999734860685876,Inactive,Inactive
370,0.000256039362846,0.999743960637154,Inactive,Inactive
1522,0.000252399316909,0.999747600683091,Inactive,Inactive
443,0.000252095751857,0.999747904248143,Inactive,Inactive
1468,0.000250816509162,0.999749183490838,Inactive,Inactive
904,0.00024514094541,0.99975485905459,Inactive,Inactive
1366,0.000242756095651,0.999757243904349,Inactive,Inactive
1994,0.000242618163205,0.999757381836795,Inactive,Inactive
305,0.000236733256876,0.999763266743124,Inactive,Inactive
37,0.000236241854951,0.999763758145049,Inactive,Inactive
1105,0.000216895845318,0.999783104154682,Inactive,Inactive
1801,0.000207767100522,0.999792232899478,Inactive,Inactive
1911,0.000204381877259,0.999795618122741,Inactive,Inactive
436,0.000204065713685,0.999795934286314,Inactive,Inactive
934,0.000204011203865,0.999795988796135,Inactive,Inactive
1691,0.0001887709641,0.9998112290359,Inactive,Inactive
637,0.00017341094965,0.99982658905035,Inactive,Inactive
16,0.000173307937483,0.999826692062517,Inactive,Active
1782,0.000156668337787,0.999843331662213,Inactive,Inactive
815,0.000143726281565,0.999856273718435,Inactive,Inactive
416,0.000136767352837,0.999863232647164,Inactive,Inactive
1593,0.000130953354169,0.99986904664583,Inactive,Inactive
1480,0.000129851129074,0.999870148870926,Inactive,Inactive
1465,0.000121872983658,0.999878127016342,Inactive,Inactive
69,0.000119798016511,0.999880201983489,Inactive,Inactive
2011,0.000119543129259,0.999880456870741,Inactive,Inactive
675,0.000117490128109,0.999882509871891,Inactive,Inactive
1776,0.000114192080943,0.999885807919057,Inactive,Inactive
1764,0.000112997947154,0.999887002052846,Inactive,Inactive
652,0.000109527855456,0.999890472144544,Inactive,Inactive
1502,0.000107185024045,0.999892814975955,Inactive,Inactive
2004,0.000105084125522,0.999894915874478,Inactive,Inactive
1276,9.22785539736459E-05,0.999907721446026,Inactive,Inactive
596,8.95879121289855E-05,0.999910412087871,Inactive,Inactive
132,8.84469010238309E-05,0.999911553098976,Inactive,Inactive
1874,8.51252522375834E-05,0.999914874747762,Inactive,Inactive
656,8.40252977361011E-05,0.999915974702264,Inactive,Inactive
1233,8.05560382844961E-05,0.999919443961716,Inactive,Inactive
1342,7.89532660842029E-05,0.999921046733916,Inactive,Inactive
113,7.67487168051861E-05,0.999923251283195,Inactive,Inactive
1175,7.51862057143393E-05,0.999924813794286,Inactive,Inactive
297,7.44573255710978E-05,0.999925542674429,Inactive,Inactive
