ID,Score,Real_Class
CHEMBL160102,0.714286,Active
CHEMBL102112,0.681818,Inactive
DECOY5254,0.681818,Inactive
DECOY1794,0.666667,Inactive
DECOY2475,0.666667,Inactive
DECOY787,0.666667,Inactive
CHEMBL101497,0.652174,Active
DECOY2304,0.636364,Inactive
DECOY2504,0.636364,Inactive
CHEMBL2367470,0.625,Active
CHEMBL323880,0.619048,Inactive
DECOY6385,0.619048,Inactive
CHEMBL1161660,0.608696,Active
DECOY1792,0.608696,Inactive
DECOY3685,0.608696,Inactive
DECOY3870,0.608696,Inactive
DECOY7193,0.6,Inactive
CHEMBL1161641,0.590909,Active
DECOY2419,0.590909,Inactive
DECOY2537,0.590909,Inactive
DECOY1150,0.571429,Inactive
DECOY1968,0.571429,Inactive
DECOY2499,0.571429,Inactive
DECOY6898,0.571429,Inactive
DECOY1601,0.565217,Inactive
DECOY3441,0.565217,Inactive
DECOY6715,0.565217,Inactive
DECOY1247,0.56,Inactive
DECOY1715,0.55,Inactive
CHEMBL806,0.545455,Inactive
DECOY1466,0.545455,Inactive
DECOY1686,0.545455,Inactive
DECOY2877,0.545455,Inactive
DECOY3167,0.545455,Inactive
DECOY3170,0.545455,Inactive
DECOY3413,0.545455,Inactive
DECOY4591,0.545455,Inactive
DECOY4611,0.545455,Inactive
DECOY5223,0.545455,Inactive
DECOY6433,0.545455,Inactive
DECOY6777,0.545455,Inactive
DECOY2454,0.541667,Inactive
CHEMBL2368198,0.52381,Active
DECOY1342,0.52381,Inactive
DECOY2422,0.52381,Inactive
DECOY2483,0.52381,Inactive
DECOY3110,0.52381,Inactive
DECOY3713,0.52381,Inactive
DECOY3715,0.52381,Inactive
DECOY6531,0.52381,Inactive
DECOY881,0.52381,Inactive
DECOY3078,0.521739,Inactive
DECOY3304,0.521739,Inactive
DECOY3381,0.521739,Inactive
DECOY4055,0.521739,Inactive
DECOY4509,0.521739,Inactive
DECOY6119,0.521739,Inactive
DECOY1755,0.52,Inactive
CHEMBL498847,0.5,Inactive
DECOY1852,0.5,Inactive
DECOY1886,0.5,Inactive
DECOY2171,0.5,Inactive
DECOY2528,0.5,Inactive
DECOY2551,0.5,Inactive
DECOY2631,0.5,Inactive
DECOY270,0.5,Inactive
DECOY2846,0.5,Inactive
DECOY3174,0.5,Inactive
DECOY3408,0.5,Inactive
DECOY359,0.5,Inactive
DECOY3686,0.5,Inactive
DECOY369,0.5,Inactive
DECOY4098,0.5,Inactive
DECOY4132,0.5,Inactive
DECOY4596,0.5,Inactive
DECOY481,0.5,Inactive
DECOY5361,0.5,Inactive
DECOY5404,0.5,Inactive
DECOY6270,0.5,Inactive
DECOY6346,0.5,Inactive
DECOY6464,0.5,Inactive
DECOY6516,0.5,Inactive
DECOY6834,0.5,Inactive
DECOY744,0.5,Inactive
DECOY1100,0.478261,Inactive
DECOY1665,0.478261,Inactive
DECOY1714,0.478261,Inactive
DECOY2760,0.478261,Inactive
DECOY2806,0.478261,Inactive
DECOY2948,0.478261,Inactive
DECOY4513,0.478261,Inactive
DECOY4978,0.478261,Inactive
DECOY5261,0.478261,Inactive
DECOY531,0.478261,Inactive
DECOY5710,0.478261,Inactive
DECOY5727,0.478261,Inactive
DECOY6841,0.478261,Inactive
DECOY6939,0.478261,Inactive
DECOY6949,0.478261,Inactive
DECOY7214,0.478261,Inactive
DECOY740,0.478261,Inactive
DECOY983,0.478261,Inactive
CHEMBL151437,0.47619,Active
CHEMBL488025,0.47619,Inactive
DECOY1384,0.47619,Inactive
DECOY1690,0.47619,Inactive
DECOY1865,0.47619,Inactive
DECOY2730,0.47619,Inactive
DECOY3663,0.47619,Inactive
DECOY367,0.47619,Inactive
DECOY4922,0.47619,Inactive
DECOY5315,0.47619,Inactive
DECOY5323,0.47619,Inactive
DECOY6441,0.47619,Inactive
DECOY830,0.47619,Inactive
DECOY2822,0.461538,Inactive
DECOY1344,0.458333,Inactive
DECOY1426,0.458333,Inactive
DECOY2520,0.458333,Inactive
DECOY5755,0.458333,Inactive
DECOY7113,0.458333,Inactive
DECOY910,0.458333,Inactive
CHEMBL1064,0.454545,Inactive
CHEMBL81,0.454545,Inactive
DECOY1032,0.454545,Inactive
DECOY1239,0.454545,Inactive
DECOY1364,0.454545,Inactive
DECOY1376,0.454545,Inactive
DECOY1450,0.454545,Inactive
DECOY1612,0.454545,Inactive
DECOY1850,0.454545,Inactive
DECOY1910,0.454545,Inactive
DECOY2028,0.454545,Inactive
DECOY2209,0.454545,Inactive
DECOY2414,0.454545,Inactive
DECOY2449,0.454545,Inactive
DECOY244,0.454545,Inactive
DECOY2598,0.454545,Inactive
DECOY2828,0.454545,Inactive
DECOY3086,0.454545,Inactive
DECOY3159,0.454545,Inactive
DECOY3220,0.454545,Inactive
DECOY3820,0.454545,Inactive
DECOY4299,0.454545,Inactive
DECOY4578,0.454545,Inactive
DECOY5019,0.454545,Inactive
DECOY5043,0.454545,Inactive
DECOY5220,0.454545,Inactive
DECOY5312,0.454545,Inactive
DECOY5345,0.454545,Inactive
DECOY5413,0.454545,Inactive
DECOY5542,0.454545,Inactive
DECOY5579,0.454545,Inactive
DECOY6082,0.454545,Inactive
DECOY6088,0.454545,Inactive
DECOY6221,0.454545,Inactive
DECOY6315,0.454545,Inactive
DECOY6493,0.454545,Inactive
DECOY6584,0.454545,Inactive
DECOY6845,0.454545,Inactive
DECOY7266,0.454545,Inactive
DECOY1846,0.45,Inactive
DECOY4936,0.45,Inactive
DECOY5909,0.44,Inactive
CHEMBL156695,0.434783,Active
DECOY1090,0.434783,Inactive
DECOY1153,0.434783,Inactive
DECOY1218,0.434783,Inactive
DECOY12,0.434783,Inactive
DECOY1414,0.434783,Inactive
DECOY1507,0.434783,Inactive
DECOY168,0.434783,Inactive
DECOY177,0.434783,Inactive
DECOY3075,0.434783,Inactive
DECOY3202,0.434783,Inactive
DECOY3352,0.434783,Inactive
DECOY3525,0.434783,Inactive
DECOY3529,0.434783,Inactive
DECOY3838,0.434783,Inactive
DECOY3858,0.434783,Inactive
DECOY3921,0.434783,Inactive
DECOY4004,0.434783,Inactive
DECOY4027,0.434783,Inactive
DECOY4425,0.434783,Inactive
DECOY4808,0.434783,Inactive
DECOY4945,0.434783,Inactive
DECOY4946,0.434783,Inactive
DECOY5020,0.434783,Inactive
DECOY537,0.434783,Inactive
DECOY5408,0.434783,Inactive
DECOY5741,0.434783,Inactive
DECOY594,0.434783,Inactive
DECOY6305,0.434783,Inactive
DECOY6502,0.434783,Inactive
DECOY6555,0.434783,Inactive
DECOY6646,0.434783,Inactive
DECOY6895,0.434783,Inactive
DECOY7032,0.434783,Inactive
DECOY7037,0.434783,Inactive
CHEMBL1163189,0.428571,Inactive
CHEMBL1321154,0.428571,Inactive
CHEMBL1614641,0.428571,Inactive
CHEMBL4088701,0.428571,Active
CHEMBL914,0.428571,Inactive
DECOY1259,0.428571,Inactive
DECOY1290,0.428571,Inactive
DECOY1605,0.428571,Inactive
DECOY1858,0.428571,Inactive
DECOY1921,0.428571,Inactive
DECOY2937,0.428571,Inactive
DECOY3051,0.428571,Inactive
DECOY3600,0.428571,Inactive
DECOY3622,0.428571,Inactive
DECOY398,0.428571,Inactive
DECOY4896,0.428571,Inactive
DECOY5284,0.428571,Inactive
DECOY5446,0.428571,Inactive
DECOY6133,0.428571,Inactive
DECOY6264,0.428571,Inactive
DECOY7074,0.428571,Inactive
DECOY1916,0.423077,Inactive
DECOY3428,0.423077,Inactive
DECOY4100,0.423077,Inactive
DECOY4126,0.423077,Inactive
DECOY5677,0.423077,Inactive
DECOY5796,0.423077,Inactive
CHEMBL114,0.416667,Inactive
DECOY138,0.416667,Inactive
DECOY1528,0.416667,Inactive
DECOY1604,0.416667,Inactive
DECOY2041,0.416667,Inactive
DECOY2056,0.416667,Inactive
DECOY2165,0.416667,Inactive
DECOY2482,0.416667,Inactive
DECOY2498,0.416667,Inactive
DECOY3210,0.416667,Inactive
DECOY3495,0.416667,Inactive
DECOY3570,0.416667,Inactive
DECOY3972,0.416667,Inactive
DECOY4454,0.416667,Inactive
DECOY5371,0.416667,Inactive
DECOY5884,0.416667,Inactive
DECOY6158,0.416667,Inactive
DECOY6214,0.416667,Inactive
DECOY6701,0.416667,Inactive
DECOY7096,0.416667,Inactive
DECOY7365,0.416667,Inactive
CHEMBL1082,0.409091,Inactive
CHEMBL1480,0.409091,Inactive
CHEMBL203266,0.409091,Inactive
CHEMBL2368199,0.409091,Active
CHEMBL496,0.409091,Inactive
CHEMBL605514,0.409091,Inactive
CHEMBL783,0.409091,Inactive
DECOY1285,0.409091,Inactive
DECOY1334,0.409091,Inactive
DECOY1351,0.409091,Inactive
DECOY1397,0.409091,Inactive
DECOY1469,0.409091,Inactive
DECOY1520,0.409091,Inactive
DECOY1534,0.409091,Inactive
DECOY1733,0.409091,Inactive
DECOY1843,0.409091,Inactive
DECOY2082,0.409091,Inactive
DECOY2250,0.409091,Inactive
DECOY2251,0.409091,Inactive
DECOY2269,0.409091,Inactive
DECOY2357,0.409091,Inactive
DECOY2371,0.409091,Inactive
DECOY2437,0.409091,Inactive
DECOY2466,0.409091,Inactive
DECOY2535,0.409091,Inactive
DECOY2779,0.409091,Inactive
DECOY2821,0.409091,Inactive
DECOY2873,0.409091,Inactive
DECOY2954,0.409091,Inactive
DECOY3052,0.409091,Inactive
DECOY3213,0.409091,Inactive
DECOY323,0.409091,Inactive
DECOY3305,0.409091,Inactive
DECOY3359,0.409091,Inactive
DECOY358,0.409091,Inactive
DECOY4031,0.409091,Inactive
DECOY4036,0.409091,Inactive
DECOY4075,0.409091,Inactive
DECOY4160,0.409091,Inactive
DECOY4308,0.409091,Inactive
DECOY4349,0.409091,Inactive
DECOY4420,0.409091,Inactive
DECOY4492,0.409091,Inactive
DECOY4536,0.409091,Inactive
DECOY4682,0.409091,Inactive
DECOY4746,0.409091,Inactive
DECOY4884,0.409091,Inactive
DECOY5271,0.409091,Inactive
DECOY5667,0.409091,Inactive
DECOY5748,0.409091,Inactive
DECOY583,0.409091,Inactive
DECOY6257,0.409091,Inactive
DECOY6294,0.409091,Inactive
DECOY6302,0.409091,Inactive
DECOY6427,0.409091,Inactive
DECOY6618,0.409091,Inactive
DECOY6725,0.409091,Inactive
DECOY6819,0.409091,Inactive
DECOY6891,0.409091,Inactive
DECOY6894,0.409091,Inactive
DECOY6971,0.409091,Inactive
DECOY7127,0.409091,Inactive
DECOY7133,0.409091,Inactive
DECOY7236,0.409091,Inactive
DECOY730,0.409091,Inactive
DECOY7314,0.409091,Inactive
DECOY253,0.407407,Inactive
DECOY5057,0.407407,Inactive
DECOY5652,0.407407,Inactive
CHEMBL487720,0.4,Active
DECOY287,0.4,Inactive
DECOY2894,0.4,Inactive
DECOY3163,0.4,Inactive
DECOY542,0.4,Inactive
DECOY5489,0.4,Inactive
DECOY5806,0.4,Inactive
DECOY6774,0.4,Inactive
DECOY7176,0.4,Inactive
DECOY7359,0.4,Inactive
DECOY780,0.4,Inactive
CHEMBL506247,0.393939,Inactive
CHEMBL259240,0.391304,Inactive
CHEMBL515,0.391304,Inactive
DECOY1006,0.391304,Inactive
DECOY1159,0.391304,Inactive
DECOY1184,0.391304,Inactive
DECOY1208,0.391304,Inactive
DECOY1277,0.391304,Inactive
DECOY1343,0.391304,Inactive
DECOY1526,0.391304,Inactive
DECOY1575,0.391304,Inactive
DECOY1643,0.391304,Inactive
DECOY1691,0.391304,Inactive
DECOY1763,0.391304,Inactive
DECOY1773,0.391304,Inactive
DECOY2196,0.391304,Inactive
DECOY2308,0.391304,Inactive
DECOY2502,0.391304,Inactive
DECOY250,0.391304,Inactive
DECOY2622,0.391304,Inactive
