No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
5,0.9075,0.0925,Active,Active
25,0.8275,0.1725,Active,Active
27,0.815,0.185,Active,Active
19,0.7775,0.2225,Active,Active
6,0.64,0.36,Active,Active
3,0.63,0.37,Active,Active
23,0.5675,0.4325,Active,Active
20,0.4825,0.5175,Inactive,Active
1438,0.47,0.53,Inactive,Inactive
13,0.3875,0.6125,Inactive,Active
11,0.3325,0.6675,Inactive,Active
28,0.3225,0.6775,Inactive,Active
2,0.3,0.7,Inactive,Active
10,0.255,0.745,Inactive,Active
30,0.235,0.765,Inactive,Active
22,0.2275,0.7725,Inactive,Active
1306,0.2,0.8,Inactive,Inactive
1587,0.19,0.81,Inactive,Inactive
16,0.15,0.85,Inactive,Active
7,0.13,0.87,Inactive,Active
1766,0.1275,0.8725,Inactive,Inactive
8,0.12,0.88,Inactive,Active
1279,0.12,0.88,Inactive,Inactive
12,0.1125,0.8875,Inactive,Active
444,0.11,0.89,Inactive,Inactive
77,0.1075,0.8925,Inactive,Inactive
1214,0.1,0.9,Inactive,Inactive
821,0.095,0.905,Inactive,Inactive
1549,0.0925,0.9075,Inactive,Inactive
14,0.09,0.91,Inactive,Active
1896,0.09,0.91,Inactive,Inactive
1778,0.0875,0.9125,Inactive,Inactive
1422,0.0825,0.9175,Inactive,Inactive
1085,0.08,0.92,Inactive,Inactive
1258,0.075,0.925,Inactive,Inactive
1358,0.075,0.925,Inactive,Inactive
26,0.0725,0.9275,Inactive,Active
1810,0.0725,0.9275,Inactive,Inactive
185,0.07,0.93,Inactive,Inactive
1439,0.07,0.93,Inactive,Inactive
1445,0.07,0.93,Inactive,Inactive
2033,0.065,0.935,Inactive,Inactive
597,0.06,0.94,Inactive,Inactive
528,0.0575,0.9425,Inactive,Inactive
655,0.055,0.945,Inactive,Inactive
721,0.055,0.945,Inactive,Inactive
1522,0.055,0.945,Inactive,Inactive
1765,0.055,0.945,Inactive,Inactive
188,0.0525,0.9475,Inactive,Inactive
527,0.0525,0.9475,Inactive,Inactive
673,0.0525,0.9475,Inactive,Inactive
866,0.0525,0.9475,Inactive,Inactive
1245,0.0525,0.9475,Inactive,Inactive
697,0.05,0.95,Inactive,Inactive
1931,0.05,0.95,Inactive,Inactive
1139,0.0475,0.9525,Inactive,Inactive
1556,0.045,0.955,Inactive,Inactive
318,0.0425,0.9575,Inactive,Inactive
399,0.0425,0.9575,Inactive,Inactive
1144,0.0425,0.9575,Inactive,Inactive
1328,0.0425,0.9575,Inactive,Inactive
1544,0.0425,0.9575,Inactive,Inactive
1784,0.0425,0.9575,Inactive,Inactive
1836,0.0425,0.9575,Inactive,Inactive
131,0.04,0.96,Inactive,Inactive
227,0.04,0.96,Inactive,Inactive
417,0.04,0.96,Inactive,Inactive
1324,0.04,0.96,Inactive,Inactive
1442,0.04,0.96,Inactive,Inactive
338,0.0375,0.9625,Inactive,Inactive
907,0.0375,0.9625,Inactive,Inactive
1082,0.0375,0.9625,Inactive,Inactive
1748,0.0375,0.9625,Inactive,Inactive
1756,0.0375,0.9625,Inactive,Inactive
61,0.035,0.965,Inactive,Inactive
104,0.035,0.965,Inactive,Inactive
274,0.035,0.965,Inactive,Inactive
541,0.035,0.965,Inactive,Inactive
1435,0.035,0.965,Inactive,Inactive
1454,0.035,0.965,Inactive,Inactive
1543,0.035,0.965,Inactive,Inactive
1762,0.035,0.965,Inactive,Inactive
2104,0.035,0.965,Inactive,Inactive
453,0.0325,0.9675,Inactive,Inactive
1003,0.0325,0.9675,Inactive,Inactive
1231,0.0325,0.9675,Inactive,Inactive
1352,0.0325,0.9675,Inactive,Inactive
1870,0.0325,0.9675,Inactive,Inactive
2041,0.0325,0.9675,Inactive,Inactive
78,0.03,0.97,Inactive,Inactive
255,0.03,0.97,Inactive,Inactive
392,0.03,0.97,Inactive,Inactive
449,0.03,0.97,Inactive,Inactive
631,0.03,0.97,Inactive,Inactive
651,0.03,0.97,Inactive,Inactive
811,0.03,0.97,Inactive,Inactive
905,0.03,0.97,Inactive,Inactive
963,0.03,0.97,Inactive,Inactive
1184,0.03,0.97,Inactive,Inactive
1393,0.03,0.97,Inactive,Inactive
1566,0.03,0.97,Inactive,Inactive
1831,0.03,0.97,Inactive,Inactive
1835,0.03,0.97,Inactive,Inactive
1950,0.03,0.97,Inactive,Inactive
1954,0.03,0.97,Inactive,Inactive
2037,0.03,0.97,Inactive,Inactive
223,0.0275,0.9725,Inactive,Inactive
555,0.0275,0.9725,Inactive,Inactive
668,0.0275,0.9725,Inactive,Inactive
1198,0.0275,0.9725,Inactive,Inactive
1621,0.0275,0.9725,Inactive,Inactive
1689,0.0275,0.9725,Inactive,Inactive
1706,0.0275,0.9725,Inactive,Inactive
1726,0.0275,0.9725,Inactive,Inactive
1901,0.0275,0.9725,Inactive,Inactive
58,0.025,0.975,Inactive,Inactive
103,0.025,0.975,Inactive,Inactive
128,0.025,0.975,Inactive,Inactive
142,0.025,0.975,Inactive,Inactive
474,0.025,0.975,Inactive,Inactive
665,0.025,0.975,Inactive,Inactive
676,0.025,0.975,Inactive,Inactive
788,0.025,0.975,Inactive,Inactive
868,0.025,0.975,Inactive,Inactive
1171,0.025,0.975,Inactive,Inactive
1250,0.025,0.975,Inactive,Inactive
1386,0.025,0.975,Inactive,Inactive
1591,0.025,0.975,Inactive,Inactive
18,0.0225,0.9775,Inactive,Active
36,0.0225,0.9775,Inactive,Inactive
51,0.0225,0.9775,Inactive,Inactive
98,0.0225,0.9775,Inactive,Inactive
158,0.0225,0.9775,Inactive,Inactive
285,0.0225,0.9775,Inactive,Inactive
334,0.0225,0.9775,Inactive,Inactive
346,0.0225,0.9775,Inactive,Inactive
710,0.0225,0.9775,Inactive,Inactive
733,0.0225,0.9775,Inactive,Inactive
767,0.0225,0.9775,Inactive,Inactive
861,0.0225,0.9775,Inactive,Inactive
862,0.0225,0.9775,Inactive,Inactive
1034,0.0225,0.9775,Inactive,Inactive
1229,0.0225,0.9775,Inactive,Inactive
1603,0.0225,0.9775,Inactive,Inactive
1732,0.0225,0.9775,Inactive,Inactive
1961,0.0225,0.9775,Inactive,Inactive
2049,0.0225,0.9775,Inactive,Inactive
2103,0.0225,0.9775,Inactive,Inactive
9,0.02,0.98,Inactive,Active
15,0.02,0.98,Inactive,Active
108,0.02,0.98,Inactive,Inactive
167,0.02,0.98,Inactive,Inactive
189,0.02,0.98,Inactive,Inactive
224,0.02,0.98,Inactive,Inactive
