mol_name,activity,potency
CHEMBL437774,Active,9.523
CHEMBL398239,Active,8.824
CHEMBL3985556,Active,9
CHEMBL2367472,Active,7.438
CHEMBL333760,Active,8.046
CHEMBL2368202,Active,8.125
CHEMBL251499,Active,8.921
CHEMBL400973,Active,9.398
CHEMBL39312,Active,8.523
CHEMBL1161646,Active,8.119
CHEMBL1487,Active,8.1336
CHEMBL39102,Active,7.796
CHEMBL398551,Active,9.222
CHEMBL163277,Active,9.569
CHEMBL2220442,Active,7.848
CHEMBL250953,Active,8.538
CHEMBL1161647,Active,8.07
CHEMBL3971439,Active,8
CHEMBL228954,Active,7.932
CHEMBL391002,Active,8.523
CHEMBL389441,Active,7.857
CHEMBL3906659,Active,8.699
CHEMBL398240,Active,9.097
CHEMBL249906,Active,8.921
CHEMBL249724,Active,9.097
CHEMBL2368185,Active,7.745
CHEMBL399315,Active,8.745
CHEMBL1161663,Active,8.244
CHEMBL3677707,Active,8.398
CHEMBL399771,Active,8.056
CHEMBL2368194,Active,6.824
CHEMBL399773,Active,9.523
CHEMBL64962,Active,7.398
CHEMBL1144,Active,6.838
CHEMBL250500,Active,7.824
CHEMBL2367478,Active,8.155
CHEMBL2367471,Active,7.229
CHEMBL394937,Active,8.745
CHEMBL1161661,Active,8.081
CHEMBL1163150,Active,6.62
CHEMBL389217,Active,7.785
CHEMBL1161654,Active,8.06
CHEMBL250749,Active,9.155
CHEMBL1163149,Active,6.569
CHEMBL228583,Active,7.427
CHEMBL2368188,Active,8.301
CHEMBL389216,Active,8.538
CHEMBL3318042,Active,8.051
CHEMBL1161655,Active,8.145
CHEMBL400874,Active,9.699
CHEMBL389443,Active,8.328
CHEMBL1161662,Active,8.046
CHEMBL3896765,Active,8.699
CHEMBL387514,Active,8.456
CHEMBL399360,Active,7.907
CHEMBL1477,Active,8.297
CHEMBL1161657,Active,8.06
CHEMBL1161651,Active,8.146
CHEMBL1161645,Active,8.076
CHEMBL438694,Active,8.523
CHEMBL162642,Active,10.854
CHEMBL2368197,Active,7.699
CHEMBL250088,Active,8.18
CHEMBL1161648,Active,8.089
CHEMBL438662,Active,7.777
CHEMBL249273,Active,8.469
CHEMBL2375155,Active,9.975
CHEMBL1161664,Active,8.116
CHEMBL1161640,Active,8.14
CHEMBL2367477,Active,7.796
CHEMBL159951,Active,10.745
CHEMBL2368189,Active,7.585
CHEMBL3963593,Active,9
CHEMBL401293,Active,8.658
CHEMBL161829,Active,9.244
CHEMBL1163804,Active,7.044
CHEMBL1161642,Active,8.021
CHEMBL399313,Active,9.097
CHEMBL345375,Active,8.222
CHEMBL2368205,Active,7.699
CHEMBL2375156,Active,9.081
CHEMBL3677709,Active,8.699
CHEMBL159103,Active,8.301
CHEMBL3349828,Active,7.967
CHEMBL2368190,Active,8.319
CHEMBL3971241,Active,8.097
CHEMBL1161656,Active,8.046
CHEMBL3349825,Active,7.706
CHEMBL1161659,Active,8.211
CHEMBL65037,Active,6.959
CHEMBL1161650,Active,8.124
CHEMBL249884,Active,7.921
CHEMBL1161653,Active,8.155
CHEMBL1161665,Active,8.06
CHEMBL99838,Active,7
CHEMBL1161649,Active,8.06
CHEMBL250090,Active,7.699
CHEMBL1161652,Active,8.095
CHEMBL2367475,Active,7.208
CHEMBL250707,Active,8.42
CHEMBL3349827,Active,8.119
CHEMBL1165024,Active,6.585
CHEMBL400747,Active,9.155
CHEMBL1161644,Active,8.106
CHEMBL228528,Active,8.721
CHEMBL228955,Active,9.523
CHEMBL389002,Active,8.745
CHEMBL318707,Active,8.745
CHEMBL1161658,Active,8.032
CHEMBL228667,Active,8.018
DECOY909,Inactive,2
DECOY592,Inactive,2
DECOY6843,Inactive,2
DECOY3625,Inactive,2
DECOY5800,Inactive,2
DECOY664,Inactive,2
DECOY795,Inactive,2
DECOY213,Inactive,2
DECOY4317,Inactive,2
DECOY7099,Inactive,2
DECOY3026,Inactive,2
DECOY6033,Inactive,2
DECOY2158,Inactive,2
DECOY1620,Inactive,2
DECOY7123,Inactive,2
DECOY4546,Inactive,2
DECOY1257,Inactive,2
DECOY1411,Inactive,2
DECOY5477,Inactive,2
DECOY4128,Inactive,2
DECOY293,Inactive,2
