Precision,Recall
0.23529411764705882,1.0
0.2532467532467532,0.975
0.2765957446808511,0.975
0.2878787878787879,0.95
0.3140495867768595,0.95
0.3247863247863248,0.95
0.34545454545454546,0.95
0.4175824175824176,0.95
0.4578313253012048,0.95
0.4935064935064935,0.95
0.5205479452054794,0.95
0.5352112676056338,0.95
0.5588235294117647,0.95
0.59375,0.95
0.6440677966101694,0.95
0.6666666666666666,0.95
0.6909090909090909,0.95
0.7169811320754716,0.95
0.76,0.95
0.8085106382978723,0.95
0.8444444444444444,0.95
0.8636363636363636,0.95
0.9047619047619048,0.95
0.926829268292683,0.95
0.95,0.95
0.9743589743589743,0.95
0.9736842105263158,0.925
1.0,0.925
1.0,0.9
1.0,0.875
1.0,0.85
1.0,0.825
1.0,0.8
1.0,0.775
1.0,0.75
1.0,0.725
1.0,0.7
1.0,0.675
1.0,0.65
1.0,0.625
1.0,0.6
1.0,0.575
1.0,0.55
1.0,0.525
1.0,0.5
1.0,0.475
1.0,0.45
1.0,0.425
1.0,0.375
1.0,0.35
1.0,0.325
1.0,0.3
1.0,0.275
1.0,0.25
1.0,0.225
1.0,0.2
1.0,0.175
1.0,0.15
1.0,0.1
1.0,0.075
1.0,0.05
1.0,0.025
1.0,0.0
