No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
24,0.9846751719833,0.0153248280167,Active,Active
35,0.984670069714166,0.015329930285834,Active,Active
15,0.980362498068513,0.019637501931487,Active,Active
9,0.941078346979321,0.058921653020679,Active,Active
5,0.894125215336453,0.105874784663547,Active,Active
19,0.86795357544137,0.13204642455863,Active,Active
28,0.825807718287617,0.174192281712383,Active,Active
0,0.799095230887213,0.200904769112787,Active,Active
25,0.792455263962944,0.207544736037056,Active,Active
32,0.747718390393645,0.252281609606355,Active,Active
17,0.747307253860631,0.252692746139369,Active,Active
6,0.741019372806847,0.258980627193153,Active,Active
12,0.733511099552329,0.266488900447671,Active,Active
2,0.733281717542443,0.266718282457557,Active,Active
4,0.725163785273972,0.274836214726028,Active,Active
33,0.63026466589446,0.36973533410554,Active,Active
26,0.587412917544095,0.412587082455905,Active,Active
3,0.548774216061015,0.451225783938985,Active,Active
14,0.33569142176866,0.66430857823134,Inactive,Active
27,0.310845413736379,0.689154586263621,Inactive,Active
34,0.267112933987653,0.732887066012347,Inactive,Active
21,0.245601649536733,0.754398350463267,Inactive,Active
22,0.182578985388596,0.817421014611404,Inactive,Active
31,0.174449918662353,0.825550081337647,Inactive,Active
11,0.172081413498941,0.827918586501059,Inactive,Active
36,0.169687273480125,0.830312726519874,Inactive,Active
10,0.137165476042071,0.862834523957929,Inactive,Active
16,0.136693484010644,0.863306515989356,Inactive,Active
13,0.096278965413694,0.903721034586306,Inactive,Active
7,0.087809024600657,0.912190975399343,Inactive,Active
8,0.02382270661384,0.97617729338616,Inactive,Active
1,0.010561062435109,0.989438937564891,Inactive,Active
38,0.006100673055484,0.993899326944516,Inactive,Active
884,0.005863025495896,0.994136974504104,Inactive,Inactive
29,0.00511719291643,0.99488280708357,Inactive,Active
30,0.003007214865763,0.996992785134237,Inactive,Active
1045,0.002744988507267,0.997255011492733,Inactive,Inactive
681,0.002659068918543,0.997340931081457,Inactive,Inactive
953,0.002332432334475,0.997667567665525,Inactive,Inactive
357,0.001713898326259,0.99828610167374,Inactive,Inactive
557,0.001597976300734,0.998402023699266,Inactive,Inactive
907,0.001545045610918,0.998454954389082,Inactive,Inactive
933,0.001493902782351,0.998506097217649,Inactive,Inactive
1165,0.00141151091987,0.99858848908013,Inactive,Inactive
39,0.0013754635836,0.9986245364164,Inactive,Active
1219,0.001326021909803,0.998673978090197,Inactive,Inactive
272,0.001211468446178,0.998788531553822,Inactive,Inactive
888,0.000963318248325,0.999036681751675,Inactive,Inactive
555,0.000792750230083,0.999207249769917,Inactive,Inactive
381,0.000723190728976,0.999276809271024,Inactive,Inactive
277,0.000691495973765,0.999308504026235,Inactive,Inactive
334,0.000679461592217,0.999320538407783,Inactive,Inactive
276,0.000623858468979,0.999376141531021,Inactive,Inactive
327,0.000586893700151,0.999413106299849,Inactive,Inactive
1154,0.000575060473965,0.999424939526035,Inactive,Inactive
1097,0.000554021868537,0.999445978131463,Inactive,Inactive
18,0.000478071007954,0.999521928992046,Inactive,Active
345,0.000387354005572,0.999612645994428,Inactive,Inactive
561,0.000384507638123,0.999615492361877,Inactive,Inactive
147,0.000280312426967,0.999719687573033,Inactive,Inactive
164,0.000266228008936,0.999733771991064,Inactive,Inactive
1172,0.000264041920082,0.999735958079918,Inactive,Inactive
562,0.000252333301046,0.999747666698954,Inactive,Inactive
279,0.000229522755231,0.999770477244769,Inactive,Inactive
47,0.000225999981185,0.999774000018815,Inactive,Inactive
756,0.000217547083161,0.999782452916839,Inactive,Inactive
1078,0.000197401931936,0.999802598068064,Inactive,Inactive
552,0.000181368111011,0.999818631888989,Inactive,Inactive
271,0.000178550161579,0.999821449838421,Inactive,Inactive
565,0.000173294836248,0.999826705163752,Inactive,Inactive
1187,0.000163823185502,0.999836176814498,Inactive,Inactive
341,0.000147001443119,0.999852998556881,Inactive,Inactive
255,0.000139686124982,0.999860313875018,Inactive,Inactive
935,0.000135971167757,0.999864028832243,Inactive,Inactive
263,0.000135308914112,0.999864691085888,Inactive,Inactive
1179,0.000132441550926,0.999867558449074,Inactive,Inactive
315,0.00011860940821,0.99988139059179,Inactive,Inactive
1195,0.000108711734814,0.999891288265186,Inactive,Inactive
1152,9.98232207819472E-05,0.999900176779218,Inactive,Inactive
347,9.35961721386658E-05,0.999906403827861,Inactive,Inactive
23,9.28194151416095E-05,0.999907180584858,Inactive,Active
1173,9.08807834922865E-05,0.999909119216508,Inactive,Inactive
975,9.01027865947146E-05,0.999909897213405,Inactive,Inactive
153,8.87187771952958E-05,0.999911281222805,Inactive,Inactive
257,8.80232598735597E-05,0.999911976740126,Inactive,Inactive
260,8.64932511167593E-05,0.999913506748883,Inactive,Inactive
475,8.50408750268095E-05,0.999914959124973,Inactive,Inactive
442,8.39989450882595E-05,0.999916001054912,Inactive,Inactive
672,8.33923394547576E-05,0.999916607660545,Inactive,Inactive
1146,8.19084041989715E-05,0.999918091595801,Inactive,Inactive
305,8.14628563765574E-05,0.999918537143623,Inactive,Inactive
770,7.80196207071926E-05,0.999921980379293,Inactive,Inactive
576,7.70025814220698E-05,0.999922997418578,Inactive,Inactive
993,7.40839606441224E-05,0.999925916039356,Inactive,Inactive
1095,7.1834121165959E-05,0.999928165878834,Inactive,Inactive
362,6.94234534802662E-05,0.99993057654652,Inactive,Inactive
1082,6.56423386180549E-05,0.999934357661382,Inactive,Inactive
1162,6.55905217193942E-05,0.999934409478281,Inactive,Inactive
1076,6.48610599812693E-05,0.999935138940019,Inactive,Inactive
892,6.18539767828219E-05,0.999938146023217,Inactive,Inactive
1138,6.13961304150035E-05,0.999938603869585,Inactive,Inactive
842,6.06942288975398E-05,0.999939305771102,Inactive,Inactive
1231,5.73516734879709E-05,0.999942648326512,Inactive,Inactive
342,5.48303445407905E-05,0.999945169655459,Inactive,Inactive
37,5.45428057054931E-05,0.999945457194294,Inactive,Active
174,5.35285169230848E-05,0.999946471483077,Inactive,Inactive
883,5.12791024659398E-05,0.999948720897534,Inactive,Inactive
252,4.86653637544743E-05,0.999951334636246,Inactive,Inactive
189,4.82554719601902E-05,0.99995174452804,Inactive,Inactive
1160,4.21220950380663E-05,0.999957877904962,Inactive,Inactive
621,4.1370686148734E-05,0.999958629313851,Inactive,Inactive
1084,4.11143856695606E-05,0.99995888561433,Inactive,Inactive
