No.,Active_Prob,Predicted_Class,Real_Class
0,1,Active,Active
2,1,Active,Active
3,1,Active,Active
4,1,Active,Active
5,1,Active,Active
6,1,Active,Active
8,1,Active,Active
9,1,Active,Active
10,1,Active,Active
11,1,Active,Active
12,1,Active,Active
13,1,Active,Active
14,1,Active,Active
15,1,Active,Active
16,1,Active,Active
17,1,Active,Active
19,1,Active,Active
21,1,Active,Active
22,1,Active,Active
24,1,Active,Active
25,1,Active,Active
26,1,Active,Active
27,1,Active,Active
28,1,Active,Active
29,1,Active,Active
30,1,Active,Active
31,1,Active,Active
32,1,Active,Active
33,1,Active,Active
34,1,Active,Active
35,1,Active,Active
36,1,Active,Active
475,1,Active,Inactive
1165,0.99999857,Active,Inactive
1059,0.9999981,Active,Inactive
23,0.99999255,Active,Active
455,0.99998355,Active,Inactive
227,0.99997175,Active,Inactive
1097,0.9998855,Active,Inactive
7,0.99987364,Active,Active
993,0.99977577,Active,Inactive
892,0.9997053,Active,Inactive
345,0.9995804,Active,Inactive
20,0.9995663,Active,Active
1,0.99919254,Active,Active
1045,0.99918854,Active,Inactive
962,0.999158,Active,Inactive
953,0.99806786,Active,Inactive
37,0.9979921,Active,Active
852,0.9978815,Active,Inactive
880,0.9973501,Active,Inactive
756,0.9924259,Active,Inactive
1195,0.98885745,Active,Inactive
231,0.98813707,Active,Inactive
327,0.97982925,Active,Inactive
218,0.97289205,Active,Inactive
255,0.95933056,Active,Inactive
177,0.92874265,Active,Inactive
870,0.90892524,Active,Inactive
908,0.89629984,Active,Inactive
784,0.8836289,Active,Inactive
1226,0.8698332,Active,Inactive
874,0.83173066,Active,Inactive
1148,0.82808864,Active,Inactive
381,0.7682064,Active,Inactive
1014,0.7531695,Active,Inactive
780,0.74639195,Active,Inactive
1121,0.6911193,Active,Inactive
890,0.61123645,Active,Inactive
682,0.60292166,Active,Inactive
1003,0.5805263,Active,Inactive
1100,0.5617554,Active,Inactive
842,0.5366195,Active,Inactive
1036,0.5167134,Active,Inactive
208,0.50824857,Active,Inactive
55,0.49688005,Inactive,Inactive
839,0.48584405,Inactive,Inactive
605,0.45685363,Inactive,Inactive
1022,0.4532882,Inactive,Inactive
603,0.22521138,Inactive,Inactive
334,0.21002355,Inactive,Inactive
434,0.17545715,Inactive,Inactive
1182,0.1458394,Inactive,Inactive
481,0.13811272,Inactive,Inactive
746,0.1295054,Inactive,Inactive
1205,0.12091538,Inactive,Inactive
617,0.10640982,Inactive,Inactive
1168,0.0828751,Inactive,Inactive
1196,0.080917,Inactive,Inactive
867,0.056294233,Inactive,Inactive
869,0.045461565,Inactive,Inactive
437,0.03821692,Inactive,Inactive
591,0.036244065,Inactive,Inactive
736,0.035712868,Inactive,Inactive
107,0.03391874,Inactive,Inactive
881,0.01632896,Inactive,Inactive
576,0.014643639,Inactive,Inactive
1210,0.014452726,Inactive,Inactive
692,0.014292926,Inactive,Inactive
49,0.014181852,Inactive,Inactive
1211,0.0125929415,Inactive,Inactive
1189,0.012080312,Inactive,Inactive
810,0.010998607,Inactive,Inactive
720,0.010764122,Inactive,Inactive
954,0.010652125,Inactive,Inactive
865,0.009842664,Inactive,Inactive
911,0.009737998,Inactive,Inactive
770,0.0069905818,Inactive,Inactive
324,0.005695045,Inactive,Inactive
981,0.004925221,Inactive,Inactive
961,0.00485906,Inactive,Inactive
889,0.0043880343,Inactive,Inactive
386,0.004112661,Inactive,Inactive
543,0.0036540627,Inactive,Inactive
150,0.0031320453,Inactive,Inactive
369,0.0028752089,Inactive,Inactive
388,0.0021643937,Inactive,Inactive
115,0.001548022,Inactive,Inactive
650,0.0015302896,Inactive,Inactive
798,0.0013958812,Inactive,Inactive
767,0.0012067854,Inactive,Inactive
462,0.0011959374,Inactive,Inactive
550,0.0011715591,Inactive,Inactive
464,0.0010837018,Inactive,Inactive
525,0.00089627504,Inactive,Inactive
252,0.00073212385,Inactive,Inactive
281,0.0007149875,Inactive,Inactive
428,0.00066924095,Inactive,Inactive
1035,0.000618726,Inactive,Inactive
375,0.00046813488,Inactive,Inactive
857,0.00046229362,Inactive,Inactive
706,0.00045624375,Inactive,Inactive
229,0.00044232607,Inactive,Inactive
332,0.00042456388,Inactive,Inactive
52,0.00041213632,Inactive,Inactive
672,0.0003246367,Inactive,Inactive
586,0.0002912581,Inactive,Inactive
176,0.00029024482,Inactive,Inactive
361,0.00027289987,Inactive,Inactive
303,0.00025591254,Inactive,Inactive
518,0.0002451241,Inactive,Inactive
250,0.00022020936,Inactive,Inactive
1041,0.00019428134,Inactive,Inactive
830,0.00017124414,Inactive,Inactive
611,0.0001488626,Inactive,Inactive
712,0.0001322031,Inactive,Inactive
419,0.00010580755,Inactive,Inactive
390,9.918337E-05,Inactive,Inactive
1004,9.5498406E-05,Inactive,Inactive
89,9.5206866E-05,Inactive,Inactive
195,9.442201E-05,Inactive,Inactive
411,8.453777E-05,Inactive,Inactive
442,8.425253E-05,Inactive,Inactive
759,7.853282E-05,Inactive,Inactive
741,7.6429475E-05,Inactive,Inactive
1101,7.496806E-05,Inactive,Inactive
353,7.48357E-05,Inactive,Inactive
1018,6.9483525E-05,Inactive,Inactive
440,6.766796E-05,Inactive,Inactive
624,6.737773E-05,Inactive,Inactive
1234,6.34578E-05,Inactive,Inactive
1129,3.6690853E-05,Inactive,Inactive
565,3.6030186E-05,Inactive,Inactive
701,3.5537178E-05,Inactive,Inactive
395,3.4285684E-05,Inactive,Inactive
357,3.316244E-05,Inactive,Inactive
724,3.1970238E-05,Inactive,Inactive
1174,2.7255563E-05,Inactive,Inactive
707,2.7144979E-05,Inactive,Inactive
763,2.6796359E-05,Inactive,Inactive
926,2.5545038E-05,Inactive,Inactive
1026,2.4981931E-05,Inactive,Inactive
537,2.2994645E-05,Inactive,Inactive
775,2.2515527E-05,Inactive,Inactive
1098,2.1272046E-05,Inactive,Inactive
894,2.0511377E-05,Inactive,Inactive
750,1.835597E-05,Inactive,Inactive
201,1.47614255E-05,Inactive,Inactive
976,1.4411558E-05,Inactive,Inactive
807,1.411564E-05,Inactive,Inactive
1190,1.2549957E-05,Inactive,Inactive
795,1.2104933E-05,Inactive,Inactive
282,1.121359E-05,Inactive,Inactive
486,1.1082156E-05,Inactive,Inactive
100,9.761844E-06,Inactive,Inactive
879,9.131803E-06,Inactive,Inactive
245,8.782798E-06,Inactive,Inactive
206,8.580311E-06,Inactive,Inactive
203,8.351699E-06,Inactive,Inactive
524,8.330961E-06,Inactive,Inactive
320,7.874547E-06,Inactive,Inactive
738,7.260172E-06,Inactive,Inactive
94,6.961568E-06,Inactive,Inactive
360,6.6967136E-06,Inactive,Inactive
460,6.1249416E-06,Inactive,Inactive
934,6.0383677E-06,Inactive,Inactive
45,5.8406877E-06,Inactive,Inactive
523,5.7556335E-06,Inactive,Inactive
1052,5.313951E-06,Inactive,Inactive
