mol_name,activity,potency
CHEMBL1496,Active,8.241
CHEMBL1487,Active,8.134
CHEMBL54440,Active,7.316
CHEMBL1144,Active,6.838
CHEMBL169046,Active,6.333
CHEMBL1477,Active,8.297
CHEMBL1161644,Active,8.106
CHEMBL2220442,Active,7.848
CHEMBL2367472,Active,7.438
CHEMBL2367477,Active,7.796
CHEMBL1163804,Active,7.044
CHEMBL64962,Active,7.398
CHEMBL65037,Active,6.959
CHEMBL99838,Active,7
CHEMBL100165,Active,7.523
CHEMBL101497,Active,6.602
CHEMBL102168,Active,9.301
CHEMBL151437,Active,8.097
CHEMBL156695,Active,6.432
CHEMBL159103,Active,8.301
CHEMBL161829,Active,9.244
CHEMBL175236,Active,7.538
CHEMBL228583,Active,7.427
CHEMBL228667,Active,8.018
CHEMBL228954,Active,7.932
CHEMBL249884,Active,7.921
CHEMBL250088,Active,8.18
CHEMBL250090,Active,7.699
CHEMBL250500,Active,7.824
CHEMBL250953,Active,8.538
CHEMBL303515,Active,7.699
CHEMBL318707,Active,8.745
CHEMBL321768,Active,8.252
CHEMBL329307,Active,7.26
CHEMBL333760,Active,8.046
CHEMBL345375,Active,8.222
CHEMBL389216,Active,8.538
CHEMBL389217,Active,7.785
CHEMBL389441,Active,7.857
CHEMBL394937,Active,8.745
CHEMBL399313,Active,9.097
CHEMBL399360,Active,7.907
CHEMBL399771,Active,8.056
CHEMBL438662,Active,7.777
CHEMBL487720,Active,7.921
CHEMBL489540,Active,6.301
CHEMBL1161639,Active,8.103
CHEMBL1161640,Active,8.14
CHEMBL1161641,Active,8.06
CHEMBL1161642,Active,8.021
CHEMBL1161645,Active,8.076
CHEMBL1161646,Active,8.119
CHEMBL1161647,Active,8.07
CHEMBL1161648,Active,8.089
CHEMBL1161649,Active,8.06
CHEMBL1161650,Active,8.124
CHEMBL1161651,Active,8.146
CHEMBL1161652,Active,8.095
CHEMBL1161653,Active,8.155
CHEMBL1161654,Active,8.06
CHEMBL1161655,Active,8.145
CHEMBL1161656,Active,8.046
CHEMBL1161657,Active,8.06
CHEMBL1161658,Active,8.032
CHEMBL1161659,Active,8.211
CHEMBL1161660,Active,8.092
CHEMBL1161661,Active,8.081
CHEMBL1161662,Active,8.046
CHEMBL1161663,Active,8.244
CHEMBL1161664,Active,8.116
CHEMBL1161665,Active,8.06
CHEMBL1163149,Active,6.569
CHEMBL1163150,Active,6.62
CHEMBL1163723,Active,6.387
CHEMBL1165024,Active,6.585
CHEMBL1165099,Active,6.125
CHEMBL2111268,Active,7.046
CHEMBL2367470,Active,7.77
CHEMBL2367471,Active,7.229
CHEMBL2367475,Active,7.208
CHEMBL2367478,Active,8.155
CHEMBL2368185,Active,7.745
CHEMBL2368188,Active,8.301
CHEMBL2368189,Active,7.585
CHEMBL2368190,Active,8.319
CHEMBL2368191,Active,8.022
CHEMBL2368194,Active,6.824
CHEMBL2368197,Active,7.699
