ID,Score,Real_Class
ZINC03460372,0.96496,Inactive
ZINC20960762,0.95,Inactive
BDB50278067,0.93075,Active
BDB50085040,0.89559,Active
BDB50179840,0.87301,Active
ZINC30852865,0.87021,Inactive
ZINC13849250,0.86398,Inactive
BDB50179824,0.86232,Active
ZINC17176978,0.85748,Inactive
ZINC02062853,0.85619,Inactive
ZINC24737817,0.8531,Inactive
ZINC16407977,0.84674,Inactive
ZINC08919326,0.83953,Inactive
ZINC17345630,0.83658,Inactive
ZINC18802203,0.83159,Inactive
ZINC10785539,0.83072,Inactive
ZINC20673451,0.83036,Inactive
BDB50212712,0.82777,Active
ZINC24225896,0.82641,Inactive
BDB50213330,0.82105,Active
ZINC27060230,0.81749,Inactive
ZINC02192868,0.81328,Inactive
ZINC12427820,0.81074,Inactive
ZINC22240627,0.80973,Inactive
BDB50168554,0.80927,Active
ZINC11463929,0.80856,Inactive
ZINC08847460,0.80739,Inactive
ZINC01940829,0.80653,Inactive
ZINC08980293,0.79519,Inactive
ZINC29539787,0.79449,Inactive
ZINC20048613,0.79364,Inactive
ZINC24788682,0.79285,Inactive
ZINC30793973,0.7895,Inactive
ZINC23442398,0.78922,Inactive
ZINC25482629,0.78898,Inactive
ZINC06349499,0.78291,Inactive
BDB50277974,0.78249,Active
ZINC18617611,0.78198,Inactive
ZINC23452795,0.78182,Inactive
ZINC28030100,0.78136,Inactive
ZINC23276728,0.77399,Inactive
ZINC17144012,0.77294,Inactive
ZINC23550600,0.76766,Inactive
ZINC26339583,0.7669,Inactive
ZINC28096947,0.76466,Inactive
ZINC27703819,0.75762,Inactive
ZINC01151900,0.75553,Inactive
ZINC10561235,0.75451,Inactive
ZINC31478592,0.74335,Inactive
ZINC29042473,0.74215,Inactive
ZINC28022273,0.74213,Inactive
ZINC30680337,0.74194,Inactive
ZINC14713907,0.74018,Inactive
ZINC28183230,0.73987,Inactive
ZINC27590934,0.73961,Inactive
ZINC24832447,0.73933,Inactive
ZINC24082476,0.73687,Inactive
ZINC30739863,0.73461,Inactive
ZINC26231067,0.73242,Inactive
ZINC20754448,0.7299,Inactive
ZINC29973754,0.72774,Inactive
ZINC10598224,0.7259,Inactive
ZINC12411474,0.7258,Inactive
ZINC09274825,0.72538,Inactive
ZINC10334912,0.7224,Inactive
BDB28661,0.71544,Active
ZINC15088189,0.71157,Inactive
ZINC23425463,0.7115,Inactive
ZINC08647900,0.71075,Inactive
BDB50200411,0.71037,Active
ZINC10615369,0.71004,Inactive
