ID,Score,Real_Class
ZINC30436505,0.8,Inactive
ZINC29022087,0.791667,Inactive
ZINC08847460,0.777778,Inactive
ZINC08919326,0.75,Inactive
ZINC08847456,0.740741,Inactive
ZINC18617611,0.740741,Inactive
ZINC26888454,0.730769,Inactive
ZINC13849250,0.730769,Inactive
ZINC20790196,0.714286,Inactive
ZINC23276728,0.703704,Inactive
ZINC24734519,0.703704,Inactive
ZINC29646870,0.703704,Inactive
ZINC30793973,0.692308,Inactive
ZINC29042473,0.692308,Inactive
ZINC14811597,0.68,Inactive
ZINC10414473,0.68,Inactive
ZINC28309471,0.678571,Inactive
ZINC30852865,0.678571,Inactive
BDB50179824,0.666667,Active
ZINC09386964,0.666667,Inactive
ZINC29286833,0.666667,Inactive
ZINC17176978,0.666667,Inactive
ZINC21814575,0.666667,Inactive
ZINC01151900,0.666667,Inactive
ZINC09475906,0.666667,Inactive
ZINC10615369,0.655172,Inactive
ZINC10413866,0.653846,Inactive
ZINC11459371,0.653846,Inactive
ZINC14413788,0.653846,Inactive
ZINC28022273,0.653846,Inactive
ZINC02062853,0.653846,Inactive
ZINC28298233,0.653846,Inactive
BDB50179840,0.642857,Active
ZINC23973504,0.642857,Inactive
ZINC16303852,0.642857,Inactive
ZINC29973754,0.642857,Inactive
ZINC12655718,0.642857,Inactive
ZINC27170139,0.642857,Inactive
ZINC25770449,0.642857,Inactive
ZINC14148449,0.64,Inactive
ZINC31648262,0.64,Inactive
ZINC23442398,0.64,Inactive
ZINC21738638,0.64,Inactive
ZINC08960795,0.64,Inactive
ZINC10334912,0.64,Inactive
ZINC24270843,0.633333,Inactive
ZINC09699818,0.633333,Inactive
BDB50168554,0.62963,Active
BDB50200411,0.62963,Active
ZINC02371313,0.62963,Inactive
ZINC21329284,0.62963,Inactive
ZINC22713054,0.62963,Inactive
ZINC11257085,0.62963,Inactive
ZINC26025190,0.62963,Inactive
ZINC27590934,0.62069,Inactive
ZINC28446533,0.62069,Inactive
ZINC02224938,0.615385,Inactive
ZINC27700560,0.615385,Inactive
ZINC03123179,0.615385,Inactive
ZINC31843490,0.615385,Inactive
ZINC30680337,0.615385,Inactive
ZINC10825206,0.615385,Inactive
ZINC22145076,0.615385,Inactive
ZINC12427820,0.615385,Inactive
ZINC01405899,0.615385,Inactive
ZINC09591774,0.607143,Inactive
ZINC26339583,0.607143,Inactive
ZINC22008380,0.607143,Inactive
ZINC12639621,0.607143,Inactive
ZINC06616128,0.607143,Inactive
ZINC10664065,0.607143,Inactive
ZINC26231067,0.607143,Inactive
BDB50085040,0.6,Active
ZINC31478592,0.6,Inactive
ZINC08939642,0.6,Inactive
ZINC30774036,0.6,Inactive
ZINC04210025,0.6,Inactive
BDB50157055,0.59375,Active
ZINC16896240,0.59375,Inactive
BDB50135773,0.592593,Active
ZINC09718237,0.592593,Inactive
ZINC16631327,0.592593,Inactive
ZINC00933158,0.592593,Inactive
ZINC06458055,0.592593,Inactive
ZINC23964294,0.592593,Inactive
ZINC23276562,0.592593,Inactive
ZINC14713907,0.592593,Inactive
ZINC23896073,0.592593,Inactive
ZINC18826294,0.592593,Inactive
ZINC27060230,0.586207,Inactive
ZINC04805829,0.586207,Inactive
ZINC24082476,0.576923,Inactive
ZINC11227880,0.576923,Inactive
ZINC18617206,0.576923,Inactive
ZINC15987534,0.576923,Inactive
ZINC03416130,0.576923,Inactive
ZINC17958262,0.576923,Inactive
ZINC09832510,0.571429,Inactive
ZINC31285348,0.571429,Inactive
ZINC21446633,0.571429,Inactive
ZINC28700019,0.571429,Inactive
ZINC23463859,0.571429,Inactive
ZINC17181519,0.571429,Inactive
BDB50212712,0.566667,Active
ZINC24477573,0.566667,Inactive
ZINC12397081,0.566667,Inactive
ZINC12018740,0.566667,Inactive
BDB50135780,0.555556,Active
ZINC05004499,0.555556,Inactive
ZINC14637188,0.555556,Inactive
ZINC31838497,0.555556,Inactive
ZINC20287387,0.555556,Inactive
ZINC09436612,0.555556,Inactive
ZINC06590955,0.555556,Inactive
BDB50277974,0.551724,Active
BDB50314832,0.551724,Active
ZINC16736628,0.551724,Inactive
ZINC09556621,0.551724,Inactive
ZINC23493652,0.551724,Inactive
BDB50264403,0.538462,Active
ZINC23871189,0.538462,Inactive
ZINC21120759,0.538462,Inactive
ZINC17183062,0.538462,Inactive
ZINC05626847,0.538462,Inactive
ZINC28096947,0.538462,Inactive
ZINC02753207,0.538462,Inactive
ZINC21443729,0.535714,Inactive
ZINC28079158,0.535714,Inactive
ZINC26877746,0.535714,Inactive
ZINC27473296,0.535714,Inactive
ZINC16407977,0.535714,Inactive
ZINC05498495,0.535714,Inactive
ZINC16118951,0.535714,Inactive
ZINC26089085,0.535714,Inactive
ZINC01281783,0.535714,Inactive
ZINC03597679,0.535714,Inactive
ZINC29040290,0.535714,Inactive
ZINC28183230,0.535714,Inactive
ZINC09243386,0.535714,Inactive
ZINC01940829,0.533333,Inactive
ZINC24788682,0.533333,Inactive
ZINC26167380,0.533333,Inactive
ZINC10598224,0.52,Inactive
ZINC30790543,0.52,Inactive
ZINC22018385,0.52,Inactive
ZINC18802203,0.518519,Inactive
ZINC19940225,0.518519,Inactive
ZINC21434566,0.518519,Inactive
ZINC24185724,0.518519,Inactive
ZINC13898747,0.518519,Inactive
ZINC24205081,0.518519,Inactive
ZINC20065865,0.518519,Inactive
ZINC16958490,0.517241,Inactive
BDB50213330,0.5,Active
BDB50151001,0.5,Active
ZINC12304814,0.5,Inactive
ZINC26298693,0.5,Inactive
ZINC31643358,0.5,Inactive
ZINC21938943,0.5,Inactive
ZINC22135134,0.5,Inactive
ZINC23550600,0.5,Inactive
ZINC28860275,0.5,Inactive
ZINC06636754,0.5,Inactive
ZINC05657743,0.5,Inactive
ZINC06407714,0.5,Inactive
ZINC14730594,0.5,Inactive
ZINC20976274,0.5,Inactive
ZINC20960762,0.5,Inactive
ZINC17345630,0.5,Inactive
ZINC24702159,0.5,Inactive
ZINC27616280,0.5,Inactive
ZINC09185200,0.5,Inactive
ZINC31011975,0.5,Inactive
ZINC10481817,0.5,Inactive
ZINC27703819,0.5,Inactive
ZINC13005012,0.5,Inactive
ZINC14702920,0.5,Inactive
ZINC03288444,0.5,Inactive
ZINC29868527,0.5,Inactive
ZINC02174170,0.5,Inactive
ZINC14115532,0.483871,Inactive
ZINC16170040,0.483871,Inactive
ZINC11024482,0.483871,Inactive
ZINC09198593,0.483871,Inactive
BDB50278067,0.482759,Active
BDB50194625,0.482759,Active
ZINC03460372,0.482759,Inactive
ZINC02029211,0.482759,Inactive
ZINC12044452,0.482759,Inactive
ZINC28847888,0.482759,Inactive
ZINC27778828,0.482759,Inactive
ZINC29122825,0.481481,Inactive
ZINC08765568,0.481481,Inactive
ZINC27621660,0.481481,Inactive
ZINC24737817,0.481481,Inactive
ZINC17144012,0.481481,Inactive
ZINC24225896,0.48,Inactive
ZINC22240627,0.48,Inactive
ZINC25393610,0.48,Inactive
ZINC14231759,0.466667,Inactive
ZINC02819334,0.466667,Inactive
ZINC02572995,0.466667,Inactive
ZINC03266107,0.466667,Inactive
ZINC16793249,0.466667,Inactive
ZINC17327451,0.466667,Inactive
ZINC29875345,0.466667,Inactive
ZINC30791002,0.466667,Inactive
ZINC02083011,0.466667,Inactive
ZINC27809176,0.464286,Inactive
ZINC11233069,0.464286,Inactive
ZINC29134672,0.464286,Inactive
ZINC06349499,0.464286,Inactive
ZINC04896773,0.464286,Inactive
ZINC06126239,0.464286,Inactive
ZINC05132189,0.464286,Inactive
ZINC20048613,0.464286,Inactive
ZINC22083050,0.464286,Inactive
ZINC23425463,0.464286,Inactive
ZINC06361789,0.464286,Inactive
ZINC09491936,0.464286,Inactive
ZINC09568369,0.464286,Inactive
ZINC05694786,0.461538,Inactive
ZINC24420980,0.461538,Inactive
ZINC08821670,0.461538,Inactive
ZINC17204619,0.461538,Inactive
ZINC23613622,0.458333,Inactive
ZINC26488274,0.451613,Inactive
ZINC31280025,0.451613,Inactive
ZINC27441256,0.448276,Inactive
ZINC25317561,0.448276,Inactive
ZINC10385192,0.448276,Inactive
ZINC24704410,0.448276,Inactive
ZINC17440756,0.448276,Inactive
ZINC03430492,0.448276,Inactive
ZINC28433147,0.444444,Inactive
ZINC11926436,0.444444,Inactive
ZINC09173550,0.444444,Inactive
ZINC23447156,0.444444,Inactive
ZINC20067710,0.444444,Inactive
ZINC20160605,0.444444,Inactive
ZINC20673451,0.444444,Inactive
ZINC12566626,0.444444,Inactive
ZINC22979323,0.444444,Inactive
ZINC26427902,0.444444,Inactive
ZINC10783836,0.444444,Inactive
ZINC09635966,0.44,Inactive
ZINC31524217,0.44,Inactive
ZINC13840651,0.44,Inactive
ZINC28439744,0.44,Inactive
ZINC10057682,0.433333,Inactive
ZINC11072971,0.433333,Inactive
ZINC23452795,0.428571,Inactive
ZINC30739863,0.428571,Inactive
ZINC04376640,0.428571,Inactive
ZINC07345195,0.428571,Inactive
ZINC06905362,0.428571,Inactive
ZINC22604303,0.428571,Inactive
ZINC27533765,0.428571,Inactive
ZINC01886804,0.428571,Inactive
ZINC01723438,0.428571,Inactive
ZINC08833291,0.428571,Inactive
ZINC13959432,0.424242,Inactive
