ID,Score,Real_Class
BDB50212712,6.55395377627,Active
BDB50179824,6.55139295625,Active
BDB50179840,6.51458123288,Active
ZINC26427902,6.51143005912,Inactive
ZINC04210025,6.47992486326,Inactive
ZINC12681824,6.47197879045,Inactive
BDB50085040,6.46547053329,Active
ZINC31512267,6.44726852369,Inactive
ZINC29493093,6.40425321773,Inactive
ZINC25082838,6.39862068411,Inactive
BDB50194625,6.39817564888,Active
ZINC13494291,6.38941909297,Inactive
ZINC03416130,6.3828099381,Inactive
BDB50213330,6.36366144828,Active
ZINC14953556,6.3578075869,Inactive
ZINC02174170,6.35461276591,Inactive
ZINC16678466,6.35026963876,Inactive
ZINC16958490,6.3476758454,Inactive
ZINC13063924,6.34677640088,Inactive
ZINC13561911,6.34455643543,Inactive
ZINC13063729,6.34232295158,Inactive
ZINC09436612,6.3246507617,Inactive
ZINC20976274,6.32174814844,Inactive
ZINC24704908,6.31445940189,Inactive
ZINC17327451,6.31370538003,Inactive
ZINC30791002,6.3134326523,Inactive
ZINC30793973,6.31158975615,Inactive
ZINC08624845,6.31158473043,Inactive
ZINC16923869,6.30781002883,Inactive
ZINC25491883,6.30691168073,Inactive
ZINC25476503,6.30643780632,Inactive
ZINC16680279,6.30508759489,Inactive
ZINC13500828,6.29328016254,Inactive
ZINC28847888,6.29265196528,Inactive
BDB50314832,6.29258611334,Active
ZINC08939642,6.28857605871,Inactive
ZINC26167380,6.28278123868,Inactive
ZINC18619117,6.28194339868,Inactive
ZINC10775500,6.27828877442,Inactive
ZINC13499124,6.27248833561,Inactive
BDB50277974,6.26952357602,Active
ZINC03266107,6.26594232732,Inactive
ZINC05030682,6.26580677195,Inactive
ZINC26726392,6.26558651782,Inactive
ZINC02083011,6.26097785688,Inactive
ZINC13505385,6.2609704173,Inactive
ZINC08671281,6.25900399491,Inactive
ZINC05014619,6.25838012376,Inactive
ZINC24616559,6.25476454592,Inactive
BDB50212693,6.25180561449,Active
ZINC13500933,6.25091975512,Inactive
ZINC21226147,6.25070171768,Inactive
ZINC27533677,6.24970147209,Inactive
ZINC23553071,6.24818966522,Inactive
ZINC13494832,6.24814125684,Inactive
ZINC10334912,6.24745162045,Inactive
ZINC08919326,6.24396358561,Inactive
BDB50151001,6.24139680272,Active
ZINC15776150,6.24079749165,Inactive
ZINC13005012,6.23741811032,Inactive
ZINC11233069,6.23699141108,Inactive
ZINC22227712,6.23567997214,Inactive
ZINC04557010,6.23554825704,Inactive
ZINC30758242,6.23547541064,Inactive
ZINC17144012,6.23536144336,Inactive
ZINC14362385,6.23440842606,Inactive
ZINC31843490,6.23266429613,Inactive
ZINC08980293,6.23139593209,Inactive
ZINC30715587,6.22938114559,Inactive
ZINC10136764,6.22916564477,Inactive
ZINC27700560,6.22879852746,Inactive
ZINC26269054,6.22346911607,Inactive
ZINC25491564,6.22206322838,Inactive
ZINC27723794,6.22115013853,Inactive
ZINC31478592,6.2205172811,Inactive
ZINC21122248,6.22032010543,Inactive
ZINC08451325,6.2202502003,Inactive
ZINC08676855,6.21810818381,Inactive
ZINC13500354,6.21763036622,Inactive
ZINC31711886,6.2173527615,Inactive
ZINC15776695,6.21679381966,Inactive
ZINC05371378,6.21673088626,Inactive
ZINC28079158,6.21630768819,Inactive
ZINC09243386,6.21433455548,Inactive
ZINC09764556,6.21414639302,Inactive
ZINC06458055,6.21211957867,Inactive
ZINC13500776,6.21182606205,Inactive
ZINC05920532,6.21168161963,Inactive
ZINC14811597,6.21100746036,Inactive
ZINC13499631,6.21067235003,Inactive
ZINC30774036,6.20815763838,Inactive
ZINC25522789,6.2075744896,Inactive
ZINC23442398,6.20731861959,Inactive
ZINC11869039,6.20511536851,Inactive
ZINC14981699,6.20493691817,Inactive
ZINC08384416,6.20382286675,Inactive
ZINC31424960,6.20343153119,Inactive
ZINC14702920,6.20275051124,Inactive
ZINC08847460,6.20091313068,Inactive
ZINC28105887,6.20083184528,Inactive
ZINC02180957,6.20018718143,Inactive
ZINC06590955,6.1995779647,Inactive
ZINC05803810,6.19880174448,Inactive
ZINC20673451,6.19761631469,Inactive
ZINC13064967,6.19728929509,Inactive
BDB50168554,6.19602596479,Active
ZINC25782190,6.19593724992,Inactive
ZINC08960795,6.19497839626,Inactive
ZINC13498460,6.19412316354,Inactive
ZINC14148449,6.19355531781,Inactive
ZINC14114465,6.19228554978,Inactive
ZINC23871121,6.19197794289,Inactive
ZINC28269218,6.19119645084,Inactive
ZINC24477573,6.18893694981,Inactive
ZINC14231759,6.18740719717,Inactive
ZINC01940829,6.18705534071,Inactive
ZINC14150872,6.18691791363,Inactive
ZINC21730013,6.18689025053,Inactive
ZINC25479062,6.18636667037,Inactive
ZINC04896773,6.18503704648,Inactive
ZINC12775433,6.18455813811,Inactive
ZINC22008380,6.18435537824,Inactive
ZINC23990616,6.18428979534,Inactive
ZINC17063569,6.18362572902,Inactive
ZINC03222478,6.18183394426,Inactive
ZINC13498854,6.18156114647,Inactive
ZINC22078628,6.18146258944,Inactive
ZINC28298233,6.18036182765,Inactive
ZINC06134646,6.1787483313,Inactive
ZINC13849250,6.17808968762,Inactive
ZINC03487172,6.17648718994,Inactive
ZINC23613622,6.17515982994,Inactive
ZINC23447156,6.17508586056,Inactive
ZINC21329284,6.17481518078,Inactive
ZINC08765568,6.17480170218,Inactive
ZINC25770449,6.17424506335,Inactive
ZINC14952277,6.17350403027,Inactive
ZINC06756447,6.17340801343,Inactive
