ID,Score,Real_Class
ZINC27060230,11,Inactive
ZINC30793973,10.9,Inactive
ZINC10413866,10.9,Inactive
ZINC10615369,10.9,Inactive
ZINC31843490,10.8,Inactive
ZINC14413788,10.8,Inactive
ZINC30852865,10.8,Inactive
ZINC26888454,10.7,Inactive
ZINC31643358,10.6,Inactive
ZINC08847460,10.6,Inactive
ZINC18617206,10.6,Inactive
ZINC23442398,10.6,Inactive
ZINC03224821,10.6,Inactive
ZINC28298233,10.6,Inactive
BDB50135780,10.5,Active
ZINC23550600,10.5,Inactive
ZINC27473296,10.5,Inactive
ZINC31285348,10.5,Inactive
ZINC29973754,10.5,Inactive
ZINC28022273,10.5,Inactive
ZINC28309471,10.4,Inactive
ZINC27590934,10.4,Inactive
ZINC11459371,10.4,Inactive
ZINC10414473,10.4,Inactive
ZINC30774036,10.3,Inactive
ZINC15987534,10.3,Inactive
ZINC21122248,10.3,Inactive
BDB50085040,10.2,Active
ZINC28664126,10.2,Inactive
ZINC26584846,10.2,Inactive
ZINC29558806,10.2,Inactive
ZINC29040290,10.2,Inactive
ZINC14702920,10.2,Inactive
ZINC10664065,10.2,Inactive
ZINC26231067,10.2,Inactive
BDB50157055,10.1,Active
BDB50200411,10.1,Active
BDB50213330,10.1,Active
ZINC02224938,10.1,Inactive
ZINC30680337,10.1,Inactive
ZINC21382999,10.1,Inactive
ZINC09458186,10.1,Inactive
ZINC18617611,10.1,Inactive
ZINC31068583,10.1,Inactive
ZINC13849250,10.1,Inactive
BDB50151001,10,Active
ZINC12775433,10,Inactive
ZINC10598224,10,Inactive
ZINC03460372,10,Inactive
ZINC14148449,10,Inactive
ZINC20960762,10,Inactive
ZINC21738638,10,Inactive
ZINC27170139,10,Inactive
ZINC21446633,10,Inactive
ZINC02560008,10,Inactive
ZINC11257085,10,Inactive
ZINC12639325,10,Inactive
ZINC10334912,10,Inactive
ZINC28860275,9.9,Inactive
ZINC31648262,9.9,Inactive
ZINC27621660,9.9,Inactive
ZINC09556621,9.9,Inactive
ZINC24477573,9.9,Inactive
ZINC05626847,9.9,Inactive
ZINC09491936,9.9,Inactive
ZINC31240853,9.9,Inactive
ZINC12018740,9.9,Inactive
ZINC26025190,9.9,Inactive
ZINC18618142,9.9,Inactive
ZINC09591774,9.8,Inactive
ZINC06458055,9.8,Inactive
ZINC22539232,9.8,Inactive
ZINC17176978,9.8,Inactive
ZINC03416130,9.8,Inactive
ZINC08919326,9.8,Inactive
ZINC23276728,9.7,Inactive
ZINC21730013,9.7,Inactive
ZINC28030100,9.7,Inactive
ZINC22297528,9.7,Inactive
ZINC01567723,9.7,Inactive
ZINC15088189,9.7,Inactive
ZINC03288444,9.7,Inactive
ZINC12638130,9.7,Inactive
BDB50179840,9.6,Active
BDB50168554,9.6,Active
BDB50314832,9.6,Active
BDB50264403,9.6,Active
ZINC24420980,9.6,Inactive
ZINC29286833,9.6,Inactive
ZINC12427820,9.6,Inactive
ZINC11024482,9.6,Inactive
ZINC13063729,9.6,Inactive
ZINC08833291,9.6,Inactive
ZINC21604079,9.6,Inactive
ZINC02062853,9.6,Inactive
BDB50212712,9.5,Active
ZINC23973504,9.5,Inactive
ZINC27441256,9.5,Inactive
ZINC22008380,9.5,Inactive
ZINC27700560,9.5,Inactive
ZINC17183062,9.5,Inactive
ZINC30790543,9.5,Inactive
ZINC06407714,9.5,Inactive
ZINC24185724,9.5,Inactive
ZINC24734519,9.5,Inactive
ZINC25082838,9.5,Inactive
ZINC27703819,9.5,Inactive
ZINC11369488,9.5,Inactive
ZINC06616128,9.5,Inactive
ZINC29875345,9.5,Inactive
ZINC02967355,9.5,Inactive
ZINC13602901,9.5,Inactive
BDB50311792,9.4,Active
ZINC24082476,9.4,Inactive
ZINC12588426,9.4,Inactive
ZINC28433147,9.4,Inactive
ZINC23871189,9.4,Inactive
ZINC16631327,9.4,Inactive
ZINC17833999,9.4,Inactive
ZINC14231759,9.4,Inactive
ZINC10057682,9.4,Inactive
ZINC18802203,9.4,Inactive
ZINC25433170,9.4,Inactive
ZINC06905362,9.4,Inactive
ZINC24704908,9.4,Inactive
ZINC17703376,9.4,Inactive
ZINC01723437,9.4,Inactive
ZINC20790196,9.4,Inactive
ZINC22240627,9.4,Inactive
ZINC13005012,9.4,Inactive
ZINC12397081,9.4,Inactive
ZINC25575289,9.4,Inactive
ZINC25148759,9.4,Inactive
ZINC16680279,9.4,Inactive
ZINC26167380,9.4,Inactive
BDB50277974,9.3,Active
BDB50278067,9.3,Active
ZINC21183284,9.3,Inactive
ZINC14403746,9.3,Inactive
ZINC20976274,9.3,Inactive
ZINC28446533,9.3,Inactive
ZINC18619117,9.3,Inactive
ZINC31280025,9.3,Inactive
ZINC28847888,9.3,Inactive
ZINC16793249,9.3,Inactive
ZINC10775500,9.3,Inactive
ZINC14045490,9.3,Inactive
ZINC28226274,9.3,Inactive
ZINC19105382,9.3,Inactive
ZINC22614087,9.3,Inactive
ZINC30791002,9.3,Inactive
ZINC17144012,9.3,Inactive
ZINC29122825,9.2,Inactive
ZINC10495423,9.2,Inactive
ZINC14811597,9.2,Inactive
ZINC30739863,9.2,Inactive
ZINC27059463,9.2,Inactive
ZINC16118951,9.2,Inactive
ZINC17043685,9.2,Inactive
ZINC14818449,9.2,Inactive
ZINC14730594,9.2,Inactive
ZINC25491564,9.2,Inactive
ZINC29428497,9.2,Inactive
ZINC08847456,9.2,Inactive
ZINC12655718,9.2,Inactive
ZINC16427847,9.2,Inactive
ZINC29453799,9.2,Inactive
ZINC13828424,9.2,Inactive
ZINC09568369,9.2,Inactive
ZINC27723794,9.2,Inactive
ZINC22033605,9.2,Inactive
ZINC19854215,9.2,Inactive
ZINC12566626,9.2,Inactive
BDB50179824,9.1,Active
ZINC26269054,9.1,Inactive
ZINC10385192,9.1,Inactive
ZINC29737757,9.1,Inactive
ZINC02192868,9.1,Inactive
ZINC11926436,9.1,Inactive
ZINC22018385,9.1,Inactive
ZINC27333273,9.1,Inactive
ZINC03467959,9.1,Inactive
ZINC03123179,9.1,Inactive
ZINC16407977,9.1,Inactive
ZINC15033021,9.1,Inactive
ZINC12044452,9.1,Inactive
ZINC24897126,9.1,Inactive
ZINC20067710,9.1,Inactive
ZINC10825206,9.1,Inactive
ZINC31011975,9.1,Inactive
ZINC01405899,9.1,Inactive
ZINC13499631,9.1,Inactive
ZINC08624845,9.1,Inactive
ZINC13494291,9.1,Inactive
ZINC14713907,9.1,Inactive
ZINC09436612,9.1,Inactive
ZINC07490843,9.1,Inactive
ZINC08671281,9.1,Inactive
ZINC03430492,9.1,Inactive
ZINC24205081,9.1,Inactive
BDB50135773,9,Active
BDB50109547,9,Active
ZINC27937969,9,Inactive
ZINC21443729,9,Inactive
ZINC26339583,9,Inactive
ZINC31584002,9,Inactive
ZINC28063286,9,Inactive
ZINC21329284,9,Inactive
ZINC03306262,9,Inactive
ZINC28105887,9,Inactive
ZINC03374447,9,Inactive
ZINC16940579,9,Inactive
ZINC24225896,9,Inactive
ZINC11260788,9,Inactive
ZINC26488274,9,Inactive
ZINC26558397,9,Inactive
ZINC01940829,9,Inactive
ZINC09185200,9,Inactive
ZINC21326654,9,Inactive
ZINC24737817,9,Inactive
ZINC28605414,9,Inactive
ZINC08647900,9,Inactive
ZINC23493652,9,Inactive
ZINC10615829,9,Inactive
ZINC11309740,9,Inactive
ZINC08676855,9,Inactive
ZINC13494832,9,Inactive
ZINC22375046,9,Inactive
ZINC17181519,9,Inactive
ZINC23553071,9,Inactive
ZINC20065865,9,Inactive
ZINC17958262,9,Inactive
ZINC02618903,9,Inactive
ZINC11072971,9,Inactive
BDB50100444,8.9,Active
BDB50213315,8.9,Active
ZINC29134672,8.9,Inactive
ZINC21292732,8.9,Inactive
ZINC06349499,8.9,Inactive
ZINC28032560,8.9,Inactive
ZINC16896240,8.9,Inactive
ZINC24910967,8.9,Inactive
ZINC13141779,8.9,Inactive
ZINC30758242,8.9,Inactive
ZINC15264857,8.9,Inactive
ZINC15063596,8.9,Inactive
ZINC27905693,8.9,Inactive
ZINC21434566,8.9,Inactive
ZINC03597679,8.9,Inactive
ZINC24704410,8.9,Inactive
ZINC27533677,8.9,Inactive
ZINC26891060,8.9,Inactive
ZINC26522877,8.9,Inactive
ZINC28183230,8.9,Inactive
ZINC28096947,8.9,Inactive
ZINC27999094,8.9,Inactive
ZINC13899592,8.9,Inactive
ZINC13097392,8.9,Inactive
BDB50227736,8.8,Active
ZINC03309972,8.8,Inactive
ZINC05030682,8.8,Inactive
ZINC08321468,8.8,Inactive
ZINC13155191,8.8,Inactive
ZINC08939642,8.8,Inactive
ZINC15789857,8.8,Inactive
ZINC14115532,8.8,Inactive
ZINC03476937,8.8,Inactive
ZINC29539787,8.8,Inactive
ZINC29042473,8.8,Inactive
ZINC11925973,8.8,Inactive
ZINC27778828,8.8,Inactive
ZINC11309174,8.8,Inactive
ZINC22145076,8.8,Inactive
ZINC23276562,8.8,Inactive
ZINC13063924,8.8,Inactive
ZINC29022087,8.8,Inactive
ZINC25154569,8.8,Inactive
ZINC17204619,8.8,Inactive
ZINC08654840,8.8,Inactive
ZINC28269218,8.8,Inactive
ZINC23452795,8.7,Inactive
ZINC26771348,8.7,Inactive
ZINC20053411,8.7,Inactive
ZINC25657975,8.7,Inactive
ZINC11233069,8.7,Inactive
ZINC30765611,8.7,Inactive
ZINC03295127,8.7,Inactive
ZINC16052337,8.7,Inactive
ZINC22297781,8.7,Inactive
ZINC06636754,8.7,Inactive
ZINC06134646,8.7,Inactive
ZINC03052282,8.7,Inactive
ZINC23068955,8.7,Inactive
ZINC30779545,8.7,Inactive
ZINC23647929,8.7,Inactive
ZINC26703047,8.7,Inactive
ZINC16296596,8.7,Inactive
ZINC05132189,8.7,Inactive
ZINC18183100,8.7,Inactive
ZINC18961756,8.7,Inactive
ZINC14251372,8.7,Inactive
ZINC22227712,8.7,Inactive
ZINC31512267,8.7,Inactive
ZINC17991313,8.7,Inactive
ZINC22713054,8.7,Inactive
ZINC29123020,8.7,Inactive
ZINC09440245,8.7,Inactive
ZINC01723438,8.7,Inactive
ZINC24912233,8.7,Inactive
ZINC08715718,8.7,Inactive
ZINC10677859,8.7,Inactive
ZINC13950851,8.7,Inactive
ZINC31478592,8.6,Inactive
ZINC28296577,8.6,Inactive
ZINC10136764,8.6,Inactive
ZINC26711155,8.6,Inactive
ZINC27316343,8.6,Inactive
ZINC21120759,8.6,Inactive
ZINC25782190,8.6,Inactive
ZINC10785539,8.6,Inactive
ZINC03222478,8.6,Inactive
ZINC26883942,8.6,Inactive
ZINC01835362,8.6,Inactive
ZINC01595125,8.6,Inactive
ZINC17087671,8.6,Inactive
ZINC12369772,8.6,Inactive
ZINC30736304,8.6,Inactive
ZINC24270843,8.6,Inactive
ZINC30853280,8.6,Inactive
ZINC03323653,8.6,Inactive
ZINC22132132,8.6,Inactive
ZINC23447156,8.6,Inactive
ZINC27616280,8.6,Inactive
ZINC23904557,8.6,Inactive
ZINC20048613,8.6,Inactive
ZINC09640782,8.6,Inactive
ZINC31068806,8.6,Inactive
ZINC09386964,8.6,Inactive
ZINC25366100,8.6,Inactive
ZINC13498854,8.6,Inactive
ZINC11115065,8.6,Inactive
ZINC20032106,8.6,Inactive
ZINC25734665,8.6,Inactive
ZINC18826294,8.6,Inactive
ZINC30853436,8.6,Inactive
ZINC00633241,8.6,Inactive
ZINC02753207,8.6,Inactive
ZINC15776150,8.5,Inactive
ZINC29905471,8.5,Inactive
ZINC06172765,8.5,Inactive
ZINC21448897,8.5,Inactive
ZINC29969114,8.5,Inactive
ZINC17054267,8.5,Inactive
ZINC26775825,8.5,Inactive
ZINC09003433,8.5,Inactive
ZINC08451325,8.5,Inactive
ZINC04210025,8.5,Inactive
ZINC24182388,8.5,Inactive
ZINC31452257,8.5,Inactive
ZINC27533211,8.5,Inactive
ZINC18251774,8.5,Inactive
ZINC31711886,8.5,Inactive
ZINC23198312,8.5,Inactive
ZINC30002395,8.5,Inactive
ZINC19940225,8.5,Inactive
