mol_name,activity,potency
BDB50179840,Active,9
BDB50151001,Active,8.69897000433602
BDB50179824,Active,8.52287874528034
BDB50124379,Active,8.52287874528034
BDB50172003,Active,8.52287874528034
BDB50212693,Active,8.32790214206428
BDB50168554,Active,8.15490195998574
BDB50311792,Active,8
BDB50135773,Active,7.92081875395238
BDB50132563,Active,7.92081875395238
BDB50184274,Active,7.79588001734407
BDB50145719,Active,7.74472749489669
BDB50277974,Active,7.67778070526608
BDB50169253,Active,7.63827216398241
BDB50135780,Active,7.61978875828839
BDB50179828,Active,7.55284196865778
BDB50278067,Active,7.55284196865778
BDB50085040,Active,7.26760624017703
BDB50169245,Active,7.14266750356873
BDB50169251,Active,7.13076828026902
BDB50293846,Active,7.06048074738138
BDB24566,Active,7
BDB50181911,Active,6.94692155651658
BDB50181902,Active,6.93554201077308
BDB28799,Active,6.92081875395238
BDB50213331,Active,6.76447155309245
BDB50200411,Active,6.75696195131371
BDB50227736,Active,6.72584215073632
BDB50314832,Active,6.64206515299955
BDB50213330,Active,6.64016451766011
BDB50100444,Active,6.61618463401957
BDB50213315,Active,6.58335949266172
BDB50157055,Active,6.51004152057516
BDB50109547,Active,6.44369749923271
BDB28661,Active,6.33441900898205
BDB50212712,Active,6.17263072694617
BDB50157057,Active,6.11350927482752
BDB50194625,Active,6.04720755695591
BDB50085042,Active,6
BDB50264403,Active,6
ZINC29122825,Inactive,
ZINC08384416,Inactive,
ZINC15776150,Inactive,
ZINC27186178,Inactive,
ZINC23905866,Inactive,
ZINC12589627,Inactive,
ZINC31478592,Inactive,
ZINC23452795,Inactive,
ZINC31556599,Inactive,
ZINC28401222,Inactive,
ZINC08871146,Inactive,
ZINC00743249,Inactive,
ZINC27809176,Inactive,
ZINC24108516,Inactive,
ZINC24082476,Inactive,
ZINC13150291,Inactive,
ZINC11926094,Inactive,
ZINC26888454,Inactive,
ZINC18261499,Inactive,
ZINC14523355,Inactive,
ZINC24982046,Inactive,
ZINC25477187,Inactive,
ZINC23443451,Inactive,
ZINC19829852,Inactive,
ZINC26771348,Inactive,
ZINC30322991,Inactive,
ZINC10755181,Inactive,
ZINC23973504,Inactive,
ZINC09718237,Inactive,
ZINC30793973,Inactive,
ZINC27937969,Inactive,
ZINC02371313,Inactive,
ZINC17063569,Inactive,
ZINC27740440,Inactive,
ZINC15414667,Inactive,
ZINC20053411,Inactive,
ZINC00693110,Inactive,
ZINC08980286,Inactive,
ZINC09524827,Inactive,
ZINC15319425,Inactive,
ZINC12588426,Inactive,
ZINC27533019,Inactive,
ZINC25142423,Inactive,
ZINC02648050,Inactive,
ZINC01993237,Inactive,
ZINC17004119,Inactive,
ZINC11667503,Inactive,
ZINC08433254,Inactive,
ZINC28296577,Inactive,
ZINC16678466,Inactive,
ZINC14150872,Inactive,
ZINC23276728,Inactive,
ZINC09591774,Inactive,
ZINC18050809,Inactive,
ZINC09775482,Inactive,
ZINC23448078,Inactive,
ZINC10413866,Inactive,
ZINC23444008,Inactive,
ZINC05552898,Inactive,
ZINC02174854,Inactive,
ZINC09774039,Inactive,
ZINC20554771,Inactive,
ZINC15238330,Inactive,
ZINC10121353,Inactive,
ZINC19316093,Inactive,
ZINC12304814,Inactive,
ZINC26298693,Inactive,
ZINC23576684,Inactive,
ZINC13600800,Inactive,
ZINC26269054,Inactive,
ZINC23777610,Inactive,
ZINC10136764,Inactive,
ZINC25290175,Inactive,
ZINC22873662,Inactive,
ZINC29905471,Inactive,
ZINC14741038,Inactive,
ZINC18533905,Inactive,
ZINC31855183,Inactive,
ZINC26711155,Inactive,
ZINC21443729,Inactive,
ZINC16303852,Inactive,
ZINC28433147,Inactive,
ZINC21183284,Inactive,
ZINC25657975,Inactive,
