ID,Score,Real_Class
CHEMBL1881631,15.5,Inactive
CHEMBL3360190,15.3,Inactive
CHEMBL1878318,14.8,Inactive
CHEMBL254742,11.6,Inactive
CHEMBL219586,11.5,Active
CHEMBL454651,11.5,Active
CHEMBL236664,11.5,Inactive
CHEMBL148459,11.4,Inactive
CHEMBL392058,11.4,Inactive
CHEMBL393938,11.4,Inactive
CHEMBL3263249,11.2,Inactive
CHEMBL3600934,11.2,Inactive
CHEMBL474551,11.2,Inactive
CHEMBL598609,11.2,Inactive
CHEMBL237710,11.1,Inactive
CHEMBL256505,11.1,Inactive
CHEMBL519345,11.1,Inactive
CHEMBL1813195,11,Inactive
CHEMBL236875,11,Inactive
CHEMBL236877,11,Inactive
CHEMBL476897,11,Inactive
CHEMBL109241,10.9,Inactive
CHEMBL1813187,10.9,Inactive
CHEMBL280293,10.9,Inactive
CHEMBL3398447,10.9,Inactive
CHEMBL3398454,10.9,Inactive
CHEMBL3597411,10.9,Inactive
CHEMBL3740369,10.9,Inactive
CHEMBL4215434,10.9,Inactive
CHEMBL4445737,10.9,Inactive
CHEMBL4647531,10.9,Inactive
CHEMBL473096,10.9,Inactive
CHEMBL477298,10.9,Inactive
CHEMBL550983,10.9,Inactive
CHEMBL1089158,10.8,Inactive
CHEMBL1813191,10.8,Inactive
CHEMBL221254,10.8,Inactive
CHEMBL223379,10.8,Inactive
CHEMBL253924,10.8,Inactive
CHEMBL3740002,10.8,Inactive
CHEMBL382982,10.8,Inactive
CHEMBL458221,10.8,Inactive
CHEMBL4644539,10.8,Inactive
CHEMBL219617,10.7,Inactive
CHEMBL2204693,10.7,Inactive
CHEMBL2204694,10.7,Inactive
CHEMBL220751,10.7,Inactive
CHEMBL237086,10.7,Inactive
CHEMBL4563676,10.7,Inactive
CHEMBL489506,10.7,Inactive
CHEMBL116671,10.6,Active
CHEMBL118756,10.6,Active
CHEMBL106666,10.6,Inactive
CHEMBL1777824,10.6,Inactive
CHEMBL1813194,10.6,Inactive
CHEMBL1883167,10.6,Inactive
CHEMBL2180627,10.6,Inactive
CHEMBL218497,10.6,Inactive
CHEMBL221146,10.6,Inactive
CHEMBL222248,10.6,Inactive
CHEMBL3398448,10.6,Inactive
CHEMBL3601092,10.6,Inactive
CHEMBL419019,10.6,Inactive
CHEMBL4242324,10.6,Inactive
CHEMBL431450,10.6,Inactive
CHEMBL474548,10.6,Inactive
CHEMBL550035,10.6,Inactive
CHEMBL1630380,10.5,Active
CHEMBL4073499,10.5,Active
CHEMBL200610,10.5,Inactive
CHEMBL2204696,10.5,Inactive
CHEMBL255271,10.5,Inactive
CHEMBL3907572,10.5,Inactive
CHEMBL4172034,10.5,Inactive
CHEMBL4532207,10.5,Inactive
CHEMBL479002,10.5,Inactive
CHEMBL550568,10.5,Inactive
CHEMBL554508,10.5,Inactive
CHEMBL107367,10.4,Active
CHEMBL1254672,10.4,Inactive
CHEMBL1947139,10.4,Inactive
CHEMBL2180632,10.4,Inactive
CHEMBL219687,10.4,Inactive
CHEMBL2204702,10.4,Inactive
CHEMBL326273,10.4,Inactive
CHEMBL3355866,10.4,Inactive
CHEMBL358325,10.4,Inactive
CHEMBL374078,10.4,Inactive
CHEMBL4164753,10.4,Inactive
CHEMBL4164824,10.4,Inactive
CHEMBL4441830,10.4,Inactive
CHEMBL4457493,10.4,Inactive
CHEMBL4467075,10.4,Inactive
CHEMBL524829,10.4,Inactive
CHEMBL558496,10.4,Inactive
CHEMBL561449,10.4,Inactive
CHEMBL595124,10.4,Inactive
CHEMBL255388,10.3,Active
CHEMBL237519,10.3,Active
CHEMBL1630385,10.3,Inactive
CHEMBL1813201,10.3,Inactive
CHEMBL2180623,10.3,Inactive
CHEMBL234382,10.3,Inactive
CHEMBL324449,10.3,Inactive
CHEMBL3398450,10.3,Inactive
CHEMBL382928,10.3,Inactive
CHEMBL3894017,10.3,Inactive
CHEMBL3901902,10.3,Inactive
CHEMBL4159720,10.3,Inactive
CHEMBL4160935,10.3,Inactive
CHEMBL428929,10.3,Inactive
CHEMBL4632967,10.3,Inactive
CHEMBL4635727,10.3,Inactive
CHEMBL4638645,10.3,Inactive
