No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
115,0.999999959934137,4.00658630644917E-08,Active,Inactive
535,0.999999909051169,9.09488311366777E-08,Active,Inactive
2139,0.999999811037138,1.88962862020914E-07,Active,Inactive
259,0.999999787350182,2.12649818454746E-07,Active,Inactive
249,0.999999761560706,2.3843929367139E-07,Active,Inactive
783,0.999999685473565,3.14526434849952E-07,Active,Inactive
1192,0.999999564678389,4.35321611261424E-07,Active,Inactive
819,0.999999537750352,4.62249648074552E-07,Active,Inactive
245,0.999999523411767,4.76588232932639E-07,Active,Inactive
1371,0.999999489957141,5.10042858809533E-07,Active,Inactive
1587,0.999999478955642,5.21044358454266E-07,Active,Inactive
1697,0.999999465274288,5.34725711775944E-07,Active,Inactive
2,0.99999946030178,5.39698219568992E-07,Active,Active
376,0.999999454180171,5.45819829324664E-07,Active,Inactive
1864,0.999999435817524,5.64182475897093E-07,Active,Inactive
152,0.999999431566922,5.68433077571777E-07,Active,Inactive
2137,0.999999391839234,6.08160765865354E-07,Active,Inactive
254,0.99999930383059,6.96169409588591E-07,Active,Inactive
1382,0.999999210519216,7.89480784397207E-07,Active,Inactive
1206,0.999999189828088,8.10171911821695E-07,Active,Inactive
69,0.999999140644638,8.59355361636741E-07,Active,Active
2123,0.999999129417458,8.70582542479741E-07,Active,Inactive
1441,0.999999065884266,9.34115733474392E-07,Active,Inactive
1614,0.999999059292917,9.40707082742777E-07,Active,Inactive
1207,0.999999046112237,9.53887763467711E-07,Active,Inactive
84,0.999999024350658,9.75649342025291E-07,Active,Inactive
820,0.999998980329578,1.01967042217156E-06,Active,Inactive
505,0.999998951886634,1.04811336591663E-06,Active,Inactive
81,0.999998920351398,1.07964860199275E-06,Active,Inactive
1012,0.999998838166512,1.16183348774655E-06,Active,Inactive
737,0.999998790511207,1.20948879256595E-06,Active,Inactive
2128,0.999998753575007,1.24642499273142E-06,Active,Inactive
68,0.999998729882159,1.27011784036267E-06,Active,Active
187,0.999998703701871,1.29629812931308E-06,Active,Inactive
817,0.999998696441395,1.30355860540279E-06,Active,Inactive
1888,0.999998688141248,1.31185875225492E-06,Active,Inactive
711,0.999998655531011,1.344468988583E-06,Active,Inactive
782,0.999998368956976,1.63104302410481E-06,Active,Inactive
2462,0.999998240475683,1.75952431727941E-06,Active,Inactive
2463,0.999998155770717,1.84422928278945E-06,Active,Inactive
2138,0.99999814912495,1.85087504953297E-06,Active,Inactive
2293,0.999998127969048,1.87203095233817E-06,Active,Inactive
1405,0.999998123718577,1.87628142260496E-06,Active,Inactive
71,0.999998083335602,1.91666439847414E-06,Active,Active
88,0.999998080378996,1.91962100396419E-06,Active,Inactive
979,0.999998049405752,1.95059424796907E-06,Active,Inactive
1664,0.999997798567615,2.20143238496561E-06,Active,Inactive
2298,0.999997781437939,2.21856206112077E-06,Active,Inactive
1832,0.999997719753603,2.28024639677488E-06,Active,Inactive
1200,0.999997696348923,2.30365107726056E-06,Active,Inactive
1370,0.999997643477471,2.35652252857021E-06,Active,Inactive
2200,0.999997613056843,2.38694315663946E-06,Active,Inactive
781,0.999997554526165,2.44547383524419E-06,Active,Inactive
1823,0.999997528718219,2.47128178073691E-06,Active,Inactive
990,0.999997523221334,2.47677866580609E-06,Active,Inactive
1428,0.999997496756108,2.503243891574E-06,Active,Inactive
1462,0.999997490157016,2.50984298397294E-06,Active,Inactive
383,0.999997486454118,2.51354588203856E-06,Active,Inactive
1198,0.999997465648902,2.53435109808618E-06,Active,Inactive
125,0.999997438260636,2.56173936365418E-06,Active,Inactive
258,0.999997347855404,2.65214459648503E-06,Active,Inactive
248,0.999997344170226,2.65582977386935E-06,Active,Inactive
1971,0.9999972036352,2.7963647998337E-06,Active,Inactive
2146,0.999997202482239,2.79751776058358E-06,Active,Inactive
716,0.999997200499856,2.79950014409518E-06,Active,Inactive
997,0.999997144520413,2.8554795870077E-06,Active,Inactive
83,0.999997115857988,2.88414201227974E-06,Active,Inactive
772,0.999997115762979,2.88423702087803E-06,Active,Inactive
