No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
259,0.9675,0.0325,Active,Inactive
1383,0.9675,0.0325,Active,Inactive
83,0.9625,0.0375,Active,Inactive
1376,0.96,0.04,Active,Inactive
81,0.9575,0.0425,Active,Inactive
1697,0.95,0.05,Active,Inactive
82,0.9475,0.0525,Active,Inactive
2447,0.945,0.055,Active,Inactive
1241,0.94,0.06,Active,Inactive
1019,0.935,0.065,Active,Inactive
1227,0.935,0.065,Active,Inactive
1441,0.935,0.065,Active,Inactive
1470,0.9325,0.0675,Active,Inactive
1002,0.93,0.07,Active,Inactive
1207,0.9275,0.0725,Active,Inactive
2153,0.925,0.075,Active,Inactive
1240,0.9225,0.0775,Active,Inactive
1596,0.9225,0.0775,Active,Inactive
1013,0.92,0.08,Active,Inactive
711,0.9175,0.0825,Active,Inactive
2293,0.9175,0.0825,Active,Inactive
2423,0.9175,0.0825,Active,Inactive
32,0.915,0.085,Active,Active
258,0.915,0.085,Active,Inactive
1184,0.915,0.085,Active,Inactive
2146,0.915,0.085,Active,Inactive
257,0.9125,0.0875,Active,Inactive
715,0.91,0.09,Active,Inactive
1524,0.91,0.09,Active,Inactive
2124,0.91,0.09,Active,Inactive
2129,0.9075,0.0925,Active,Inactive
1048,0.905,0.095,Active,Inactive
1033,0.9025,0.0975,Active,Inactive
1171,0.9025,0.0975,Active,Inactive
1213,0.9025,0.0975,Active,Inactive
2393,0.9,0.1,Active,Inactive
928,0.8975,0.1025,Active,Inactive
2292,0.895,0.105,Active,Inactive
1206,0.8925,0.1075,Active,Inactive
1375,0.8925,0.1075,Active,Inactive
968,0.8875,0.1125,Active,Inactive
917,0.885,0.115,Active,Inactive
785,0.8825,0.1175,Active,Inactive
1046,0.8825,0.1175,Active,Inactive
660,0.88,0.12,Active,Inactive
1381,0.88,0.12,Active,Inactive
2131,0.8775,0.1225,Active,Inactive
2138,0.8775,0.1225,Active,Inactive
2216,0.8775,0.1225,Active,Inactive
1372,0.875,0.125,Active,Inactive
1990,0.875,0.125,Active,Inactive
2291,0.8725,0.1275,Active,Inactive
1594,0.87,0.13,Active,Inactive
1196,0.8675,0.1325,Active,Inactive
781,0.865,0.135,Active,Inactive
1419,0.86,0.14,Active,Inactive
1700,0.86,0.14,Active,Inactive
69,0.8575,0.1425,Active,Active
1032,0.85,0.15,Active,Inactive
1874,0.85,0.15,Active,Inactive
1382,0.8475,0.1525,Active,Inactive
418,0.845,0.155,Active,Inactive
756,0.845,0.155,Active,Inactive
1012,0.84,0.16,Active,Inactive
1193,0.84,0.16,Active,Inactive
1368,0.84,0.16,Active,Inactive
1443,0.84,0.16,Active,Inactive
1502,0.84,0.16,Active,Inactive
2309,0.84,0.16,Active,Inactive
2112,0.8375,0.1625,Active,Inactive
2048,0.8325,0.1675,Active,Inactive
2121,0.8275,0.1725,Active,Inactive
2420,0.8275,0.1725,Active,Inactive
665,0.825,0.175,Active,Inactive
1049,0.825,0.175,Active,Inactive
1191,0.825,0.175,Active,Inactive
2426,0.825,0.175,Active,Inactive
84,0.8225,0.1775,Active,Inactive
776,0.8225,0.1775,Active,Inactive
1447,0.8225,0.1775,Active,Inactive
1620,0.8225,0.1775,Active,Inactive
1928,0.8225,0.1775,Active,Inactive
1218,0.82,0.18,Active,Inactive
407,0.815,0.185,Active,Inactive
12,0.8125,0.1875,Active,Active
1677,0.8125,0.1875,Active,Inactive
783,0.81,0.19,Active,Inactive
1236,0.81,0.19,Active,Inactive
413,0.8075,0.1925,Active,Inactive
2178,0.8075,0.1925,Active,Inactive
657,0.805,0.195,Active,Inactive
774,0.8025,0.1975,Active,Inactive
970,0.8025,0.1975,Active,Inactive
1352,0.8025,0.1975,Active,Inactive
1638,0.8025,0.1975,Active,Inactive
1664,0.8025,0.1975,Active,Inactive
1867,0.8025,0.1975,Active,Inactive
782,0.8,0.2,Active,Inactive
1047,0.8,0.2,Active,Inactive
1683,0.795,0.205,Active,Inactive
624,0.7925,0.2075,Active,Inactive
1209,0.7925,0.2075,Active,Inactive
2185,0.7925,0.2075,Active,Inactive
712,0.79,0.21,Active,Inactive
1603,0.79,0.21,Active,Inactive
1405,0.7875,0.2125,Active,Inactive
2,0.785,0.215,Active,Active
983,0.78,0.22,Active,Inactive
2119,0.78,0.22,Active,Inactive
2150,0.7775,0.2225,Active,Inactive
755,0.775,0.225,Active,Inactive
1395,0.7725,0.2275,Active,Inactive
1267,0.77,0.23,Active,Inactive
1249,0.765,0.235,Active,Inactive
1614,0.765,0.235,Active,Inactive
1163,0.7575,0.2425,Active,Inactive
2217,0.755,0.245,Active,Inactive
654,0.7525,0.2475,Active,Inactive
758,0.7525,0.2475,Active,Inactive
1130,0.7525,0.2475,Active,Inactive
1169,0.7525,0.2475,Active,Inactive
2125,0.7525,0.2475,Active,Inactive
2466,0.7525,0.2475,Active,Inactive
263,0.75,0.25,Active,Inactive
2212,0.745,0.255,Active,Inactive
1374,0.7425,0.2575,Active,Inactive
1424,0.7425,0.2575,Active,Inactive
1823,0.7425,0.2575,Active,Inactive
927,0.74,0.26,Active,Inactive
1971,0.74,0.26,Active,Inactive
2141,0.74,0.26,Active,Inactive
1159,0.7375,0.2625,Active,Inactive
779,0.735,0.265,Active,Inactive
1864,0.735,0.265,Active,Inactive
76,0.7325,0.2675,Active,Active
2114,0.7325,0.2675,Active,Inactive
1,0.73,0.27,Active,Active
104,0.73,0.27,Active,Inactive
351,0.73,0.27,Active,Inactive
967,0.73,0.27,Active,Inactive
368,0.7275,0.2725,Active,Inactive
586,0.7275,0.2725,Active,Inactive
1205,0.7275,0.2725,Active,Inactive
2123,0.7275,0.2725,Active,Inactive
497,0.725,0.275,Active,Inactive
982,0.725,0.275,Active,Inactive
1417,0.725,0.275,Active,Inactive
923,0.7225,0.2775,Active,Inactive
1970,0.7225,0.2775,Active,Inactive
2317,0.7225,0.2775,Active,Inactive
283,0.72,0.28,Active,Inactive
367,0.72,0.28,Active,Inactive
656,0.72,0.28,Active,Inactive
1681,0.72,0.28,Active,Inactive
2180,0.72,0.28,Active,Inactive
1175,0.7175,0.2825,Active,Inactive
1200,0.7175,0.2825,Active,Inactive
1430,0.7175,0.2825,Active,Inactive
2113,0.7175,0.2825,Active,Inactive
811,0.715,0.285,Active,Inactive
26,0.7125,0.2875,Active,Active
245,0.7125,0.2875,Active,Inactive
784,0.7125,0.2875,Active,Inactive
1822,0.7125,0.2875,Active,Inactive
20,0.71,0.29,Active,Active
383,0.71,0.29,Active,Inactive
1176,0.71,0.29,Active,Inactive
1188,0.71,0.29,Active,Inactive
2471,0.71,0.29,Active,Inactive
754,0.7075,0.2925,Active,Inactive
777,0.7075,0.2925,Active,Inactive
1192,0.7075,0.2925,Active,Inactive
1462,0.7075,0.2925,Active,Inactive
2128,0.7075,0.2925,Active,Inactive
655,0.705,0.295,Active,Inactive
716,0.705,0.295,Active,Inactive
1784,0.705,0.295,Active,Inactive
2181,0.705,0.295,Active,Inactive
2386,0.705,0.295,Active,Inactive
653,0.7025,0.2975,Active,Inactive
1605,0.7025,0.2975,Active,Inactive
2111,0.7,0.3,Active,Inactive
2142,0.7,0.3,Active,Inactive
2403,0.7,0.3,Active,Inactive
2462,0.7,0.3,Active,Inactive
1131,0.6975,0.3025,Active,Inactive
987,0.6925,0.3075,Active,Inactive
1065,0.6925,0.3075,Active,Inactive
1234,0.6925,0.3075,Active,Inactive
2195,0.6925,0.3075,Active,Inactive
77,0.69,0.31,Active,Active
2139,0.69,0.31,Active,Inactive
667,0.6875,0.3125,Active,Inactive
668,0.6875,0.3125,Active,Inactive
986,0.6875,0.3125,Active,Inactive
1421,0.6875,0.3125,Active,Inactive
1442,0.6875,0.3125,Active,Inactive
2449,0.6875,0.3125,Active,Inactive
1459,0.685,0.315,Active,Inactive
1929,0.685,0.315,Active,Inactive
287,0.6825,0.3175,Active,Inactive
945,0.68,0.32,Active,Inactive
1201,0.68,0.32,Active,Inactive
1463,0.68,0.32,Active,Inactive
1615,0.68,0.32,Active,Inactive
1271,0.6775,0.3225,Active,Inactive
2163,0.6775,0.3225,Active,Inactive
817,0.675,0.325,Active,Inactive
955,0.6725,0.3275,Active,Inactive
