No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
11,0.99999989999999,1.0000000994736E-07,Active,Active
14,0.99999989999999,1.0000000994736E-07,Active,Active
23,0.99999989999999,1.0000000994736E-07,Active,Active
28,0.99999989999999,1.0000000994736E-07,Active,Active
39,0.99999989999999,1.0000000994736E-07,Active,Active
64,0.99999989999999,1.0000000994736E-07,Active,Active
81,0.99999989999999,1.0000000994736E-07,Active,Inactive
82,0.99999989999999,1.0000000994736E-07,Active,Inactive
245,0.99999989999999,1.0000000994736E-07,Active,Inactive
259,0.99999989999999,1.0000000994736E-07,Active,Inactive
491,0.99999989999999,1.0000000994736E-07,Active,Inactive
589,0.99999989999999,1.0000000994736E-07,Active,Inactive
654,0.99999989999999,1.0000000994736E-07,Active,Inactive
711,0.99999989999999,1.0000000994736E-07,Active,Inactive
715,0.99999989999999,1.0000000994736E-07,Active,Inactive
1261,0.99999989999999,1.0000000994736E-07,Active,Inactive
2112,0.99999989999999,1.0000000994736E-07,Active,Inactive
2403,0.99999989999999,1.0000000994736E-07,Active,Inactive
2456,0.99999989999999,1.0000000994736E-07,Active,Inactive
1169,0.99999988514749,1.14852510592598E-07,Active,Inactive
1417,0.999999876316182,1.23683817608767E-07,Active,Inactive
2420,0.999999867083816,1.32916184295281E-07,Active,Inactive
2120,0.999999856003789,1.43996210706742E-07,Active,Inactive
1596,0.999999850787604,1.49212395721316E-07,Active,Inactive
1019,0.999999845133237,1.54866763194083E-07,Active,Inactive
1006,0.999999844559786,1.5544021443644E-07,Active,Inactive
1470,0.999999843302828,1.56697172366837E-07,Active,Inactive
2217,0.999999841595828,1.58404172446432E-07,Active,Inactive
2113,0.999999827271435,1.7272856519878E-07,Active,Inactive
2386,0.999999826581774,1.73418226210438E-07,Active,Inactive
2185,0.999999822259525,1.77740474732981E-07,Active,Inactive
1241,0.999999820696428,1.79303571721143E-07,Active,Inactive
772,0.999999811040482,1.88959517545049E-07,Active,Inactive
2462,0.999999798552891,2.01447109162717E-07,Active,Inactive
1188,0.99999979351518,2.064848199124E-07,Active,Inactive
1447,0.99999978138692,2.18613079690911E-07,Active,Inactive
1200,0.99999976713628,2.32863719464772E-07,Active,Inactive
1196,0.999999740517107,2.59482892780009E-07,Active,Inactive
2146,0.999999738149341,2.61850659109504E-07,Active,Inactive
2114,0.999999737535619,2.62464380283203E-07,Active,Inactive
1476,0.999999736145251,2.63854748724831E-07,Active,Inactive
1171,0.999999734863006,2.6513699437999E-07,Active,Inactive
1179,0.999999732754982,2.67245018147592E-07,Active,Inactive
935,0.999999724822522,2.75177478364677E-07,Active,Inactive
712,0.999999704290975,2.95709024780442E-07,Active,Inactive
1531,0.999999696060389,3.03939610821438E-07,Active,Inactive
83,0.999999695542184,3.04457816282174E-07,Active,Inactive
2423,0.999999690135123,3.09864877516366E-07,Active,Inactive
2141,0.999999687186259,3.1281374072986E-07,Active,Inactive
1357,0.999999678995822,3.21004178364469E-07,Active,Inactive
478,0.999999675579524,3.24420476038165E-07,Active,Inactive
2449,0.999999672326975,3.27673024946582E-07,Active,Inactive
258,0.999999659507975,3.4049202460261E-07,Active,Inactive
1897,0.99999961455811,3.85441889755924E-07,Active,Inactive
2178,0.999999609488777,3.90511222868128E-07,Active,Inactive
966,0.999999605592461,3.94407538865365E-07,Active,Inactive
957,0.999999585587738,4.14412261825508E-07,Active,Inactive
2138,0.999999571007104,4.2899289649898E-07,Active,Inactive
1990,0.999999560700169,4.39299831205701E-07,Active,Inactive
22,0.999999531562316,4.68437684029042E-07,Active,Active
2467,0.999999503596202,4.96403797791476E-07,Active,Inactive
38,0.999999502271195,4.97728805324561E-07,Active,Active
1395,0.999999481562704,5.18437295751465E-07,Active,Inactive
2111,0.999999456663306,5.43336694308564E-07,Active,Inactive
2131,0.999999450973265,5.49026734745698E-07,Active,Inactive
29,0.999999436366358,5.63633641806154E-07,Active,Active
2142,0.999999429646384,5.70353615454559E-07,Active,Inactive
1405,0.999999427439112,5.72560887566597E-07,Active,Inactive
1374,0.99999938004386,6.19956140187024E-07,Active,Inactive
2139,0.999999360609231,6.39390768810041E-07,Active,Inactive
254,0.999999334474243,6.65525757114604E-07,Active,Inactive
2466,0.999999332387135,6.67612864497248E-07,Active,Inactive
2426,0.999999326941604,6.73058395496504E-07,Active,Inactive
2137,0.999999297380185,7.02619814730496E-07,Active,Inactive
1874,0.999999266582723,7.33417276683666E-07,Active,Inactive
17,0.999999258844866,7.41155133458073E-07,Active,Active
7,0.999999210812164,7.89187835505325E-07,Active,Active
1424,0.999999151716123,8.48283876299905E-07,Active,Inactive
1441,0.99999914017798,8.59822019575813E-07,Active,Inactive
1020,0.999999140027154,8.59972845631498E-07,Active,Inactive
1530,0.99999912697404,8.73025960637106E-07,Active,Inactive
523,0.999999123614644,8.76385355836301E-07,Active,Inactive
49,0.999999111301975,8.88698024693106E-07,Active,Active
413,0.999999104147982,8.95852018533868E-07,Active,Inactive
2195,0.999999076742457,9.23257543054508E-07,Active,Inactive
1,0.999999066905724,9.3309427609085E-07,Active,Active
2463,0.999999047566417,9.52433582851634E-07,Active,Inactive
1677,0.99999897243181,1.02756818982758E-06,Active,Inactive
287,0.999998948602472,1.05139752857601E-06,Active,Inactive
2268,0.999998906286652,1.09371334771303E-06,Active,Inactive
1131,0.999998855573052,1.14442694784837E-06,Active,Inactive
1163,0.999998854934448,1.14506555170362E-06,Active,Inactive
2393,0.999998844329886,1.15567011446021E-06,Active,Inactive
661,0.999998842611085,1.15738891531846E-06,Active,Inactive
1502,0.999998812788242,1.18721175826925E-06,Active,Inactive
968,0.999998806918484,1.19308151582092E-06,Active,Inactive
970,0.999998804316803,1.19568319713324E-06,Active,Inactive
2216,0.999998782266462,1.21773353838925E-06,Active,Inactive
783,0.999998676472821,1.32352717940915E-06,Active,Inactive
71,0.999998655763289,1.34423671123469E-06,Active,Active
257,0.999998650291892,1.34970810832135E-06,Active,Inactive
2293,0.999998648058017,1.35194198255795E-06,Active,Inactive
817,0.999998630596679,1.36940332071132E-06,Active,Inactive
2283,0.999998592594304,1.40740569645489E-06,Active,Inactive
2363,0.999998591556523,1.40844347690766E-06,Active,Inactive
1586,0.999998591364277,1.40863572289102E-06,Active,Inactive
1013,0.999998502866926,1.49713307458189E-06,Active,Inactive
1260,0.999998462784261,1.53721573849028E-06,Active,Inactive
19,0.999998445968177,1.55403182303866E-06,Active,Active
2165,0.999998414057998,1.58594200236899E-06,Active,Inactive
1372,0.999998404729262,1.5952707384082E-06,Active,Inactive
1593,0.999998401009024,1.59899097630758E-06,Active,Inactive
16,0.999998332597998,1.66740200156279E-06,Active,Active
719,0.999998332568356,1.66743164406128E-06,Active,Inactive
1012,0.999998285932464,1.71406753592142E-06,Active,Inactive
84,0.999998270598631,1.72940136918976E-06,Active,Inactive
1928,0.999998266204459,1.73379554089053E-06,Active,Inactive
1646,0.999998261860466,1.73813953381646E-06,Active,Inactive
1049,0.999998251812682,1.7481873175899E-06,Active,Inactive
616,0.999998190958576,1.80904142398557E-06,Active,Inactive
1510,0.99999817871361,1.82128639051439E-06,Active,Inactive
1031,0.999998136723987,1.86327601323891E-06,Active,Inactive
2445,0.999998108869307,1.89113069268381E-06,Active,Inactive
667,0.999998095346101,1.90465389927637E-06,Active,Inactive
486,0.999998063139558,1.93686044241638E-06,Active,Inactive
818,0.99999806311939,1.93688060980677E-06,Active,Inactive
1048,0.999998026614691,1.9733853091471E-06,Active,Inactive
653,0.999997985947712,2.01405228754904E-06,Active,Inactive
1175,0.999997929303634,2.07069636608992E-06,Active,Inactive
263,0.999997928377014,2.07162298560128E-06,Active,Inactive
1227,0.99999790022921,2.09977079030674E-06,Active,Inactive
1917,0.999997896587798,2.10341220212962E-06,Active,Inactive
1419,0.999997812457648,2.18754235214547E-06,Active,Inactive
418,0.999997802835994,2.19716400561825E-06,Active,Inactive
76,0.999997797910463,2.20208953728634E-06,Active,Active
917,0.999997764276842,2.23572315766236E-06,Active,Inactive
67,0.999997762010345,2.23798965468887E-06,Active,Active
2337,0.999997728820633,2.27117936677556E-06,Active,Inactive
2115,0.999997699954167,2.30004583305082E-06,Active,Inactive
1043,0.99999765825001,2.34174998957863E-06,Active,Inactive
665,0.999997634089748,2.36591025230706E-06,Active,Inactive
2330,0.999997541583413,2.45841658686097E-06,Active,Inactive
1376,0.999997519244743,2.48075525697278E-06,Active,Inactive
2207,0.999997443175889,2.5568241110226E-06,Active,Inactive
1525,0.999997403067277,2.59693272254744E-06,Active,Inactive
1187,0.99999734962746,2.6503725404177E-06,Active,Inactive
1010,0.999997286162725,2.7138372745879E-06,Active,Inactive
982,0.999997247095387,2.75290461280011E-06,Active,Inactive
1352,0.999997239852761,2.76014723870349E-06,Active,Inactive
1028,0.999997062372126,2.93762787391958E-06,Active,Inactive
2360,0.999997059675126,2.94032487407455E-06,Active,Inactive
376,0.999997014925378,2.98507462223565E-06,Active,Inactive
663,0.999996941443368,3.0585566324869E-06,Active,Inactive
1459,0.999996929001795,3.0709982042466E-06,Active,Inactive
657,0.999996832996029,3.16700397137367E-06,Active,Inactive
815,0.999996818929396,3.18107060370863E-06,Active,Inactive
1046,0.999996809903089,3.19009691096273E-06,Active,Inactive
668,0.999996762253979,3.23774602135942E-06,Active,Inactive
1512,0.999996757692812,3.24230718771674E-06,Active,Inactive
2150,0.999996751202575,3.24879742467034E-06,Active,Inactive
1664,0.999996721467965,3.27853203457067E-06,Active,Inactive
283,0.999996666429625,3.33357037465555E-06,Active,Inactive
1176,0.999996615916133,3.38408386719327E-06,Active,Inactive
