No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
259,0.99990904,9.094625E-05,Active,Inactive
81,0.99976134,0.00023865706,Active,Inactive
1417,0.99963284,0.00036718202,Active,Inactive
82,0.9995708,0.00042920577,Active,Inactive
711,0.9994349,0.0005651014,Active,Inactive
1586,0.9993338,0.00066622026,Active,Inactive
2137,0.99932986,0.0006701404,Active,Inactive
2139,0.9992731,0.00072685524,Active,Inactive
1441,0.99905264,0.00094733335,Active,Inactive
1192,0.9990425,0.0009574682,Active,Inactive
716,0.998951,0.0010489923,Active,Inactive
254,0.99887455,0.0011254712,Active,Inactive
1603,0.99886376,0.0011362691,Active,Inactive
2293,0.9988009,0.001199136,Active,Inactive
2449,0.99872184,0.0012781505,Active,Inactive
1470,0.9982086,0.0017914114,Active,Inactive
2138,0.99817663,0.001823369,Active,Inactive
1,0.9980974,0.0019025556,Active,Active
1614,0.99809206,0.001907938,Active,Inactive
523,0.99808013,0.0019198806,Active,Inactive
1169,0.9980609,0.001939136,Active,Inactive
245,0.99805593,0.0019440601,Active,Inactive
1006,0.9979461,0.002053906,Active,Inactive
2462,0.99780875,0.0021912176,Active,Inactive
1241,0.9978008,0.0021991963,Active,Inactive
1864,0.9975565,0.0024434936,Active,Inactive
783,0.9975562,0.0024438088,Active,Inactive
2146,0.99748623,0.0025137928,Active,Inactive
1971,0.9973658,0.002634241,Active,Inactive
1895,0.997329,0.0026710047,Active,Inactive
258,0.99728894,0.0027110672,Active,Inactive
2463,0.99727553,0.0027244904,Active,Inactive
1664,0.9971952,0.0028048374,Active,Inactive
1163,0.9971077,0.002892326,Active,Inactive
505,0.99706584,0.002934134,Active,Inactive
2143,0.99702543,0.0029745572,Active,Inactive
304,0.99686724,0.0031327847,Active,Inactive
1019,0.9968487,0.0031513104,Active,Inactive
1012,0.99681634,0.0031836575,Active,Inactive
1031,0.9967617,0.0032382973,Active,Inactive
709,0.9966991,0.0033009315,Active,Inactive
1405,0.99666274,0.003337248,Active,Inactive
719,0.9966622,0.0033378077,Active,Inactive
486,0.99644077,0.0035592148,Active,Inactive
1476,0.996317,0.0036829435,Active,Inactive
1271,0.99628747,0.003712556,Active,Inactive
689,0.9962854,0.003714638,Active,Inactive
84,0.9962835,0.0037165335,Active,Inactive
815,0.99619,0.0038100176,Active,Inactive
2128,0.99614996,0.0038500216,Active,Inactive
1043,0.99605596,0.00394406,Active,Inactive
71,0.9959974,0.004002547,Active,Active
820,0.9959792,0.0040207957,Active,Inactive
2423,0.99590087,0.00409916,Active,Inactive
774,0.99581146,0.004188516,Active,Inactive
51,0.99580616,0.0041938676,Active,Active
1638,0.99567145,0.0043285335,Active,Inactive
2,0.99552834,0.004471673,Active,Active
1914,0.9954495,0.004550514,Active,Inactive
291,0.99533695,0.004663053,Active,Inactive
2150,0.9952516,0.004748392,Active,Inactive
2290,0.9951078,0.004892198,Active,Inactive
784,0.99499696,0.005003063,Active,Inactive
1170,0.99495125,0.005048745,Active,Inactive
2048,0.994822,0.0051779957,Active,Inactive
1404,0.99424696,0.0057530305,Active,Inactive
2221,0.9940814,0.0059186365,Active,Inactive
1906,0.9937768,0.006223224,Active,Inactive
115,0.99377495,0.006225023,Active,Inactive
1159,0.9936695,0.0063304817,Active,Inactive
2386,0.9936527,0.0063472954,Active,Inactive
715,0.99360365,0.0063963346,Active,Inactive
1357,0.9935772,0.0064227995,Active,Inactive
482,0.99354863,0.0064513506,Active,Inactive
1399,0.993361,0.0066389833,Active,Inactive
1171,0.99323565,0.006764376,Active,Inactive
1421,0.99318856,0.0068114433,Active,Inactive
1677,0.9931881,0.0068119364,Active,Inactive
1646,0.9931674,0.0068326276,Active,Inactive
2148,0.99310213,0.006897864,Active,Inactive
1587,0.9930521,0.006947887,Active,Inactive
484,0.9929658,0.0070341816,Active,Inactive
1596,0.9928879,0.007112062,Active,Inactive
2403,0.99288565,0.0071143485,Active,Inactive
2420,0.9928187,0.007181273,Active,Inactive
249,0.99278957,0.0072104265,Active,Inactive
929,0.99260277,0.0073972596,Active,Inactive
1459,0.9925094,0.0074905716,Active,Inactive
407,0.9924597,0.0075402576,Active,Inactive
2194,0.99239,0.0076100314,Active,Inactive
1900,0.99209577,0.007904214,Active,Inactive
1206,0.99199307,0.008006906,Active,Inactive
1462,0.9919262,0.008073802,Active,Inactive
522,0.9916543,0.008345749,Active,Inactive
535,0.9916135,0.0083865225,Active,Inactive
83,0.9916097,0.008390319,Active,Inactive
2393,0.99159616,0.008403845,Active,Inactive
485,0.9912462,0.008753792,Active,Inactive
1472,0.9910733,0.008926679,Active,Inactive
487,0.9910194,0.008980564,Active,Inactive
2132,0.990988,0.009011963,Active,Inactive
935,0.9909742,0.009025805,Active,Inactive
2016,0.9898266,0.0101733925,Active,Inactive
1032,0.9894527,0.010547278,Active,Inactive
1047,0.98939306,0.010606967,Active,Inactive
1923,0.9893547,0.010645256,Active,Inactive
2142,0.9893303,0.010669737,Active,Inactive
1897,0.9893264,0.010673593,Active,Inactive
1266,0.98928344,0.010716543,Active,Inactive
2205,0.9892148,0.010785208,Active,Inactive
1196,0.9891553,0.0108446935,Active,Inactive
413,0.9889492,0.011050821,Active,Inactive
2192,0.988849,0.011150999,Active,Inactive
1683,0.9887698,0.011230187,Active,Inactive
1478,0.9887144,0.011285631,Active,Inactive
1510,0.98870337,0.011296656,Active,Inactive
1447,0.98869854,0.011301477,Active,Inactive
9,0.9886377,0.011362304,Active,Active
214,0.9885066,0.011493399,Active,Inactive
1180,0.988289,0.011710972,Active,Inactive
1176,0.9881426,0.011857404,Active,Inactive
2447,0.9881421,0.011857918,Active,Inactive
732,0.9879543,0.012045696,Active,Inactive
1383,0.9878936,0.012106423,Active,Inactive
998,0.98727226,0.012727752,Active,Inactive
480,0.9872074,0.01279256,Active,Inactive
1953,0.9869046,0.013095351,Active,Inactive
180,0.98667884,0.01332118,Active,Inactive
537,0.98639405,0.013605942,Active,Inactive
2153,0.9862885,0.013711489,Active,Inactive
1395,0.98623884,0.0137611665,Active,Inactive
775,0.9861419,0.013858109,Active,Inactive
68,0.9860925,0.013907486,Active,Active
376,0.9859116,0.0140884025,Active,Inactive
1336,0.9856465,0.014353522,Active,Inactive
1458,0.9855257,0.014474281,Active,Inactive
66,0.9853786,0.014621371,Active,Active
1207,0.9853254,0.014674594,Active,Inactive
2368,0.9851796,0.014820415,Active,Inactive
1621,0.98498935,0.015010645,Active,Inactive
997,0.98483974,0.015160253,Active,Inactive
2217,0.9847515,0.015248492,Active,Inactive
1429,0.9846125,0.015387469,Active,Inactive
1685,0.98451525,0.015484728,Active,Inactive
1175,0.9845148,0.015485236,Active,Inactive
45,0.98441625,0.015583756,Active,Active
1332,0.98405737,0.01594261,Active,Inactive
1200,0.9838851,0.016114913,Active,Inactive
1104,0.9837553,0.016244723,Active,Inactive
1164,0.98319167,0.016808327,Active,Inactive
1329,0.98269075,0.017309234,Active,Inactive
76,0.982616,0.017383987,Active,Active
1437,0.9825567,0.017443286,Active,Inactive
1659,0.9825346,0.017465398,Active,Inactive
1374,0.9824223,0.017577698,Active,Inactive
969,0.9823523,0.01764767,Active,Inactive
1620,0.982352,0.017647969,Active,Inactive
979,0.98234737,0.017652607,Active,Inactive
1372,0.98220026,0.017799713,Active,Inactive
