mol_name,activity,potency
CHEMBL118939,Active,7.71
CHEMBL120009,Active,7.301
CHEMBL202118,Active,6.663
CHEMBL375471,Active,6.608
CHEMBL120246,Active,6.538
CHEMBL120456,Active,6.62
CHEMBL255392,Active,7
CHEMBL270587,Active,8.167
CHEMBL331206,Active,6
CHEMBL332465,Active,6.444
CHEMBL382655,Active,6.783
CHEMBL387914,Active,8.094
CHEMBL402161,Active,7.131
CHEMBL427071,Active,6.208
CHEMBL116540,Active,7.367
CHEMBL120611,Active,6.131
CHEMBL201803,Active,7.602
CHEMBL201832,Active,7.699
CHEMBL202609,Active,8
CHEMBL229525,Active,6.854
CHEMBL229573,Active,6.086
CHEMBL229778,Active,7.114
CHEMBL229785,Active,7.721
CHEMBL229786,Active,7.155
CHEMBL229836,Active,6.553
CHEMBL229837,Active,7.538
CHEMBL229888,Active,6.678
CHEMBL262558,Active,6.066
CHEMBL270801,Active,8.398
CHEMBL271877,Active,7.432
CHEMBL376165,Active,7.387
CHEMBL389903,Active,6.284
CHEMBL390116,Active,6.638
CHEMBL425666,Active,7.921
CHEMBL426483,Active,6.602
CHEMBL455957,Active,7.268
CHEMBL462982,Active,8.444
CHEMBL1222408,Active,8.056
CHEMBL1779473,Active,7.921
CHEMBL1779474,Active,7.387
CHEMBL1779476,Active,7.131
CHEMBL1779478,Active,7.284
CHEMBL1779479,Active,7.222
CHEMBL1779480,Active,8.301
CHEMBL1779481,Active,7.824
CHEMBL1779482,Active,7.538
CHEMBL1956149,Active,7.921
CHEMBL1089210,Active,6.916
CHEMBL3828718,Active,7.452
CHEMBL1088910,Active,6.371
CHEMBL1089164,Active,6.718
CHEMBL1089500,Active,6.767
CHEMBL1090189,Active,6.709
CHEMBL1090211,Active,6.518
CHEMBL1090878,Active,6.573
CHEMBL1091196,Active,6.748
CHEMBL1091218,Active,6.537
CHEMBL1091980,Active,6.613
CHEMBL1092235,Active,6.585
CHEMBL1092236,Active,6.681
CHEMBL1092237,Active,6.92
CHEMBL1092931,Active,6.556
CHEMBL3827820,Active,6.469
CHEMBL1088911,Active,6.504
CHEMBL1090877,Active,6.72
CHEMBL1087466,Active,6.403
CHEMBL1087467,Active,7.137
CHEMBL1087580,Active,6.629
CHEMBL1087582,Active,6.346
CHEMBL1089969,Active,6.469
CHEMBL1090187,Active,8
CHEMBL1092932,Active,7.313
CHEMBL1097193,Active,7.194
CHEMBL1097194,Active,7.167
CHEMBL1097195,Active,7.524
CHEMBL3826990,Active,8.469
CHEMBL3827050,Active,8.638
CHEMBL3827241,Active,7.839
CHEMBL3827335,Active,7.745
CHEMBL3827378,Active,8.553
CHEMBL3827510,Active,8.167
CHEMBL3827584,Active,8.398
CHEMBL3827617,Active,8.252
CHEMBL3827740,Active,7.975
CHEMBL3827940,Active,7.229
CHEMBL3828133,Active,8.553
CHEMBL3828201,Active,8.569
CHEMBL3828232,Active,7.027
CHEMBL3828330,Active,8.367
CHEMBL3828487,Active,8.444
CHEMBL361424,Active,7.534
CHEMBL435343,Active,6.478
CHEMBL367891,Active,7.528
CHEMBL360246,Active,6.944
CHEMBL367549,Active,7.143
CHEMBL190603,Active,7.87
CHEMBL192582,Active,6.302
CHEMBL192638,Active,6.662
CHEMBL366145,Active,8.071
CHEMBL111480,Active,7
CHEMBL112973,Active,6.678
CHEMBL176222,Active,6.342
CHEMBL178513,Active,6.377
CHEMBL178630,Active,6.854
CHEMBL179180,Active,7.456
CHEMBL179452,Active,7.824
CHEMBL179657,Active,6.437
CHEMBL180912,Active,6.333
CHEMBL360231,Active,6.577
CHEMBL360240,Active,7.125
CHEMBL360992,Active,7.415
CHEMBL361166,Active,7.509
CHEMBL426592,Active,6.81
CHEMBL447190,Active,6.983
CHEMBL109638,Active,7.456
CHEMBL176075,Active,8
CHEMBL178309,Active,7.45
CHEMBL179622,Active,7.745
CHEMBL326873,Active,7.125
CHEMBL2037079,Active,6.092
CHEMBL111161,Active,6.678
CHEMBL178659,Active,6.155
CHEMBL369289,Active,6.658
CHEMBL370024,Active,7.432
CHEMBL489074,Active,7.024
CHEMBL192518,Active,6.301
CHEMBL489075,Active,6.823
CHEMBL191060,Active,6.152
CHEMBL189116,Active,6.046
CHEMBL470145,Active,6.62
CHEMBL472244,Active,7.194
CHEMBL513244,Active,6.155
CHEMBL572565,Active,6.971
CHEMBL572566,Active,6.222
CHEMBL572794,Active,7.799
CHEMBL573015,Active,6.509
CHEMBL573252,Active,6.312
CHEMBL574386,Active,6.481
CHEMBL574607,Active,6.143
CHEMBL578860,Active,7.222
CHEMBL2312700,Active,6.886
CHEMBL2312701,Active,7.921
CHEMBL2312702,Active,7.921
CHEMBL2312703,Active,7
CHEMBL2312704,Active,6.62
CHEMBL2312705,Active,6.301
CHEMBL2312706,Active,6.553
CHEMBL2312707,Active,6.004
CHEMBL2312708,Active,7.097
CHEMBL2312711,Active,6.638
CHEMBL2312712,Active,6.678
CHEMBL2312713,Active,6.658
CHEMBL2312714,Active,7.174
CHEMBL2312715,Active,7.509
CHEMBL2312716,Active,6.921
CHEMBL2312717,Active,7.658
CHEMBL2312718,Active,7.357
CHEMBL2375951,Active,6.05
CHEMBL245464,Active,7.638
CHEMBL245465,Active,7
CHEMBL245664,Active,6.745
CHEMBL245865,Active,8.097
CHEMBL245866,Active,9
CHEMBL246069,Active,7.62
CHEMBL246070,Active,9
CHEMBL246281,Active,9
CHEMBL246282,Active,7.959
CHEMBL246510,Active,6.585
CHEMBL247748,Active,8.523
CHEMBL247749,Active,7.699
CHEMBL247952,Active,8
CHEMBL248117,Active,7.523
CHEMBL248324,Active,8
CHEMBL248325,Active,8.046
CHEMBL248326,Active,8
CHEMBL248526,Active,7.301
CHEMBL248527,Active,8.301
CHEMBL391620,Active,8.699
CHEMBL391622,Active,8.699
CHEMBL392810,Active,6.796
CHEMBL392811,Active,6.921
CHEMBL394296,Active,6.886
CHEMBL395924,Active,7
CHEMBL398117,Active,8.523
CHEMBL398118,Active,8.699
CHEMBL427701,Active,9
CHEMBL429824,Active,8.155
CHEMBL477119,Active,7.252
CHEMBL477312,Active,7.523
CHEMBL479207,Active,8.523
CHEMBL247919,Active,6.201
CHEMBL248118,Active,6.721
CHEMBL116947,Active,6.398
CHEMBL119791,Active,6.959
CHEMBL122070,Active,7.046
CHEMBL3764076,Active,6.046
CHEMBL483341,Active,6.843
CHEMBL484330,Active,7.034
CHEMBL484409,Active,7.488
CHEMBL484606,Active,6.693
CHEMBL484607,Active,6.512
CHEMBL484725,Active,6.981
CHEMBL485187,Active,6.744
CHEMBL485188,Active,7.577
CHEMBL485537,Active,7.611
CHEMBL519032,Active,7.184
CHEMBL519351,Active,6.709
CHEMBL519802,Active,6.438
CHEMBL521170,Active,6.339
CHEMBL521462,Active,6.903
CHEMBL484000,Active,7.119
CHEMBL484001,Active,7.62
CHEMBL484137,Active,7.561
CHEMBL484962,Active,7.398
CHEMBL519504,Active,7.357
CHEMBL519974,Active,7.108
CHEMBL521007,Active,7.264
CHEMBL482993,Active,6.446
CHEMBL484138,Active,7.367
CHEMBL1813008,Active,10
CHEMBL1813009,Active,8.721
CHEMBL1813012,Active,7.658
CHEMBL428574,Active,8.301
CHEMBL209749,Active,6.355
CHEMBL210017,Active,7.393
CHEMBL210163,Active,6.649
CHEMBL211371,Active,6.321
CHEMBL213487,Active,6.325
CHEMBL213602,Active,6.345
CHEMBL213675,Active,6.921
CHEMBL213678,Active,6.928
CHEMBL213902,Active,6.448
CHEMBL214272,Active,6.425
CHEMBL265364,Active,7.002
CHEMBL378705,Active,6.229
CHEMBL380070,Active,6.998
CHEMBL384203,Active,6.712
CHEMBL387023,Active,6.579
CHEMBL211513,Active,6.58
CHEMBL211839,Active,6.766
CHEMBL377898,Active,6.561
CHEMBL380404,Active,6.062
CHEMBL2037078,Active,6.453
CHEMBL2037080,Active,7.398
CHEMBL2037081,Active,7.215
CHEMBL2037083,Active,6.903
CHEMBL82034,Active,7.476
CHEMBL81592,Active,6.185
CHEMBL412371,Active,6.409
CHEMBL246272,Active,7.155
CHEMBL246473,Active,7.225
CHEMBL247925,Active,6.299
CHEMBL247926,Active,7.094
CHEMBL394967,Active,6.636
CHEMBL395191,Active,7.337
CHEMBL396694,Active,6.655
CHEMBL428748,Active,7.31
CHEMBL429823,Active,7.71
CHEMBL245656,Active,7.14
CHEMBL245674,Active,6.408
CHEMBL246270,Active,7.252
CHEMBL394947,Active,6.449
CHEMBL396696,Active,6.188
CHEMBL557580,Active,6.953
CHEMBL394948,Active,6.724
CHEMBL394968,Active,6.139
CHEMBL397120,Active,6.06
CHEMBL369725,Active,8.222
CHEMBL190968,Active,6.84
CHEMBL178909,Active,6.377
CHEMBL182200,Active,6
CHEMBL78442,Active,6.495
CHEMBL78476,Active,6.62
CHEMBL78523,Active,6.796
CHEMBL80301,Active,7.102
CHEMBL80364,Active,7.886
CHEMBL80671,Active,7.886
CHEMBL80772,Active,7.102
CHEMBL80791,Active,6.699
CHEMBL80905,Active,7.699
CHEMBL80979,Active,7.301
CHEMBL305723,Active,6.301
CHEMBL305854,Active,6.398
CHEMBL309778,Active,7.398
CHEMBL310426,Active,7.602
CHEMBL310962,Active,7.398
CHEMBL311429,Active,6.796
CHEMBL312791,Active,7.495
CHEMBL433306,Active,7.398
CHEMBL433316,Active,6.398
CHEMBL189146,Active,8
CHEMBL2237303,Active,8.4
CHEMBL272137,Active,6.301
CHEMBL270451,Active,6.854
CHEMBL270664,Active,7.553
CHEMBL270665,Active,7.387
CHEMBL402841,Active,6.854
CHEMBL456355,Active,6.699
CHEMBL456752,Active,7.222
CHEMBL456753,Active,6.585
CHEMBL456973,Active,7.886
CHEMBL456974,Active,8.149
CHEMBL457405,Active,8.125
CHEMBL457623,Active,7.886
CHEMBL514256,Active,7.77
CHEMBL514264,Active,7.921
CHEMBL2158959,Active,6.114
CHEMBL435523,Active,8.24833333333333
CHEMBL172492,Active,7.8155
CHEMBL172931,Active,7.2435
CHEMBL173236,Active,6.9985
CHEMBL173285,Active,8.523
CHEMBL173386,Active,6.974
CHEMBL173409,Active,6.741
CHEMBL173494,Active,8.245
CHEMBL174764,Active,6.8145
CHEMBL367019,Active,8.1885
CHEMBL369053,Active,8.1905
CHEMBL369607,Active,7.664
CHEMBL172490,Active,8.3655
CHEMBL175332,Active,7.72
