No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
115,0.999999994430616,5.56938425539237E-09,Active,Inactive
819,0.999999988202145,1.1797855388565E-08,Active,Inactive
249,0.999999981152957,1.88470427554425E-08,Active,Inactive
1864,0.99999997333993,2.66600697558771E-08,Active,Inactive
817,0.999999966071836,3.39281644010729E-08,Active,Inactive
259,0.999999964678648,3.53213522255657E-08,Active,Inactive
14,0.999999956362655,4.36373448988071E-08,Active,Active
376,0.999999955194933,4.48050673286566E-08,Active,Inactive
67,0.999999939589815,6.04101851773913E-08,Active,Active
25,0.999999918571087,8.14289132857075E-08,Active,Active
2139,0.999999918305641,8.16943591665657E-08,Active,Inactive
1441,0.999999914442184,8.55578162927443E-08,Active,Inactive
2128,0.999999906757506,9.32424935970628E-08,Active,Inactive
1587,0.999999903072513,9.69274870001229E-08,Active,Inactive
1405,0.999999901210011,9.87899886172148E-08,Active,Inactive
1192,0.99999989619098,1.0380901971015E-07,Active,Inactive
187,0.999999880258112,1.19741887890134E-07,Active,Inactive
1823,0.999999876431334,1.23568666143841E-07,Active,Inactive
535,0.999999873582649,1.26417351234043E-07,Active,Inactive
1206,0.999999866127053,1.33872946802949E-07,Active,Inactive
783,0.99999986463951,1.35360489697885E-07,Active,Inactive
505,0.999999859646715,1.40353284756776E-07,Active,Inactive
383,0.999999856816221,1.43183779157495E-07,Active,Inactive
820,0.999999855795759,1.44204241295481E-07,Active,Inactive
2462,0.999999854916122,1.45083878145936E-07,Active,Inactive
2260,0.999999854352702,1.45647298391604E-07,Active,Inactive
997,0.999999854122202,1.45877797720943E-07,Active,Inactive
245,0.999999846568857,1.53431143050799E-07,Active,Inactive
2137,0.999999842568216,1.57431784205547E-07,Active,Inactive
84,0.999999840894388,1.59105611670206E-07,Active,Inactive
1697,0.999999827589079,1.72410920359985E-07,Active,Inactive
1207,0.999999818206798,1.81793201519707E-07,Active,Inactive
4,0.999999798239928,2.01760071607102E-07,Active,Active
1428,0.999999796627866,2.03372134048366E-07,Active,Inactive
254,0.999999787347348,2.12652652148953E-07,Active,Inactive
711,0.999999785248444,2.14751556128362E-07,Active,Inactive
1267,0.999999784803081,2.1519691872662E-07,Active,Inactive
81,0.99999978101893,2.18981070491304E-07,Active,Inactive
125,0.999999776068768,2.23931231724691E-07,Active,Inactive
990,0.999999770595498,2.29404501943617E-07,Active,Inactive
2256,0.999999761702319,2.38297680797088E-07,Active,Inactive
23,0.999999753079497,2.46920502694697E-07,Active,Active
1614,0.999999691010979,3.08989020620599E-07,Active,Inactive
1200,0.999999680696421,3.19303578393793E-07,Active,Inactive
82,0.999999667239462,3.32760537839088E-07,Active,Inactive
1371,0.999999642897832,3.57102168330585E-07,Active,Inactive
998,0.999999605328241,3.946717586161E-07,Active,Inactive
1,0.999999602578963,3.97421036687692E-07,Active,Active
818,0.999999591120995,4.0887900490179E-07,Active,Inactive
1417,0.999999590103243,4.09896757344117E-07,Active,Inactive
979,0.99999957855672,4.21443279937292E-07,Active,Inactive
1012,0.9999995406336,4.59366399679826E-07,Active,Inactive
1664,0.999999538060922,4.6193907744783E-07,Active,Inactive
152,0.999999520083659,4.79916341121881E-07,Active,Inactive
2138,0.999999517637395,4.82362605106276E-07,Active,Inactive
772,0.999999492886261,5.07113739071799E-07,Active,Inactive
2123,0.999999492386683,5.07613317355689E-07,Active,Inactive
1586,0.99999948361663,5.16383370439393E-07,Active,Inactive
1370,0.999999469813362,5.30186637854977E-07,Active,Inactive
1002,0.999999458351924,5.41648076388703E-07,Active,Inactive
1271,0.999999445306392,5.54693608298665E-07,Active,Inactive
2146,0.999999433912105,5.66087895111944E-07,Active,Inactive
816,0.999999431853952,5.68146048318977E-07,Active,Inactive
1382,0.999999421562344,5.78437655612331E-07,Active,Inactive
1005,0.999999394849051,6.05150948715023E-07,Active,Inactive
732,0.999999389584031,6.10415968713573E-07,Active,Inactive
2298,0.999999381289212,6.18710787758203E-07,Active,Inactive
716,0.999999375253311,6.24746689276988E-07,Active,Inactive
1462,0.999999361640525,6.38359475199192E-07,Active,Inactive
2121,0.999999345299583,6.54700416331538E-07,Active,Inactive
2142,0.999999343703149,6.56296850725782E-07,Active,Inactive
1186,0.999999321590612,6.78409388203339E-07,Active,Inactive
2200,0.999999312254413,6.87745586819006E-07,Active,Inactive
523,0.999999278896043,7.21103957273773E-07,Active,Inactive
1046,0.999999265273856,7.34726143700489E-07,Active,Inactive
158,0.999999255820711,7.44179289316607E-07,Active,Inactive
1874,0.999999241860174,7.58139825616344E-07,Active,Inactive
931,0.999999239977662,7.60022337520164E-07,Active,Inactive
1198,0.999999239912811,7.60087189297858E-07,Active,Inactive
1043,0.999999216238912,7.83761087930026E-07,Active,Inactive
1853,0.999999208371524,7.91628475598899E-07,Active,Inactive
1888,0.99999913166492,8.68335080092887E-07,Active,Inactive
2302,0.999999126586662,8.73413337493495E-07,Active,Inactive
2293,0.99999911863182,8.81368179753642E-07,Active,Inactive
