ID,Score,Real_Class
CHEMBL116671,0.89958,Active
CHEMBL376325,0.89807,Inactive
CHEMBL214394,0.89111,Inactive
CHEMBL2204696,0.86811,Inactive
CHEMBL3752362,0.86218,Inactive
CHEMBL481060,0.85886,Inactive
CHEMBL595440,0.85551,Inactive
CHEMBL4514313,0.85384,Inactive
CHEMBL218117,0.85108,Inactive
CHEMBL211963,0.85084,Inactive
CHEMBL4635054,0.84664,Inactive
CHEMBL1630380,0.84606,Active
CHEMBL3091499,0.84388,Inactive
CHEMBL253490,0.8432,Inactive
CHEMBL4284549,0.84194,Inactive
CHEMBL232798,0.83614,Inactive
CHEMBL457,0.83251,Inactive
CHEMBL609901,0.82936,Inactive
CHEMBL1173380,0.82771,Inactive
CHEMBL1223140,0.82126,Inactive
CHEMBL4563676,0.82101,Inactive
CHEMBL3892207,0.81895,Inactive
CHEMBL565,0.81664,Inactive
CHEMBL218591,0.81527,Inactive
CHEMBL392063,0.81206,Inactive
CHEMBL4445737,0.80826,Inactive
CHEMBL38943,0.80707,Inactive
CHEMBL220557,0.80683,Inactive
CHEMBL230158,0.80513,Inactive
CHEMBL219687,0.80424,Inactive
CHEMBL501335,0.80325,Inactive
CHEMBL473961,0.80222,Inactive
CHEMBL23670,0.79853,Inactive
CHEMBL374925,0.7968,Inactive
CHEMBL2204698,0.79649,Inactive
CHEMBL479002,0.79435,Inactive
CHEMBL220837,0.79349,Inactive
CHEMBL2031856,0.79105,Inactive
CHEMBL222248,0.78991,Inactive
CHEMBL189110,0.78636,Active
CHEMBL218950,0.78634,Inactive
CHEMBL4159720,0.7859,Inactive
CHEMBL373813,0.78551,Inactive
CHEMBL373791,0.78455,Inactive
CHEMBL4172034,0.78398,Inactive
CHEMBL374682,0.78225,Inactive
CHEMBL4250091,0.7813,Inactive
CHEMBL4446633,0.77812,Inactive
CHEMBL4160935,0.77809,Inactive
CHEMBL241472,0.77761,Inactive
CHEMBL4473188,0.77755,Inactive
CHEMBL3934302,0.77698,Inactive
CHEMBL4164824,0.77595,Inactive
CHEMBL1778832,0.77516,Inactive
CHEMBL4644539,0.77255,Inactive
CHEMBL220224,0.77241,Inactive
CHEMBL1813003,0.77204,Active
CHEMBL167430,0.77155,Inactive
CHEMBL219005,0.7706,Inactive
CHEMBL431450,0.76923,Inactive
CHEMBL458221,0.76852,Inactive
CHEMBL4571105,0.76711,Inactive
CHEMBL2204690,0.7667,Inactive
CHEMBL516463,0.76605,Inactive
CHEMBL515454,0.7659,Inactive
CHEMBL4077016,0.76589,Inactive
CHEMBL4240680,0.76566,Inactive
CHEMBL2178589,0.76552,Inactive
CHEMBL4168900,0.76543,Inactive
CHEMBL393805,0.76496,Inactive
CHEMBL477095,0.76436,Active
CHEMBL2204693,0.76429,Inactive
CHEMBL4176762,0.76423,Inactive
CHEMBL104850,0.76337,Inactive
CHEMBL3397559,0.76212,Inactive
CHEMBL247659,0.76126,Inactive
CHEMBL4167767,0.76101,Inactive
CHEMBL3398464,0.76064,Inactive
CHEMBL3901902,0.75959,Inactive
CHEMBL1079488,0.7577,Inactive
