ID,Score,Real_Class
CHEMBL1089177,0.814815,Inactive
CHEMBL220751,0.769231,Inactive
CHEMBL4446031,0.769231,Inactive
CHEMBL2204702,0.75,Inactive
CHEMBL3764546,0.75,Inactive
CHEMBL3984358,0.75,Inactive
CHEMBL118900,0.730769,Inactive
CHEMBL253924,0.730769,Inactive
CHEMBL4546798,0.730769,Inactive
CHEMBL3318038,0.724138,Active
CHEMBL431450,0.724138,Inactive
CHEMBL219586,0.714286,Active
CHEMBL2204696,0.714286,Inactive
CHEMBL3895481,0.714286,Inactive
CHEMBL4446679,0.714286,Inactive
CHEMBL4635054,0.714286,Inactive
CHEMBL473096,0.714286,Inactive
CHEMBL473717,0.714286,Inactive
CHEMBL516511,0.714286,Inactive
CHEMBL454651,0.703704,Active
CHEMBL4445084,0.703704,Active
CHEMBL2031857,0.703704,Inactive
CHEMBL2180627,0.703704,Inactive
CHEMBL326273,0.703704,Inactive
CHEMBL3355865,0.703704,Inactive
CHEMBL3397559,0.703704,Inactive
CHEMBL393777,0.703704,Inactive
CHEMBL4443192,0.703704,Inactive
CHEMBL458221,0.703704,Inactive
CHEMBL474548,0.703704,Inactive
CHEMBL428929,0.692308,Inactive
CHEMBL602469,0.692308,Inactive
CHEMBL1630380,0.689655,Active
CHEMBL253490,0.689655,Inactive
CHEMBL4240680,0.689655,Inactive
CHEMBL3397557,0.68,Inactive
CHEMBL420708,0.68,Inactive
CHEMBL1090557,0.678571,Inactive
CHEMBL222248,0.678571,Inactive
CHEMBL3765679,0.678571,Inactive
CHEMBL4445737,0.678571,Inactive
CHEMBL4548480,0.678571,Inactive
CHEMBL4647531,0.678571,Inactive
CHEMBL1089826,0.666667,Inactive
CHEMBL109241,0.666667,Inactive
CHEMBL1630385,0.666667,Inactive
CHEMBL219687,0.666667,Inactive
CHEMBL2206305,0.666667,Inactive
CHEMBL239563,0.666667,Inactive
CHEMBL3091499,0.666667,Inactive
CHEMBL358325,0.666667,Inactive
CHEMBL373791,0.666667,Inactive
CHEMBL373813,0.666667,Inactive
CHEMBL374925,0.666667,Inactive
CHEMBL3752362,0.666667,Inactive
CHEMBL3955741,0.666667,Inactive
CHEMBL4644539,0.666667,Inactive
CHEMBL476897,0.666667,Inactive
CHEMBL2031856,0.655172,Inactive
CHEMBL2031952,0.655172,Inactive
CHEMBL236875,0.655172,Inactive
CHEMBL382982,0.655172,Inactive
CHEMBL393938,0.655172,Inactive
CHEMBL1089825,0.653846,Inactive
CHEMBL1778732,0.653846,Inactive
CHEMBL220837,0.653846,Inactive
CHEMBL238946,0.653846,Inactive
CHEMBL4250091,0.653846,Inactive
CHEMBL3934302,0.645161,Inactive
CHEMBL189110,0.642857,Active
CHEMBL237519,0.642857,Active
CHEMBL107367,0.642857,Active
CHEMBL1813201,0.642857,Inactive
CHEMBL2031953,0.642857,Inactive
CHEMBL3355861,0.642857,Inactive
CHEMBL3398464,0.642857,Inactive
CHEMBL489563,0.642857,Inactive
CHEMBL236664,0.633333,Inactive
CHEMBL237086,0.633333,Inactive
CHEMBL3398427,0.633333,Inactive
CHEMBL3398435,0.633333,Inactive
CHEMBL392058,0.633333,Inactive
CHEMBL419756,0.633333,Inactive
CHEMBL4467078,0.633333,Inactive
CHEMBL327767,0.62963,Inactive
CHEMBL4461490,0.62963,Inactive
CHEMBL3819535,0.625,Inactive
CHEMBL201880,0.62069,Active
CHEMBL4073499,0.62069,Active
CHEMBL2204694,0.62069,Inactive
CHEMBL230158,0.62069,Inactive
CHEMBL236877,0.62069,Inactive
CHEMBL3398434,0.62069,Inactive
