No.,Active_Prob,Inactive_Prob,Predicted_Class,Real_Class
11,0.99999989999999,1.0000000994736E-07,Active,Active
14,0.99999989999999,1.0000000994736E-07,Active,Active
23,0.99999989999999,1.0000000994736E-07,Active,Active
28,0.99999989999999,1.0000000994736E-07,Active,Active
39,0.99999989999999,1.0000000994736E-07,Active,Active
64,0.99999989999999,1.0000000994736E-07,Active,Active
81,0.99999989999999,1.0000000994736E-07,Active,Inactive
82,0.99999989999999,1.0000000994736E-07,Active,Inactive
245,0.99999989999999,1.0000000994736E-07,Active,Inactive
259,0.99999989999999,1.0000000994736E-07,Active,Inactive
491,0.99999989999999,1.0000000994736E-07,Active,Inactive
589,0.99999989999999,1.0000000994736E-07,Active,Inactive
654,0.99999989999999,1.0000000994736E-07,Active,Inactive
711,0.99999989999999,1.0000000994736E-07,Active,Inactive
715,0.99999989999999,1.0000000994736E-07,Active,Inactive
1169,0.99999989999999,1.0000000994736E-07,Active,Inactive
1261,0.99999989999999,1.0000000994736E-07,Active,Inactive
1417,0.99999989999999,1.0000000994736E-07,Active,Inactive
2112,0.99999989999999,1.0000000994736E-07,Active,Inactive
2403,0.99999989999999,1.0000000994736E-07,Active,Inactive
2456,0.99999989999999,1.0000000994736E-07,Active,Inactive
2420,0.999999895117793,1.04882207150506E-07,Active,Inactive
2120,0.999999886241796,1.13758203697128E-07,Active,Inactive
1596,0.999999882059707,1.17940292453296E-07,Active,Inactive
1019,0.999999877523895,1.22476105047948E-07,Active,Inactive
1006,0.999999877063748,1.22936251637351E-07,Active,Inactive
1470,0.999999876055057,1.2394494257291E-07,Active,Inactive
2217,0.999999874685026,1.2531497444707E-07,Active,Inactive
2113,0.999999863180038,1.36819961539463E-07,Active,Inactive
2386,0.999999862625759,1.37374240869554E-07,Active,Inactive
2185,0.999999859151247,1.40848752626434E-07,Active,Inactive
1241,0.99999985789442,1.42105579513795E-07,Active,Inactive
772,0.999999850126945,1.49873054890883E-07,Active,Inactive
2462,0.999999840073066,1.59926933959557E-07,Active,Inactive
1188,0.999999836014548,1.63985452352124E-07,Active,Inactive
1447,0.999999826237821,1.73762179085017E-07,Active,Inactive
1200,0.999999814740122,1.85259877676119E-07,Active,Inactive
1196,0.999999793236154,2.06763845608126E-07,Active,Inactive
2146,0.999999791321772,2.0867822805664E-07,Active,Inactive
2114,0.999999790825526,2.09174474197232E-07,Active,Inactive
1476,0.999999789701231,2.10298768660082E-07,Active,Inactive
1171,0.999999788664291,2.11335708520506E-07,Active,Inactive
1179,0.999999786959394,2.13040606023332E-07,Active,Inactive
935,0.999999780542144,2.19457856087892E-07,Active,Inactive
712,0.999999763920043,2.36079956917239E-07,Active,Inactive
1531,0.999999757251855,2.4274814489227E-07,Active,Inactive
83,0.999999756831931,2.43168069413858E-07,Active,Inactive
2423,0.999999752449735,2.4755026539431E-07,Active,Inactive
2141,0.999999750059333,2.49940666794616E-07,Active,Inactive
1357,0.999999743418301,2.5658169944049E-07,Active,Inactive
478,0.999999740647537,2.59352462823226E-07,Active,Inactive
2449,0.999999738009185,2.61990814847775E-07,Active,Inactive
258,0.99999972760718,2.72392820112456E-07,Active,Inactive
1897,0.99999969108863,3.08911369764244E-07,Active,Inactive
2178,0.999999686966113,3.13033886769146E-07,Active,Inactive
966,0.999999683796994,3.1620300639825E-07,Active,Inactive
957,0.999999667518786,3.32481214525301E-07,Active,Inactive
2138,0.999999655646993,3.44353007448996E-07,Active,Inactive
1990,0.999999647251349,3.52748650709105E-07,Active,Inactive
22,0.999999623501395,3.76498605156696E-07,Active,Active
2467,0.999999600686188,3.99313811817256E-07,Active,Inactive
38,0.999999599604752,4.00395248511863E-07,Active,Active
1395,0.999999582697625,4.17302375268626E-07,Active,Inactive
2111,0.999999562355867,4.37644133173914E-07,Active,Inactive
2131,0.99999955770541,4.4229459006664E-07,Active,Inactive
29,0.999999545764014,4.54235986430501E-07,Active,Active
2142,0.999999540268795,4.59731204848363E-07,Active,Inactive
1405,0.999999538463605,4.61536395287658E-07,Active,Inactive
1374,0.999999499678074,5.00321925633166E-07,Active,Inactive
2139,0.999999483761182,5.16238818408104E-07,Active,Inactive
254,0.999999462345615,5.37654385426617E-07,Active,Inactive
2466,0.999999460634858,5.3936514191818E-07,Active,Inactive
2426,0.999999456170908,5.43829091522864E-07,Active,Inactive
2137,0.99999943192897,5.68071029733506E-07,Active,Inactive
1874,0.999999406657572,5.93342427637242E-07,Active,Inactive
17,0.999999400305676,5.99694324007969E-07,Active,Active
7,0.99999936085503,6.39144970558222E-07,Active,Active
1424,0.999999312269807,6.87730193254281E-07,Active,Inactive
1441,0.999999302777958,6.9722204271689E-07,Active,Inactive
1020,0.999999302653868,6.97346132184336E-07,Active,Inactive
1530,0.999999291913459,7.080865409647E-07,Active,Inactive
523,0.999999289148889,7.10851110685934E-07,Active,Inactive
49,0.999999279015023,7.20984977286687E-07,Active,Active
413,0.999999273126029,7.26873971445538E-07,Active,Inactive
2195,0.999999250560159,7.49439841292328E-07,Active,Inactive
1,0.999999242458134,7.57541865896166E-07,Active,Active
2463,0.999999226525691,7.73474309228539E-07,Active,Inactive
1677,0.999999164582992,8.35417007381788E-07,Active,Inactive
287,0.999999144923481,8.55076518661309E-07,Active,Inactive
2268,0.999999109996439,8.90003561029476E-07,Active,Inactive
1131,0.999999068112012,9.31887987881153E-07,Active,Inactive
1163,0.999999067584413,9.32415586719043E-07,Active,Inactive
2393,0.999999058822553,9.41177447052137E-07,Active,Inactive
661,0.999999057402309,9.42597691207511E-07,Active,Inactive
1502,0.999999032754847,9.67245152833654E-07,Active,Inactive
968,0.999999027902641,9.72097359443252E-07,Active,Inactive
970,0.999999025751862,9.7424813840987E-07,Active,Inactive
2216,0.999999007520379,9.92479621395674E-07,Active,Inactive
783,0.999998919983346,1.08001665369319E-06,Active,Inactive
71,0.999998902835392,1.09716460844639E-06,Active,Active
257,0.999998898304306,1.10169569403532E-06,Active,Inactive
2293,0.999998896454267,1.10354573301812E-06,Active,Inactive
817,0.99999888199169,1.11800830997559E-06,Active,Inactive
2283,0.999998850506473,1.14949352674741E-06,Active,Inactive
2363,0.999998849646489,1.1503535104777E-06,Active,Inactive
1586,0.999998849487179,1.1505128209649E-06,Active,Inactive
1013,0.999998776118061,1.22388193864649E-06,Active,Inactive
1260,0.999998742866278,1.2571337215369E-06,Active,Inactive
19,0.999998728912199,1.27108780117995E-06,Active,Active
2165,0.999998702426914,1.29757308656348E-06,Active,Inactive
1372,0.999998694682633,1.30531736662078E-06,Active,Inactive
1593,0.999998691594082,1.30840591844738E-06,Active,Inactive
16,0.999998634780594,1.36521940593513E-06,Active,Active
719,0.999998634755969,1.36524403074906E-06,Active,Inactive
1012,0.999998596006524,1.4039934765698E-06,Active,Inactive
84,0.999998583262362,1.41673763849394E-06,Active,Inactive
1928,0.99999857961,1.42039000049937E-06,Active,Inactive
1646,0.999998575999213,1.42400078744738E-06,Active,Inactive
1049,0.999998567646851,1.43235314879268E-06,Active,Inactive
616,0.999998517046184,1.48295381597043E-06,Active,Inactive
1510,0.999998506861367,1.49313863318372E-06,Active,Inactive
1031,0.999998471928719,1.52807128102439E-06,Active,Inactive
2445,0.99999844874907,1.55125092988067E-06,Active,Inactive
667,0.999998437493748,1.56250625151814E-06,Active,Inactive
486,0.999998410683662,1.58931633856892E-06,Active,Inactive
818,0.999998410666871,1.58933312885816E-06,Active,Inactive
1048,0.999998380270947,1.61972905258851E-06,Active,Inactive
653,0.999998346399607,1.6536003930578E-06,Active,Inactive
1175,0.999998299204412,1.7007955885784E-06,Active,Inactive
263,0.999998298432205,1.70156779550619E-06,Active,Inactive
1227,0.99999827497258,1.72502741975466E-06,Active,Inactive
1917,0.99999827193733,1.72806267029478E-06,Active,Inactive
1419,0.999998201790666,1.79820933454436E-06,Active,Inactive
418,0.999998193765712,1.80623428763901E-06,Active,Inactive
76,0.999998189657367,1.81034263306155E-06,Active,Active
917,0.999998161600272,1.83839972838414E-06,Active,Inactive
67,0.999998159709342,1.84029065809189E-06,Active,Active
2337,0.999998132016105,1.86798389512555E-06,Active,Inactive
2115,0.999998107925342,1.89207465783053E-06,Active,Inactive
1043,0.99999807311299,1.92688700966063E-06,Active,Inactive
665,0.999998052941171,1.94705882941421E-06,Active,Inactive
2330,0.99999797567849,2.0243215095252E-06,Active,Inactive
1376,0.999997957014472,2.04298552782769E-06,Active,Inactive
2207,0.999997893440464,2.10655953567283E-06,Active,Inactive
1525,0.999997859908801,2.14009119862755E-06,Active,Inactive
1187,0.999997815220232,2.18477976833987E-06,Active,Inactive
1010,0.999997762131343,2.23786865682404E-06,Active,Inactive
982,0.999997729442079,2.27055792072296E-06,Active,Inactive
1352,0.999997723381126,2.27661887359981E-06,Active,Inactive
1028,0.99999757478626,2.42521374000136E-06,Active,Inactive
2360,0.999997572527177,2.42747282311531E-06,Active,Inactive
376,0.999997535039134,2.46496086600236E-06,Active,Inactive
663,0.999997473463572,2.52653642802258E-06,Active,Inactive
1459,0.999997463035782,2.53696421771868E-06,Active,Inactive
657,0.999997382548863,2.61745113725536E-06,Active,Inactive
815,0.999997370753012,2.62924698826642E-06,Active,Inactive
1046,0.999997363183423,2.636816577004E-06,Active,Inactive
668,0.999997323219044,2.67678095566313E-06,Active,Inactive
1512,0.999997319393039,2.68060696080025E-06,Active,Inactive
2150,0.999997313948752,2.68605124750644E-06,Active,Inactive
1664,0.999997289004072,2.71099592767104E-06,Active,Inactive
283,0.99999724282313,2.75717687046204E-06,Active,Inactive
1176,0.999997200429041,2.79957095868E-06,Active,Inactive
